Date,Close,Open,High,Low,Volume,Change
2013-03-27,20.55,20.14,20.6,20.09,183690.0,0.0204
2013-03-28,20.7,20.5,20.7,20.33,188680.0,0.0073
2013-04-01,20.5,20.95,20.95,20.45,97930.0,-0.0097
2013-04-02,20.68,20.58,20.75,20.37,151060.0,0.0088
2013-04-03,20.45,20.68,20.68,20.36,103010.0,-0.0111
2013-04-04,20.61,20.75,20.75,20.52,137570.0,0.0078000000000000005
2013-04-05,20.41,20.56,20.56,20.2,91710.0,-0.0097
2013-04-08,20.5,20.48,20.5,20.27,111470.0,0.0044
2013-04-09,20.65,20.54,20.65,20.35,86070.0,0.0073
2013-04-10,21.13,20.71,21.15,20.63,134200.0,0.0232
2013-04-11,21.21,21.13,21.3,20.78,104460.0,0.0038
2013-04-12,21.01,21.25,21.25,20.95,72170.0,-0.009399999999999999
2013-04-15,21.3,21.08,21.42,20.99,91440.0,0.0138
2013-04-16,21.24,21.42,21.5,21.0,135260.0,-0.0028000000000000004
2013-04-17,21.26,21.25,21.57,21.08,119850.0,0.0009
2013-04-18,21.45,21.43,21.57,21.31,67440.0,0.0089
2013-04-19,21.52,21.59,21.72,21.42,91030.0,0.0033
2013-04-22,21.47,21.5,21.7,21.28,102620.0,-0.0023
2013-04-23,21.95,21.55,22.03,21.47,181740.0,0.022400000000000003
2013-04-24,21.92,22.0,22.0,21.48,357060.0,-0.0014000000000000002
2013-04-25,21.39,21.95,21.95,21.25,156610.0,-0.0242
2013-04-26,21.23,21.4,21.75,21.21,89480.0,-0.0075
2013-04-29,20.7,20.8,21.04,19.99,943070.0,-0.025
2013-04-30,20.44,20.7,20.7,20.12,257670.00000000003,-0.0126
2013-05-01,20.39,20.53,20.65,20.23,207720.0,-0.0024
2013-05-02,20.48,20.36,20.65,20.32,169670.0,0.0044
2013-05-03,20.66,20.55,20.69,20.5,140270.0,0.0088
2013-05-06,20.44,20.82,20.91,20.32,372150.0,-0.0106
2013-05-07,20.54,20.53,20.6,20.4,139650.0,0.0049
2013-05-08,20.53,20.37,20.95,20.37,233330.0,-0.0005
2013-05-09,20.49,20.65,20.67,20.4,249380.0,-0.0019
2013-05-10,20.16,20.61,20.61,20.02,277870.0,-0.0161
2013-05-13,20.15,20.17,20.44,20.03,223650.0,-0.0005
2013-05-14,20.15,20.26,20.38,20.09,208290.0,0.0
2013-05-15,20.24,20.44,20.46,20.15,240640.0,0.0045000000000000005
2013-05-16,20.15,20.21,20.23,19.85,446650.0,-0.0044
2013-05-17,20.33,20.17,20.49,20.1,202640.0,0.0089
2013-05-20,20.39,20.2,20.42,20.2,152550.0,0.003
2013-05-21,20.24,20.27,20.56,20.02,436800.0,-0.0074
2013-05-22,20.19,20.24,20.5,20.12,250850.0,-0.0025
2013-05-23,20.05,20.1,20.18,19.97,183530.0,-0.0069
2013-05-24,20.16,20.23,20.32,20.02,144930.0,0.0055000000000000005
2013-05-28,20.15,20.29,20.3,20.1,95830.0,-0.0005
2013-05-29,20.02,20.23,20.23,19.97,138510.0,-0.006500000000000001
2013-05-30,19.96,19.97,20.24,19.91,184410.0,-0.003
2013-05-31,19.87,20.18,20.19,19.86,154260.0,-0.0045000000000000005
2013-06-03,19.7,20.0,20.03,19.64,122180.0,-0.0086
2013-06-04,19.63,19.6,19.8,19.51,101030.0,-0.0036
2013-06-05,19.66,19.83,19.83,19.53,87060.0,0.0015
2013-06-06,19.69,19.6,19.8,19.52,90450.0,0.0015
2013-06-07,19.87,19.8,19.95,19.7,77560.0,0.0091
2013-06-10,19.44,19.92,20.0,19.44,116420.0,-0.0216
2013-06-11,19.14,19.44,19.44,19.01,156190.0,-0.0154
2013-06-12,18.83,19.28,19.31,18.6,268000.0,-0.016200000000000003
2013-06-13,19.53,18.75,19.64,18.75,160640.0,0.037200000000000004
2013-06-14,19.15,19.35,19.41,18.86,231810.0,-0.0195
2013-06-17,19.21,19.16,19.33,19.02,141720.0,0.0031
2013-06-18,19.48,19.27,19.52,19.21,95440.0,0.0141
2013-06-19,19.32,19.4,19.7,19.22,99870.0,-0.008199999999999999
2013-06-20,18.85,19.19,19.33,18.6,183240.0,-0.024300000000000002
2013-06-21,18.89,19.0,19.01,18.6,134710.0,0.0021
2013-06-24,18.7,18.54,19.01,18.11,146990.0,-0.0101
2013-06-25,18.7,18.84,19.12,18.48,172990.0,0.0
2013-06-26,19.28,18.92,19.29,18.83,128210.00000000001,0.031
2013-06-27,19.1,19.29,19.62,19.1,155490.0,-0.009300000000000001
2013-06-28,19.62,19.38,19.65,19.14,146480.0,0.027200000000000002
2013-07-01,19.81,19.7,19.95,19.58,115010.0,0.0097
2013-07-02,19.81,19.79,19.85,19.61,102520.0,0.0
2013-07-03,19.3,19.85,19.89,19.13,73380.0,-0.025699999999999997
2013-07-05,19.2,19.43,19.47,19.06,66190.0,-0.0052
2013-07-08,19.71,19.45,19.8,19.21,69210.0,0.026600000000000002
2013-07-09,19.79,19.61,19.93,19.57,140030.0,0.0040999999999999995
2013-07-10,19.8,19.83,19.86,19.66,98270.0,0.0005
2013-07-11,19.82,19.85,19.9,19.69,164300.0,0.001
2013-07-12,19.88,19.85,19.9,19.73,90590.0,0.003
2013-07-15,19.92,19.82,19.95,19.75,179730.0,0.002
2013-07-16,19.85,19.98,19.98,19.85,147420.0,-0.0034999999999999996
2013-07-17,19.99,19.8,19.99,19.8,115850.0,0.0070999999999999995
2013-07-18,19.98,19.99,20.0,19.74,169970.0,-0.0005
2013-07-19,19.99,19.97,20.0,19.78,141560.0,0.0005
2013-07-22,19.57,19.98,19.98,19.18,210340.0,-0.021
2013-07-23,19.78,19.66,19.86,19.4,134830.0,0.010700000000000001
2013-07-24,19.45,19.9,19.95,19.29,138700.0,-0.0167
2013-07-25,19.53,19.45,19.85,19.01,252500.0,0.0040999999999999995
2013-07-26,19.55,19.8,19.9,19.3,116290.0,0.001
2013-07-29,19.3,19.71,19.8,19.24,98250.0,-0.0128
2013-07-30,19.0,19.32,19.41,19.0,211450.0,-0.0155
2013-07-31,19.21,19.44,19.49,19.1,222330.0,0.0111
2013-08-01,19.55,19.45,19.7,19.3,104760.0,0.0177
2013-08-02,19.62,19.82,19.89,19.57,112250.0,0.0036
2013-08-05,19.79,19.79,19.82,19.59,71550.0,0.0087
2013-08-06,19.87,19.55,19.92,19.51,152280.0,0.004
2013-08-07,19.77,19.87,19.89,19.7,112970.0,-0.005
2013-08-08,19.78,19.85,19.88,19.72,96220.0,0.0005
2013-08-09,19.82,19.9,19.97,19.77,98970.0,0.002
2013-08-12,19.9,19.95,19.97,19.75,116200.0,0.004
2013-08-13,19.66,19.94,19.96,19.65,108440.0,-0.0121
2013-08-14,19.46,19.9,19.9,19.39,98450.0,-0.0102
