Date,Close,Open,High,Low,Volume,Change
2017-12-18,14.61,14.08,15.24,14.05,1750000.0,0.0473
2017-12-19,15.34,14.6,15.39,14.6,1450000.0,0.05
2017-12-20,15.37,15.34,15.7,15.01,487150.0,0.002
2017-12-21,15.88,15.48,16.1,14.78,1440000.0,0.0332
2017-12-22,15.46,15.72,15.72,15.14,403590.0,-0.0264
2017-12-26,15.54,15.46,15.69,15.17,136960.0,0.0052
2017-12-27,15.5,15.3,15.6,15.3,246920.0,-0.0026
2017-12-28,15.49,15.5,15.71,15.23,349360.0,-0.0006
2017-12-29,15.9,15.52,16.0,15.47,310430.0,0.0265
2018-01-02,16.16,15.72,16.18,15.68,845360.0,0.016399999999999998
2018-01-03,15.75,16.2,16.22,15.65,283740.0,-0.0254
2018-01-04,15.63,15.81,16.1,15.45,216580.0,-0.0076
2018-01-05,15.55,15.53,15.83,15.33,263080.0,-0.0051
2018-01-08,15.56,15.88,15.88,15.36,162010.0,0.0006
2018-01-09,15.47,15.8,15.87,15.27,762420.0,-0.0058
2018-01-10,15.54,16.73,16.74,15.54,2460000.0,0.0045000000000000005
2018-01-11,15.97,15.81,16.24,15.65,1900000.0,0.0277
2018-01-12,15.87,16.13,16.5,15.84,975340.0,-0.0063
2018-01-16,15.99,16.0,16.34,15.95,641010.0,0.0076
2018-01-17,16.06,15.99,16.18,15.93,353960.0,0.0044
2018-01-18,16.06,16.13,16.23,15.98,642800.0,0.0
2018-01-19,16.25,16.04,16.35,15.96,695840.0,0.0118
2018-01-22,16.33,16.23,16.45,16.01,400930.0,0.0049
2018-01-23,16.55,16.3,16.64,16.28,317670.0,0.013500000000000002
2018-01-24,16.53,16.58,16.68,16.4,239800.0,-0.0012
2018-01-25,16.34,16.5,16.64,16.3,226100.0,-0.0115
2018-01-26,16.66,16.35,16.66,16.35,189280.0,0.0196
2018-01-29,16.36,16.63,16.67,16.34,135790.0,-0.018000000000000002
2018-01-30,16.44,16.29,16.5,16.15,191890.0,0.0049
2018-01-31,16.61,16.44,16.68,16.35,264680.0,0.0103
2018-02-01,16.66,16.61,16.98,16.46,362870.0,0.003
2018-02-02,16.04,16.62,16.98,15.95,211700.0,-0.037200000000000004
2018-02-05,16.02,15.97,16.67,15.9,525870.0,-0.0012
2018-02-06,15.96,16.0,16.05,15.73,443670.0,-0.0037
2018-02-07,16.13,15.92,16.51,15.92,337110.0,0.010700000000000001
2018-02-08,15.94,16.19,16.3,15.92,365200.0,-0.0118
2018-02-09,15.0,15.93,16.1,14.56,1700000.0,-0.059000000000000004
2018-02-12,14.69,15.15,15.23,14.25,1210000.0,-0.0207
2018-02-13,15.3,14.78,15.43,14.75,279500.0,0.0415
2018-02-14,15.15,15.18,15.19,14.72,322360.0,-0.0098
2018-02-15,14.9,15.23,15.32,14.87,341220.0,-0.0165
2018-02-16,14.86,14.91,14.94,14.62,377250.0,-0.0027
2018-02-20,14.74,14.75,15.0,14.55,316800.0,-0.008100000000000001
2018-02-21,14.8,14.72,15.01,14.68,180770.0,0.0040999999999999995
2018-02-22,14.58,14.81,15.27,14.5,249240.0,-0.0149
2018-02-23,14.79,14.58,14.96,14.55,195730.0,0.0144
2018-02-26,14.92,14.77,14.96,14.57,216880.0,0.0088
2018-02-27,14.98,14.87,15.1,14.75,306360.0,0.004
2018-02-28,14.59,14.92,15.12,14.55,322330.0,-0.026000000000000002
2018-03-01,14.82,14.27,15.15,14.22,431460.0,0.0158
2018-03-02,14.38,14.71,14.71,14.28,381710.0,-0.0297
2018-03-05,14.55,14.34,14.67,14.11,352460.0,0.0118
2018-03-06,14.57,14.62,15.04,14.46,443470.0,0.0014000000000000002
2018-03-07,14.69,14.48,14.95,14.48,263380.0,0.008199999999999999
2018-03-08,14.64,14.58,14.73,14.44,214530.0,-0.0034000000000000002
2018-03-09,14.76,14.69,15.0,14.66,333090.0,0.008199999999999999
2018-03-12,15.57,14.81,15.95,14.81,1020000.0,0.054900000000000004
2018-03-13,15.24,15.44,15.78,14.74,779690.0,-0.0212
2018-03-14,15.31,15.23,15.61,15.06,637010.0,0.0046
2018-03-15,15.4,15.26,16.05,15.26,656190.0,0.0059
2018-03-16,15.71,15.36,15.85,15.31,7950000.0,0.020099999999999996
2018-03-19,15.56,15.6,15.87,14.82,861010.0,-0.0095
2018-03-20,15.4,15.67,15.84,15.3,328480.0,-0.0103
