Date,Close,Open,High,Low,Volume,Change
1995-01-25,2.02,2.12,2.12,2.02,936560.0,-0.0146
1995-01-26,2.02,2.12,2.12,2.02,652050.0,0.0
1995-01-27,2.02,2.12,2.12,2.02,494610.0,0.0
1995-01-30,2.1,2.12,2.12,2.02,265780.0,0.039599999999999996
1995-01-31,2.02,2.12,2.12,2.02,371080.0,-0.0381
1995-02-01,2.15,2.12,2.22,2.02,605980.0,0.0644
1995-02-02,2.32,2.22,2.37,2.17,1040000.0,0.0791
1995-02-03,2.22,2.37,2.37,2.22,1000000.0,-0.0431
1995-02-06,2.02,2.27,2.27,2.02,174660.0,-0.0901
1995-02-07,2.12,2.02,2.22,2.02,193890.0,0.0495
1995-02-08,2.15,2.22,2.22,2.07,213130.0,0.014199999999999999
1995-02-09,2.05,2.22,2.22,2.02,270840.0,-0.04650000000000001
1995-02-10,2.05,2.02,2.12,2.02,179210.0,0.0
1995-02-13,2.07,2.12,2.12,1.98,230850.0,0.0098
1995-02-14,1.98,1.98,2.07,1.98,61760.0,-0.0435
1995-02-15,1.98,2.07,2.07,1.93,56700.0,0.0
1995-02-16,1.98,1.93,2.07,1.93,127580.0,0.0
1995-02-17,1.93,1.93,2.02,1.93,119480.0,-0.0253
1995-02-21,2.02,2.02,2.02,1.98,41510.0,0.0466
1995-02-22,1.98,2.02,2.07,1.93,208070.0,-0.019799999999999998
1995-02-23,2.02,1.98,2.07,1.98,165540.0,0.0202
1995-02-24,1.98,2.02,2.02,1.93,35440.0,-0.019799999999999998
1995-02-27,1.93,2.02,2.02,1.93,29870.0,-0.0253
1995-02-28,2.0,2.02,2.02,1.93,44040.0,0.0363
1995-03-01,2.0,2.02,2.02,1.93,2530.0,0.0
1995-03-02,1.98,2.02,2.02,1.93,39490.0,-0.01
1995-03-03,1.93,2.02,2.02,1.93,47080.0,-0.0253
1995-03-06,2.02,2.02,2.02,1.93,36960.0,0.0466
1995-03-07,1.95,2.02,2.02,1.93,8610.0,-0.0347
1995-03-08,1.88,1.88,2.02,1.78,179720.0,-0.0359
1995-03-09,1.88,1.88,1.88,1.88,5570.0,0.0
1995-03-10,1.93,1.78,1.93,1.78,673820.0,0.026600000000000002
1995-03-13,1.88,1.93,1.95,1.85,117450.0,-0.0259
1995-03-14,1.9,1.85,1.98,1.85,918340.0,0.0106
1995-03-15,2.0,2.02,2.07,1.93,147830.0,0.0526
1995-03-16,2.15,2.07,2.17,1.98,465750.0,0.075
1995-03-17,2.15,2.17,2.17,2.05,113910.0,0.0
1995-03-20,2.22,2.05,2.25,2.05,151880.0,0.0326
1995-03-21,2.17,2.15,2.27,2.15,323490.0,-0.0225
1995-03-22,2.27,2.27,2.27,2.17,149850.0,0.0461
1995-03-23,2.17,2.17,2.27,2.17,258690.0,-0.0441
1995-03-24,2.15,2.22,2.25,2.15,303240.0,-0.0092
1995-03-27,2.17,2.15,2.17,2.15,193390.0,0.009300000000000001
1995-03-28,2.17,2.15,2.25,2.15,259709.99999999997,0.0
1995-03-29,2.15,2.17,2.25,2.15,375640.0,-0.0092
1995-03-30,2.17,2.15,2.17,2.15,53160.0,0.009300000000000001
1995-03-31,2.02,2.07,2.1,2.02,45060.0,-0.0691
1995-04-03,2.12,2.05,2.12,2.02,56190.0,0.0495
1995-04-04,2.12,2.05,2.12,2.05,47080.0,0.0
1995-04-05,2.12,2.05,2.17,2.05,37970.0,0.0
1995-04-06,2.07,2.07,2.17,2.07,27340.0,-0.0236
1995-04-07,2.07,2.07,2.17,2.07,32400.0,0.0
1995-04-10,2.07,2.07,2.17,2.07,29870.0,0.0
1995-04-11,2.07,2.17,2.17,2.07,43030.0,0.0
1995-04-12,2.27,2.12,2.3,2.07,190350.0,0.0966
1995-04-13,2.2,2.2,2.3,2.2,182760.0,-0.0308
1995-04-17,2.27,2.3,2.3,2.15,30380.0,0.0318
1995-04-18,2.17,2.27,2.27,2.17,8100.0,-0.0441
1995-04-19,2.15,2.3,2.3,2.15,91630.0,-0.0092
1995-04-20,2.15,2.22,2.22,2.05,110870.0,0.0
1995-04-21,2.15,2.17,2.17,2.05,27840.0,0.0
1995-04-24,2.17,2.17,2.17,2.17,3040.0,0.009300000000000001
1995-04-25,2.05,2.15,2.15,2.05,85560.0,-0.0553
1995-04-26,2.05,2.1,2.1,2.02,20760.0,0.0
1995-04-27,2.12,2.12,2.12,2.07,61260.0,0.0341
1995-04-28,2.05,2.07,2.12,2.02,111880.0,-0.033
1995-05-01,2.02,2.12,2.12,2.02,5060.0,-0.0146
1995-05-02,2.15,2.15,2.22,2.12,314380.0,0.0644
1995-05-03,2.22,2.2,2.27,2.15,291600.0,0.0326
1995-05-04,2.35,2.27,2.42,2.22,702680.0,0.058600000000000006
1995-05-05,2.22,2.32,2.42,2.2,433350.0,-0.0553
1995-05-08,2.32,2.32,2.32,2.17,22780.0,0.045
1995-05-09,2.3,2.17,2.3,2.17,136180.0,-0.0086
1995-05-10,2.22,2.22,2.3,2.22,164030.0,-0.0348
1995-05-11,2.27,2.22,2.3,2.22,468790.0,0.0225
1995-05-12,2.3,2.17,2.3,2.17,832780.0,0.0132
1995-05-15,2.32,2.3,2.35,2.27,150860.0,0.0087
1995-05-16,2.35,2.37,2.37,2.3,252620.0,0.0129
1995-05-17,2.44,2.37,2.52,2.32,586240.0,0.0383
1995-05-18,2.47,2.49,2.52,2.37,142760.0,0.0123
1995-05-19,2.42,2.37,2.44,2.37,112390.0,-0.0202
1995-05-22,2.44,2.47,2.47,2.37,41510.0,0.0083
1995-05-23,2.44,2.52,2.52,2.4,152890.0,0.0
1995-05-24,2.54,2.54,2.64,2.44,259709.99999999997,0.040999999999999995
1995-05-25,2.54,2.54,2.62,2.54,43030.0,0.0
1995-05-26,2.54,2.62,2.62,2.54,47080.0,0.0
1995-05-30,2.64,2.63,2.67,2.59,109350.0,0.0394
1995-05-31,2.69,2.72,2.72,2.59,91630.0,0.0189
1995-06-01,2.62,2.67,2.72,2.62,34430.0,-0.026000000000000002
1995-06-02,2.77,2.69,2.81,2.67,172130.0,0.057300000000000004
1995-06-05,3.01,2.77,3.01,2.77,449040.0,0.0866
1995-06-06,2.91,2.96,3.11,2.91,719890.0,-0.0332
1995-06-07,2.91,3.01,3.01,2.91,84040.0,0.0
1995-06-08,2.86,3.01,3.01,2.84,79480.0,-0.0172
1995-06-09,2.86,2.86,2.96,2.86,54170.0,0.0
1995-06-12,3.06,2.84,3.11,2.84,627240.0,0.0699
1995-06-13,3.04,3.06,3.11,2.96,233380.0,-0.006500000000000001
1995-06-14,3.21,3.06,3.21,2.96,586740.0,0.0559
1995-06-15,3.38,3.21,3.41,3.11,227810.0,0.053
1995-06-16,3.21,3.38,3.38,3.11,358930.0,-0.050300000000000004
1995-06-19,3.31,3.31,3.36,3.16,95180.0,0.031200000000000002
1995-06-20,3.21,3.26,3.31,3.21,65310.0,-0.0302
1995-06-21,3.23,3.23,3.31,3.21,208580.0,0.0062
1995-06-22,3.26,3.31,3.31,3.23,32400.0,0.009300000000000001
1995-06-23,3.21,3.31,3.31,3.11,42020.0,-0.015300000000000001
1995-06-26,3.11,3.21,3.21,3.11,81000.0,-0.031200000000000002
1995-06-27,3.14,3.11,3.21,3.11,461190.0,0.0096
1995-06-28,3.14,3.21,3.21,3.14,59740.0,0.0
1995-06-29,3.04,3.09,3.19,3.04,115430.0,-0.0318
1995-06-30,3.06,3.06,3.16,3.06,42020.0,0.0066
1995-07-03,3.23,3.16,3.26,3.14,115430.0,0.0556
1995-07-05,3.36,3.26,3.43,3.16,330080.0,0.04019999999999999
1995-07-06,3.33,3.43,3.43,3.31,119980.0,-0.0089
1995-07-07,3.43,3.43,3.43,3.31,50120.0,0.03
1995-07-10,3.41,3.43,3.43,3.33,62780.0,-0.0058
1995-07-11,3.38,3.41,3.41,3.28,41510.0,-0.0088
1995-07-12,3.38,3.38,3.38,3.28,68340.0,0.0
1995-07-13,3.56,3.36,3.65,3.36,226290.0,0.0533
1995-07-14,3.65,3.65,3.73,3.53,77460.0,0.0253
1995-07-17,3.98,3.75,4.05,3.65,158960.0,0.0904
1995-07-18,3.75,4.0,4.0,3.51,607500.0,-0.057800000000000004
