Date,Close,Open,High,Low,Volume,Change
2015-07-06,22.0,22.0,23.24,21.65,776050.0,-0.0325
2015-07-07,22.0,21.79,22.51,21.58,583050.0,0.0
2015-07-08,21.47,22.65,22.65,21.0,295360.0,-0.0241
2015-07-09,21.25,21.58,22.08,21.04,255060.0,-0.0102
2015-07-10,21.75,21.78,21.9,21.17,193700.0,0.0235
2015-07-13,21.09,21.94,21.95,21.05,413110.0,-0.030299999999999997
2015-07-14,20.68,20.95,21.14,20.01,605860.0,-0.0194
2015-07-15,20.53,20.5,20.68,20.04,348890.0,-0.0073
2015-07-16,21.88,20.53,22.1,20.11,713480.0,0.0658
2015-07-17,20.88,22.1,22.14,20.6,280970.0,-0.045700000000000005
2015-07-20,21.43,21.08,22.4,20.86,338910.0,0.0263
2015-07-21,20.6,21.2,21.37,20.31,254200.0,-0.0387
2015-07-22,20.77,20.18,20.98,20.14,187580.0,0.0083
2015-07-23,20.42,20.74,21.21,20.29,98220.0,-0.0169
2015-07-24,19.22,20.66,20.75,19.0,514250.0,-0.0588
2015-07-27,18.0,18.77,18.88,17.61,933040.0,-0.0635
2015-07-28,18.04,18.0,18.14,17.8,430520.0,0.0022
2015-07-29,18.21,18.0,18.64,18.0,567710.0,0.009399999999999999
2015-07-30,18.13,18.0,18.79,18.0,247760.0,-0.0044
2015-07-31,18.09,18.08,18.48,18.0,250840.0,-0.0022
2015-08-03,16.86,17.91,17.92,15.83,491130.0,-0.068
2015-08-04,17.2,17.06,17.58,16.6,154980.0,0.0202
2015-08-05,17.49,17.25,17.65,16.47,119380.0,0.0169
2015-08-06,17.83,17.5,18.54,17.5,258620.0,0.0194
2015-08-07,17.06,17.94,18.15,16.78,112220.0,-0.0432
2015-08-10,17.16,17.18,17.38,16.31,134200.0,0.0059
2015-08-11,16.67,17.03,17.03,16.45,58800.0,-0.0286
2015-08-12,16.35,16.52,16.55,15.8,171900.0,-0.0192
2015-08-13,15.56,15.99,15.99,14.17,912660.0,-0.0483
2015-08-14,15.76,16.06,17.77,15.63,678590.0,0.0129
2015-08-17,15.23,15.58,17.44,15.0,156530.0,-0.0336
2015-08-18,15.58,15.19,15.86,14.66,150450.0,0.023
2015-08-19,14.72,15.45,15.45,14.36,123710.0,-0.0552
2015-08-20,14.34,14.63,14.89,14.13,220950.0,-0.0258
2015-08-21,14.22,14.02,14.48,13.49,383990.0,-0.0084
2015-08-24,14.27,13.65,14.79,13.47,173940.0,0.0034999999999999996
2015-08-25,14.35,14.68,14.79,13.93,106140.0,0.005600000000000001
2015-08-26,15.16,14.8,15.17,14.35,151770.0,0.0564
2015-08-27,15.34,15.33,15.89,14.7,223300.0,0.011899999999999999
2015-08-28,15.99,15.33,16.25,15.33,166350.0,0.0424
2015-08-31,15.82,15.98,16.29,15.51,74530.0,-0.0106
2015-09-01,15.76,15.59,15.98,15.46,148430.0,-0.0038
2015-09-02,15.31,15.85,16.13,15.0,214910.0,-0.0286
2015-09-03,15.3,15.4,15.76,15.29,93030.0,-0.0007000000000000001
2015-09-04,15.26,15.14,15.62,15.05,98710.0,-0.0026
2015-09-08,15.85,15.44,16.09,15.39,169060.0,0.0387
2015-09-09,15.72,15.98,16.21,15.59,54980.0,-0.008199999999999999
2015-09-10,15.95,15.69,16.09,15.47,66000.0,0.0146
2015-09-11,16.26,15.87,16.27,15.82,185160.0,0.0194
2015-09-14,16.01,16.23,16.44,15.84,103650.0,-0.0154
2015-09-15,16.52,16.01,16.61,15.77,98420.0,0.0319
2015-09-16,15.77,16.58,16.79,15.4,212040.0,-0.0454
2015-09-17,15.8,15.96,16.14,15.59,157920.0,0.0019
2015-09-18,15.13,15.66,16.21,15.03,847730.0,-0.0424
2015-09-21,14.44,15.31,15.47,14.09,239980.0,-0.045599999999999995
2015-09-22,13.15,14.37,14.59,13.09,342420.0,-0.08929999999999999
2015-09-23,12.94,13.21,13.86,12.77,299940.0,-0.016
2015-09-24,13.82,12.93,13.95,12.79,182490.0,0.068
2015-09-25,12.94,13.9,14.0,12.61,164880.0,-0.0637
2015-09-28,12.21,13.19,13.35,11.73,406910.0,-0.0564
2015-09-29,11.1,12.21,13.24,10.9,382480.0,-0.0909
2015-09-30,10.85,11.26,12.64,10.25,1690000.0,-0.0225
2015-10-01,10.36,10.9,11.22,9.96,293880.0,-0.0452
2015-10-02,9.74,10.26,10.26,9.62,481170.0,-0.059800000000000006
2015-10-05,9.44,9.87,9.87,9.17,627770.0,-0.0308
2015-10-06,9.33,9.4,10.16,9.16,243870.0,-0.011699999999999999
2015-10-07,9.24,9.44,9.6,9.07,538510.0,-0.0096
2015-10-08,9.4,9.25,9.43,8.97,324520.0,0.0173
2015-10-09,9.48,9.4,9.93,9.27,322050.0,0.0085
2015-10-12,9.2,9.47,10.55,8.93,466120.0,-0.029500000000000002
2015-10-13,9.14,9.25,9.37,9.0,220620.0,-0.006500000000000001
2015-10-14,8.92,9.15,9.38,8.92,209220.0,-0.0241
2015-10-15,9.18,8.95,9.29,8.81,124040.0,0.0291
2015-10-16,8.6,9.21,9.32,8.53,214180.0,-0.0632
2015-10-19,8.54,8.62,8.88,8.26,76080.0,-0.006999999999999999
2015-10-20,8.25,8.49,8.49,8.01,81100.0,-0.034
2015-10-21,8.06,8.26,8.29,7.83,115150.0,-0.023
2015-10-22,8.05,8.08,8.21,7.9,138340.0,-0.0012
2015-10-23,8.55,8.25,9.0,7.74,312930.0,0.0621
2015-10-26,8.5,8.5,8.75,8.27,110200.0,-0.0058
2015-10-27,8.63,8.49,8.66,8.3,123550.0,0.015300000000000001
2015-10-28,8.99,8.63,8.99,8.46,118310.0,0.0417
2015-10-29,8.76,8.96,9.15,8.66,131000.0,-0.0256
2015-10-30,8.25,8.8,8.8,8.03,164440.0,-0.0582
