Date,Close,Open,High,Low,Volume,Change
1995-12-12,17.88,18.0,18.25,17.0,964100.0,-0.0067
1995-12-13,17.5,18.0,18.0,17.5,327700.0,-0.0213
1995-12-14,17.5,17.5,18.0,17.0,295900.0,0.0
1995-12-15,17.0,17.25,17.25,16.25,213400.0,-0.0286
1995-12-18,14.5,16.5,16.5,13.75,446800.0,-0.1471
1995-12-19,17.25,14.5,18.25,13.75,233200.0,0.18969999999999998
1995-12-20,17.38,17.25,18.0,17.25,303700.0,0.0075
1995-12-21,18.25,18.0,18.25,17.25,121400.0,0.0501
1995-12-22,18.25,18.25,18.25,17.25,102800.0,0.0
1995-12-26,18.25,18.25,19.0,17.75,102200.0,0.0
1995-12-27,20.5,18.5,20.75,18.5,207900.0,0.1233
1995-12-28,19.75,20.5,21.0,19.75,80700.0,-0.0366
1995-12-29,22.25,20.12,23.0,19.5,99200.0,0.1266
1996-01-02,20.5,21.75,22.25,20.5,50900.0,-0.0787
1996-01-03,20.25,21.0,21.0,20.25,130500.0,-0.012199999999999999
1996-01-04,18.75,21.0,21.0,18.75,11100.0,-0.0741
1996-01-05,18.75,18.5,18.88,18.0,195600.0,0.0
1996-01-08,18.75,18.0,18.75,18.0,71500.0,0.0
1996-01-09,17.0,18.75,18.75,17.0,66500.0,-0.0933
1996-01-10,16.25,17.25,17.25,15.5,310900.0,-0.0441
1996-01-11,17.25,16.5,17.25,16.5,102500.0,0.061500000000000006
1996-01-12,16.75,17.25,17.25,16.5,71800.0,-0.028999999999999998
1996-01-15,15.75,17.0,17.0,15.75,134800.0,-0.059699999999999996
1996-01-16,15.0,16.25,16.25,15.0,110400.0,-0.047599999999999996
1996-01-17,15.5,15.5,16.0,15.0,33400.0,0.0333
1996-01-18,15.0,15.75,15.75,14.25,52400.0,-0.0323
1996-01-19,14.25,15.0,15.25,14.25,73200.0,-0.05
1996-01-22,14.25,14.25,15.25,14.25,56300.0,0.0
1996-01-23,14.75,14.5,14.75,13.5,101100.0,0.0351
1996-01-24,17.0,15.25,17.25,14.88,232100.0,0.1525
1996-01-25,16.75,17.25,17.25,16.5,193600.0,-0.0147
1996-01-26,18.25,17.5,18.5,17.0,199300.0,0.08960000000000001
1996-01-29,20.75,18.5,21.75,18.5,311400.0,0.13699999999999998
1996-01-30,22.0,21.0,23.0,20.75,438000.0,0.0602
1996-01-31,22.0,20.25,22.5,18.0,194100.0,0.0
1996-02-01,17.75,18.5,18.75,17.75,446600.0,-0.1932
1996-02-02,19.75,19.5,20.25,19.0,201400.0,0.1127
1996-02-05,19.25,19.75,19.75,16.75,284800.0,-0.0253
1996-02-06,19.0,19.75,19.75,18.25,60500.0,-0.013000000000000001
1996-02-07,18.0,18.75,18.75,18.0,138100.0,-0.0526
1996-02-08,17.25,17.75,18.5,16.75,235500.0,-0.0417
1996-02-09,16.75,17.75,17.88,15.38,224200.0,-0.028999999999999998
1996-02-12,16.25,16.75,16.75,15.5,165500.0,-0.029900000000000003
1996-02-13,16.75,16.25,16.75,15.5,98500.0,0.0308
1996-02-14,16.0,16.75,16.75,15.5,42300.0,-0.044800000000000006
1996-02-15,15.88,16.5,16.5,15.0,108000.0,-0.0075
1996-02-16,15.0,15.5,15.5,14.38,267300.0,-0.0554
1996-02-20,15.0,14.75,15.5,14.25,275700.0,0.0
1996-02-21,15.62,15.25,16.0,14.75,104500.0,0.041299999999999996
1996-02-22,17.0,16.0,18.75,15.25,320200.0,0.0883
1996-02-23,17.5,17.0,18.0,16.88,151800.0,0.0294
1996-02-26,17.75,18.5,19.25,17.5,84900.0,0.0143
1996-02-27,17.25,17.75,19.75,16.5,432400.0,-0.0282
1996-02-28,17.0,17.25,17.25,16.5,105200.0,-0.014499999999999999
1996-02-29,17.0,17.0,17.0,16.25,126200.0,0.0
1996-03-01,16.5,17.0,17.0,16.5,96000.0,-0.0294
1996-03-04,14.75,16.5,17.0,14.5,554900.0,-0.1061
1996-03-05,16.25,14.75,16.25,14.25,658500.0,0.1017
1996-03-06,14.5,16.0,16.0,14.0,328400.0,-0.10769999999999999
1996-03-07,14.25,14.75,14.75,14.0,219700.0,-0.0172
1996-03-08,15.0,14.12,15.75,13.12,185100.0,0.0526
1996-03-11,16.0,14.0,16.5,14.0,90800.0,0.0667
1996-03-12,15.5,16.0,16.0,15.0,89700.0,-0.0313
1996-03-13,15.75,15.25,16.0,14.25,98200.0,0.0161
1996-03-14,15.0,15.5,15.75,14.75,43300.0,-0.047599999999999996
1996-03-15,16.0,15.5,16.5,15.12,131900.0,0.0667
1996-03-18,15.5,16.0,16.0,15.25,74700.0,-0.0313
1996-03-19,15.62,15.38,16.12,15.38,40200.0,0.0077
1996-03-20,15.62,16.0,16.12,15.38,55800.0,0.0
1996-03-21,14.75,15.5,15.75,14.5,83700.0,-0.0557
1996-03-22,14.5,14.75,15.0,14.38,178000.0,-0.0169
1996-03-25,14.75,15.5,15.5,13.75,614200.0,0.0172
1996-03-26,14.5,14.5,15.0,14.0,89600.0,-0.0169
1996-03-27,14.5,14.5,14.5,14.25,41500.0,0.0
1996-03-28,15.38,14.5,15.75,14.0,166100.0,0.060700000000000004
1996-03-29,15.0,15.5,16.0,14.75,97700.0,-0.024700000000000003
1996-04-01,14.12,15.25,15.25,14.0,194300.0,-0.0587
1996-04-02,15.0,14.75,15.25,14.62,102600.0,0.0623
1996-04-03,14.81,15.25,15.25,14.38,101800.0,-0.0127
1996-04-04,14.75,15.0,15.0,14.38,46200.0,-0.0040999999999999995
1996-04-08,14.0,14.25,14.5,13.75,93200.0,-0.0508
1996-04-09,11.75,14.0,14.5,9.75,216600.0,-0.1607
1996-04-10,10.5,12.75,12.75,10.25,368000.0,-0.10640000000000001
1996-04-11,12.0,11.5,12.5,10.75,241800.0,0.1429
1996-04-12,12.0,12.0,12.5,11.5,132800.0,0.0
1996-04-15,11.5,12.5,12.5,11.25,91900.0,-0.0417
1996-04-16,12.0,12.25,12.25,11.0,146300.0,0.0435
1996-04-17,11.25,12.0,12.0,11.25,93900.0,-0.0625
1996-04-18,10.75,11.0,11.5,9.75,314400.0,-0.0444
1996-04-19,11.0,10.5,11.5,10.5,347300.0,0.0233
1996-04-22,11.25,11.5,11.5,10.75,93800.0,0.0227
1996-04-23,11.12,11.25,11.25,10.75,108400.0,-0.0116
1996-04-24,11.5,10.77,11.5,10.75,255200.0,0.0342
1996-04-25,13.25,11.5,14.25,11.5,310500.0,0.1522
1996-04-26,14.0,15.0,15.25,13.5,197600.0,0.056600000000000004
1996-04-29,14.25,14.0,14.5,13.5,82300.0,0.0179
1996-04-30,15.0,14.25,15.0,13.75,206900.0,0.0526
1996-05-01,10.75,10.25,12.0,9.75,1030000.0,-0.2833
1996-05-02,10.75,11.5,12.25,10.25,525500.0,0.0
1996-05-03,13.0,11.0,13.0,10.5,919600.0,0.20929999999999999
1996-05-06,13.0,12.75,13.25,12.5,416000.0,0.0
1996-05-07,12.94,13.25,13.25,12.62,377500.0,-0.0046
1996-05-08,13.12,12.88,13.12,12.88,277700.0,0.0139
1996-05-09,13.0,13.25,13.62,12.0,267900.0,-0.0091
1996-05-10,13.0,13.12,13.5,12.88,123900.0,0.0
1996-05-13,13.5,13.0,13.5,12.5,149200.0,0.0385
