Date,Close,Open,High,Low,Volume,Change
2000-04-12,18.5,21.62,21.69,18.0,783800.0,-0.1568
2000-04-13,18.0,18.75,19.75,17.95,143400.0,-0.027000000000000003
2000-04-14,18.02,18.0,18.25,17.88,226700.0,0.0011
2000-04-17,18.0,18.31,18.31,17.95,58300.0,-0.0011
2000-04-18,18.0,18.0,18.25,17.95,104000.0,0.0
2000-04-19,18.0,18.12,18.12,17.95,78000.0,0.0
2000-04-20,15.0,18.0,18.11,14.5,35400.0,-0.16670000000000001
2000-04-24,14.62,14.58,15.75,14.38,29900.0,-0.0253
2000-04-25,13.0,16.0,16.0,11.0,155900.0,-0.1108
2000-04-26,13.31,13.19,13.75,12.88,130800.00000000001,0.023799999999999998
2000-04-27,14.12,13.25,14.5,13.25,177200.0,0.060899999999999996
2000-04-28,14.38,14.38,14.5,14.06,94300.0,0.0184
2000-05-01,16.75,15.0,17.38,15.0,99700.0,0.1648
2000-05-02,17.88,16.31,18.5,16.31,155100.0,0.0675
2000-05-03,18.25,18.0,19.0,17.38,105000.0,0.0207
2000-05-04,19.25,17.88,19.38,17.69,29200.0,0.0548
2000-05-05,18.62,18.5,20.11,18.25,45000.0,-0.0327
2000-05-08,17.31,18.5,18.62,17.31,27200.0,-0.0704
2000-05-09,17.5,17.5,17.62,17.5,121200.0,0.011000000000000001
2000-05-10,16.38,17.25,17.25,14.62,86200.0,-0.064
2000-05-11,15.94,16.25,16.44,15.0,75400.0,-0.0269
2000-05-12,16.38,15.62,16.62,15.62,13900.0,0.0276
2000-05-15,15.75,16.5,16.5,15.75,31900.0,-0.0385
2000-05-16,14.62,16.0,16.0,14.52,34400.0,-0.0717
2000-05-17,13.5,14.5,14.62,13.5,60500.0,-0.0766
2000-05-18,12.5,12.75,13.0,12.12,140100.0,-0.0741
2000-05-19,12.0,12.12,12.38,11.75,16200.0,-0.04
2000-05-22,10.75,12.09,12.12,10.62,157400.0,-0.1042
2000-05-23,10.88,11.69,11.81,10.88,26800.0,0.0121
2000-05-24,9.75,11.25,11.38,9.62,116100.0,-0.1039
2000-05-25,10.75,10.5,11.25,9.88,85300.0,0.1026
2000-05-26,10.56,10.97,11.38,10.56,7200.0,-0.0177
2000-05-30,10.75,10.88,10.88,10.56,61500.0,0.018000000000000002
2000-05-31,10.5,10.72,10.88,9.88,91300.0,-0.0233
2000-06-01,9.88,10.0,10.0,9.0,350300.0,-0.059000000000000004
2000-06-02,10.64,10.25,11.25,10.25,6200.0,0.07690000000000001
2000-06-05,10.88,11.0,11.12,10.75,14700.0,0.0226
2000-06-06,10.75,10.88,10.88,10.38,112000.0,-0.011899999999999999
2000-06-07,11.5,10.88,11.5,10.38,137700.0,0.0698
2000-06-08,12.0,11.88,13.0,11.81,212100.0,0.0435
2000-06-09,12.0,12.5,12.5,11.88,85000.0,0.0
2000-06-12,13.0,12.25,13.12,11.88,72400.0,0.0833
2000-06-13,13.38,13.19,13.62,13.12,67600.0,0.0292
2000-06-14,15.0,13.56,15.62,13.56,178800.0,0.1211
2000-06-15,14.62,15.0,15.25,13.88,36800.0,-0.0253
2000-06-16,14.88,14.97,15.12,14.88,13200.0,0.0178
2000-06-19,14.88,14.94,15.38,14.88,6900.0,0.0
2000-06-20,14.88,14.88,14.88,14.88,4100.0,0.0
2000-06-21,14.25,15.06,15.06,13.88,55100.0,-0.042300000000000004
2000-06-22,14.0,14.12,14.25,14.0,24200.0,-0.0175
2000-06-23,13.62,14.0,14.12,13.25,38400.0,-0.0271
2000-06-26,16.0,13.75,16.5,13.38,148500.0,0.1747
2000-06-27,14.0,15.66,16.0,14.0,20900.0,-0.125
2000-06-28,14.69,14.0,15.31,14.0,48600.0,0.0493
2000-06-29,15.25,14.5,15.75,13.62,76400.0,0.0381
2000-06-30,16.06,15.0,16.5,15.0,33700.0,0.053099999999999994
2000-07-03,15.75,16.25,16.25,15.75,6000.0,-0.019299999999999998
2000-07-05,15.62,16.12,16.12,14.88,49300.0,-0.0083
2000-07-06,15.0,15.62,15.88,15.0,33000.0,-0.0397
2000-07-07,15.75,15.88,15.88,15.5,30800.0,0.05
2000-07-10,17.0,15.5,17.38,15.5,51100.0,0.0794
2000-07-11,17.5,16.88,18.0,16.88,23100.0,0.0294
2000-07-12,18.81,17.88,19.5,17.88,76700.0,0.07490000000000001
2000-07-13,19.0,18.66,19.75,18.5,24600.0,0.0101
2000-07-14,19.0,19.22,19.25,18.5,3600.0,0.0
2000-07-17,18.5,19.06,19.06,18.38,25000.0,-0.0263
2000-07-18,16.62,18.0,18.25,15.88,47900.0,-0.1016
2000-07-19,16.62,16.75,16.88,16.12,25500.0,0.0
2000-07-20,15.94,16.88,16.88,15.94,9800.0,-0.0409
2000-07-21,16.19,15.94,16.25,15.94,16000.0,0.015700000000000002
2000-07-24,15.38,16.38,16.38,15.38,19300.0,-0.05
2000-07-25,15.88,16.0,16.0,15.44,4600.0,0.0325
2000-07-26,14.25,16.12,16.12,14.0,35100.0,-0.1026
2000-07-27,14.88,15.12,15.12,14.5,15200.0,0.044199999999999996
2000-07-28,15.0,14.56,15.0,14.5,11000.0,0.008100000000000001
2000-07-31,15.38,15.25,15.38,14.81,14600.0,0.0253
2000-08-01,15.5,15.5,15.56,15.38,5400.0,0.0078000000000000005
2000-08-02,15.5,15.5,15.56,15.38,18900.0,0.0
2000-08-03,14.62,14.88,15.0,14.62,1900.0,-0.056799999999999996
2000-08-04,14.38,14.88,15.38,14.38,13400.0,-0.016399999999999998
2000-08-07,15.0,15.12,15.12,14.38,4600.0,0.0431
2000-08-08,14.5,14.5,14.5,14.5,3200.0,-0.0333
2000-08-09,14.5,14.88,14.88,14.5,19900.0,0.0
2000-08-10,14.62,15.0,15.0,14.12,5700.0,0.0083
2000-08-11,14.81,14.88,14.88,14.28,2200.0,0.013000000000000001
2000-08-14,13.12,14.88,14.88,13.12,18000.0,-0.11410000000000001
2000-08-15,13.31,13.75,13.75,13.31,5500.0,0.014499999999999999
2000-08-16,13.31,14.0,14.0,13.31,12300.0,0.0
2000-08-17,13.5,13.12,13.5,13.12,2900.0,0.0143
2000-08-18,13.88,13.75,14.0,13.5,7500.0,0.0281
2000-08-21,13.88,13.75,14.0,13.75,9000.0,0.0
2000-08-22,13.62,13.88,14.0,13.62,29900.0,-0.0187
2000-08-23,13.88,13.94,13.94,13.38,30100.0,0.0191
2000-08-24,13.12,13.12,13.88,13.0,50000.0,-0.0548
2000-08-25,12.62,13.38,13.5,12.62,10000.0,-0.0381
2000-08-28,13.17,12.5,13.17,12.5,5800.0,0.0436
2000-08-29,13.75,13.25,13.75,12.88,27000.0,0.044000000000000004
2000-08-30,14.0,13.84,14.0,13.69,10000.0,0.0182
2000-08-31,13.88,14.0,14.0,13.5,2800.0,-0.0086
2000-09-01,13.5,13.62,13.64,13.5,2900.0,-0.0274
2000-09-05,13.44,14.0,14.0,13.12,51200.0,-0.0044
2000-09-06,13.62,13.5,13.62,13.5,7700.0,0.0134
2000-09-07,13.31,13.5,13.62,13.12,28300.0,-0.022799999999999997
2000-09-08,12.12,13.31,13.31,11.88,25800.0,-0.0894
2000-09-11,11.75,11.75,12.0,11.19,31500.0,-0.0305
2000-09-12,11.94,11.5,12.06,11.5,42100.0,0.016200000000000003
2000-09-13,11.5,12.0,12.38,11.38,40900.0,-0.0369
2000-09-14,11.75,11.5,12.0,11.5,24400.0,0.0217
2000-09-15,12.38,12.12,12.38,12.12,3800.0,0.0536
2000-09-18,12.12,12.38,12.38,12.12,13100.0,-0.021
2000-09-19,11.38,12.0,12.0,10.62,37300.0,-0.0611
2000-09-20,11.38,11.5,11.5,11.31,8600.0,0.0
2000-09-21,11.5,11.25,11.5,11.25,3500.0,0.0105
2000-09-22,11.0,10.75,11.0,10.56,14600.0,-0.0435
2000-09-25,10.0,11.38,11.38,10.0,87900.0,-0.0909
2000-09-26,10.0,10.12,10.12,9.94,86900.0,0.0
2000-09-27,10.12,10.0,10.62,10.0,27900.0,0.012
2000-09-28,10.06,10.0,10.5,10.0,93700.0,-0.0059
2000-09-29,10.0,10.25,10.25,9.95,3300.0,-0.006
2000-10-02,9.0,10.0,10.0,9.0,129500.0,-0.1
2000-10-03,8.5,9.06,9.12,8.38,145200.0,-0.0556
2000-10-04,7.5,8.38,8.5,7.0,41000.0,-0.1176
2000-10-05,7.75,7.75,7.88,7.5,145300.0,0.0333
2000-10-06,7.56,7.88,8.0,7.56,30700.0,-0.0245
2000-10-09,7.31,7.69,7.75,7.12,19700.0,-0.0331
2000-10-10,7.0,7.41,7.44,6.88,66700.0,-0.0424
2000-10-11,7.25,7.12,7.31,6.81,172300.0,0.035699999999999996
2000-10-12,7.94,7.5,7.94,7.38,114900.0,0.09519999999999999
2000-10-13,10.62,8.0,10.75,7.94,39500.0,0.3375
2000-10-16,11.75,11.31,11.81,11.31,71700.0,0.10640000000000001
