Date,Close,Open,High,Low,Volume,Change
2010-08-09,14.0,14.0,14.0,13.7,1820000.0,0.0
2010-08-10,13.6,13.77,13.84,13.58,1580000.0,-0.0286
2010-08-11,12.75,13.25,13.38,12.45,2590000.0,-0.0625
2010-08-12,12.39,12.26,12.51,12.1,1780000.0,-0.0282
2010-08-13,12.0,12.25,12.53,11.85,957570.0,-0.0315
2010-08-16,11.78,11.79,12.23,11.69,551620.0,-0.0183
2010-08-17,12.22,11.86,12.3,11.75,1090000.0,0.0374
2010-08-18,12.0,12.08,12.6,12.0,1010000.0,-0.018000000000000002
2010-08-19,11.55,11.95,12.1,11.31,745980.0,-0.0375
2010-08-20,11.15,11.45,11.5,11.03,450650.0,-0.0346
2010-08-23,10.98,11.28,11.5,10.46,761810.0,-0.0152
2010-08-24,10.68,10.76,11.3,10.5,746730.0,-0.0273
2010-08-25,10.75,10.5,11.13,10.23,1110000.0,0.0066
2010-08-26,11.0,10.94,11.15,10.8,581370.0,0.0233
2010-08-27,11.11,11.15,11.49,10.99,370890.0,0.01
2010-08-30,11.1,11.01,11.27,11.01,226860.0,-0.0009
2010-08-31,11.07,11.01,11.23,10.87,236020.0,-0.0027
2010-09-01,11.73,11.08,11.95,10.76,412770.0,0.0596
2010-09-02,11.87,11.08,11.91,11.08,98500.0,0.011899999999999999
2010-09-03,11.89,11.9,12.32,11.58,231400.0,0.0017000000000000001
2010-09-07,12.03,12.0,12.36,11.78,468400.0,0.0118
2010-09-08,12.16,11.49,12.18,11.42,1480000.0,0.0108
2010-09-09,11.9,12.21,12.62,11.51,235610.0,-0.021400000000000002
2010-09-10,11.98,11.98,12.12,11.81,362920.0,0.0067
2010-09-13,11.94,12.09,12.24,11.84,303900.0,-0.0033
2010-09-14,12.24,11.85,12.25,11.85,250640.0,0.025099999999999997
2010-09-15,12.47,12.52,12.92,12.35,561120.0,0.018799999999999997
2010-09-16,12.02,12.46,12.64,12.01,323290.0,-0.0361
2010-09-17,12.08,12.01,12.25,11.82,252300.0,0.005
2010-09-20,12.69,12.21,12.97,12.1,404110.0,0.050499999999999996
2010-09-21,12.51,12.61,12.85,12.36,178760.0,-0.014199999999999999
2010-09-22,12.18,12.4,12.6,12.01,184630.0,-0.0264
2010-09-23,12.0,12.0,12.49,11.89,320790.0,-0.0148
2010-09-24,12.22,12.1,12.37,11.82,146950.0,0.0183
2010-09-27,12.25,12.17,12.39,12.02,186600.0,0.0025
2010-09-28,12.61,12.21,12.62,12.11,168760.0,0.0294
2010-09-29,12.55,12.63,12.88,12.49,238480.0,-0.0048
2010-09-30,12.39,12.62,12.95,12.26,196790.0,-0.0127
2010-10-01,12.36,12.47,12.77,12.26,170470.0,-0.0024
2010-10-04,12.35,12.38,12.71,12.25,140720.0,-0.0008
2010-10-05,12.35,12.43,12.69,12.22,256860.0,0.0
2010-10-06,12.47,12.32,12.49,12.13,90380.0,0.0097
2010-10-07,11.85,12.5,12.5,11.61,252790.0,-0.049699999999999994
2010-10-08,11.98,11.8,12.11,11.72,251880.0,0.011000000000000001
2010-10-11,12.05,11.95,12.15,11.91,63690.0,0.0058
2010-10-12,12.3,12.01,12.3,11.91,59600.0,0.0207
2010-10-13,12.07,12.31,12.33,12.02,222010.0,-0.0187
2010-10-14,12.15,12.07,12.23,12.0,223690.0,0.0066
2010-10-15,11.94,12.35,12.35,11.86,396200.0,-0.0173
2010-10-18,12.24,11.96,12.29,11.65,53550.0,0.025099999999999997
2010-10-19,12.11,12.06,12.25,12.01,130100.0,-0.0106
2010-10-20,12.2,12.17,12.45,11.52,124760.0,0.0074
2010-10-21,12.25,12.11,12.4,12.11,58770.0,0.0040999999999999995
2010-10-22,12.33,12.2,12.61,12.18,94230.0,0.006500000000000001
2010-10-25,12.37,12.2,12.59,12.2,128280.0,0.0032
2010-10-26,12.28,12.25,12.49,11.91,186150.0,-0.0073
2010-10-27,12.77,12.28,12.8,12.28,263760.0,0.039900000000000005
2010-10-28,13.19,12.82,13.35,12.6,409910.0,0.0329
2010-10-29,13.19,13.16,13.47,12.88,434610.0,0.0
2010-11-01,12.69,13.27,13.5,12.56,432060.0,-0.0379
2010-11-02,13.27,12.9,13.43,12.47,300890.0,0.045700000000000005
2010-11-03,13.64,13.21,13.8,13.11,359900.0,0.0279
2010-11-04,13.97,13.74,14.0,13.53,274630.0,0.0242
2010-11-05,13.97,13.9,14.0,13.64,175560.0,0.0
2010-11-08,13.77,14.0,14.0,13.61,179930.0,-0.0143
2010-11-09,13.63,13.72,13.95,13.2,269770.0,-0.0102
2010-11-10,13.32,13.6,13.73,13.05,172290.0,-0.0227
2010-11-11,12.86,13.2,13.2,12.58,317160.0,-0.0345
2010-11-12,12.82,12.69,13.08,12.64,115650.0,-0.0031
2010-11-15,12.98,12.9,13.14,12.78,51780.0,0.0125
2010-11-16,12.84,12.73,13.27,12.63,206460.0,-0.0108
2010-11-17,12.8,12.8,12.9,12.76,67600.0,-0.0031
2010-11-18,12.9,13.0,13.0,12.61,118710.0,0.0078000000000000005
2010-11-19,12.9,12.89,12.9,12.7,74320.0,0.0
2010-11-22,12.99,12.85,13.32,12.84,117650.0,0.006999999999999999
2010-11-23,12.8,12.8,12.9,12.7,440000.0,-0.0146
2010-11-24,12.66,12.88,12.93,12.5,250050.0,-0.0109
2010-11-26,12.83,12.56,12.93,12.56,348520.0,0.0134
2010-11-29,12.73,12.81,13.11,12.6,270140.0,-0.0078000000000000005
2010-11-30,12.58,12.6,12.84,12.31,288710.0,-0.0118
2010-12-01,13.26,12.74,13.46,12.6,682120.0,0.0541
2010-12-02,13.98,13.35,14.0,13.16,273840.0,0.054299999999999994
2010-12-03,16.14,13.98,17.28,13.78,948590.0,0.1545
2010-12-06,15.94,16.0,16.39,15.41,489270.0,-0.0124
2010-12-07,16.37,16.0,16.43,15.73,600820.0,0.027000000000000003
2010-12-08,18.44,16.8,18.8,16.8,1370000.0,0.1265
2010-12-09,19.13,18.78,20.43,18.78,1190000.0,0.0374
2010-12-10,19.95,19.2,20.2,18.41,457840.0,0.0429
2010-12-13,18.86,20.0,20.0,18.55,432760.0,-0.0546
2010-12-14,18.73,18.9,19.38,18.28,689870.0,-0.0069
2010-12-15,18.33,18.7,19.0,18.09,437000.0,-0.021400000000000002
2010-12-16,18.44,18.42,18.67,18.19,447760.0,0.006
2010-12-17,18.11,18.51,18.68,18.0,371070.0,-0.0179
2010-12-20,18.6,18.16,19.3,18.05,446690.0,0.0271
2010-12-21,19.25,18.86,20.0,18.6,584080.0,0.0349
2010-12-22,20.25,19.71,21.57,19.71,1490000.0,0.0519
2010-12-23,20.09,20.2,20.2,19.58,466010.0,-0.0079
2010-12-27,20.2,20.0,20.28,19.7,98480.0,0.0055000000000000005
2010-12-28,20.29,20.46,20.81,20.0,137330.0,0.0045000000000000005
2010-12-29,20.71,20.62,20.71,20.41,139010.0,0.0207
2010-12-30,20.7,20.73,20.88,20.62,76790.0,-0.0005
2010-12-31,20.93,20.6,21.1,20.42,94390.0,0.0111
2011-01-03,21.43,21.2,21.52,20.64,256130.0,0.0239
2011-01-04,22.01,21.9,22.75,21.17,952110.0,0.0271
2011-01-05,23.38,21.87,23.6,21.68,846380.0,0.0622
2011-01-06,23.24,23.73,23.8,22.76,453080.0,-0.006
2011-01-07,22.92,23.33,23.33,22.68,300880.0,-0.0138
2011-01-10,23.42,22.75,23.61,22.7,254130.0,0.0218
2011-01-11,24.0,23.82,24.07,23.63,278230.0,0.0248
2011-01-12,23.6,24.5,24.58,23.28,303030.0,-0.0167
2011-01-13,23.33,23.86,23.86,22.99,250450.0,-0.011399999999999999
2011-01-14,23.39,23.33,23.43,22.85,183210.0,0.0026
2011-01-18,23.58,23.32,23.69,23.28,290530.0,0.008100000000000001
2011-01-19,22.96,23.6,23.79,22.52,416400.0,-0.0263
2011-01-20,21.67,22.75,22.75,21.49,745920.0,-0.0562
2011-01-21,21.97,22.15,22.93,21.64,678760.0,0.0138
2011-01-24,22.65,22.06,22.76,22.0,486860.0,0.031
2011-01-25,24.28,22.65,26.18,22.65,1730000.0,0.07200000000000001
2011-01-26,25.99,24.71,26.46,24.0,1560000.0,0.0704
2011-01-27,26.08,26.36,26.84,25.5,719430.0,0.0034999999999999996
2011-01-28,24.57,26.0,26.05,24.25,1010000.0,-0.0579
2011-01-31,25.74,24.81,25.84,24.61,668390.0,0.047599999999999996
2011-02-01,27.23,26.48,27.37,25.82,875040.0,0.0579
2011-02-02,27.19,27.48,27.63,26.03,624690.0,-0.0015
2011-02-03,27.2,27.75,28.25,26.99,487270.0,0.0004
2011-02-04,27.35,27.54,27.58,27.1,182840.0,0.0055000000000000005
2011-02-07,26.31,26.93,27.1,26.15,1620000.0,-0.038
2011-02-08,26.38,26.42,26.64,26.12,707650.0,0.0027
2011-02-09,26.54,26.3,26.97,25.81,349550.0,0.0060999999999999995
2011-02-10,26.16,27.06,27.2,25.9,585450.0,-0.0143
2011-02-11,25.27,26.11,26.62,25.2,1320000.0,-0.034
2011-02-14,25.44,25.95,25.95,25.0,1660000.0,0.0067
2011-02-15,25.01,24.72,26.19,24.2,1820000.0,-0.0169
2011-02-16,26.93,25.47,27.8,25.41,3630000.0,0.0768
2011-02-17,27.31,27.3,27.65,26.7,1290000.0,0.0141
2011-02-18,29.3,27.62,30.74,27.41,2770000.0,0.0729
2011-02-22,29.45,28.88,31.78,28.3,2040000.0,0.0051
2011-02-23,28.41,29.9,30.09,27.81,1330000.0,-0.0353
2011-02-24,29.12,28.37,29.29,28.1,901800.0,0.025
2011-02-25,30.55,29.54,30.81,29.35,1150000.0,0.049100000000000005
