Date,Close,Open,High,Low,Volume,Change
2021-05-17,34.1,34.0,35.0,34.0,31470.0,0.0256
2021-05-18,37.5,34.48,38.42,34.48,48890.0,0.09970000000000001
2021-05-19,37.5,37.0,37.75,37.0,43940.0,0.0
2021-05-20,37.75,37.5,37.75,37.5,22920.0,0.0067
2021-05-21,37.6,38.5,38.5,37.5,18270.0,-0.004
2021-05-24,38.0,38.0,38.25,37.9,30560.0,0.0106
2021-05-25,36.95,38.75,38.75,36.9,35760.0,-0.0276
2021-05-26,36.83,38.0,38.0,36.0,44360.0,-0.0032
2021-05-27,35.5,37.0,37.0,35.5,40670.0,-0.0361
2021-05-28,35.75,36.0,37.11,35.75,60810.0,0.006999999999999999
2021-06-01,36.0,36.65,37.46,35.9,51990.0,0.006999999999999999
2021-06-02,35.26,36.5,36.74,34.5,1310000.0,-0.0206
2021-06-03,37.0,34.15,38.24,32.22,22330000.0,0.0493
2021-06-04,34.15,36.15,36.17,33.71,7500000.0,-0.077
2021-06-07,31.42,33.29,33.59,30.85,11510000.0,-0.0799
2021-06-08,28.91,30.33,30.91,28.53,18430000.0,-0.0799
2021-06-09,28.45,28.38,29.4,27.37,14560000.0,-0.0159
2021-06-10,30.33,28.47,31.12,28.4,11210000.0,0.0661
2021-06-11,29.65,30.38,30.38,29.4,5730000.0,-0.022400000000000003
2021-06-14,30.28,30.0,30.61,29.29,6970000.0,0.0212
2021-06-15,31.81,30.03,32.09,29.8,6340000.0,0.050499999999999996
2021-06-16,30.7,31.52,31.65,30.27,5280000.0,-0.0349
2021-06-17,31.46,30.49,31.73,30.1,5080000.0,0.0248
2021-06-18,29.98,31.5,31.71,29.96,10210000.0,-0.047
2021-06-21,29.41,30.2,30.67,29.36,3540000.0,-0.019
2021-06-22,29.53,29.25,29.87,28.84,4220000.0,0.0040999999999999995
2021-06-23,29.5,29.5,30.05,29.11,3880000.0,-0.001
2021-06-24,29.77,29.35,30.02,29.35,2770000.0,0.0092
2021-06-25,30.19,29.77,30.87,29.21,13580000.0,0.0141
2021-06-28,30.94,29.69,31.03,29.41,3090000.0,0.0248
2021-06-29,30.55,30.98,31.32,30.46,2260000.0,-0.0126
2021-06-30,30.26,30.4,30.82,30.25,2009999.9999999998,-0.0095
2021-07-01,30.82,30.19,31.21,30.1,2440000.0,0.018500000000000003
2021-07-02,30.86,30.71,31.12,30.3,1810000.0,0.0013
2021-07-06,31.0,30.6,31.1,29.9,2850000.0,0.0045000000000000005
2021-07-07,30.12,30.9,30.98,29.87,2940000.0,-0.028399999999999998
2021-07-08,29.65,29.56,30.16,29.26,1930000.0,-0.015600000000000001
2021-07-09,30.1,29.95,30.28,29.59,2350000.0,0.0152
2021-07-12,29.74,29.75,30.38,29.58,1860000.0,-0.012
2021-07-13,29.1,29.5,29.88,28.98,2049999.9999999998,-0.0215
2021-07-14,29.34,28.98,29.4,28.84,2000000.0,0.008199999999999999
2021-07-15,28.91,28.85,29.48,28.7,2110000.0,-0.0147
2021-07-16,28.87,28.77,29.0,28.42,1760000.0,-0.0014000000000000002
2021-07-19,29.14,28.63,29.17,28.54,2260000.0,0.009399999999999999
2021-07-20,29.61,29.21,29.78,29.21,1920000.0,0.0161
2021-07-21,30.46,29.79,30.49,29.57,2069999.9999999998,0.0287
2021-07-22,30.92,30.43,31.06,30.25,2220000.0,0.0151
2021-07-23,29.8,30.89,30.92,29.71,1620000.0,-0.0362
2021-07-26,29.66,29.71,30.21,29.18,1530000.0,-0.004699999999999999
2021-07-27,29.12,29.37,29.63,28.83,2009999.9999999998,-0.0182
2021-07-28,29.74,29.13,29.87,29.0,1850000.0,0.0213
2021-07-29,29.23,29.6,29.85,29.21,1780000.0,-0.0171
2021-07-30,29.01,29.06,29.4,28.91,1500000.0,-0.0075
2021-08-02,29.53,29.08,29.64,29.04,1760000.0,0.0179
2021-08-03,29.51,29.28,29.58,29.01,1390000.0,-0.0007000000000000001
2021-08-04,28.63,29.15,29.17,28.61,1850000.0,-0.0298
2021-08-05,29.56,28.64,29.58,28.5,2190000.0,0.0325
2021-08-06,29.5,29.49,29.78,29.17,1300000.0,-0.002
2021-08-09,29.1,29.78,30.0,28.92,1980000.0,-0.013600000000000001
2021-08-10,30.35,29.02,30.48,28.92,2980000.0,0.043
2021-08-11,29.93,30.35,30.4,29.72,1850000.0,-0.0138
2021-08-12,33.5,31.06,34.0,31.0,7820000.0,0.1193
2021-08-13,34.21,33.5,34.49,32.86,3440000.0,0.0212
2021-08-16,34.33,34.24,34.79,33.91,2730000.0,0.0034999999999999996
2021-08-17,35.38,34.74,35.82,34.44,4680000.0,0.030600000000000002
2021-08-18,33.59,35.88,36.49,33.54,4680000.0,-0.0506
2021-08-19,34.1,33.4,34.57,33.01,2490000.0,0.0152
2021-08-20,33.22,33.95,34.46,33.15,2350000.0,-0.0258
2021-08-23,33.24,33.55,33.79,32.86,2470000.0,0.0006
2021-08-24,33.16,33.35,33.82,32.96,2120000.0,-0.0024
2021-08-25,33.3,33.01,33.61,32.37,1930000.0,0.0042
2021-08-26,33.96,33.22,34.36,33.22,1610000.0,0.019799999999999998
2021-08-27,34.25,33.98,34.32,33.73,1170000.0,0.0085
2021-08-30,33.72,34.09,34.24,33.66,1060000.0,-0.0155
2021-08-31,33.89,33.54,34.1,33.42,1690000.0,0.005
2021-09-01,34.56,34.45,35.37,34.26,2740000.0,0.019799999999999998
2021-09-02,35.61,35.12,35.64,34.35,2550000.0,0.0304
2021-09-03,35.61,35.47,35.65,34.86,1470000.0,0.0
2021-09-07,35.64,35.28,35.75,34.87,2240000.0,0.0008
2021-09-08,34.97,35.53,35.53,34.75,2180000.0,-0.018799999999999997
2021-09-09,34.68,34.97,35.0,34.24,1570000.0,-0.0083
2021-09-10,33.88,34.91,35.0,33.87,1660000.0,-0.0231
2021-09-13,33.83,34.17,34.18,33.53,1950000.0,-0.0015
2021-09-14,33.42,33.75,33.88,33.25,1560000.0,-0.0121
2021-09-15,33.72,33.5,34.26,33.24,1950000.0,0.009000000000000001
2021-09-16,33.76,33.89,34.09,33.02,1280000.0,0.0012
2021-09-17,34.03,33.7,34.08,33.26,4340000.0,0.008
2021-09-20,32.94,33.24,33.7,32.77,1930000.0,-0.032
2021-09-21,32.89,33.19,33.39,32.75,1160000.0,-0.0015
