Date,Close,Open,High,Low,Volume,Change
2017-04-10,23.25,23.7,24.05,22.9,1590000.0,-0.0111
2017-04-11,23.3,23.15,23.64,23.0,633530.0,0.0022
2017-04-12,23.0,23.19,23.5,22.96,336700.0,-0.0129
2017-04-13,24.49,22.85,24.96,22.8,1520000.0,0.06480000000000001
2017-04-17,24.47,24.66,24.75,24.25,407740.0,-0.0008
2017-04-18,23.57,24.33,24.5,23.5,259550.0,-0.0368
2017-04-19,23.35,23.74,23.83,23.14,193840.0,-0.009300000000000001
2017-04-20,24.01,23.16,24.12,23.05,298130.0,0.028300000000000002
2017-04-21,24.29,23.78,24.55,23.65,304750.0,0.011699999999999999
2017-04-24,23.94,24.74,24.76,23.7,172400.0,-0.0144
2017-04-25,24.71,24.12,25.47,23.84,336850.0,0.0322
2017-04-26,25.52,25.0,25.85,24.97,232930.0,0.032799999999999996
2017-04-27,26.32,25.9,26.54,25.5,274330.0,0.0313
2017-04-28,26.05,26.74,26.9,25.81,187840.0,-0.0103
2017-05-01,25.52,26.5,26.8,25.31,373830.0,-0.0203
2017-05-02,24.76,25.55,26.0,24.11,387750.0,-0.0298
2017-05-03,24.98,24.4,25.19,24.37,209580.0,0.0089
2017-05-04,24.97,24.95,25.14,24.09,112760.0,-0.0004
2017-05-05,25.15,24.96,25.15,24.6,158360.0,0.0072
2017-05-08,23.73,25.0,25.0,23.58,247150.0,-0.0565
2017-05-09,23.86,23.63,24.3,23.27,302240.0,0.0055000000000000005
2017-05-10,23.45,23.85,24.16,23.4,203420.0,-0.0172
2017-05-11,23.34,23.36,23.82,22.89,207860.0,-0.004699999999999999
2017-05-12,23.7,23.36,23.88,23.32,211140.0,0.0154
2017-05-15,23.74,23.94,24.9,23.51,215190.0,0.0017000000000000001
2017-05-16,23.26,23.85,24.34,23.12,186440.0,-0.0202
2017-05-17,22.91,23.15,23.77,22.67,325350.0,-0.015
2017-05-18,22.99,22.98,23.27,22.85,250260.0,0.0034999999999999996
2017-05-19,24.24,23.08,24.3,23.01,302710.0,0.054400000000000004
2017-05-22,25.01,24.25,25.42,24.25,315230.0,0.0318
2017-05-23,24.52,25.05,25.45,24.4,363110.0,-0.0196
2017-05-24,24.24,24.71,25.0,24.2,253500.0,-0.011399999999999999
2017-05-25,25.06,24.29,26.49,24.28,583490.0,0.0338
2017-05-26,25.99,25.0,26.25,24.8,206940.0,0.0371
2017-05-30,25.99,26.11,26.8,25.56,216860.0,0.0
2017-05-31,26.1,26.3,26.37,25.64,222900.0,0.0042
2017-06-01,25.3,26.29,26.48,25.16,257779.99999999997,-0.030699999999999998
2017-06-02,24.93,25.28,25.44,24.36,309040.0,-0.0146
2017-06-05,24.61,25.06,25.27,24.53,238760.0,-0.0128
2017-06-06,24.85,24.5,25.45,24.5,451780.0,0.0098
2017-06-07,25.69,25.39,25.96,24.43,976930.0,0.0338
2017-06-08,27.15,27.6,28.1,26.01,2089999.9999999998,0.056799999999999996
2017-06-09,25.09,27.43,28.25,25.0,895960.0,-0.0759
2017-06-12,23.81,25.5,25.59,23.55,681610.0,-0.051
2017-06-13,25.53,24.0,26.17,24.0,749190.0,0.0722
2017-06-14,26.55,25.67,26.82,25.64,464890.0,0.04
2017-06-15,25.64,26.24,26.24,25.0,378110.0,-0.034300000000000004
2017-06-16,26.48,25.71,26.55,25.28,902540.0,0.032799999999999996
2017-06-19,27.31,26.67,27.35,26.6,355450.0,0.0313
2017-06-20,26.61,27.39,27.43,26.15,372090.0,-0.0256
2017-06-21,25.94,26.69,26.86,25.53,398970.0,-0.0252
2017-06-22,26.3,25.94,26.85,25.78,555840.0,0.0139
2017-06-23,25.53,26.28,26.67,25.03,2089999.9999999998,-0.029300000000000003
2017-06-26,25.28,25.59,25.99,25.15,436650.0,-0.0098
2017-06-27,24.04,25.1,25.31,24.0,685980.0,-0.049100000000000005
2017-06-28,23.99,24.2,24.55,23.82,531820.0,-0.0021
2017-06-29,23.29,23.89,24.05,22.9,680430.0,-0.0292
2017-06-30,22.8,23.14,23.38,22.8,460610.0,-0.021
2017-07-03,22.5,23.0,23.27,22.33,322130.0,-0.0132
2017-07-05,22.38,22.67,22.67,22.05,719380.0,-0.0053
2017-07-06,22.78,22.11,23.12,22.1,427860.0,0.0179
2017-07-07,23.4,22.82,24.12,22.75,826220.0,0.027200000000000002
2017-07-10,23.21,23.41,23.93,22.79,353160.0,-0.008100000000000001
2017-07-11,23.02,23.08,23.46,22.42,330850.0,-0.008199999999999999
2017-07-12,23.32,22.93,23.88,22.93,403530.0,0.013000000000000001
2017-07-13,23.19,23.24,23.31,22.85,431690.0,-0.005600000000000001
2017-07-14,23.14,23.07,23.3,22.91,167350.0,-0.0022
2017-07-17,23.76,22.99,23.78,22.99,190010.0,0.0268
2017-07-18,23.75,23.53,24.0,23.34,183310.0,-0.0004
2017-07-19,24.15,23.7,24.2,23.69,203850.0,0.0168
2017-07-20,24.03,24.12,24.14,23.58,135090.0,-0.005
2017-07-21,24.27,24.2,24.5,23.65,224970.0,0.01
2017-07-24,23.66,24.17,24.45,23.43,203980.0,-0.025099999999999997
2017-07-25,23.68,23.58,23.98,23.25,161950.0,0.0008
2017-07-26,23.52,23.88,23.95,23.44,120650.0,-0.0068000000000000005
2017-07-27,22.69,23.56,23.81,22.51,289670.0,-0.0353
2017-07-28,22.37,22.58,23.0,22.32,147870.0,-0.0141
2017-07-31,21.95,22.56,22.78,21.66,486110.0,-0.018799999999999997
2017-08-01,22.69,22.28,22.82,21.52,424900.0,0.0337
2017-08-02,22.19,22.72,22.9,21.8,593640.0,-0.022000000000000002
2017-08-03,22.82,22.06,23.2,22.06,156580.0,0.028399999999999998
2017-08-04,23.01,22.77,23.2,22.77,227300.0,0.0083
2017-08-07,23.44,22.93,23.54,22.72,290140.0,0.0187
2017-08-08,23.56,23.35,23.97,23.22,182290.0,0.0051
2017-08-09,23.67,23.4,23.84,23.24,110060.0,0.004699999999999999
2017-08-10,22.96,23.43,23.43,22.79,186160.0,-0.03
2017-08-11,23.78,22.91,23.8,22.77,267480.0,0.035699999999999996
2017-08-14,24.03,24.23,24.24,23.63,278670.0,0.0105
