Date,Close,Open,High,Low,Volume,Change
2001-08-08,8.9,9.0,10.99,8.53,869500.0,-0.0641
2001-08-09,8.76,8.71,9.21,8.71,77700.0,-0.015700000000000002
2001-08-10,8.46,8.9,8.9,8.15,158100.0,-0.0342
2001-08-13,8.4,8.54,8.54,8.36,21700.0,-0.0070999999999999995
2001-08-14,8.5,8.4,8.5,8.3,68400.0,0.011899999999999999
2001-08-15,8.3,8.49,8.49,8.21,46300.0,-0.0235
2001-08-16,8.45,8.35,8.45,8.15,49900.0,0.0181
2001-08-17,8.35,8.47,8.7,8.34,337000.0,-0.0118
2001-08-20,8.5,8.35,8.6,8.35,357900.0,0.018000000000000002
2001-08-21,8.2,8.48,8.48,8.16,100000.0,-0.0353
2001-08-22,8.3,8.25,8.36,8.15,511500.0,0.012199999999999999
2001-08-23,8.22,8.3,8.3,8.15,29900.0,-0.0096
2001-08-24,8.22,8.35,8.35,8.15,28600.0,0.0
2001-08-27,8.2,8.15,8.35,8.15,19400.0,-0.0024
2001-08-28,8.19,8.15,8.22,8.15,48300.0,-0.0012
2001-08-29,8.27,8.22,8.27,8.16,28700.0,0.0098
2001-08-30,8.53,8.27,8.53,7.92,185700.0,0.031400000000000004
2001-08-31,9.18,8.08,9.33,8.08,77300.0,0.0762
2001-09-04,8.57,9.1,9.1,8.3,335600.0,-0.0664
2001-09-05,9.19,8.4,9.81,8.35,136100.0,0.0723
2001-09-06,9.7,9.34,9.7,9.15,24600.0,0.0555
2001-09-07,9.67,9.45,10.4,9.15,119000.0,-0.0031
2001-09-10,9.64,9.9,9.9,9.45,155200.0,-0.0031
2001-09-17,9.22,9.56,9.85,8.95,345000.0,-0.0436
2001-09-18,8.5,9.5,9.5,7.65,14400.0,-0.0781
2001-09-19,8.15,8.25,8.6,8.05,137900.0,-0.0412
2001-09-20,6.88,8.15,8.15,6.75,77900.0,-0.1558
2001-09-21,5.6,7.0,7.0,5.42,288300.0,-0.18600000000000003
2001-09-24,5.95,5.65,6.15,5.6,521799.99999999994,0.0625
2001-09-25,6.19,6.19,6.4,6.05,45600.0,0.0403
2001-09-26,6.0,6.18,6.2,5.9,78000.0,-0.030699999999999998
2001-09-27,6.1,6.1,6.1,5.95,16200.0,0.0167
2001-09-28,7.5,6.2,7.55,6.2,40100.0,0.22949999999999998
2001-10-01,7.3,7.4,7.4,6.95,14600.0,-0.026699999999999998
2001-10-02,7.5,7.03,7.5,7.03,4800.0,0.0274
2001-10-03,7.7,7.49,7.82,7.35,162400.0,0.026699999999999998
2001-10-04,8.1,7.79,8.45,7.78,7800.0,0.0519
2001-10-05,8.1,7.82,8.3,7.8,122300.0,0.0
2001-10-08,8.25,8.3,8.3,8.04,800.0,0.018500000000000003
2001-10-09,9.04,8.25,9.05,8.25,38000.0,0.0958
2001-10-10,9.03,9.07,9.1,8.99,46500.0,-0.0011
2001-10-11,8.86,9.07,9.07,8.65,24900.0,-0.018799999999999997
2001-10-12,8.86,8.9,9.17,8.7,7400.0,0.0
2001-10-15,8.22,9.0,9.1,8.22,4400.0,-0.0722
2001-10-16,7.92,8.65,8.65,7.8,26100.0,-0.0365
2001-10-17,8.02,8.1,8.1,7.91,11100.0,0.0126
2001-10-18,8.0,8.1,8.15,7.75,26500.0,-0.0025
2001-10-19,7.95,8.09,8.13,7.95,8200.0,-0.0063
2001-10-22,8.05,8.15,8.17,8.05,24500.0,0.0126
2001-10-23,8.06,8.0,8.15,8.0,18800.0,0.0012
2001-10-24,8.02,8.15,8.19,7.8,23700.0,-0.005
2001-10-25,8.03,8.01,8.11,7.9,25900.0,0.0012
2001-10-26,8.1,8.0,8.1,7.9,2400.0,0.0087
2001-10-29,8.12,8.12,8.23,7.9,22600.0,0.0025
2001-10-30,8.05,8.0,8.35,7.99,4900.0,-0.0086
2001-10-31,7.95,8.3,8.3,7.95,13400.0,-0.0124
2001-11-01,8.0,8.15,8.25,7.85,30400.0,0.0063
2001-11-02,7.86,8.13,8.38,7.86,13300.0,-0.0175
2001-11-05,8.08,8.3,8.3,7.95,10400.0,0.027999999999999997
2001-11-06,7.9,8.13,8.13,7.9,10100.0,-0.0223
2001-11-07,8.04,8.1,8.15,7.88,4600.0,0.0177
2001-11-08,8.03,8.04,8.11,8.0,8900.0,-0.0012
2001-11-09,8.0,7.94,8.05,7.85,7300.0,-0.0037
2001-11-12,8.38,7.9,8.4,7.9,34500.0,0.0475
2001-11-13,8.0,8.38,8.48,7.9,10100.0,-0.0453
2001-11-14,8.25,8.2,8.3,8.1,7900.0,0.0313
2001-11-15,8.1,8.15,8.34,8.1,900.0,-0.0182
2001-11-16,7.85,8.15,8.15,7.85,2700.0,-0.030899999999999997
2001-11-19,8.8,8.27,8.88,8.12,53100.0,0.121
2001-11-20,8.5,8.83,8.88,8.5,22300.0,-0.0341
2001-11-21,7.7,8.65,8.65,7.7,10100.0,-0.0941
2001-11-23,7.8,8.4,8.4,7.65,15300.0,0.013000000000000001
2001-11-26,8.15,7.68,8.15,7.68,76900.0,0.0449
2001-11-27,7.9,8.15,8.5,7.9,54400.0,-0.030699999999999998
2001-11-28,8.18,7.85,8.2,7.8,7700.0,0.0354
2001-11-29,8.6,8.29,8.6,8.29,8500.0,0.0513
2001-11-30,8.77,8.5,8.94,8.42,16500.0,0.019799999999999998
2001-12-03,8.7,8.76,8.99,8.64,37300.0,-0.008
2001-12-04,9.3,8.71,9.67,8.71,256300.0,0.069
2001-12-05,10.5,9.35,10.5,9.3,30700.0,0.129
2001-12-06,10.1,10.5,10.5,9.9,96700.0,-0.0381
2001-12-07,9.54,10.15,10.26,9.42,70400.0,-0.0554
2001-12-10,9.3,9.51,9.8,9.2,19100.0,-0.0252
2001-12-11,9.1,9.35,9.55,9.1,32000.0,-0.0215
2001-12-12,8.31,9.1,9.25,8.31,54100.0,-0.0868
2001-12-13,8.2,8.36,8.49,8.19,14700.0,-0.0132
2001-12-14,8.0,8.34,8.34,7.7,39700.0,-0.024399999999999998
2001-12-17,7.72,8.06,8.12,7.64,24500.0,-0.035
2001-12-18,7.65,7.8,7.83,7.07,102100.0,-0.0091
2001-12-19,7.5,7.5,7.7,7.31,152200.0,-0.0196
2001-12-20,7.65,7.3,7.89,7.3,104800.0,0.02
2001-12-21,7.6,7.89,7.89,7.6,4700.0,-0.006500000000000001
2001-12-24,7.6,7.6,7.6,7.6,100.0,0.0
2001-12-26,8.7,7.85,8.7,7.85,35300.0,0.1447
2001-12-27,8.11,8.7,8.8,7.92,12300.0,-0.0678
2001-12-28,8.85,8.34,8.86,8.12,49800.0,0.09119999999999999
