Date,Close,Open,High,Low,Volume,Change
2003-05-02,1.68,1.5,1.72,1.47,2290000.0,0.1507
2003-05-05,1.69,1.66,1.74,1.6,569910.0,0.006
2003-05-06,1.68,1.69,1.72,1.61,340350.0,-0.0059
2003-05-07,1.66,1.75,1.75,1.5,658690.0,-0.011899999999999999
2003-05-08,1.65,1.66,1.7,1.63,140600.0,-0.006
2003-05-09,1.77,1.67,1.78,1.65,598740.0,0.0727
2003-05-12,1.85,1.84,1.89,1.77,382730.0,0.0452
2003-05-13,1.9,1.79,1.99,1.79,591800.0,0.027000000000000003
2003-05-14,1.9,1.92,1.92,1.84,447450.0,0.0
2003-05-15,1.94,1.79,1.97,1.79,362840.0,0.021099999999999997
2003-05-16,2.28,1.95,2.46,1.95,1360000.0,0.1753
2003-05-19,2.24,2.15,2.25,1.98,658000.0,-0.0175
2003-05-20,2.2,2.15,2.29,2.06,407880.0,-0.0179
2003-05-21,2.15,2.01,2.2,2.0,220110.0,-0.0227
2003-05-22,2.01,2.09,2.14,1.98,176980.0,-0.06509999999999999
2003-05-23,2.0,1.99,2.07,1.92,187350.0,-0.005
2003-05-27,2.08,2.0,2.1,1.98,144800.0,0.04
2003-05-28,2.35,2.1,2.35,2.1,479080.0,0.1298
2003-05-29,2.44,2.35,2.57,2.35,603750.0,0.0383
2003-05-30,2.71,2.47,2.85,2.38,648930.0,0.1107
2003-06-02,2.7,2.71,2.95,2.58,618580.0,-0.0037
2003-06-03,2.42,2.6,2.7,2.3,412790.0,-0.10369999999999999
2003-06-04,2.48,2.37,2.6,2.37,234870.0,0.0248
2003-06-05,2.41,2.33,2.58,2.23,303290.0,-0.0282
2003-06-06,2.32,2.38,2.7,2.29,458810.0,-0.0373
2003-06-09,2.3,2.37,2.5,2.3,153400.0,-0.0086
2003-06-10,2.56,2.49,2.58,2.31,374340.0,0.113
2003-06-11,2.39,2.6,2.61,2.37,813070.0,-0.0664
2003-06-12,2.4,2.55,2.62,2.39,288590.0,0.0042
2003-06-13,2.32,2.42,2.45,2.28,387590.0,-0.0333
2003-06-16,2.2,2.26,2.36,2.09,595680.0,-0.051699999999999996
2003-06-17,2.2,2.15,2.22,2.14,380800.0,0.0
2003-06-18,2.2,2.18,2.24,2.1,272070.0,0.0
2003-06-19,2.38,2.15,2.59,2.15,925060.0,0.0818
2003-06-20,2.49,2.15,2.55,2.15,596510.0,0.0462
2003-06-23,2.29,2.48,2.49,2.28,236290.0,-0.0803
2003-06-24,2.4,2.27,2.42,2.21,163100.0,0.048
2003-06-25,2.5,2.34,2.52,2.34,231750.0,0.0417
2003-06-26,2.66,2.52,2.7,2.5,376540.0,0.064
2003-06-27,2.67,2.71,2.74,2.62,203980.0,0.0038
2003-06-30,2.7,2.65,2.76,2.6,744560.0,0.011200000000000002
2003-07-01,2.61,2.7,2.72,2.48,239630.0,-0.0333
2003-07-02,2.68,2.6,2.79,2.52,282070.0,0.0268
2003-07-03,2.69,2.61,2.72,2.58,48530.0,0.0037
2003-07-07,2.7,2.68,2.76,2.6,148100.0,0.0037
2003-07-08,2.69,2.64,2.7,2.57,363580.0,-0.0037
2003-07-09,3.0,2.59,3.1,2.59,2260000.0,0.1152
2003-07-10,2.98,3.0,3.01,2.78,363140.0,-0.0067
2003-07-11,3.09,3.05,3.15,2.94,264700.0,0.0369
2003-07-14,3.14,3.0,3.25,2.98,479940.0,0.016200000000000003
2003-07-15,3.25,3.13,3.25,3.03,243430.0,0.035
2003-07-16,3.48,3.2,3.5,3.1,439960.0,0.0708
2003-07-17,3.45,3.39,3.5,3.29,650780.0,-0.0086
2003-07-18,3.29,3.4,3.45,3.26,414600.0,-0.0464
2003-07-21,3.19,3.24,3.26,3.09,220670.0,-0.0304
2003-07-22,3.34,3.08,3.4,3.02,224330.0,0.047
2003-07-23,3.44,3.33,3.44,3.21,159400.0,0.029900000000000003
2003-07-24,3.48,3.42,3.48,3.35,260190.0,0.0116
2003-07-25,3.51,3.37,3.6,3.35,385210.0,0.0086
2003-07-28,3.58,3.49,3.58,3.29,362230.0,0.0199
2003-07-29,3.46,3.39,3.52,3.37,286500.0,-0.0335
2003-07-30,3.29,3.44,3.44,3.28,613800.0,-0.049100000000000005
2003-07-31,2.92,2.7,3.05,2.4,2110000.0,-0.1125
2003-08-01,2.84,2.81,3.0,2.72,277450.0,-0.0274
2003-08-04,3.06,2.84,3.25,2.83,704050.0,0.0775
2003-08-05,3.2,3.05,3.26,2.95,400200.0,0.0458
2003-08-06,3.17,3.19,3.25,2.95,145180.0,-0.009399999999999999
2003-08-07,3.35,3.17,3.37,3.17,255330.0,0.056799999999999996
2003-08-08,3.4,3.38,3.5,3.25,616750.0,0.0149
2003-08-11,3.46,3.33,3.46,3.2,129560.0,0.0176
2003-08-12,3.47,3.47,3.49,3.29,237600.0,0.0029
2003-08-13,3.44,3.48,3.5,3.38,222770.0,-0.0086
2003-08-14,3.6,3.43,3.6,3.4,351000.0,0.04650000000000001
2003-08-15,3.7,3.59,3.73,3.3,236540.0,0.0278
2003-08-18,3.75,3.6,3.78,3.58,253440.0,0.013500000000000002
2003-08-19,3.7,3.75,3.75,3.65,496990.0,-0.013300000000000001
2003-08-20,3.72,3.65,3.73,3.55,165110.0,0.0054
2003-08-21,4.15,3.66,4.3,3.62,762950.0,0.11560000000000001
2003-08-22,4.19,4.15,4.28,4.1,436240.0,0.0096
2003-08-25,4.34,4.18,4.37,4.08,399480.0,0.0358
2003-08-26,4.26,4.23,4.34,4.11,199890.0,-0.0184
2003-08-27,4.48,4.31,4.5,4.25,344850.0,0.0516
2003-08-28,4.75,4.42,4.75,4.38,481400.0,0.0603
2003-08-29,4.79,4.6,4.85,4.47,486400.0,0.0084
2003-09-02,4.72,4.98,5.0,4.65,1390000.0,-0.0146
2003-09-03,4.37,4.75,4.83,4.24,910040.0,-0.0742
2003-09-04,4.7,4.31,4.75,4.19,531590.0,0.0755
2003-09-05,5.28,5.03,5.4,4.82,3210000.0,0.1234
2003-09-08,5.46,5.11,5.48,5.06,797360.0,0.0341
2003-09-09,5.17,6.01,6.39,5.11,2620000.0,-0.053099999999999994
2003-09-10,4.85,5.15,5.16,4.59,741510.0,-0.061900000000000004
2003-09-11,5.26,4.8,5.34,4.67,947280.0,0.08449999999999999
2003-09-12,5.3,5.21,5.3,5.0,598680.0,0.0076
2003-09-15,5.19,5.18,5.28,4.91,1530000.0,-0.0208
2003-09-16,5.18,5.24,5.35,5.13,797160.0,-0.0019
2003-09-17,4.61,5.13,5.13,4.53,2980000.0,-0.11
2003-09-18,4.47,4.52,4.55,4.25,14860000.0,-0.0304
2003-09-19,4.71,4.47,4.75,4.4,5150000.0,0.0537
2003-09-22,4.55,4.5,4.65,4.38,2029999.9999999998,-0.034
2003-09-23,4.56,4.52,4.67,4.52,2760000.0,0.0022
2003-09-24,4.22,4.6,4.67,4.05,2950000.0,-0.0746
2003-09-25,3.93,4.25,4.29,3.81,1780000.0,-0.0687
2003-09-26,3.81,3.95,4.02,3.73,2400000.0,-0.0305
2003-09-29,3.97,3.82,4.1,3.77,1450000.0,0.042
2003-09-30,4.0,4.0,4.15,3.8,1240000.0,0.0076
2003-10-01,4.28,4.2,4.29,4.05,1210000.0,0.07
2003-10-02,4.19,4.09,4.28,4.07,681310.0,-0.021
2003-10-03,4.37,4.15,4.5,4.07,1630000.0,0.043
2003-10-06,4.26,4.4,4.44,4.23,697480.0,-0.0252
2003-10-07,4.25,4.3,4.3,4.1,1310000.0,-0.0023
2003-10-08,4.3,4.23,4.45,4.0,3050000.0,0.0118
2003-10-09,4.47,4.4,4.57,4.36,3000000.0,0.0395
2003-10-10,4.5,4.44,4.54,4.41,1340000.0,0.0067
2003-10-13,4.6,4.55,4.6,4.46,1610000.0,0.0222
