Date,Close,Open,High,Low,Volume,Change
2002-05-31,13.02,13.16,13.43,12.99,308600.0,-0.0008
2002-06-03,13.0,13.11,13.26,13.0,99700.0,-0.0015
2002-06-04,12.8,13.14,13.14,12.65,350200.0,-0.0154
2002-06-05,12.32,12.8,12.8,12.28,51000.0,-0.0375
2002-06-06,12.25,12.26,12.35,12.25,11000.0,-0.005699999999999999
2002-06-07,12.51,12.35,12.59,12.25,21900.0,0.0212
2002-06-10,12.95,12.6,13.0,12.6,77400.0,0.0352
2002-06-11,13.0,13.0,13.59,12.8,83200.0,0.0039000000000000003
2002-06-12,14.14,13.1,14.15,13.1,43000.0,0.0877
2002-06-13,14.6,14.0,15.1,14.0,51100.0,0.0325
2002-06-14,14.31,14.5,14.5,13.6,32000.0,-0.0199
2002-06-17,14.41,14.4,14.55,14.2,14400.0,0.006999999999999999
2002-06-18,13.81,14.45,14.5,13.61,15500.0,-0.0416
2002-06-19,13.66,13.81,13.95,13.65,23300.0,-0.0109
2002-06-20,13.22,13.89,13.89,12.97,44600.0,-0.0322
2002-06-21,13.1,13.2,13.25,12.96,15400.0,-0.0091
2002-06-24,13.16,13.1,13.35,12.95,25400.0,0.0046
2002-06-25,13.41,13.2,13.74,13.09,32500.0,0.019
2002-06-26,13.5,13.3,13.5,13.11,23300.0,0.0067
2002-06-27,14.06,13.6,14.06,13.45,21500.0,0.0415
2002-06-28,14.05,14.1,14.55,13.97,163900.0,-0.0007000000000000001
2002-07-01,14.55,14.0,14.61,13.4,125500.0,0.0356
2002-07-02,13.26,14.39,14.5,13.26,59700.0,-0.08869999999999999
2002-07-03,13.25,13.26,13.75,13.2,105600.0,-0.0008
2002-07-05,13.0,13.25,13.25,12.77,61800.0,-0.0189
2002-07-08,12.52,12.79,13.18,12.0,42900.0,-0.0369
2002-07-09,12.26,12.45,12.45,12.15,24400.0,-0.0208
2002-07-10,12.92,12.35,12.98,12.34,9000.0,0.0538
2002-07-11,12.56,12.92,12.95,12.55,10300.0,-0.0279
2002-07-12,12.43,12.5,12.7,12.42,9800.0,-0.0104
2002-07-15,12.99,12.42,13.0,12.1,24100.0,0.0451
2002-07-16,13.05,13.0,13.05,12.64,9000.0,0.0046
2002-07-17,12.62,12.75,12.8,12.6,7300.0,-0.033
2002-07-18,12.25,12.7,12.94,12.18,18000.0,-0.029300000000000003
2002-07-19,12.36,12.26,13.19,12.1,101000.0,0.009000000000000001
2002-07-22,10.9,12.26,12.26,10.77,91900.0,-0.11810000000000001
2002-07-23,8.44,11.01,11.01,8.25,47900.0,-0.2257
2002-07-24,8.7,8.55,9.05,8.02,88000.0,0.0308
2002-07-25,8.85,8.89,9.19,8.4,8200.0,0.0172
2002-07-26,8.4,8.5,8.5,8.01,20400.0,-0.0508
2002-07-29,8.85,8.4,9.3,8.4,27400.0,0.0536
2002-07-30,7.95,8.84,9.14,7.8,20100.0,-0.1017
2002-07-31,7.8,8.04,8.29,7.8,63700.0,-0.0189
2002-08-01,7.7,7.75,7.88,7.7,31100.0,-0.0128
2002-08-02,7.31,7.79,8.0,7.3,36900.0,-0.0506
2002-08-05,7.25,7.4,7.4,7.19,21800.0,-0.008199999999999999
2002-08-06,7.23,7.21,7.43,7.15,23200.0,-0.0028000000000000004
2002-08-07,7.22,7.09,7.25,7.09,28800.0,-0.0014000000000000002
2002-08-08,7.25,7.25,7.25,7.25,400.0,0.0042
2002-08-09,7.17,7.15,7.25,7.15,4500.0,-0.011000000000000001
2002-08-12,7.24,7.18,7.24,7.18,1100.0,0.0098
2002-08-13,7.38,7.3,7.38,7.08,182700.0,0.019299999999999998
2002-08-14,7.25,7.48,7.48,7.2,11100.0,-0.0176
