Date,Close,Open,High,Low,Volume,Change
2001-03-16,7.75,8.25,8.31,7.74,191370.0,-0.0674
2001-03-19,7.98,8.0,8.1,7.78,394100.0,0.0297
2001-03-20,7.86,8.25,8.25,7.82,311840.0,-0.015
2001-03-21,7.45,8.25,8.25,7.25,361710.0,-0.052199999999999996
2001-03-22,7.38,7.31,7.53,6.77,554140.0,-0.009399999999999999
2001-03-23,7.61,8.0,8.0,7.5,752670.0,0.031200000000000002
2001-03-26,7.58,7.92,7.92,7.5,114730.0,-0.0039000000000000003
2001-03-27,7.9,7.45,7.92,7.42,109460.0,0.042199999999999994
2001-03-28,7.81,7.44,7.96,7.25,369480.0,-0.011399999999999999
2001-03-29,7.83,7.75,7.94,7.74,35600.0,0.0026
2001-03-30,7.69,7.83,8.19,7.55,1740000.0,-0.0179
2001-04-02,7.74,7.75,8.03,7.57,652400.0,0.006500000000000001
2001-04-03,6.58,7.53,7.53,6.42,669600.0,-0.1499
2001-04-04,6.62,6.62,6.84,6.54,536260.0,0.0060999999999999995
2001-04-05,6.75,6.75,6.91,6.6,1650000.0,0.0196
2001-04-06,6.64,6.7,6.7,6.25,352160.0,-0.0163
2001-04-09,6.76,6.75,6.84,6.6,491200.0,0.0181
2001-04-10,6.88,6.76,6.88,6.74,1250000.0,0.0178
2001-04-11,6.88,7.06,7.35,6.88,521190.00000000006,0.0
2001-04-12,7.62,7.0,7.65,6.88,779520.0,0.1076
2001-04-16,8.03,7.47,8.5,7.47,302800.0,0.0538
2001-04-17,7.88,7.69,8.5,7.69,130229.99999999999,-0.0187
2001-04-18,8.75,8.25,8.79,8.25,953460.0,0.1104
2001-04-19,8.69,8.88,8.88,8.44,583700.0,-0.0069
2001-04-20,8.33,8.38,8.45,8.25,625460.0,-0.0414
2001-04-23,8.38,8.25,8.39,8.12,410880.0,0.006
2001-04-24,8.97,8.25,9.3,8.25,472260.0,0.0704
2001-04-25,9.26,9.0,9.5,8.85,418080.0,0.0323
2001-04-26,9.28,9.75,9.75,9.16,656590.0,0.0022
2001-04-27,9.56,9.55,9.62,9.49,204280.0,0.0302
2001-04-30,9.5,9.88,9.88,9.45,486600.0,-0.0063
2001-05-01,9.54,9.38,9.54,9.31,391430.0,0.0042
2001-05-02,9.92,9.56,10.0,9.49,361780.0,0.0398
2001-05-03,9.56,9.5,9.78,9.5,60460.0,-0.0363
2001-05-04,9.38,9.25,9.5,9.14,315970.0,-0.018799999999999997
2001-05-07,9.25,9.25,9.72,9.25,87780.0,-0.0139
2001-05-08,9.25,9.5,9.5,9.25,20680.0,0.0
2001-05-09,9.12,9.12,9.31,9.08,135140.0,-0.0141
2001-05-10,9.24,9.15,9.27,9.15,332200.0,0.0132
2001-05-11,9.22,9.12,9.22,9.06,298180.0,-0.0022
2001-05-14,9.0,9.0,9.0,8.81,9920.0,-0.0239
2001-05-15,9.11,9.0,9.12,8.89,306280.0,0.012199999999999999
2001-05-16,9.24,9.0,9.28,8.75,108380.0,0.0143
2001-05-17,9.42,9.25,9.42,9.14,83860.0,0.0195
2001-05-18,9.44,9.38,9.52,9.34,29550.0,0.0021
2001-05-22,10.04,9.94,10.06,9.76,318090.0,0.0636
2001-05-23,9.83,9.88,9.94,9.75,52470.0,-0.0209
2001-05-24,9.75,9.78,9.85,9.62,64379.99999999999,-0.008100000000000001
2001-05-25,9.89,9.9,10.01,9.87,63980.0,0.0144
2001-05-28,9.75,9.3,9.75,9.3,3760.0,-0.014199999999999999
2001-05-29,9.43,9.89,10.0,9.38,280750.0,-0.032799999999999996
2001-05-30,9.21,9.4,9.4,9.21,133720.0,-0.0233
2001-05-31,9.27,9.12,9.58,9.12,377140.0,0.006500000000000001
2001-06-01,9.43,9.62,9.62,9.22,123670.0,0.0173
2001-06-04,9.44,9.5,9.69,9.34,110620.0,0.0011
2001-06-05,9.53,9.57,9.74,9.5,126440.0,0.0095
2001-06-06,9.79,9.79,9.79,9.6,155080.0,0.0273
2001-06-07,10.0,9.79,10.1,9.72,269640.0,0.0215
2001-06-08,9.99,10.06,10.3,9.99,291410.0,-0.001
2001-06-11,9.82,9.88,10.0,9.75,85180.0,-0.017
2001-06-12,9.46,9.82,9.82,9.39,488020.0,-0.036699999999999997
2001-06-13,9.35,9.39,9.41,9.27,60130.0,-0.0116
2001-06-14,8.57,9.25,9.31,8.57,122280.0,-0.0834
2001-06-15,8.5,8.25,8.66,7.84,233180.0,-0.008199999999999999
2001-06-18,8.35,8.5,8.55,8.33,103140.0,-0.0176
2001-06-19,8.04,8.5,8.6,8.04,1330000.0,-0.0371
2001-06-20,8.14,7.75,8.21,7.75,149580.0,0.0124
2001-06-21,8.24,8.25,8.53,8.1,158450.0,0.0123
2001-06-22,8.38,8.38,8.43,8.06,67830.0,0.017
2001-06-25,8.19,8.38,8.38,8.06,105960.0,-0.0227
2001-06-26,8.04,8.12,8.12,7.77,287580.0,-0.0183
2001-06-27,8.28,8.25,8.43,8.0,98760.0,0.029900000000000003
2001-06-28,8.44,8.38,8.8,8.37,363560.0,0.019299999999999998
2001-06-29,8.91,8.62,8.95,8.5,117110.0,0.0557
2001-07-03,8.88,8.95,9.0,8.75,98100.0,-0.0034000000000000002
2001-07-04,9.15,8.96,9.25,8.96,13200.0,0.0304
2001-07-05,9.48,9.2,9.65,9.01,264110.0,0.0361
2001-07-06,9.23,9.47,9.49,9.19,233720.0,-0.0264
2001-07-09,9.37,9.38,9.44,9.3,190000.0,0.0152
2001-07-10,8.53,9.44,9.45,8.5,565910.0,-0.08960000000000001
2001-07-11,8.58,8.69,8.76,8.36,375200.0,0.0059
2001-07-12,9.11,8.82,9.18,8.78,106140.0,0.061799999999999994
2001-07-13,9.06,9.25,9.31,9.02,46130.0,-0.0055000000000000005
2001-07-16,9.31,9.16,9.37,9.06,497110.0,0.0276
2001-07-17,9.25,9.06,9.3,9.05,127420.0,-0.0064
2001-07-18,9.03,9.25,9.29,9.03,251660.0,-0.023799999999999998
2001-07-19,9.2,9.15,9.24,9.15,409300.0,0.018799999999999997
2001-07-20,9.16,9.11,9.22,9.07,121990.0,-0.0043
2001-07-23,9.14,9.18,9.18,9.1,67520.0,-0.0022
2001-07-24,9.12,9.12,9.16,9.03,156860.0,-0.0022
2001-07-25,9.25,8.89,9.25,8.89,94920.0,0.0143
2001-07-26,9.53,9.44,9.53,9.32,160000.0,0.030299999999999997
2001-07-27,9.81,9.7,9.88,9.62,260870.0,0.0294
2001-07-30,9.7,9.56,9.84,9.56,99850.0,-0.011200000000000002
2001-07-31,9.65,9.68,9.74,9.5,96000.0,-0.0052
2001-08-01,9.82,9.88,9.93,9.72,156370.0,0.0176
2001-08-02,9.65,9.9,9.9,9.36,117430.0,-0.0173
2001-08-03,9.19,9.66,9.66,9.07,153680.0,-0.04769999999999999
2001-08-07,9.0,9.0,9.19,8.95,321970.0,-0.0207
2001-08-08,8.58,8.88,8.93,8.58,778570.0,-0.0467
2001-08-09,8.5,8.53,8.57,8.47,198340.0,-0.009300000000000001
2001-08-10,8.25,8.5,8.5,8.25,157330.0,-0.0294
2001-08-13,8.71,8.25,8.75,8.18,161400.0,0.0558
2001-08-14,8.48,8.75,8.94,8.47,280210.0,-0.0264
2001-08-15,8.0,8.4,8.4,8.0,409860.0,-0.056600000000000004
2001-08-16,9.02,8.38,9.06,8.38,454740.0,0.1275
2001-08-17,8.79,9.27,9.27,8.79,254000.0,-0.0255
2001-08-20,8.8,8.89,8.9,8.71,130570.0,0.0011
2001-08-21,8.89,8.91,9.15,8.85,518039.99999999994,0.0102
2001-08-22,8.9,9.01,9.01,8.78,68130.0,0.0011
2001-08-23,8.92,8.94,8.96,8.9,104160.0,0.0022
2001-08-24,9.03,8.7,9.12,8.7,117980.0,0.0123
2001-08-27,9.3,9.24,9.34,9.04,638150.0,0.029900000000000003
2001-08-28,9.27,9.3,9.36,9.25,142920.0,-0.0032
2001-08-29,9.23,9.06,9.38,9.0,229360.0,-0.0043
2001-08-30,9.05,9.15,9.25,9.04,139080.0,-0.0195
2001-08-31,9.25,8.88,9.31,8.88,24840.0,0.022099999999999998
2001-09-04,9.28,9.32,9.32,9.2,93720.0,0.0032
2001-09-05,9.12,9.16,9.43,9.12,70760.0,-0.0172
2001-09-06,9.3,9.19,9.32,9.19,864700.0,0.0197
2001-09-07,9.03,9.14,9.27,9.03,39540.0,-0.028999999999999998
2001-09-10,8.99,8.75,9.26,8.75,86100.0,-0.0044
2001-09-11,8.75,9.24,9.24,8.75,3800.0,-0.026699999999999998
2001-09-13,8.38,8.5,8.62,8.32,237880.0,-0.042300000000000004
2001-09-14,7.5,8.25,8.25,7.31,417640.0,-0.105
2001-09-17,7.94,7.38,8.62,7.38,151030.0,0.0587
2001-09-18,7.98,7.88,8.16,7.88,53240.0,0.005
2001-09-19,8.21,7.99,8.21,7.78,263160.0,0.0288
2001-09-20,7.64,7.9,8.15,7.64,176580.0,-0.0694
2001-09-21,7.84,7.21,7.84,7.0,793990.0,0.0262
2001-09-24,7.62,7.64,7.75,7.47,154720.0,-0.0281
2001-09-25,7.79,7.55,7.87,7.55,128840.0,0.0223
2001-09-26,7.78,7.79,7.81,7.75,423270.0,-0.0013
2001-09-27,7.94,7.75,7.94,7.75,184180.0,0.0206
2001-09-28,8.57,8.0,8.59,8.0,106560.0,0.0793
2001-10-01,8.46,8.44,8.56,8.43,30980.0,-0.0128
2001-10-02,8.25,8.75,8.75,8.12,521650.0,-0.0248
2001-10-03,8.81,8.19,8.81,8.12,205910.0,0.0679
2001-10-04,9.46,8.75,9.56,8.75,257100.00000000003,0.0738
2001-10-05,8.96,9.26,9.26,8.89,161420.0,-0.0529
2001-10-09,9.0,9.02,9.03,8.97,105680.0,0.0045000000000000005
2001-10-10,9.1,8.84,9.16,8.84,81340.0,0.0111
2001-10-11,9.57,9.3,9.62,9.29,70400.0,0.0516
2001-10-12,9.26,9.37,9.56,9.19,280150.0,-0.032400000000000005
2001-10-15,9.16,9.56,9.56,8.95,46040.0,-0.0108
2001-10-16,9.38,9.18,9.39,9.15,174870.0,0.024
2001-10-17,8.91,9.38,9.45,8.86,208440.0,-0.0501
2001-10-18,9.21,8.96,9.25,8.8,54850.0,0.0337
2001-10-19,9.14,9.19,9.19,9.09,22410.0,-0.0076
2001-10-22,9.25,9.14,9.26,9.14,61960.0,0.012
2001-10-23,9.56,9.4,9.62,9.22,121310.0,0.0335
2001-10-24,10.13,9.5,10.16,9.5,319650.0,0.0596
2001-10-25,10.03,10.25,10.25,9.56,160110.0,-0.009899999999999999
2001-10-26,10.56,9.66,11.0,9.66,1610000.0,0.0528
2001-10-29,10.27,10.56,10.63,10.12,659560.0,-0.0275
2001-10-30,9.97,10.25,10.27,9.88,260070.0,-0.0292
2001-10-31,10.25,9.98,10.47,9.98,138420.0,0.0281
2001-11-01,10.82,10.29,11.0,10.28,1320000.0,0.0556
2001-11-02,10.88,10.88,11.06,10.75,219020.0,0.0055000000000000005
2001-11-05,11.41,10.75,11.44,10.75,762600.0,0.0487
2001-11-06,11.37,11.4,11.5,11.25,444970.0,-0.0034999999999999996
2001-11-07,11.2,11.37,11.37,11.13,1800000.0,-0.015
2001-11-08,10.97,11.25,11.25,10.88,692420.0,-0.020499999999999997
2001-11-09,10.82,10.85,10.95,10.7,101000.0,-0.0137
2001-11-12,10.85,10.65,10.85,10.55,38470.0,0.0028000000000000004
2001-11-13,11.03,11.0,11.28,10.77,86420.0,0.0166
2001-11-14,11.05,11.2,11.25,11.0,40720.0,0.0018
2001-11-15,10.95,10.88,11.06,10.88,48660.0,-0.009000000000000001
2001-11-16,10.96,10.95,11.06,10.88,188360.0,0.0009
2001-11-19,11.06,11.25,11.25,10.81,489870.0,0.0091
2001-11-20,11.07,11.06,11.13,10.88,255290.0,0.0009
2001-11-21,11.07,11.16,11.44,11.06,501490.0,0.0
2001-11-22,11.47,11.07,11.47,10.96,11130.0,0.0361
2001-11-23,11.21,11.14,11.21,11.06,39840.0,-0.0227
2001-11-26,11.6,11.36,11.69,11.12,70440.0,0.0348
2001-11-27,11.06,11.45,11.45,11.01,744950.0,-0.0466
2001-11-28,10.96,11.05,11.07,10.88,101970.0,-0.009000000000000001
2001-11-29,11.05,11.12,11.25,10.97,182970.0,0.008199999999999999
2001-11-30,11.15,11.0,11.15,11.0,70470.0,0.009000000000000001
2001-12-03,11.33,10.75,11.44,10.73,178670.0,0.0161
2001-12-04,11.5,11.25,11.54,11.25,176160.0,0.015
2001-12-05,11.88,11.57,12.0,11.57,730290.0,0.033
2001-12-06,12.29,11.86,12.44,11.82,380960.0,0.0345
2001-12-07,12.3,12.38,12.38,12.24,417540.0,0.0008
2001-12-10,12.27,12.25,12.38,12.25,494550.0,-0.0024
2001-12-11,12.29,12.37,12.37,12.2,259390.0,0.0016
2001-12-12,12.36,12.27,12.45,12.25,557250.0,0.005699999999999999
2001-12-13,12.04,12.35,12.35,12.04,224630.0,-0.0259
2001-12-14,11.89,12.0,12.0,11.88,962840.0,-0.0125
2001-12-17,12.02,11.78,12.02,11.69,183570.0,0.0109
2001-12-18,12.0,11.55,12.41,11.55,341670.0,-0.0017000000000000001
2001-12-19,12.05,12.0,12.26,11.8,101640.0,0.0042
2001-12-20,11.79,12.0,12.12,11.66,258959.99999999997,-0.0216
2001-12-21,11.88,12.0,12.02,11.88,148250.0,0.0076
2001-12-24,11.88,12.31,12.31,11.76,385320.0,0.0
2001-12-27,11.78,11.7,11.86,11.62,214650.0,-0.0084
2001-12-28,11.75,11.76,11.82,11.71,53440.0,-0.0025
2001-12-31,11.83,11.75,11.83,11.54,60780.0,0.0068000000000000005
2002-01-02,12.1,12.31,12.31,11.68,115390.0,0.022799999999999997
2002-01-03,12.12,11.97,12.12,11.87,214960.0,0.0017000000000000001
2002-01-04,11.97,12.12,12.12,11.91,330170.0,-0.0124
2002-01-07,11.97,11.97,12.07,11.74,333290.0,0.0
2002-01-08,11.59,11.62,11.67,11.41,84390.0,-0.0317
2002-01-09,11.47,11.67,11.69,11.45,550470.0,-0.0104
2002-01-10,11.32,11.46,11.56,11.25,84880.0,-0.0131
2002-01-11,11.19,11.32,11.32,11.06,140120.0,-0.0115
2002-01-14,11.08,11.12,11.15,10.78,744790.0,-0.0098
2002-01-15,10.88,11.07,11.08,10.75,68960.0,-0.0181
2002-01-16,10.99,10.99,10.99,10.75,195310.0,0.0101
2002-01-17,11.18,11.25,11.25,10.94,218640.0,0.0173
2002-01-18,11.07,11.11,11.14,10.96,503680.0,-0.0098
2002-01-21,10.85,11.07,11.07,10.8,11180.0,-0.0199
2002-01-22,10.88,11.06,11.1,10.78,150450.0,0.0028000000000000004
2002-01-23,10.88,10.94,11.0,10.82,78290.0,0.0
2002-01-24,10.88,11.0,11.0,10.85,28090.0,0.0
2002-01-25,10.66,10.81,10.81,10.38,470960.0,-0.0202
2002-01-28,10.47,10.65,10.66,10.41,144340.0,-0.0178
2002-01-29,10.57,10.47,10.59,10.25,529480.0,0.0096
2002-01-30,10.45,10.62,10.62,10.35,216690.0,-0.011399999999999999
2002-01-31,10.37,10.5,10.5,10.25,414200.0,-0.0077
2002-02-01,10.25,10.46,10.46,10.25,749520.0,-0.0116
2002-02-04,10.01,10.25,10.33,9.99,587030.0,-0.023399999999999997
2002-02-05,9.57,10.0,10.04,9.53,884350.0,-0.044000000000000004
2002-02-06,9.53,9.61,9.71,9.07,678360.0,-0.0042
2002-02-07,9.91,9.75,10.4,9.65,620620.0,0.039900000000000005
2002-02-08,10.16,9.96,10.3,9.96,217230.0,0.0252
2002-02-11,10.25,10.13,10.35,10.12,146820.0,0.0089
2002-02-12,10.5,10.25,10.64,10.22,76750.0,0.024399999999999998
2002-02-13,10.56,10.5,10.61,10.45,140560.0,0.005699999999999999
2002-02-14,10.62,10.53,10.78,10.5,118730.0,0.005699999999999999
2002-02-15,10.51,10.74,10.74,10.47,152150.0,-0.0104
2002-02-18,10.6,10.4,10.6,10.4,6280.0,0.0086
2002-02-19,10.22,10.38,10.45,10.19,429720.0,-0.0358
2002-02-20,10.31,10.15,10.65,10.15,134090.0,0.0088
2002-02-21,9.94,10.25,10.25,9.94,225410.0,-0.0359
2002-02-22,10.01,9.94,10.05,9.93,138630.0,0.006999999999999999
2002-02-25,10.06,10.01,10.11,9.96,55840.0,0.005
2002-02-26,10.19,10.44,10.44,10.03,242760.0,0.0129
2002-02-27,10.18,10.25,10.32,10.18,56250.0,-0.001
2002-02-28,10.12,10.15,10.18,10.1,134470.0,-0.0059
2002-03-01,9.91,9.91,10.08,9.88,342290.0,-0.0208
2002-03-04,9.93,9.86,9.97,9.72,692290.0,0.002
2002-03-05,9.97,9.9,10.27,9.88,710880.0,0.004
2002-03-06,10.03,9.97,10.06,9.97,902580.0,0.006
2002-03-07,10.01,10.02,10.19,10.01,357580.0,-0.002
2002-03-08,10.16,10.15,10.3,10.04,333020.0,0.015
2002-03-11,10.44,10.16,10.5,10.12,147810.0,0.0276
2002-03-12,10.57,10.25,10.62,10.25,139290.0,0.0125
2002-03-13,10.38,10.5,10.95,10.29,216960.0,-0.018000000000000002
2002-03-14,10.25,10.47,10.61,10.25,96960.0,-0.0125
2002-03-15,10.32,10.15,10.47,10.15,184940.0,0.0068000000000000005
2002-03-18,10.5,10.36,10.54,10.36,211530.0,0.0174
2002-03-19,10.59,10.52,10.69,10.49,373880.0,0.0086
2002-03-20,10.53,10.55,10.59,10.5,147430.0,-0.005699999999999999
2002-03-21,10.62,10.6,10.7,10.58,115750.0,0.0085
2002-03-22,10.55,10.6,10.71,10.51,117440.0,-0.0066
2002-03-25,10.84,10.5,10.86,10.5,242110.0,0.0275
2002-03-26,10.25,10.94,10.94,10.16,406820.0,-0.054400000000000004
2002-03-27,9.96,10.14,10.14,9.95,194360.0,-0.028300000000000002
2002-03-28,9.97,9.96,10.12,9.85,138350.0,0.001
2002-04-01,10.1,10.01,10.23,9.87,631680.0,0.013000000000000001
2002-04-02,9.3,10.0,10.15,9.29,568020.0,-0.07919999999999999
2002-04-03,8.8,9.29,9.29,8.43,502510.0,-0.0538
2002-04-04,9.0,8.87,9.18,8.85,195640.0,0.0227
2002-04-05,9.15,9.03,9.21,8.93,216060.0,0.0167
2002-04-08,9.07,9.22,9.22,8.76,639680.0,-0.0087
2002-04-09,8.4,8.97,8.97,8.35,718220.0,-0.0739
2002-04-10,8.07,8.34,8.36,7.88,1460000.0,-0.0393
2002-04-11,8.06,8.0,8.12,7.91,69660.0,-0.0012
2002-04-12,8.24,8.07,8.3,8.07,64819.99999999999,0.0223
2002-04-15,8.32,8.25,8.38,8.21,78890.0,0.0097
2002-04-16,8.84,8.5,8.9,8.5,231360.0,0.0625
2002-04-17,9.07,8.75,9.18,8.75,196750.0,0.026000000000000002
2002-04-18,8.89,9.07,9.18,8.72,250380.0,-0.019799999999999998
2002-04-19,8.7,8.94,9.02,8.48,131960.0,-0.021400000000000002
2002-04-22,8.31,8.62,8.62,8.19,129910.0,-0.044800000000000006
2002-04-23,8.31,8.28,8.45,8.28,638380.0,0.0
2002-04-24,7.89,8.37,8.37,7.84,145810.0,-0.050499999999999996
2002-04-25,8.32,8.0,8.43,8.0,885940.0,0.0545
2002-04-26,8.31,8.46,8.46,8.21,205260.0,-0.0012
2002-04-29,8.45,8.3,8.64,8.3,197520.0,0.0168
2002-04-30,8.39,8.45,8.75,8.39,161110.0,-0.0070999999999999995
2002-05-01,8.41,8.45,8.56,8.29,57080.0,0.0024
2002-05-02,8.59,8.4,8.66,8.4,66830.0,0.021400000000000002
2002-05-03,8.58,8.59,8.7,8.35,247770.0,-0.0012
2002-05-06,8.5,8.57,8.78,8.47,208530.0,-0.009300000000000001
2002-05-07,8.66,8.45,8.76,8.45,68860.0,0.018799999999999997
2002-05-08,9.04,8.64,9.09,8.64,124180.0,0.043899999999999995
2002-05-09,9.03,9.11,9.11,8.95,87560.0,-0.0011
2002-05-10,8.94,9.02,9.02,8.89,56640.0,-0.01
2002-05-13,9.21,8.98,9.31,8.92,73330.0,0.0302
2002-05-14,9.56,9.39,9.63,9.24,87290.0,0.038
2002-05-15,9.7,9.5,9.76,9.5,64489.99999999999,0.0146
2002-05-16,9.62,9.62,9.72,9.6,289610.0,-0.008199999999999999
2002-05-17,9.68,9.69,9.76,9.62,217070.0,0.0062
2002-05-21,9.28,9.5,9.5,9.19,197080.0,-0.041299999999999996
2002-05-22,9.28,9.19,9.32,9.12,47750.0,0.0
2002-05-23,9.41,9.35,9.41,9.35,14080.0,0.013999999999999999
2002-05-24,9.36,9.46,9.46,9.26,31040.0,-0.0053
2002-05-27,9.26,9.26,9.26,9.26,860.0,-0.010700000000000001
2002-05-28,8.41,9.25,9.25,7.97,634670.0,-0.09179999999999999
2002-05-29,8.49,8.26,8.65,8.26,203820.0,0.0095
2002-05-30,8.51,8.3,8.52,8.22,483850.0,0.0024
2002-05-31,8.19,8.33,8.41,8.18,217460.0,-0.037599999999999995
2002-06-03,8.2,8.2,8.36,8.18,108660.0,0.0012
2002-06-04,8.39,8.12,8.48,8.1,136790.0,0.0232
2002-06-05,7.74,8.37,8.44,7.69,438580.0,-0.0775
