Date,Close,Open,High,Low,Volume,Change
1988-07-07,1.22,1.22,1.23,1.2,2330000.0,0.0
1988-07-08,1.27,1.27,1.27,1.22,1600000.0,0.040999999999999995
1988-07-11,1.32,1.32,1.32,1.23,941220.0,0.0394
1988-07-12,1.32,1.32,1.34,1.29,895860.0,0.0
1988-07-13,1.32,1.32,1.34,1.32,1340000.0,0.0
1988-07-14,1.34,1.34,1.34,1.32,809390.0,0.0152
1988-07-15,1.34,1.34,1.34,1.32,272160.0,0.0
1988-07-18,1.34,1.34,1.34,1.32,294840.0,0.0
1988-07-19,1.34,1.34,1.36,1.32,508880.0,0.0
1988-07-20,1.36,1.36,1.36,1.34,454310.0,0.0149
1988-07-21,1.34,1.34,1.36,1.32,270740.0,-0.0147
1988-07-22,1.32,1.32,1.34,1.32,403990.0,-0.0149
1988-07-25,1.32,1.32,1.34,1.31,1020000.0,0.0
1988-07-26,1.32,1.32,1.34,1.31,192780.0,0.0
1988-07-27,1.31,1.31,1.34,1.31,133950.0,-0.0076
1988-07-28,1.31,1.31,1.34,1.31,92140.0,0.0
1988-07-29,1.32,1.32,1.32,1.31,113400.0,0.0076
1988-08-01,1.31,1.31,1.34,1.31,102060.0,-0.0076
1988-08-02,1.31,1.31,1.34,1.31,336660.0,0.0
1988-08-03,1.32,1.32,1.34,1.31,94970.0,0.0076
1988-08-04,1.34,1.34,1.34,1.31,382020.0,0.0152
1988-08-05,1.34,1.34,1.34,1.32,506050.0,0.0
1988-08-08,1.32,1.32,1.36,1.32,157340.0,-0.0149
1988-08-09,1.32,1.32,1.34,1.31,201990.0,0.0
1988-08-10,1.34,1.34,1.34,1.29,88590.0,0.0152
1988-08-11,1.32,1.32,1.32,1.29,138920.0,-0.0149
1988-08-12,1.29,1.29,1.32,1.29,156630.0,-0.0227
1988-08-15,1.32,1.32,1.32,1.32,17010.0,0.0233
1988-08-16,1.29,1.29,1.32,1.29,46070.0,-0.0227
1988-08-17,1.31,1.31,1.31,1.29,166560.0,0.0155
1988-08-18,1.31,1.31,1.31,1.29,411780.0,0.0
1988-08-19,1.29,1.29,1.29,1.29,13470.0,-0.015300000000000001
1988-08-22,1.29,1.29,1.31,1.29,72290.0,0.0
1988-08-23,1.31,1.31,1.31,1.29,115530.0,0.0155
1988-08-24,1.29,1.29,1.31,1.29,51740.0,-0.015300000000000001
1988-08-25,1.29,1.29,1.31,1.29,65209.99999999999,0.0
1988-08-26,1.31,1.31,1.31,1.27,21260.0,0.0155
1988-08-29,1.27,1.27,1.31,1.27,23390.0,-0.0305
1988-08-30,1.27,1.27,1.31,1.27,84340.0,0.0
1988-08-31,1.29,1.29,1.29,1.27,156630.0,0.015700000000000002
1988-09-01,1.27,1.27,1.29,1.23,222550.0,-0.0155
1988-09-02,1.22,1.22,1.25,1.22,128990.00000000001,-0.0394
1988-09-06,1.23,1.23,1.23,1.22,244520.0,0.008199999999999999
1988-09-07,1.22,1.22,1.23,1.22,77250.0,-0.008100000000000001
1988-09-08,1.22,1.22,1.23,1.22,128280.0,0.0
1988-09-09,1.22,1.22,1.22,1.22,31190.0,0.0
1988-09-12,1.22,1.22,1.22,1.22,22680.0,0.0
1988-09-13,1.23,1.23,1.23,1.23,1420.0,0.008199999999999999
1988-09-14,1.22,1.22,1.23,1.22,170100.0,-0.008100000000000001
1988-09-15,1.22,1.22,1.23,1.22,72290.0,0.0
1988-09-16,1.22,1.22,1.23,1.22,36860.0,0.0
1988-09-19,1.22,1.22,1.23,1.22,55990.0,0.0
1988-09-20,1.23,1.23,1.23,1.22,31190.0,0.008199999999999999
1988-09-21,1.22,1.22,1.23,1.22,85760.0,-0.008100000000000001
1988-09-22,1.22,1.22,1.23,1.22,195620.0,0.0
1988-09-23,1.23,1.23,1.23,1.22,15590.0,0.008199999999999999
1988-09-26,1.22,1.22,1.23,1.22,8510.0,-0.008100000000000001
1988-09-27,1.23,1.23,1.23,1.22,139620.0,0.008199999999999999
1988-09-28,1.22,1.22,1.23,1.22,64500.0,-0.008100000000000001
1988-09-29,1.2,1.2,1.23,1.2,4960.0,-0.016399999999999998
1988-09-30,1.2,1.2,1.22,1.2,17010.0,0.0
1988-10-03,1.18,1.18,1.23,1.18,18430.0,-0.0167
1988-10-04,1.2,1.2,1.22,1.18,35440.0,0.0169
1988-10-05,1.16,1.16,1.16,1.16,21260.0,-0.0333
1988-10-06,1.2,1.2,1.2,1.16,15590.0,0.0345
1988-10-07,1.16,1.16,1.2,1.16,2130.0,-0.0333
1988-10-10,1.16,1.16,1.2,1.16,36860.0,0.0
1988-10-11,1.2,1.2,1.2,1.16,53870.0,0.0345
1988-10-12,1.18,1.18,1.18,1.15,31190.0,-0.0167
1988-10-13,1.15,1.15,1.16,1.15,79380.0,-0.0254
1988-10-14,1.16,1.16,1.18,1.15,29060.0,0.0087
1988-10-17,1.2,1.2,1.23,1.18,175060.0,0.0345
1988-10-18,1.22,1.22,1.23,1.22,714420.0,0.0167
1988-10-19,1.22,1.22,1.23,1.22,107020.0,0.0
1988-10-20,1.22,1.22,1.22,1.2,103480.0,0.0
1988-10-21,1.22,1.22,1.23,1.2,279960.0,0.0
1988-10-24,1.22,1.22,1.22,1.2,165140.0,0.0
1988-10-25,1.2,1.2,1.22,1.2,98520.0,-0.016399999999999998
1988-10-26,1.16,1.16,1.22,1.16,48200.0,-0.0333
1988-10-27,1.13,1.13,1.2,1.13,123320.0,-0.0259
1988-10-28,1.16,1.16,1.16,1.13,23390.0,0.0265
1988-10-31,1.11,1.11,1.16,1.11,60240.0,-0.0431
