Date,Close,Open,High,Low,Volume,Change
1985-05-23,4.84,4.84,5.01,4.78,3570000.0,-0.8617
1985-05-24,4.84,4.84,4.86,4.78,621600.0,0.0
1985-05-28,4.92,4.92,4.92,4.84,582000.0,0.0165
1985-05-29,4.98,4.98,4.98,4.95,271200.0,0.012199999999999999
1985-05-30,4.98,4.98,4.98,4.95,230000.0,0.0
1985-05-31,4.95,4.95,4.98,4.92,51200.0,-0.006
1985-06-03,5.15,5.15,5.15,4.98,429600.0,0.0404
1985-06-04,5.15,5.15,5.26,5.12,441600.0,0.0
1985-06-05,5.15,5.15,5.21,5.12,259200.0,0.0
1985-06-06,5.23,5.23,5.23,5.12,112400.0,0.0155
1985-06-07,5.26,5.26,5.35,5.26,145600.0,0.005699999999999999
1985-06-10,5.23,5.23,5.29,5.23,173200.0,-0.005699999999999999
1985-06-11,5.26,5.26,5.29,5.23,128800.00000000001,0.005699999999999999
1985-06-12,5.23,5.23,5.29,5.23,98800.0,-0.005699999999999999
1985-06-13,5.21,5.21,5.26,5.18,120400.0,-0.0038
1985-06-14,5.06,5.06,5.18,5.01,128400.0,-0.0288
1985-06-17,4.95,4.95,5.06,4.95,122800.0,-0.0217
1985-06-18,5.01,5.01,5.01,4.95,132800.0,0.0121
1985-06-19,5.18,5.18,5.23,5.01,156800.0,0.0339
1985-06-20,5.12,5.12,5.18,5.12,28800.0,-0.0116
1985-06-21,5.21,5.21,5.23,5.12,133600.0,0.0176
1985-06-24,5.15,5.15,5.23,5.15,14800.0,-0.0115
1985-06-25,5.12,5.12,5.18,5.12,31600.0,-0.0058
1985-06-26,5.15,5.15,5.15,5.12,86800.0,0.0059
1985-06-27,5.12,5.12,5.15,5.12,23200.0,-0.0058
1985-06-28,5.06,5.06,5.18,5.06,39600.0,-0.011699999999999999
1985-07-01,5.15,5.15,5.15,5.12,74000.0,0.0178
1985-07-02,5.15,5.15,5.15,5.12,80400.0,0.0
1985-07-03,5.15,5.15,5.15,5.15,20400.0,0.0
1985-07-05,5.18,5.18,5.21,5.18,18800.0,0.0058
1985-07-08,5.21,5.21,5.23,5.18,40400.0,0.0058
1985-07-09,5.23,5.23,5.23,5.21,20400.0,0.0038
1985-07-10,5.15,5.15,5.23,5.15,238000.0,-0.015300000000000001
1985-07-11,5.18,5.18,5.21,5.18,7600.0,0.0058
1985-07-12,5.18,5.18,5.21,5.18,12000.0,0.0
1985-07-15,5.23,5.23,5.26,5.18,43200.0,0.0097
1985-07-16,5.21,5.21,5.26,5.21,21600.0,-0.0038
1985-07-17,5.21,5.21,5.23,5.21,22400.0,0.0
1985-07-18,5.21,5.21,5.23,5.18,43200.0,0.0
1985-07-19,5.18,5.18,5.23,5.18,16000.0,-0.0058
1985-07-22,5.18,5.18,5.18,5.18,6000.0,0.0
1985-07-23,5.21,5.21,5.21,5.18,12400.0,0.0058
1985-07-24,5.23,5.23,5.23,5.15,45600.0,0.0038
1985-07-25,5.18,5.18,5.18,5.18,17600.0,-0.0096
1985-07-26,5.15,5.15,5.18,5.15,8800.0,-0.0058
1985-07-29,5.12,5.12,5.15,5.09,45200.0,-0.0058
1985-07-30,5.12,5.12,5.12,5.09,21600.0,0.0
1985-07-31,5.09,5.09,5.12,5.09,7200.0,-0.0059
1985-08-01,5.15,5.15,5.15,5.09,8800.0,0.0118
1985-08-02,5.15,5.15,5.15,5.09,162000.0,0.0
1985-08-05,5.12,5.12,5.18,5.09,27600.0,-0.0058
1985-08-06,5.12,5.12,5.15,5.12,20000.0,0.0
1985-08-07,5.04,5.04,5.15,5.04,38800.0,-0.015600000000000001
1985-08-08,5.01,5.01,5.06,5.01,38800.0,-0.006
1985-08-09,4.95,4.95,5.01,4.95,14000.0,-0.012
1985-08-12,4.98,4.98,4.98,4.92,11200.0,0.0060999999999999995
1985-08-13,4.95,4.95,4.98,4.92,13200.0,-0.006
1985-08-14,4.95,4.95,5.04,4.92,52800.0,0.0
1985-08-15,5.01,5.01,5.01,4.95,23200.0,0.0121
1985-08-16,4.95,4.95,5.01,4.95,3600.0,-0.012
1985-08-19,4.95,4.95,4.95,4.95,6000.0,0.0
1985-08-20,4.81,4.81,4.98,4.81,32800.0,-0.028300000000000002
1985-08-21,4.84,4.84,4.86,4.81,50800.0,0.0062
1985-08-22,4.89,4.89,4.89,4.81,28800.0,0.0103
1985-08-23,4.89,4.89,4.89,4.89,6000.0,0.0
1985-08-26,4.86,4.86,4.89,4.84,12400.0,-0.0060999999999999995
1985-08-27,4.89,4.89,4.89,4.86,6000.0,0.0062
1985-08-28,4.86,4.86,4.89,4.86,16400.0,-0.0060999999999999995
1985-08-29,4.86,4.86,4.86,4.86,4400.0,0.0
1985-08-30,4.86,4.86,4.89,4.86,9200.0,0.0
1985-09-03,4.84,4.84,4.86,4.84,33200.0,-0.0040999999999999995
1985-09-04,4.84,4.84,4.84,4.84,800.0,0.0
1985-09-05,4.84,4.84,4.86,4.84,34800.0,0.0
1985-09-06,4.84,4.84,4.86,4.81,4400.0,0.0
1985-09-09,4.81,4.81,4.84,4.81,32000.0,-0.0062
1985-09-10,4.55,4.55,4.78,4.55,148800.0,-0.0541
1985-09-11,4.72,4.72,4.72,4.61,43200.0,0.0374
1985-09-12,4.61,4.61,4.72,4.61,92000.0,-0.0233
1985-09-13,4.64,4.64,4.67,4.64,11200.0,0.006500000000000001
1985-09-16,4.67,4.67,4.67,4.61,20800.0,0.006500000000000001
1985-09-17,4.61,4.61,4.67,4.47,130400.0,-0.0128
1985-09-18,4.75,4.75,4.75,4.58,116000.0,0.0304
1985-09-19,4.69,4.69,4.72,4.69,15600.0,-0.0126
1985-09-20,4.64,4.64,4.69,4.64,27600.0,-0.010700000000000001
1985-09-23,4.72,4.72,4.72,4.69,6000.0,0.0172
1985-09-24,4.67,4.67,4.72,4.64,10400.0,-0.0106
1985-09-25,4.67,4.67,4.69,4.67,38800.0,0.0
1985-09-26,4.61,4.61,4.67,4.61,231200.0,-0.0128
