Date,Close,Open,High,Low,Volume,Change
1996-07-22,6.0,6.31,6.31,5.97,1140000.0,-0.030699999999999998
1996-07-23,5.25,6.0,6.12,5.25,1390000.0,-0.125
1996-07-24,5.0,5.12,5.12,5.0,201800.0,-0.047599999999999996
1996-07-25,5.56,5.06,5.75,5.06,491400.0,0.11199999999999999
1996-07-26,6.0,5.88,6.12,5.75,324400.0,0.0791
1996-07-29,6.12,6.12,6.19,6.0,164800.0,0.02
1996-07-30,6.0,6.0,6.19,6.0,90400.0,-0.0196
1996-07-31,6.06,6.12,6.12,5.94,267400.0,0.01
1996-08-01,6.06,6.06,6.06,5.81,161600.0,0.0
1996-08-02,6.5,5.94,6.62,5.94,211000.0,0.0726
1996-08-05,6.19,6.38,6.44,6.12,135800.0,-0.04769999999999999
1996-08-06,6.38,6.12,6.38,6.12,212200.0,0.030699999999999998
1996-08-07,6.94,6.38,6.94,6.31,561400.0,0.08779999999999999
1996-08-08,9.19,7.12,9.19,7.0,965400.0,0.32420000000000004
1996-08-09,8.62,9.06,9.19,8.62,579200.0,-0.062
1996-08-12,9.62,8.75,9.62,8.69,365400.0,0.11599999999999999
1996-08-13,8.81,9.56,9.62,8.81,506000.0,-0.0842
1996-08-14,8.88,8.94,8.94,8.75,92800.0,0.0079
1996-08-15,9.19,8.88,9.19,8.75,89400.0,0.0349
1996-08-16,9.06,9.19,9.19,9.06,23200.0,-0.0141
1996-08-19,8.75,9.0,9.06,8.75,29800.0,-0.0342
1996-08-20,8.38,8.69,8.69,8.38,17800.0,-0.042300000000000004
1996-08-21,7.88,8.19,8.19,7.69,197800.0,-0.059699999999999996
1996-08-22,9.12,7.94,9.12,7.94,116200.0,0.1574
1996-08-23,9.06,8.88,9.19,8.88,73000.0,-0.0066
1996-08-26,8.38,8.75,8.88,8.31,86800.0,-0.0751
1996-08-27,8.12,8.19,8.25,8.0,57200.0,-0.031
1996-08-28,8.94,8.44,9.12,8.44,119800.0,0.10099999999999999
1996-08-29,8.88,8.94,9.0,8.88,145600.0,-0.0067
1996-08-30,9.06,9.0,9.06,8.69,129800.00000000001,0.0203
1996-09-03,9.06,8.81,9.25,8.81,108600.0,0.0
1996-09-04,9.06,9.25,9.25,9.06,58800.0,0.0
1996-09-05,9.12,9.12,9.12,9.06,150200.0,0.0066
1996-09-06,9.12,9.06,9.12,9.06,3400.0,0.0
1996-09-09,11.19,9.12,11.44,9.06,711000.0,0.22699999999999998
1996-09-10,11.19,11.12,11.31,11.12,221200.0,0.0
1996-09-11,11.06,11.19,11.25,11.0,136200.0,-0.0116
1996-09-12,10.94,11.12,11.12,10.94,123000.0,-0.0108
1996-09-13,10.75,11.0,11.0,10.75,142800.0,-0.0174
1996-09-16,11.62,11.25,11.75,11.19,357400.0,0.0809
1996-09-17,11.56,11.88,12.62,11.56,141200.0,-0.0052
1996-09-18,11.88,11.75,12.12,11.69,269000.0,0.0277
