Date,Close,Open,High,Low,Volume,Change
1994-05-27,0.19,0.19,0.2,0.19,1260000.0,0.0
1994-05-31,0.2,0.2,0.2,0.19,631200.0,0.0526
1994-06-01,0.19,0.2,0.2,0.19,441600.0,-0.05
1994-06-02,0.19,0.19,0.2,0.19,912000.0,0.0
1994-06-03,0.2,0.19,0.2,0.19,176400.0,0.0526
1994-06-06,0.2,0.19,0.2,0.19,135600.0,0.0
1994-06-07,0.19,0.2,0.2,0.19,356400.0,-0.05
1994-06-08,0.19,0.19,0.2,0.19,692400.0,0.0
1994-06-09,0.18,0.19,0.19,0.18,2310000.0,-0.0526
1994-06-10,0.17,0.17,0.17,0.17,1270000.0,-0.0556
1994-06-13,0.16,0.17,0.17,0.16,134400.0,-0.0588
1994-06-14,0.16,0.17,0.17,0.16,86400.0,0.0
1994-06-15,0.16,0.16,0.16,0.16,52800.0,0.0
1994-06-16,0.16,0.16,0.16,0.16,92400.0,0.0
1994-06-17,0.16,0.16,0.16,0.16,729600.0,0.0
1994-06-20,0.16,0.16,0.16,0.16,656400.0,0.0
1994-06-21,0.16,0.16,0.16,0.15,265200.0,0.0
1994-06-22,0.15,0.15,0.15,0.15,648000.0,-0.0625
1994-06-23,0.15,0.16,0.16,0.15,698400.0,0.0
1994-06-24,0.15,0.15,0.15,0.14,241200.0,0.0
1994-06-27,0.13,0.14,0.14,0.13,849600.0,-0.1333
1994-06-28,0.14,0.14,0.14,0.13,504000.0,0.07690000000000001
1994-06-29,0.14,0.14,0.14,0.13,415200.0,0.0
1994-06-30,0.14,0.13,0.14,0.13,308400.0,0.0
1994-07-01,0.14,0.14,0.14,0.14,19200.0,0.0
1994-07-05,0.14,0.14,0.14,0.14,10800.0,0.0
1994-07-06,0.14,0.14,0.14,0.14,1340000.0,0.0
1994-07-07,0.14,0.14,0.15,0.14,753600.0,0.0
1994-07-08,0.15,0.15,0.15,0.14,561600.0,0.07139999999999999
1994-07-11,0.14,0.15,0.15,0.14,261600.00000000003,-0.0667
1994-07-12,0.15,0.14,0.15,0.14,790800.0,0.07139999999999999
1994-07-13,0.14,0.15,0.15,0.14,375600.0,-0.0667
1994-07-14,0.15,0.15,0.15,0.14,176400.0,0.07139999999999999
1994-07-15,0.15,0.14,0.15,0.14,51600.0,0.0
1994-07-18,0.15,0.15,0.15,0.15,32400.0,0.0
1994-07-19,0.16,0.15,0.16,0.15,1060000.0,0.0667
1994-07-20,0.16,0.16,0.16,0.16,146400.0,0.0
1994-07-21,0.16,0.16,0.16,0.16,85200.0,0.0
1994-07-22,0.16,0.16,0.16,0.16,144000.0,0.0
1994-07-25,0.15,0.16,0.16,0.15,319200.0,-0.0625
1994-07-26,0.15,0.15,0.15,0.15,122400.0,0.0
1994-07-27,0.14,0.15,0.15,0.14,391200.0,-0.0667
1994-07-28,0.14,0.14,0.14,0.14,84000.0,0.0
1994-07-29,0.14,0.14,0.14,0.14,7200.0,0.0
1994-08-01,0.14,0.14,0.15,0.14,55200.0,0.0
1994-08-02,0.14,0.14,0.15,0.14,64800.0,0.0
1994-08-03,0.16,0.15,0.16,0.15,386400.0,0.1429
1994-08-04,0.15,0.16,0.16,0.15,188400.0,-0.0625
1994-08-05,0.15,0.16,0.16,0.15,180000.0,0.0
1994-08-08,0.15,0.15,0.15,0.15,12000.0,0.0
1994-08-09,0.15,0.14,0.15,0.14,88800.0,0.0
1994-08-10,0.16,0.15,0.16,0.15,230400.0,0.0667
1994-08-11,0.17,0.16,0.17,0.16,106800.0,0.0625
1994-08-12,0.16,0.17,0.17,0.16,4800.0,-0.0588
1994-08-16,0.16,0.16,0.16,0.16,105600.0,0.0
1994-08-17,0.17,0.17,0.17,0.16,242400.0,0.0625
1994-08-18,0.16,0.18,0.18,0.16,156000.0,-0.0588
1994-08-19,0.17,0.17,0.17,0.16,122400.0,0.0625
1994-08-22,0.18,0.17,0.18,0.17,332400.0,0.0588
1994-08-23,0.17,0.18,0.18,0.17,74400.0,-0.0556
1994-08-24,0.17,0.18,0.18,0.17,80400.0,0.0
1994-08-25,0.17,0.17,0.18,0.17,175200.0,0.0
1994-08-26,0.17,0.17,0.17,0.17,9600.0,0.0
1994-08-29,0.17,0.17,0.17,0.17,57600.0,0.0
1994-08-30,0.17,0.17,0.17,0.17,9600.0,0.0
1994-08-31,0.17,0.17,0.17,0.17,28800.0,0.0
1994-09-01,0.16,0.17,0.17,0.16,270000.0,-0.0588
1994-09-02,0.16,0.17,0.17,0.15,326400.0,0.0
1994-09-06,0.15,0.15,0.15,0.15,121200.0,-0.0625
1994-09-07,0.16,0.16,0.16,0.16,12000.0,0.0667
1994-09-08,0.15,0.15,0.15,0.15,2400.0,-0.0625
1994-09-09,0.15,0.15,0.15,0.15,276000.0,0.0
1994-09-12,0.15,0.16,0.16,0.15,30000.0,0.0
1994-09-13,0.16,0.16,0.16,0.15,202800.0,0.0667
1994-09-14,0.15,0.15,0.15,0.15,58800.0,-0.0625
1994-09-15,0.15,0.15,0.15,0.15,16800.0,0.0
1994-09-16,0.15,0.15,0.15,0.15,96000.0,0.0
1994-09-19,0.15,0.15,0.15,0.15,243600.0,0.0
1994-09-20,0.15,0.15,0.15,0.15,199200.0,0.0
1994-09-21,0.15,0.15,0.15,0.15,86400.0,0.0
1994-09-22,0.15,0.15,0.15,0.15,38400.0,0.0
1994-09-26,0.15,0.15,0.16,0.15,148800.0,0.0
