Date,Close,Open,High,Low,Volume,Change
1980-03-18,1.15,1.15,1.17,1.14,2200000.0,-0.0086
1980-03-19,1.15,1.15,1.16,1.15,1040000.0,0.0
1980-03-20,1.15,1.15,1.15,1.14,1550000.0,0.0
1980-03-21,1.17,1.17,1.18,1.15,1760000.0,0.0174
1980-03-24,1.12,1.12,1.17,1.12,6290000.0,-0.042699999999999995
1980-03-25,1.12,1.12,1.13,1.12,1730000.0,0.0
1980-03-26,1.11,1.11,1.15,1.11,2750000.0,-0.0089
1980-03-27,1.12,1.12,1.13,1.11,1900000.0,0.009000000000000001
1980-03-28,1.22,1.22,1.22,1.17,2420000.0,0.08929999999999999
1980-03-31,1.28,1.28,1.28,1.24,2310000.0,0.0492
1980-04-01,1.29,1.29,1.29,1.27,3120000.0,0.0078000000000000005
1980-04-02,1.31,1.31,1.32,1.28,1820000.0,0.0155
1980-04-03,1.3,1.3,1.31,1.29,698400.0,-0.0076
1980-04-07,1.24,1.24,1.31,1.23,1840000.0,-0.0462
1980-04-08,1.26,1.26,1.26,1.22,1080000.0,0.0161
1980-04-09,1.27,1.27,1.28,1.26,1770000.0,0.0079
1980-04-10,1.28,1.28,1.28,1.24,653400.0,0.0079
1980-04-11,1.26,1.26,1.28,1.26,1110000.0,-0.015600000000000001
1980-04-14,1.22,1.22,1.26,1.22,1060000.0,-0.0317
1980-04-15,1.21,1.21,1.23,1.19,570600.0,-0.008199999999999999
1980-04-16,1.21,1.21,1.23,1.2,815400.0,0.0
1980-04-17,1.2,1.2,1.21,1.2,583200.0,-0.0083
1980-04-18,1.19,1.19,1.22,1.19,1160000.0,-0.0083
1980-04-21,1.19,1.19,1.22,1.19,464400.0,0.0
1980-04-22,1.23,1.23,1.24,1.19,3390000.0,0.0336
1980-04-23,1.25,1.25,1.25,1.22,1120000.0,0.0163
1980-04-24,1.31,1.31,1.32,1.25,2069999.9999999998,0.048
1980-04-25,1.31,1.31,1.31,1.25,1370000.0,0.0
1980-04-28,1.32,1.32,1.32,1.31,747000.0,0.0076
1980-04-29,1.3,1.3,1.33,1.3,1090000.0,-0.0152
1980-04-30,1.3,1.3,1.33,1.26,698400.0,0.0
1980-05-01,1.31,1.31,1.33,1.29,837000.0,0.0077
1980-05-02,1.36,1.36,1.36,1.31,1940000.0,0.0382
1980-05-05,1.37,1.37,1.37,1.34,2260000.0,0.0074
1980-05-06,1.37,1.37,1.39,1.36,4290000.0,0.0
1980-05-07,1.37,1.37,1.39,1.35,3730000.0,0.0
1980-05-08,1.37,1.37,1.38,1.37,1670000.0,0.0
1980-05-09,1.37,1.37,1.37,1.36,2130000.0,0.0
1980-05-12,1.35,1.35,1.37,1.35,783000.0,-0.0146
1980-05-13,1.4,1.4,1.4,1.36,5430000.0,0.037000000000000005
1980-05-14,1.42,1.42,1.43,1.4,3540000.0,0.0143
1980-05-15,1.44,1.44,1.44,1.42,3510000.0,0.0141
1980-05-16,1.44,1.44,1.46,1.44,1390000.0,0.0
1980-05-19,1.45,1.45,1.47,1.44,1480000.0,0.0069
1980-05-20,1.43,1.43,1.45,1.42,1370000.0,-0.0138
1980-05-21,1.4,1.4,1.42,1.38,2170000.0,-0.021
1980-05-22,1.4,1.4,1.41,1.39,1000000.0,0.0
1980-05-23,1.42,1.42,1.44,1.4,3570000.0,0.0143
1980-05-27,1.43,1.43,1.44,1.42,918000.0,0.006999999999999999
1980-05-28,1.42,1.42,1.42,1.4,2240000.0,-0.006999999999999999
1980-05-29,1.39,1.39,1.42,1.39,4280000.0,-0.021099999999999997
1980-05-30,1.42,1.42,1.43,1.37,1440000.0,0.0216
1980-06-02,1.42,1.42,1.43,1.41,815400.0,0.0
1980-06-03,1.41,1.41,1.42,1.4,2220000.0,-0.006999999999999999
1980-06-04,1.43,1.43,1.43,1.41,811800.0,0.014199999999999999
1980-06-05,1.44,1.44,1.45,1.42,2310000.0,0.006999999999999999
1980-06-06,1.44,1.44,1.44,1.42,1860000.0,0.0
1980-06-09,1.42,1.42,1.43,1.42,811800.0,-0.0139
1980-06-10,1.44,1.44,1.44,1.42,961200.0,0.0141
1980-06-11,1.42,1.42,1.43,1.39,3030000.0,-0.0139
1980-06-12,1.4,1.4,1.44,1.4,1480000.0,-0.0141
1980-06-13,1.4,1.4,1.42,1.39,799200.0,0.0
1980-06-16,1.43,1.43,1.44,1.4,889200.0,0.021400000000000002
1980-06-17,1.42,1.42,1.44,1.41,1410000.0,-0.006999999999999999
1980-06-18,1.42,1.42,1.43,1.41,995400.0,0.0
1980-06-19,1.4,1.4,1.42,1.4,1270000.0,-0.0141
1980-06-20,1.36,1.36,1.4,1.36,1670000.0,-0.0286
1980-06-23,1.33,1.33,1.35,1.33,4099999.9999999995,-0.022099999999999998
1980-06-24,1.35,1.35,1.35,1.32,1500000.0,0.015
1980-06-25,1.37,1.37,1.37,1.35,1910000.0,0.0148
1980-06-26,1.36,1.36,1.39,1.33,2120000.0,-0.0073
1980-06-27,1.35,1.35,1.37,1.35,1980000.0,-0.0074
1980-06-30,1.34,1.34,1.36,1.33,997200.0,-0.0074
1980-07-01,1.34,1.34,1.35,1.33,1090000.0,0.0
1980-07-02,1.36,1.36,1.38,1.34,1720000.0,0.0149
1980-07-03,1.37,1.37,1.37,1.35,1770000.0,0.0074
1980-07-07,1.41,1.41,1.41,1.38,1140000.0,0.0292
1980-07-08,1.44,1.44,1.44,1.4,3000000.0,0.0213
1980-07-09,1.43,1.43,1.44,1.42,1350000.0,-0.0069
1980-07-10,1.42,1.42,1.42,1.39,2320000.0,-0.006999999999999999
1980-07-11,1.4,1.4,1.41,1.39,3460000.0,-0.0141
1980-07-14,1.39,1.39,1.4,1.38,3000000.0,-0.0070999999999999995
1980-07-15,1.38,1.38,1.4,1.37,5030000.0,-0.0072
1980-07-16,1.38,1.38,1.38,1.37,2460000.0,0.0
1980-07-17,1.37,1.37,1.37,1.37,1280000.0,-0.0072
1980-07-18,1.37,1.37,1.4,1.36,10770000.0,0.0
1980-07-21,1.33,1.33,1.36,1.33,9420000.0,-0.0292
1980-07-22,1.35,1.35,1.37,1.34,8230000.0,0.015
1980-07-23,1.35,1.35,1.35,1.33,6510000.0,0.0
1980-07-24,1.39,1.39,1.4,1.35,4730000.0,0.0296
1980-07-25,1.41,1.41,1.41,1.38,2540000.0,0.0144
1980-07-28,1.44,1.44,1.45,1.4,2040000.0,0.0213
1980-07-29,1.49,1.49,1.49,1.44,3450000.0,0.0347
1980-07-30,1.51,1.51,1.51,1.48,3380000.0,0.0134
1980-07-31,1.51,1.51,1.52,1.48,4650000.0,0.0
1980-08-01,1.53,1.53,1.53,1.51,1650000.0,0.0132
1980-08-04,1.51,1.51,1.52,1.51,1830000.0,-0.0131
1980-08-05,1.51,1.51,1.52,1.51,2150000.0,0.0
1980-08-06,1.54,1.54,1.55,1.51,1550000.0,0.0199
1980-08-07,1.56,1.56,1.57,1.54,8600000.0,0.013000000000000001
1980-08-08,1.57,1.57,1.58,1.56,2570000.0,0.0064
1980-08-11,1.58,1.58,1.58,1.56,3670000.0,0.0064
1980-08-12,1.55,1.55,1.58,1.55,3780000.0,-0.019
1980-08-13,1.54,1.54,1.56,1.53,1430000.0,-0.006500000000000001
1980-08-14,1.56,1.56,1.56,1.53,2920000.0,0.013000000000000001
1980-08-15,1.56,1.56,1.58,1.56,6360000.0,0.0
1980-08-18,1.51,1.51,1.55,1.51,1050000.0,-0.0321
1980-08-19,1.49,1.49,1.51,1.49,1700000.0,-0.0132
1980-08-20,1.53,1.53,1.54,1.48,4560000.0,0.0268
1980-08-21,1.56,1.56,1.56,1.52,2240000.0,0.0196
1980-08-22,1.52,1.52,1.56,1.52,966600.0,-0.0256
