Date,Close,Open,High,Low,Volume,Change
1980-03-18,0.05,0.05,0.06,0.05,861540.0,0.0
1980-03-19,0.05,0.05,0.06,0.05,246450.0,0.0
1980-03-20,0.05,0.05,0.06,0.05,656100.0,0.0
1980-03-21,0.05,0.05,0.05,0.05,2089999.9999999998,0.0
1980-03-24,0.05,0.05,0.05,0.05,3280000.0,0.0
1980-03-25,0.05,0.05,0.05,0.05,328460.0,0.0
1980-03-26,0.05,0.05,0.05,0.05,1890000.0,0.0
1980-03-27,0.04,0.04,0.05,0.04,2300000.0,-0.2
1980-03-28,0.05,0.05,0.05,0.05,1930000.0,0.25
1980-03-31,0.05,0.05,0.05,0.05,2340000.0,0.0
1980-04-01,0.05,0.05,0.05,0.05,615500.0,0.0
1980-04-02,0.05,0.05,0.05,0.05,1850000.0,0.0
1980-04-03,0.05,0.05,0.05,0.05,123430.0,0.0
1980-04-07,0.05,0.05,0.05,0.05,984560.0,0.0
1980-04-08,0.05,0.05,0.05,0.05,779530.0,0.0
1980-04-09,0.06,0.06,0.06,0.06,4920000.0,0.2
1980-04-10,0.06,0.06,0.06,0.06,2870000.0,0.0
1980-04-11,0.06,0.06,0.06,0.06,410470.0,0.0
1980-04-14,0.06,0.06,0.06,0.06,451480.0,0.0
1980-04-15,0.06,0.06,0.06,0.06,451480.0,0.0
1980-04-16,0.06,0.06,0.06,0.06,246450.0,0.0
1980-04-17,0.06,0.06,0.06,0.06,205440.0,0.0
1980-04-18,0.06,0.06,0.06,0.06,410470.0,0.0
1980-04-22,0.06,0.06,0.06,0.06,5330000.0,0.0
1980-04-23,0.06,0.06,0.06,0.06,1350000.0,0.0
1980-04-24,0.06,0.06,0.06,0.06,1230000.0,0.0
1980-04-25,0.06,0.06,0.06,0.06,738520.0,0.0
1980-04-28,0.06,0.06,0.06,0.06,164030.0,0.0
1980-04-29,0.06,0.06,0.07,0.06,1850000.0,0.0
1980-04-30,0.06,0.06,0.07,0.06,2380000.0,0.0
1980-05-01,0.06,0.06,0.06,0.06,2049999.9999999998,0.0
1980-05-02,0.06,0.06,0.06,0.06,574500.0,0.0
1980-05-05,0.06,0.06,0.06,0.06,41420.0,0.0
1980-05-06,0.06,0.06,0.07,0.06,738520.0,0.0
1980-05-07,0.07,0.07,0.07,0.07,1070000.0,0.16670000000000001
1980-05-08,0.07,0.07,0.07,0.07,738520.0,0.0
1980-05-09,0.07,0.07,0.07,0.07,410470.0,0.0
1980-05-12,0.07,0.07,0.07,0.07,369470.0,0.0
1980-05-14,0.07,0.07,0.07,0.07,410470.0,0.0
1980-05-15,0.07,0.07,0.07,0.07,1230000.0,0.0
1980-05-16,0.07,0.07,0.07,0.07,1390000.0,0.0
1980-05-19,0.07,0.07,0.07,0.07,41420.0,0.0
1980-05-20,0.07,0.07,0.07,0.07,2210000.0,0.0
