Date,Close,Open,High,Low,Volume,Change
1997-06-26,67.5,68.12,69.38,66.88,83200.0,0.0
1997-06-27,66.88,68.12,68.75,66.88,33720.0,-0.0092
1997-06-30,67.5,68.75,68.75,67.5,4480.0,0.009300000000000001
1997-07-01,68.12,68.75,68.75,66.88,126940.0,0.0092
1997-07-02,68.75,68.75,68.75,67.5,77400.0,0.0092
1997-07-03,72.5,69.38,73.75,69.38,26620.0,0.0545
1997-07-07,83.12,73.75,83.75,73.75,109720.0,0.1465
1997-07-08,82.5,83.75,85.62,81.25,46360.0,-0.0075
1997-07-09,82.5,81.25,83.12,80.0,34680.0,0.0
1997-07-10,85.0,82.5,85.0,81.25,25820.0,0.030299999999999997
1997-07-11,90.62,85.62,93.12,84.38,37040.0,0.0661
1997-07-14,90.0,88.75,92.5,88.75,18280.0,-0.0068000000000000005
1997-07-15,87.5,88.75,88.75,83.75,61960.0,-0.0278
1997-07-16,86.25,87.5,90.0,84.38,9440.0,-0.0143
1997-07-17,87.5,87.5,87.5,84.38,6620.0,0.014499999999999999
1997-07-18,86.88,86.25,87.5,85.0,2820.0,-0.0070999999999999995
1997-07-21,87.5,86.25,87.5,85.62,4840.0,0.0070999999999999995
1997-07-22,92.5,87.5,92.5,85.0,16920.0,0.0571
1997-07-23,91.88,92.5,93.12,90.0,5280.0,-0.0067
1997-07-24,93.12,93.12,94.38,93.12,16680.0,0.013500000000000002
1997-07-25,90.62,95.0,95.0,90.62,5680.0,-0.0268
1997-07-28,93.12,92.5,93.12,91.88,4120.0,0.0276
1997-07-29,94.38,93.75,94.38,91.88,14220.0,0.013500000000000002
1997-07-30,93.12,95.0,95.0,92.5,3320.0,-0.0134
1997-07-31,93.12,92.5,95.0,92.5,4660.0,0.0
1997-08-01,93.12,93.12,93.75,93.12,2240.0,0.0
1997-08-04,91.25,95.0,95.0,90.62,12960.0,-0.020099999999999996
1997-08-05,87.5,90.62,90.62,86.25,4960.0,-0.041100000000000005
1997-08-06,85.0,85.0,87.5,81.88,9180.0,-0.0286
1997-08-07,85.62,87.5,88.12,85.62,5900.0,0.0073
1997-08-08,81.88,85.0,85.0,78.75,6900.0,-0.0437
1997-08-11,80.62,78.75,80.62,78.75,1780.0,-0.0154
1997-08-12,80.0,80.62,80.62,78.75,13740.0,-0.0077
1997-08-13,79.38,80.62,80.62,79.38,1700.0,-0.0078000000000000005
1997-08-14,80.62,79.38,80.62,79.38,500.0,0.015600000000000001
1997-08-15,80.0,79.38,80.62,79.38,6480.0,-0.0077
1997-08-18,80.62,79.38,80.62,79.38,2080.0,0.0078000000000000005
1997-08-19,80.62,80.62,80.62,79.38,380.0,0.0
1997-08-20,80.62,80.0,80.62,79.38,6660.0,0.0
1997-08-21,80.0,80.62,80.62,79.38,6960.0,-0.0077
1997-08-22,80.62,80.0,82.5,79.38,5860.0,0.0078000000000000005
1997-08-25,81.88,79.38,81.88,79.38,700.0,0.015600000000000001
1997-08-26,82.5,81.88,82.5,81.25,2820.0,0.0076
