Date,Close,Open,High,Low,Volume,Change
2013-06-21,17.5,16.75,17.72,16.5,181650.0,0.061200000000000004
2013-06-24,17.35,17.25,17.81,16.33,146260.0,-0.0086
2013-06-25,17.54,17.41,17.92,17.38,116310.0,0.011000000000000001
2013-06-26,16.05,16.82,17.0,15.7,1060000.0,-0.0849
2013-06-27,13.63,16.1,16.19,13.04,580510.0,-0.1508
2013-06-28,15.0,13.48,15.18,13.48,166110.0,0.1005
2013-07-01,15.0,14.85,15.07,14.42,59050.0,0.0
2013-07-02,16.13,15.51,17.39,15.04,90770.0,0.0753
2013-07-03,15.16,16.24,16.24,15.16,12960.0,-0.0601
2013-07-05,15.2,15.85,16.23,15.03,12600.0,0.0026
2013-07-08,15.92,15.2,15.92,15.19,72810.0,0.047400000000000005
2013-07-09,15.52,15.97,15.99,15.31,13830.0,-0.025099999999999997
2013-07-10,15.8,15.5,15.8,15.2,45300.0,0.018000000000000002
2013-07-11,16.34,16.03,16.5,15.83,87190.0,0.0342
2013-07-12,16.94,16.94,16.95,16.31,82140.0,0.036699999999999997
2013-07-15,17.17,17.37,17.7,16.22,188750.0,0.013600000000000001
2013-07-16,16.57,18.5,18.5,16.51,249750.0,-0.0349
2013-07-17,17.82,16.78,17.82,16.75,210830.0,0.0754
2013-07-18,18.4,18.0,18.47,17.88,149320.0,0.0325
2013-07-19,17.75,17.78,18.41,17.09,251300.0,-0.0353
2013-07-22,16.98,17.7,17.7,16.75,172050.0,-0.0434
2013-07-23,16.77,17.02,17.22,16.4,148790.0,-0.0124
2013-07-24,16.1,16.74,16.74,15.91,93700.0,-0.04
2013-07-25,16.14,16.11,16.23,15.5,84280.0,0.0025
2013-07-26,16.57,16.18,17.33,16.18,61370.0,0.026600000000000002
2013-07-29,16.55,16.67,16.87,16.35,15360.0,-0.0012
2013-07-30,15.58,16.77,16.89,15.58,239280.0,-0.058600000000000006
2013-07-31,15.66,15.49,16.04,14.41,87850.0,0.0051
2013-08-01,14.62,15.64,16.1,14.26,183140.0,-0.0664
2013-08-02,14.06,14.73,14.73,13.88,186810.0,-0.0383
2013-08-05,14.92,14.06,15.17,14.0,47000.0,0.061200000000000004
2013-08-06,14.53,15.0,15.2,14.31,195000.0,-0.026099999999999998
2013-08-07,14.86,14.49,15.83,14.42,156070.0,0.0227
2013-08-08,14.95,15.08,15.7,14.71,206690.0,0.0060999999999999995
2013-08-09,15.42,15.2,16.0,15.2,18670.0,0.031400000000000004
2013-08-12,15.46,15.35,15.71,14.86,52590.0,0.0026
2013-08-13,15.0,15.58,15.58,14.56,103000.0,-0.0298
2013-08-14,15.64,15.18,15.75,14.35,179340.0,0.042699999999999995
2013-08-15,15.55,15.02,15.58,15.02,17270.0,-0.0058
2013-08-16,15.66,15.58,16.1,15.44,19870.0,0.0070999999999999995
2013-08-19,15.86,15.5,16.0,15.5,15670.0,0.0128
2013-08-20,15.63,15.99,16.03,15.44,43890.0,-0.014499999999999999
2013-08-21,15.59,15.56,15.75,15.34,6200.0,-0.0026
2013-08-22,16.15,15.73,16.16,15.0,27050.0,0.0359
2013-08-23,15.82,15.94,16.52,15.04,6820.0,-0.0204
2013-08-26,16.2,16.03,16.99,15.56,24000.0,0.024
2013-08-27,16.57,16.36,16.91,16.36,15500.0,0.022799999999999997
2013-08-28,16.62,16.54,17.32,16.34,43390.0,0.003
2013-08-29,17.49,16.96,17.51,16.96,25260.0,0.052300000000000006
2013-08-30,17.94,17.64,18.25,17.64,91160.0,0.025699999999999997
2013-09-03,18.15,19.09,19.09,17.76,84310.0,0.011699999999999999
2013-09-04,18.74,18.3,18.95,17.95,237780.0,0.0325
2013-09-05,19.1,18.95,19.25,18.6,32610.0,0.0192
2013-09-06,19.07,19.45,19.45,18.67,11630.0,-0.0016
2013-09-09,20.88,19.11,21.01,18.13,142610.0,0.0949
2013-09-10,21.86,21.01,22.37,20.83,151410.0,0.046900000000000004
2013-09-11,20.4,21.99,21.99,19.58,65230.00000000001,-0.0668
2013-09-12,20.42,20.49,20.85,20.0,70290.0,0.001
2013-09-13,21.34,21.2,21.9,20.3,69390.0,0.0451
2013-09-16,20.78,21.43,21.44,20.3,82550.0,-0.0262
2013-09-17,19.76,20.35,20.89,19.39,58880.0,-0.049100000000000005
2013-09-18,19.73,19.66,19.74,18.35,69890.0,-0.0015
2013-09-19,19.52,19.77,20.15,19.03,47420.0,-0.0106
2013-09-20,17.88,18.77,19.32,17.46,125050.0,-0.084
2013-09-23,22.48,17.9,24.38,17.9,552490.0,0.25730000000000003
2013-09-24,21.39,22.37,23.0,20.25,212300.0,-0.048499999999999995
2013-09-25,21.84,21.4,22.23,20.84,126440.0,0.021
2013-09-26,21.45,21.99,22.51,20.53,124390.0,-0.0179
2013-09-27,21.37,21.77,21.77,20.17,168070.0,-0.0037
2013-09-30,21.46,21.31,21.79,19.85,906000.0,0.0042
2013-10-01,22.39,21.45,22.42,20.78,182080.0,0.0433
2013-10-02,20.36,22.3,22.3,20.19,94950.0,-0.0907
2013-10-03,19.39,20.31,20.6,19.2,109950.0,-0.047599999999999996
2013-10-04,19.03,19.27,19.6,18.84,75360.0,-0.018600000000000002
2013-10-07,19.11,18.83,19.34,18.83,51030.0,0.0042
2013-10-08,16.84,19.05,19.84,16.52,158970.0,-0.1188
2013-10-09,16.87,16.8,17.22,15.35,248780.0,0.0018
2013-10-10,17.43,17.24,17.59,15.59,140650.0,0.0332
2013-10-11,17.2,18.41,18.41,16.45,104710.0,-0.0132
2013-10-14,17.76,17.05,18.28,16.8,113590.0,0.0326
2013-10-15,18.28,17.67,18.91,16.9,88300.0,0.029300000000000003
2013-10-16,18.44,18.21,18.64,17.39,63470.0,0.0088
2013-10-17,19.47,18.41,19.67,18.41,91420.0,0.0559
2013-10-18,19.24,19.47,19.79,18.67,48560.0,-0.0118
2013-10-21,20.52,19.2,20.75,18.5,76660.0,0.0665
2013-10-22,21.24,20.5,21.93,20.39,263270.0,0.0351
2013-10-23,20.73,21.08,21.95,17.74,105720.0,-0.024
2013-10-24,20.48,20.66,20.78,20.35,71660.0,-0.0121
2013-10-25,20.71,20.57,20.77,20.34,429330.0,0.011200000000000002
2013-10-28,20.43,20.66,20.98,19.93,57110.0,-0.013500000000000002
2013-10-29,19.82,20.42,20.5,19.25,87120.0,-0.029900000000000003
2013-10-30,18.29,19.8,19.8,18.2,38650.0,-0.07719999999999999
2013-10-31,18.04,18.27,19.0,17.69,75970.0,-0.0137
2013-11-01,17.5,17.87,19.0,16.51,338330.0,-0.029900000000000003
2013-11-04,18.29,17.51,18.38,16.57,214970.0,0.0451
2013-11-05,17.98,18.27,18.9,17.97,67700.0,-0.0169
2013-11-06,17.25,18.12,18.33,16.9,279860.0,-0.0406
2013-11-07,16.7,17.27,17.3,16.17,101990.0,-0.0319
2013-11-08,16.86,16.68,17.31,16.66,61780.0,0.0096
2013-11-11,17.03,16.86,17.2,16.25,83360.0,0.0101
2013-11-12,16.42,16.96,17.12,15.62,138390.0,-0.0358
2013-11-13,16.31,16.34,16.65,16.05,41420.0,-0.0067
2013-11-14,15.87,17.29,17.34,15.42,114350.0,-0.027000000000000003
2013-11-15,14.56,15.86,16.1,14.48,259360.0,-0.0825
2013-11-18,13.59,14.59,14.73,13.15,88260.0,-0.0666
2013-11-19,14.16,13.56,14.31,13.27,79400.0,0.04190000000000001
2013-11-20,14.06,15.25,15.25,13.93,95290.0,-0.0070999999999999995
2013-11-21,14.75,14.04,15.52,13.81,53860.0,0.049100000000000005
2013-11-22,14.75,14.78,15.48,14.69,50820.0,0.0
2013-11-25,14.71,14.68,14.89,14.33,18570.0,-0.0027
