Date,Close,Open,High,Low,Volume,Change
2019-09-27,25.24,26.17,26.17,23.75,15980000.0,-0.0202
2019-09-30,25.1,25.26,25.85,25.0,4480000.0,-0.0055000000000000005
2019-10-01,22.51,25.0,25.17,22.51,8820000.0,-0.1032
2019-10-02,22.6,22.25,23.18,21.76,9450000.0,0.004
2019-10-03,22.33,22.49,22.82,21.14,8279999.999999999,-0.011899999999999999
2019-10-04,23.01,22.35,23.42,22.31,3230000.0,0.0305
2019-10-07,23.51,23.07,24.33,22.49,2740000.0,0.0217
2019-10-08,23.21,23.6,23.9,22.33,2900000.0,-0.0128
2019-10-09,24.0,23.63,24.8,23.25,3180000.0,0.034
2019-10-10,23.14,24.1,24.2,22.8,3490000.0,-0.0358
2019-10-11,22.39,23.1,23.4,22.11,3400000.0,-0.032400000000000005
2019-10-14,21.47,22.17,22.28,21.4,2650000.0,-0.041100000000000005
2019-10-15,23.45,21.51,23.68,21.51,2870000.0,0.0922
2019-10-16,23.03,23.54,23.54,22.46,2460000.0,-0.0179
2019-10-17,23.86,23.0,23.96,23.0,1190000.0,0.036000000000000004
2019-10-18,23.52,24.3,24.68,23.12,3390000.0,-0.014199999999999999
2019-10-21,22.26,23.99,24.37,21.77,8039999.999999999,-0.0536
2019-10-22,21.16,22.67,22.7,20.93,5880000.0,-0.049400000000000006
2019-10-23,21.08,21.13,21.74,20.46,4940000.0,-0.0038
2019-10-24,21.34,21.24,21.45,20.7,2690000.0,0.0123
2019-10-25,22.4,21.13,23.09,21.0,2520000.0,0.049699999999999994
2019-10-28,21.46,22.55,22.67,21.45,4160000.0,-0.042
2019-10-29,23.18,21.57,24.16,21.43,5130000.0,0.0801
2019-10-30,23.72,23.32,23.73,22.66,2500000.0,0.0233
2019-10-31,23.87,23.49,23.94,22.91,1910000.0,0.0063
2019-11-01,24.99,23.87,25.3,23.75,4890000.0,0.046900000000000004
2019-11-04,24.61,25.3,26.5,23.54,6020000.0,-0.0152
2019-11-05,22.74,24.05,24.25,22.25,13500000.0,-0.076
2019-11-06,23.02,22.93,23.2,22.29,3800000.0,0.0123
2019-11-07,22.63,23.02,23.31,22.41,2840000.0,-0.0169
2019-11-08,23.52,22.45,23.55,22.25,2920000.0,0.0393
2019-11-11,24.04,23.44,24.17,22.45,2920000.0,0.022099999999999998
2019-11-12,24.69,24.32,24.99,24.19,2370000.0,0.027000000000000003
2019-11-13,25.98,24.46,26.85,24.15,6300000.0,0.052199999999999996
2019-11-14,25.93,26.2,26.26,25.4,3040000.0,-0.0019
2019-11-15,27.23,26.01,28.82,25.71,7310000.0,0.0501
2019-11-18,30.25,27.34,30.36,26.24,9090000.0,0.1109
2019-11-19,29.24,29.99,32.01,28.8,6980000.0,-0.0334
2019-11-20,29.1,29.09,29.99,27.75,2570000.0,-0.0048
2019-11-21,29.8,29.13,30.0,28.66,1730000.0,0.0241
2019-11-22,29.36,30.11,30.65,28.9,1650000.0,-0.0148
2019-11-25,30.87,29.49,31.11,29.49,2920000.0,0.051399999999999994
2019-11-26,30.96,31.41,31.5,29.75,2220000.0,0.0029
2019-11-27,32.16,31.05,33.07,29.85,4230000.0,0.0388
2019-11-29,35.23,32.66,35.75,32.51,5680000.0,0.0955
2019-12-02,36.84,35.3,37.02,32.96,6610000.0,0.045700000000000005
2019-12-03,33.48,35.91,36.0,33.14,7870000.0,-0.09119999999999999
2019-12-04,32.96,34.78,35.3,31.22,8630000.0,-0.0155
2019-12-05,31.31,33.65,33.65,30.51,6510000.0,-0.0501
