Date,Close,Open,High,Low,Volume,Change
1995-01-26,3.2,3.0,3.4,3.0,766500.0,0.042300000000000004
1995-01-27,3.2,3.3,3.3,3.13,516750.0,0.0
1995-01-30,3.2,3.27,3.27,3.13,257250.0,0.0
1995-01-31,3.2,3.13,3.27,3.13,10880.0,0.0
1995-02-01,3.13,3.2,3.27,3.13,89250.0,-0.0219
1995-02-02,3.13,3.27,3.27,3.13,95250.0,0.0
1995-02-03,3.47,3.27,3.47,3.2,481130.0,0.10859999999999999
1995-02-06,3.33,3.33,3.53,3.33,59250.0,-0.0403
1995-02-07,3.33,3.53,3.53,3.33,24750.0,0.0
1995-02-08,3.33,3.4,3.47,3.33,279380.0,0.0
1995-02-09,3.33,3.33,3.4,3.33,42000.0,0.0
1995-02-10,3.33,3.33,3.4,3.33,20630.0,0.0
1995-02-13,3.33,3.4,3.4,3.33,2250.0,0.0
1995-02-14,3.3,3.4,3.4,3.3,34500.0,-0.009000000000000001
1995-02-15,3.27,3.27,3.27,3.27,22130.0,-0.0091
1995-02-16,3.4,3.27,3.4,3.27,159750.0,0.0398
1995-02-17,3.37,3.4,3.4,3.3,382880.0,-0.0088
1995-02-21,3.53,3.4,3.53,3.4,72000.0,0.0475
1995-02-22,3.67,3.53,3.67,3.4,90000.0,0.0397
1995-02-23,3.67,3.53,3.67,3.53,151500.0,0.0
1995-02-24,3.73,3.67,3.93,3.67,131630.0,0.0163
1995-02-27,3.73,3.87,3.87,3.73,303750.0,0.0
1995-02-28,4.07,3.73,4.2,3.73,298130.0,0.09119999999999999
1995-03-01,4.2,4.27,4.47,4.07,600380.0,0.0319
1995-03-02,4.2,4.2,4.2,4.07,154130.0,0.0
1995-03-03,4.07,4.2,4.2,4.07,13500.0,-0.031
1995-03-06,4.07,4.13,4.13,4.0,33750.0,0.0
1995-03-07,3.93,4.0,4.13,3.93,66380.0,-0.0344
1995-03-08,4.13,4.07,4.13,4.0,156000.0,0.0509
1995-03-09,4.13,4.0,4.13,4.0,6750.0,0.0
1995-03-10,4.0,4.0,4.13,4.0,46880.0,-0.0315
1995-03-13,4.0,4.0,4.0,4.0,56250.0,0.0
1995-03-14,3.9,3.87,3.9,3.87,6000.0,-0.025
1995-03-15,3.9,4.0,4.0,3.9,19500.0,0.0
1995-03-16,3.73,3.8,3.87,3.6,52500.0,-0.0436
1995-03-17,3.67,3.73,3.73,3.6,72000.0,-0.0161
1995-03-20,3.73,3.73,3.73,3.73,3000.0,0.0163
1995-03-21,3.6,3.6,3.73,3.6,75380.0,-0.0349
1995-03-23,3.6,3.67,3.67,3.6,750.0,0.0
1995-03-24,3.73,3.73,3.87,3.73,238130.0,0.0361
1995-03-27,3.97,3.97,4.0,3.87,82880.0,0.0643
1995-03-28,4.0,4.0,4.13,4.0,108750.0,0.0076
1995-03-29,4.07,4.0,4.13,4.0,363750.0,0.0175
1995-03-30,4.13,4.0,4.13,4.0,181130.0,0.0147
1995-03-31,4.13,4.0,4.13,4.0,165380.0,0.0
1995-04-03,4.0,4.13,4.13,4.0,74630.0,-0.0315
1995-04-04,4.3,4.13,4.3,4.07,170630.0,0.075
1995-04-05,4.2,4.2,4.33,4.2,31500.0,-0.0233
1995-04-06,4.13,4.13,4.27,4.13,3380.0,-0.0167
1995-04-07,4.2,4.13,4.2,4.13,55130.0,0.0169
1995-04-10,4.27,4.13,4.27,4.07,5250.0,0.0167
1995-04-11,4.27,4.17,4.33,4.17,116250.0,0.0
1995-04-12,4.27,4.27,4.4,4.27,9750.0,0.0
1995-04-13,4.27,4.47,4.47,4.27,9000.0,0.0
1995-04-17,4.67,4.27,4.67,4.27,333000.0,0.09369999999999999
1995-04-18,5.4,4.67,5.4,4.6,631880.0,0.1563
1995-04-19,5.27,5.4,5.47,5.07,524250.0,-0.0241
1995-04-20,5.07,5.27,5.27,5.07,76130.0,-0.038
1995-04-21,5.37,5.2,5.4,5.2,233250.0,0.0592
1995-04-24,5.37,5.33,5.37,5.27,6380.0,0.0
1995-04-25,5.23,5.13,5.37,5.13,10500.0,-0.026099999999999998
1995-04-26,5.35,5.2,5.4,5.2,58130.0,0.0229
1995-04-27,5.4,5.47,5.47,5.27,9380.0,0.009300000000000001
1995-04-28,5.67,5.47,5.87,5.27,192380.0,0.05
1995-05-01,6.27,5.87,6.4,5.67,104250.0,0.1058
1995-05-02,6.0,6.13,6.33,5.87,145500.0,-0.0431
1995-05-03,6.0,5.77,6.0,5.73,54750.0,0.0
1995-05-04,5.13,5.87,6.0,5.07,199130.0,-0.145
1995-05-05,5.27,5.07,5.27,4.93,41250.0,0.0273
1995-05-08,5.33,5.27,5.53,5.27,58500.0,0.011399999999999999
1995-05-09,5.67,5.53,5.67,5.33,97880.0,0.0638
1995-05-10,5.4,5.67,5.67,5.4,1880.0,-0.047599999999999996
1995-05-11,5.63,5.6,5.7,5.47,990000.0,0.0426
1995-05-12,6.07,5.63,6.07,5.63,205130.0,0.0782
1995-05-15,5.93,5.73,5.93,5.73,1500.0,-0.0231
1995-05-16,6.07,5.73,6.07,5.73,48750.0,0.0236
1995-05-17,5.73,5.97,6.0,5.73,25880.0,-0.055999999999999994
1995-05-18,5.93,5.93,5.93,5.73,55880.0,0.0349
1995-05-19,5.6,5.87,5.87,5.27,56250.0,-0.0556
1995-05-23,5.27,5.6,5.6,5.27,750.0,-0.058899999999999994
1995-05-24,5.47,5.27,5.6,5.27,14630.0,0.038
1995-05-25,5.67,5.33,5.67,5.33,7500.0,0.0366
