Date,Close,Open,High,Low,Volume,Change
2006-01-12,1.05,1.05,1.05,1.05,60330.0,0.0
2006-01-13,1.0,1.05,1.05,0.95,9660.0,-0.047599999999999996
2006-01-17,0.95,0.95,0.98,0.95,10020.0,-0.05
2006-01-18,0.95,0.95,0.95,0.95,500.0,0.0
2006-01-19,0.95,0.95,0.95,0.95,420.0,0.0
2006-01-20,0.95,1.0,1.0,0.95,15450.0,0.0
2006-01-23,0.96,0.95,0.96,0.95,14280.0,0.0105
2006-01-24,0.95,0.95,0.95,0.95,500.0,-0.0104
2006-01-25,0.95,0.95,0.95,0.95,500.0,0.0
2006-01-26,0.95,0.95,0.95,0.95,860.0,0.0
2006-01-27,0.99,1.0,1.0,0.99,2310.0,0.0421
2006-01-30,1.05,1.05,1.05,1.05,10000.0,0.060599999999999994
2006-02-03,0.95,0.95,0.95,0.95,1480.0,-0.09519999999999999
2006-02-10,1.0,1.0,1.0,1.0,500.0,0.0526
2006-02-14,0.95,0.95,0.95,0.95,1000.0,-0.05
2006-02-15,0.95,0.95,0.95,0.95,150.0,0.0
2006-02-17,0.95,0.95,0.95,0.95,2000.0,0.0
2006-02-21,0.95,0.95,0.95,0.95,1260.0,0.0
2006-03-03,0.95,0.95,0.95,0.95,2000.0,0.0
2006-03-17,0.95,0.95,0.95,0.95,460.0,0.0
2006-04-04,0.95,0.95,0.95,0.95,1000.0,0.0
2006-04-05,0.95,0.95,0.95,0.95,1000.0,0.0
2006-04-06,0.85,0.95,0.95,0.85,10100.0,-0.10529999999999999
2006-05-16,1.05,1.05,1.05,1.05,1500.0,0.2353
2006-05-26,1.05,1.05,1.05,1.05,100.0,0.0
2006-06-02,0.85,0.85,0.85,0.85,1500.0,-0.1905
2006-06-13,1.05,1.05,1.05,1.05,1000.0,0.2353
2006-06-14,1.05,1.05,1.05,1.05,1000.0,0.0
2006-07-07,1.01,1.0,1.01,1.0,640.0,-0.0381
2006-07-13,0.73,0.8,0.8,0.73,15200.0,-0.2772
2006-07-14,0.74,0.74,0.74,0.74,7500.0,0.0137
2006-08-25,0.95,1.01,1.01,0.95,450.0,0.2838
2006-08-31,1.01,1.01,1.01,1.01,1000.0,0.0632
2006-10-06,0.7,0.7,0.7,0.7,100.0,-0.3069
2006-10-12,1.05,1.05,1.05,1.05,150.0,0.5
2006-11-01,0.7,0.7,0.7,0.7,1000.0,-0.3333
2006-11-02,0.7,0.7,0.7,0.56,30000.0,0.0
2006-11-07,0.7,0.7,0.7,0.7,450.0,0.0
2006-11-08,0.65,0.65,0.65,0.65,6000.0,-0.07139999999999999
2006-11-27,0.75,0.75,0.75,0.75,100.0,0.15380000000000002
2006-11-28,0.6,0.6,0.6,0.6,600.0,-0.2
2006-12-18,0.55,0.63,0.63,0.55,6100.0,-0.0833
2006-12-19,0.6,0.54,0.6,0.51,12500.0,0.0909
2006-12-20,0.59,0.59,0.59,0.59,20000.0,-0.0167
2006-12-29,0.55,0.6,0.6,0.55,12000.0,-0.0678
2007-01-03,0.8,0.54,0.8,0.54,18750.0,0.4545
2007-01-05,0.55,0.55,0.55,0.55,100.0,-0.3125
2007-01-10,0.51,0.57,0.57,0.51,8900.0,-0.0727
2007-01-18,0.51,0.51,0.51,0.51,5000.0,0.0
2007-01-25,0.51,0.51,0.51,0.51,5000.0,0.0
2007-01-26,0.51,0.51,0.51,0.51,150.0,0.0
2007-02-01,0.55,0.55,0.55,0.55,2500.0,0.0784
2007-02-02,0.55,0.55,0.55,0.55,33500.0,0.0
2007-02-06,0.55,0.55,0.6,0.55,95850.0,0.0
2007-02-12,0.55,0.55,0.55,0.55,2500.0,0.0
2007-02-16,0.55,0.55,0.55,0.55,600.0,0.0
2007-02-20,0.55,0.55,0.55,0.55,7000.0,0.0
2007-02-22,0.55,0.55,0.55,0.55,5000.0,0.0
2007-02-26,0.57,0.57,0.57,0.57,10200.0,0.0364
2007-02-27,0.6,0.57,0.6,0.57,15800.0,0.0526
2007-02-28,0.6,0.6,0.6,0.6,6150.0,0.0
2007-03-06,0.54,0.54,0.54,0.54,4000.0,-0.1
2007-03-07,0.54,0.54,0.54,0.54,5100.0,0.0
2007-03-08,0.55,0.6,0.6,0.53,77200.0,0.018500000000000003
2007-03-13,0.6,0.6,0.6,0.6,18850.0,0.0909
2007-03-26,0.69,0.69,0.69,0.69,1000.0,0.15
2007-03-28,0.51,0.51,0.51,0.51,12500.0,-0.2609
2007-03-29,0.6,0.6,0.6,0.6,2000.0,0.1765
2007-04-03,0.49,0.5,0.5,0.49,17500.0,-0.1833
2007-04-04,0.53,0.51,0.53,0.51,23000.0,0.0816
2007-04-05,0.47,0.47,0.47,0.47,3000.0,-0.11320000000000001
2007-04-13,0.47,0.47,0.47,0.47,1000.0,0.0
2007-04-19,0.52,0.49,0.58,0.49,7000.0,0.10640000000000001
2007-04-23,0.57,0.57,0.57,0.57,2000.0,0.0962
2007-04-26,0.55,0.57,0.57,0.55,10000.0,-0.0351
2007-05-01,0.56,0.56,0.56,0.56,5000.0,0.0182
2007-05-03,0.55,0.55,0.55,0.55,600.0,-0.0179
2007-05-07,0.66,0.66,0.66,0.66,700.0,0.2
2007-05-08,0.65,0.66,0.66,0.65,11210.0,-0.0152
2007-05-09,0.6,0.62,0.62,0.6,7500.0,-0.07690000000000001
2007-05-15,0.6,0.6,0.6,0.6,6460.0,0.0
2007-05-18,0.59,0.6,0.6,0.59,12210.0,-0.0167
2007-05-21,0.59,0.59,0.59,0.59,20000.0,0.0
2007-05-22,0.6,0.6,0.6,0.6,16000.0,0.0169
2007-05-24,0.6,0.64,0.64,0.6,35500.0,0.0
2007-05-25,0.6,0.6,0.65,0.6,22500.0,0.0
2007-05-31,0.62,0.64,0.64,0.62,15000.0,0.0333
2007-06-05,0.65,0.68,0.68,0.65,5000.0,0.0484
2007-06-12,0.65,0.64,0.65,0.64,4500.0,0.0
2007-06-13,0.62,0.64,0.64,0.62,22500.0,-0.0462
2007-06-15,0.62,0.62,0.62,0.6,23500.0,0.0
2007-06-25,0.65,0.65,0.65,0.65,2000.0,0.0484
2007-06-26,0.6,0.6,0.6,0.6,7500.0,-0.07690000000000001
2007-06-28,0.61,0.61,0.62,0.6,36000.0,0.0167
2007-06-29,0.6,0.65,0.65,0.6,10100.0,-0.016399999999999998
2007-07-02,0.61,0.61,0.61,0.61,12500.0,0.0167
2007-07-03,0.65,0.65,0.65,0.65,47500.0,0.06559999999999999
2007-07-06,0.7,0.7,0.7,0.7,2000.0,0.07690000000000001
2007-07-09,0.7,0.7,0.7,0.7,25000.0,0.0
2007-07-10,0.73,0.73,0.73,0.73,20000.0,0.0429
2007-07-11,0.7,0.75,0.75,0.7,40500.0,-0.041100000000000005
2007-07-12,0.75,0.75,0.75,0.75,2500.0,0.07139999999999999
2007-07-16,0.75,0.75,0.75,0.7,39500.0,0.0
2007-07-17,0.76,0.75,0.78,0.75,144870.0,0.013300000000000001
2007-07-18,0.77,0.77,0.78,0.75,66600.0,0.0132
2007-07-19,0.77,0.78,0.8,0.77,58030.0,0.0
2007-07-20,0.79,0.8,0.8,0.78,155190.0,0.026000000000000002
2007-07-23,0.8,0.76,0.8,0.75,11100.0,0.0127
2007-07-24,0.78,0.77,0.8,0.77,15000.0,-0.025
2007-07-25,0.8,0.8,0.82,0.8,58760.0,0.0256
2007-07-26,0.82,0.82,0.82,0.82,8100.0,0.025
2007-07-27,0.81,0.82,0.82,0.81,10000.0,-0.012199999999999999
2007-07-30,0.75,0.78,0.8,0.75,46830.0,-0.0741
2007-07-31,0.81,0.8,0.82,0.78,125570.0,0.08
2007-08-01,0.82,0.79,0.83,0.79,85410.0,0.0123
2007-08-02,0.81,0.82,0.82,0.81,101360.0,-0.012199999999999999
2007-08-03,0.8,0.8,0.8,0.8,2480.0,-0.0123
2007-08-06,0.8,0.75,0.81,0.75,47400.0,0.0
2007-08-07,0.76,0.81,0.81,0.76,74200.0,-0.05
2007-08-08,0.78,0.8,0.81,0.76,34850.0,0.0263
2007-08-09,0.8,0.8,0.8,0.7,19100.0,0.0256
2007-08-10,0.75,0.74,0.75,0.74,23200.0,-0.0625
2007-08-13,0.78,0.78,0.78,0.78,14100.0,0.04
2007-08-14,0.7,0.78,0.8,0.7,41350.0,-0.1026
2007-08-15,0.73,0.7,0.74,0.68,40800.0,0.0429
2007-08-16,0.74,0.74,0.74,0.69,45500.0,0.0137
2007-08-20,0.68,0.68,0.74,0.68,94760.0,-0.08109999999999999
2007-08-21,0.65,0.7,0.7,0.65,23500.0,-0.0441
2007-08-22,0.62,0.62,0.62,0.61,29000.0,-0.0462
2007-08-23,0.61,0.62,0.62,0.6,56500.0,-0.0161
2007-08-24,0.69,0.65,0.69,0.65,8580.0,0.1311
2007-08-27,0.7,0.67,0.7,0.67,25700.0,0.014499999999999999
2007-08-28,0.6,0.67,0.7,0.6,34000.0,-0.1429
2007-08-29,0.66,0.61,0.66,0.6,32850.0,0.1
2007-08-30,0.6,0.6,0.6,0.59,24630.0,-0.0909
2007-08-31,0.67,0.56,0.72,0.56,35350.0,0.1167
2007-09-04,0.65,0.6,0.65,0.56,11400.0,-0.029900000000000003
2007-09-05,0.51,0.57,0.65,0.49,91870.0,-0.21539999999999998
2007-09-06,0.51,0.51,0.65,0.51,10800.0,0.0
2007-09-07,0.54,0.55,0.55,0.52,21680.0,0.0588
2007-09-10,0.5,0.5,0.5,0.5,20820.0,-0.0741
2007-09-12,0.55,0.51,0.55,0.51,7500.0,0.1
2007-09-13,0.53,0.55,0.55,0.53,21000.0,-0.0364
2007-09-14,0.53,0.52,0.55,0.52,19800.0,0.0
2007-09-17,0.53,0.53,0.53,0.53,5500.0,0.0
