Date,Close,Open,High,Low,Volume,Change
2005-08-11,15.0,14.76,15.38,14.76,337740.0,0.0149
2005-08-12,15.54,14.81,15.83,14.81,171290.0,0.036000000000000004
2005-08-15,15.54,15.49,15.81,14.28,300070.0,0.0
2005-08-16,15.58,15.25,15.58,15.25,98520.0,0.0026
2005-08-17,15.44,14.77,15.44,14.58,183610.0,-0.009000000000000001
2005-08-18,15.25,15.2,15.49,15.2,53070.0,-0.0123
2005-08-19,15.2,15.2,15.39,15.0,53480.0,-0.0033
2005-08-22,15.0,15.0,15.1,14.96,29400.0,-0.0132
2005-08-23,15.72,14.96,15.72,14.91,123960.0,0.048
2005-08-24,15.5,15.25,15.71,15.25,33580.0,-0.013999999999999999
2005-08-25,15.29,15.49,15.49,15.05,34790.0,-0.013500000000000002
2005-08-26,15.49,15.0,15.49,15.0,49470.0,0.0131
2005-08-29,15.25,15.01,15.31,15.0,93300.0,-0.0155
2005-08-30,15.39,15.28,15.39,15.05,59230.0,0.0092
2005-08-31,15.58,14.99,15.67,14.66,100730.0,0.0123
2005-09-01,15.73,15.34,15.97,15.34,77590.0,0.0096
2005-09-02,15.68,15.97,15.97,15.49,20340.0,-0.0032
2005-09-06,15.73,15.58,15.73,15.49,44690.0,0.0032
2005-09-07,15.55,15.88,15.88,15.49,53630.0,-0.011399999999999999
2005-09-08,15.59,15.54,15.97,15.33,107990.0,0.0026
2005-09-09,15.73,15.93,15.93,15.49,27410.0,0.009000000000000001
2005-09-12,15.52,15.65,15.97,15.49,26450.0,-0.0134
2005-09-13,16.0,15.29,16.0,15.29,39080.0,0.030899999999999997
2005-09-14,15.97,15.83,16.14,15.73,32729.999999999996,-0.0019
2005-09-15,16.21,15.97,16.46,15.29,63850.0,0.015
2005-09-16,16.27,16.1,16.46,15.97,55490.0,0.0037
2005-09-19,16.63,16.46,16.84,16.17,233330.0,0.022099999999999998
2005-09-20,16.79,16.69,17.11,16.64,72270.0,0.0096
2005-09-21,16.66,16.79,16.79,15.97,54460.0,-0.0077
2005-09-22,16.37,16.46,16.52,16.19,91180.0,-0.0174
2005-09-23,16.46,16.26,16.5,16.26,41870.0,0.0055000000000000005
2005-09-26,16.26,16.75,16.75,15.79,52980.0,-0.012199999999999999
2005-09-27,16.46,16.41,16.5,15.97,83550.0,0.0123
2005-09-28,16.43,16.26,16.45,16.07,16520.0,-0.0018
2005-09-29,16.56,16.25,16.56,16.25,149800.0,0.0079
2005-09-30,15.44,16.46,16.55,15.25,602070.0,-0.0676
2005-10-03,16.01,15.47,16.19,15.15,115060.0,0.0369
2005-10-04,16.34,16.27,16.59,15.7,94900.0,0.0206
2005-10-05,15.93,16.84,16.84,15.93,28680.0,-0.025099999999999997
2005-10-06,15.91,15.86,16.12,15.38,37260.0,-0.0013
2005-10-07,16.1,15.95,16.67,15.49,156720.0,0.011899999999999999
2005-10-10,16.63,17.42,17.69,16.46,637340.0,0.0329
2005-10-11,16.19,16.79,16.79,16.07,210270.0,-0.0265
2005-10-12,15.96,16.4,16.43,15.88,71490.0,-0.014199999999999999
2005-10-13,15.73,16.04,16.31,15.68,88300.0,-0.0144
2005-10-14,15.94,15.96,16.12,15.68,29910.0,0.0134
2005-10-17,15.91,16.03,16.37,15.69,80290.0,-0.0019
2005-10-18,15.69,15.73,16.08,15.59,69780.0,-0.0138
2005-10-19,15.69,15.6,15.77,15.25,120010.0,0.0
2005-10-20,15.15,15.58,15.86,14.6,162190.0,-0.0344
2005-10-21,15.49,15.04,15.49,15.04,168310.0,0.022400000000000003
2005-10-24,15.48,15.49,15.49,15.39,31160.0,-0.0006
2005-10-25,15.44,15.23,15.49,15.23,70890.0,-0.0026
2005-10-26,15.0,15.34,15.34,14.77,73610.0,-0.0285
2005-10-27,15.1,15.0,15.23,14.9,29240.0,0.0067
2005-10-28,15.16,15.2,15.39,15.02,31990.0,0.004
