Date,Close,Open,High,Low,Volume,Change
2016-04-28,18.73,18.5,19.1,18.5,1950000.0,0.0016
2016-04-29,18.64,18.7,18.93,18.5,1300000.0,-0.0048
2016-05-02,18.87,18.98,19.15,18.66,403520.0,0.0123
2016-05-03,18.96,18.67,19.07,18.55,424370.0,0.0048
2016-05-04,18.78,18.9,18.99,18.58,610030.0,-0.0095
2016-05-05,18.8,18.75,18.99,18.65,780520.0,0.0011
2016-05-06,18.87,18.8,18.93,18.64,857880.0,0.0037
2016-05-09,18.9,18.76,19.08,18.75,760660.0,0.0016
2016-05-10,18.99,18.87,19.18,18.79,901270.0,0.0048
2016-05-11,19.23,19.2,19.55,19.11,1520000.0,0.0126
2016-05-12,19.5,19.22,19.56,18.58,1070000.0,0.013999999999999999
2016-05-13,19.17,19.42,19.6,19.12,361770.0,-0.0169
2016-05-16,19.54,19.07,19.76,19.05,330660.0,0.019299999999999998
2016-05-17,19.4,19.1,19.7,19.1,457130.0,-0.0072
2016-05-18,19.44,19.1,19.59,19.1,152670.0,0.0021
2016-05-19,19.31,19.15,19.59,19.03,436050.0,-0.0067
2016-05-20,19.32,19.04,19.44,19.04,443970.0,0.0005
2016-05-23,19.37,19.5,19.58,19.16,1110000.0,0.0026
2016-05-24,19.58,19.82,19.82,19.28,883860.0,0.0108
2016-05-25,19.74,19.55,19.84,19.17,577920.0,0.008199999999999999
2016-05-26,19.84,19.93,19.95,19.7,420180.0,0.0051
2016-05-27,20.11,19.93,20.36,19.73,592070.0,0.013600000000000001
2016-05-31,20.39,20.14,20.65,19.64,786320.0,0.0139
2016-06-01,20.16,20.44,20.65,19.83,862520.0,-0.0113
2016-06-02,20.49,20.05,20.74,19.58,1040000.0,0.016399999999999998
2016-06-03,20.46,20.38,20.77,19.93,248480.0,-0.0015
2016-06-06,20.5,20.66,21.1,20.33,960830.0,0.002
2016-06-07,20.85,20.42,21.49,20.0,788030.0,0.0171
2016-06-08,21.18,20.83,21.52,20.5,680840.0,0.0158
2016-06-09,21.69,20.96,21.9,20.82,722360.0,0.0241
2016-06-10,21.72,21.52,22.09,21.1,548550.0,0.0014000000000000002
2016-06-13,22.01,21.68,22.38,21.52,740910.0,0.0134
2016-06-14,22.09,21.95,22.2,21.52,550080.0,0.0036
2016-06-15,22.52,22.09,22.84,22.06,664040.0,0.0195
2016-06-16,22.41,22.44,22.6,22.0,733750.0,-0.0049
2016-06-17,22.05,22.49,22.5,21.92,3250000.0,-0.0161
2016-06-20,22.45,22.13,22.51,21.84,436400.0,0.0181
2016-06-21,22.83,22.44,23.01,22.38,1160000.0,0.0169
2016-06-22,22.7,22.84,23.13,22.5,578770.0,-0.005699999999999999
2016-06-23,22.5,22.6,23.28,21.71,944080.0,-0.0088
2016-06-24,21.38,21.57,22.15,21.36,4130000.0,-0.049800000000000004
2016-06-27,20.95,21.42,22.02,20.64,1020000.0,-0.020099999999999996
2016-06-28,21.06,21.18,21.7,20.72,546480.0,0.0053
2016-06-29,21.16,21.69,21.91,21.09,653460.0,0.004699999999999999
2016-06-30,21.98,21.2,21.99,20.82,1020000.0,0.0388
2016-07-01,22.05,22.18,22.27,21.44,600680.0,0.0032
2016-07-05,21.77,21.99,22.0,21.45,1060000.0,-0.0127
2016-07-06,22.15,21.68,22.18,21.62,468360.0,0.0175
2016-07-07,22.16,22.11,22.44,21.87,381890.0,0.0005
2016-07-08,22.27,22.33,22.5,22.12,259130.0,0.005
2016-07-11,22.27,22.43,22.69,22.15,403110.0,0.0
2016-07-12,22.51,22.39,22.74,22.39,296330.0,0.0108
2016-07-13,22.42,22.5,22.75,22.37,164250.0,-0.004
2016-07-14,22.34,22.67,22.72,22.07,284050.0,-0.0036
2016-07-15,22.41,22.49,22.52,21.79,166540.0,0.0031
2016-07-18,22.53,22.44,22.65,22.31,192860.0,0.0054
2016-07-19,22.51,22.47,22.75,22.36,300250.0,-0.0009
2016-07-20,22.48,22.54,22.72,22.0,349680.0,-0.0013
2016-07-21,22.05,22.4,22.55,21.67,284620.0,-0.0191
2016-07-22,22.09,22.04,22.74,22.02,212200.0,0.0018
2016-07-25,22.11,22.1,22.21,21.98,165040.0,0.0009
2016-07-26,22.69,22.06,22.76,22.06,323320.0,0.0262
2016-07-27,23.14,22.69,23.16,22.56,253710.0,0.019799999999999998
2016-07-28,22.9,23.04,23.43,22.83,365490.0,-0.0104
2016-07-29,23.01,22.88,23.21,22.67,179580.0,0.0048
2016-08-01,22.65,23.11,23.87,22.57,394160.0,-0.015600000000000001
2016-08-02,22.97,22.67,23.48,22.4,233010.0,0.0141
2016-08-03,23.2,22.95,23.36,22.72,153860.0,0.01
2016-08-04,22.63,23.24,23.38,22.4,436800.0,-0.0246
2016-08-05,22.75,22.71,23.68,22.38,228370.0,0.0053
2016-08-08,22.93,22.71,23.0,22.57,161270.0,0.0079
2016-08-09,22.74,22.96,23.42,22.4,548550.0,-0.0083
2016-08-10,22.21,22.71,23.02,21.84,451460.0,-0.0233
2016-08-11,22.34,22.08,22.96,22.0,236110.0,0.0059
2016-08-12,22.03,22.33,22.5,21.9,563040.0,-0.0139
2016-08-15,21.91,22.03,22.29,21.77,593710.0,-0.0054
2016-08-16,23.05,21.47,23.44,20.8,891150.0,0.052000000000000005
2016-08-17,22.89,23.06,23.11,22.34,512010.0,-0.0069
2016-08-18,22.92,22.82,23.13,22.31,375740.0,0.0013
2016-08-19,22.81,22.82,22.82,22.27,464090.0,-0.0048
2016-08-22,22.84,22.73,22.88,22.51,558570.0,0.0013
2016-08-23,22.68,22.82,23.22,22.62,625480.0,-0.006999999999999999
2016-08-24,22.21,22.68,22.83,22.19,305680.0,-0.0207
2016-08-25,22.23,22.14,22.65,21.85,187800.0,0.0009
2016-08-26,22.23,22.18,22.54,22.0,204150.0,0.0
2016-08-29,22.15,22.19,22.53,22.09,135720.0,-0.0036
2016-08-30,22.31,22.12,22.61,22.07,191920.0,0.0072
2016-08-31,22.54,22.35,22.65,22.07,169830.0,0.0103
2016-09-01,22.84,22.55,23.17,22.44,317030.0,0.013300000000000001
2016-09-02,22.37,22.86,23.06,22.18,236770.0,-0.0206
2016-09-06,22.31,22.36,22.5,22.02,185080.0,-0.0027
2016-09-07,22.21,22.24,22.3,21.91,221170.0,-0.0045000000000000005
2016-09-08,21.98,22.25,22.49,21.94,214270.0,-0.0104
2016-09-09,21.44,22.03,22.07,21.29,253300.0,-0.0246
2016-09-12,21.55,21.41,21.68,21.21,261260.0,0.0051
2016-09-13,20.8,21.6,22.49,20.58,972860.0,-0.0348
2016-09-14,21.05,20.84,21.18,20.84,577800.0,0.012
2016-09-15,21.31,20.95,21.74,20.95,523870.0,0.0124
2016-09-16,21.49,21.4,21.53,21.0,463860.0,0.0084
2016-09-19,21.88,21.65,22.24,21.64,273200.0,0.0181
2016-09-20,21.83,21.94,22.03,21.79,148760.0,-0.0023
2016-09-21,21.98,21.94,22.11,21.56,279040.0,0.0069
2016-09-22,22.72,22.04,22.72,22.04,242390.0,0.0337
2016-09-23,23.07,22.56,23.19,22.52,160350.0,0.0154
2016-09-26,23.13,22.9,23.19,22.8,141950.0,0.0026
2016-09-27,22.89,23.04,23.04,22.18,303580.0,-0.0104
2016-09-28,22.99,22.99,23.21,22.68,641960.0,0.0044
2016-09-29,22.88,22.87,23.1,22.67,656730.0,-0.0048
2016-09-30,23.59,22.99,23.7,22.7,803490.0,0.031
2016-10-03,23.05,23.71,23.75,22.92,406250.0,-0.0229
2016-10-04,22.92,23.1,23.1,22.71,228690.0,-0.005600000000000001
2016-10-05,23.41,23.0,23.46,22.94,276010.0,0.021400000000000002
2016-10-06,23.31,23.3,23.44,23.03,128120.0,-0.0043
2016-10-07,23.07,23.3,23.46,22.75,184630.0,-0.0103
2016-10-10,23.29,23.35,23.56,23.12,202700.0,0.0095
2016-10-11,22.96,23.33,23.33,22.8,174750.0,-0.014199999999999999
2016-10-12,22.75,22.88,22.98,22.52,328450.0,-0.0091
2016-10-13,22.5,22.55,22.69,22.14,135920.0,-0.011000000000000001
2016-10-14,22.41,22.67,22.84,22.36,97260.0,-0.004
2016-10-17,22.24,22.4,22.59,22.15,170240.0,-0.0076
2016-10-18,22.01,22.31,22.47,21.87,216070.0,-0.0103
2016-10-19,22.04,21.98,22.3,21.9,82600.0,0.0014000000000000002
2016-10-20,22.4,21.92,22.52,21.92,87980.0,0.0163
2016-10-21,22.52,22.18,22.6,22.18,83660.0,0.0054
2016-10-24,22.67,22.63,22.75,22.06,180140.0,0.0067
2016-10-25,22.5,22.59,23.0,22.48,165510.0,-0.0075
2016-10-26,22.43,22.26,22.58,22.12,115410.0,-0.0031
2016-10-27,22.12,22.56,22.56,22.02,148210.0,-0.0138
2016-10-28,22.35,22.16,22.42,22.09,89230.0,0.0104
2016-10-31,21.9,22.38,22.38,21.56,492530.0,-0.020099999999999996
2016-11-01,22.21,21.98,22.5,21.82,314350.0,0.014199999999999999
2016-11-02,21.87,22.28,22.31,21.76,338490.0,-0.015300000000000001
2016-11-03,21.33,21.86,21.92,21.14,469020.0,-0.024700000000000003
2016-11-04,21.66,21.26,21.99,21.1,279200.0,0.0155
2016-11-07,22.32,22.04,22.43,21.82,486370.0,0.0305
