Date,Close,Open,High,Low,Volume,Change
1987-05-20,6.03,6.03,6.09,6.03,76280.0,0.0
1987-05-21,6.03,6.03,6.09,6.03,47700.0,0.0
1987-05-22,6.14,6.14,6.2,6.14,173030.0,0.0182
1987-05-26,6.09,6.09,6.2,6.09,29930.0,-0.008100000000000001
1987-05-27,6.09,6.09,6.2,6.09,41630.0,0.0
1987-05-28,6.09,6.09,6.14,6.09,23180.0,0.0
1987-05-29,6.14,6.14,6.2,6.14,44780.0,0.008199999999999999
1987-06-01,6.14,6.14,6.2,6.14,10800.0,0.0
1987-06-02,6.09,6.09,6.2,6.09,36900.0,-0.008100000000000001
1987-06-03,6.09,6.09,6.2,6.09,67730.0,0.0
1987-06-04,6.09,6.09,6.2,6.09,4500.0,0.0
1987-06-05,6.09,6.09,6.2,6.09,44780.0,0.0
1987-06-08,6.09,6.09,6.2,6.09,8780.0,0.0
1987-06-09,6.03,6.03,6.2,6.03,25650.0,-0.009899999999999999
1987-06-10,5.98,5.98,6.14,5.98,21150.0,-0.0083
1987-06-11,5.92,5.92,6.14,5.92,15980.0,-0.01
1987-06-12,5.92,5.92,6.09,5.92,28800.0,0.0
1987-06-15,5.98,5.98,6.09,5.98,17780.0,0.0101
1987-06-16,5.92,5.92,6.09,5.92,19580.0,-0.01
1987-06-17,5.87,5.87,6.03,5.87,10800.0,-0.0084
1987-06-18,5.81,5.81,5.98,5.81,14180.0,-0.0102
1987-06-19,5.76,5.76,5.92,5.76,17550.0,-0.0086
1987-06-22,5.76,5.76,5.92,5.76,3600.0,0.0
1987-06-23,5.7,5.7,5.92,5.7,7200.0,-0.0104
1987-06-24,5.59,5.59,5.7,5.59,14400.0,-0.019299999999999998
1987-06-25,5.59,5.59,5.7,5.59,5850.0,0.0
1987-06-26,5.59,5.59,5.7,5.59,4500.0,0.0
1987-06-29,5.48,5.48,5.7,5.48,14180.0,-0.0197
1987-06-30,5.54,5.54,5.7,5.54,26550.0,0.0109
1987-07-01,5.54,5.54,5.7,5.54,1130.0,0.0
