Date,Close,Open,High,Low,Volume,Change
1995-11-22,29.38,28.5,29.88,28.38,622800.0,0.0493
1995-11-24,32.5,29.5,32.75,29.5,469600.0,0.10619999999999999
1995-11-27,30.25,33.0,33.0,29.75,424900.0,-0.0692
1995-11-28,29.25,30.0,30.0,29.0,215400.0,-0.0331
1995-11-29,28.38,29.12,29.25,28.0,163900.0,-0.0297
1995-11-30,25.62,28.12,28.25,25.62,272600.0,-0.0973
1995-12-01,27.75,26.0,28.25,26.0,199000.0,0.08310000000000001
1995-12-04,27.0,27.88,27.88,26.5,90000.0,-0.027000000000000003
1995-12-05,26.12,26.75,27.12,25.88,92100.0,-0.0326
1995-12-06,25.25,26.0,26.5,25.0,126200.0,-0.0333
1995-12-07,24.75,25.12,25.12,24.12,165600.0,-0.019799999999999998
1995-12-08,25.62,25.0,25.88,25.0,75200.0,0.0352
1995-12-11,26.38,25.75,26.5,25.25,51100.0,0.0297
1995-12-12,26.12,26.12,26.38,25.75,50100.0,-0.009899999999999999
1995-12-13,26.5,26.12,26.62,26.12,48300.0,0.014499999999999999
1995-12-14,25.62,26.88,27.12,25.5,79300.0,-0.0332
1995-12-15,24.75,25.62,25.62,24.75,151600.0,-0.034
1995-12-18,23.88,25.0,25.0,22.75,169300.0,-0.0352
1995-12-19,23.88,24.0,24.25,23.88,46000.0,0.0
1995-12-20,23.5,24.12,24.12,22.75,55700.0,-0.0159
1995-12-21,23.75,23.62,23.75,23.5,30100.0,0.0106
1995-12-22,22.62,23.75,24.0,22.25,89900.0,-0.047599999999999996
1995-12-26,22.62,22.25,22.88,21.5,149100.0,0.0
1995-12-27,23.38,22.75,23.75,22.75,82300.0,0.0336
1995-12-28,23.25,23.5,23.88,23.0,102800.0,-0.005600000000000001
1995-12-29,23.75,23.0,23.75,22.0,199300.0,0.0215
1996-01-02,24.0,23.75,24.38,23.25,36200.0,0.0105
1996-01-03,24.75,24.0,25.5,24.0,78900.0,0.0313
1996-01-04,24.0,24.5,24.88,23.75,52800.0,-0.030299999999999997
1996-01-05,24.0,23.88,24.25,23.88,20600.0,0.0
1996-01-08,24.12,24.12,24.25,24.0,6000.0,0.005
1996-01-09,24.12,24.25,24.75,24.0,18500.0,0.0
1996-01-10,23.5,24.25,24.25,23.5,42400.0,-0.025699999999999997
1996-01-11,23.75,23.25,24.0,23.25,49200.0,0.0106
1996-01-12,23.25,24.0,24.0,23.12,66100.0,-0.021099999999999997
1996-01-15,22.12,23.12,23.38,22.0,58700.0,-0.048600000000000004
1996-01-16,22.12,22.12,22.25,21.88,56500.0,0.0
1996-01-17,21.88,22.0,22.5,21.88,26100.0,-0.0108
1996-01-18,22.0,21.75,22.12,21.75,12400.0,0.0055000000000000005
1996-01-19,22.25,22.25,23.0,21.88,28100.0,0.011399999999999999
1996-01-22,22.5,22.5,22.75,22.25,15900.0,0.011200000000000002
1996-01-23,21.62,22.25,22.38,21.5,53000.0,-0.0391
1996-01-24,21.5,21.5,21.62,20.88,88700.0,-0.005600000000000001
1996-01-25,21.25,21.5,21.88,21.25,57000.0,-0.0116
1996-01-26,21.5,21.25,21.62,21.12,19600.0,0.0118
1996-01-29,21.12,21.5,21.62,21.0,23700.0,-0.0177
1996-01-30,21.25,21.0,21.62,21.0,16900.0,0.0062
1996-01-31,21.25,21.38,21.38,21.12,21900.0,0.0
1996-02-01,21.25,21.12,21.25,21.12,18900.0,0.0
1996-02-02,21.12,21.12,21.25,21.12,21900.0,-0.0060999999999999995
1996-02-05,21.12,21.25,21.25,21.0,23400.0,0.0
1996-02-06,21.0,21.0,21.25,21.0,34800.0,-0.005699999999999999
1996-02-07,20.5,21.0,21.12,20.5,89200.0,-0.023799999999999998
1996-02-08,18.75,20.38,20.38,18.75,141300.0,-0.08539999999999999
1996-02-09,18.38,18.75,19.0,17.38,113700.0,-0.0197
1996-02-12,21.12,20.25,21.25,20.0,197100.0,0.1491
1996-02-13,22.38,21.25,22.62,21.0,138800.0,0.059699999999999996
1996-02-14,22.25,22.62,22.75,21.88,60000.0,-0.0058
1996-02-15,20.75,22.25,22.25,20.75,70200.0,-0.0674
1996-02-16,21.38,21.0,21.38,20.25,34700.0,0.0304
1996-02-20,21.12,21.38,21.38,21.0,26600.0,-0.012199999999999999
1996-02-21,22.0,21.62,22.0,21.62,34400.0,0.0417
1996-02-22,21.25,22.12,22.25,21.25,25300.0,-0.0341
1996-02-23,21.38,21.5,21.88,21.38,27000.0,0.0060999999999999995
1996-02-26,22.25,21.5,22.25,21.25,28500.0,0.0407
1996-02-27,23.0,23.25,23.25,22.75,99900.0,0.0337
1996-02-28,22.5,22.75,23.0,22.25,46000.0,-0.0217
1996-02-29,21.88,22.25,22.25,21.62,20300.0,-0.0276
1996-03-01,21.38,21.88,22.12,21.0,74800.0,-0.0229
1996-03-04,21.25,21.5,21.5,20.88,18500.0,-0.0060999999999999995
1996-03-05,21.12,21.25,21.38,21.0,18900.0,-0.0060999999999999995
1996-03-06,20.62,20.88,20.88,20.5,17900.0,-0.023700000000000002
1996-03-07,21.0,20.62,21.0,20.62,13800.0,0.0184
1996-03-08,20.12,20.75,20.75,19.88,68300.0,-0.04190000000000001
1996-03-11,19.5,20.0,20.5,19.38,134200.0,-0.0308
1996-03-12,19.0,19.12,19.5,19.0,52900.0,-0.0256
1996-03-13,19.0,19.12,19.25,18.75,98500.0,0.0
1996-03-14,19.0,19.25,19.25,18.88,38900.0,0.0
1996-03-15,18.88,19.0,19.12,18.88,27600.0,-0.0063
1996-03-18,19.75,19.12,19.75,19.12,56400.0,0.0461
1996-03-19,19.88,19.75,20.25,19.75,119900.0,0.0066
