Date,Close,Open,High,Low,Volume,Change
2021-02-05,39.12,37.9,42.88,35.55,2840000.0,0.11449999999999999
2021-02-08,38.2,40.51,42.74,38.2,1360000.0,-0.0235
2021-02-09,40.21,37.87,40.21,37.8,1030000.0,0.0526
2021-02-10,43.5,40.66,44.6,39.9,2930000.0,0.0818
2021-02-11,43.2,42.75,44.49,40.28,840980.0,-0.0069
2021-02-12,39.87,43.14,43.14,39.23,316050.0,-0.0771
2021-02-16,38.78,40.66,41.5,37.3,346430.0,-0.0273
2021-02-17,35.0,38.63,38.63,34.06,620920.0,-0.0975
2021-02-18,35.2,34.22,35.75,33.12,397060.0,0.005699999999999999
2021-02-19,35.33,35.55,37.44,35.1,496860.0,0.0037
2021-02-22,37.85,35.02,38.58,34.75,505230.0,0.0713
2021-02-23,32.51,35.82,35.82,31.71,525350.0,-0.1411
2021-02-24,34.65,33.49,35.9,33.05,341280.0,0.0658
2021-02-25,32.05,34.7,34.83,31.72,246280.0,-0.075
2021-02-26,30.74,32.26,32.73,29.99,374400.0,-0.0409
2021-03-01,33.26,31.28,34.45,30.05,390620.0,0.08199999999999999
2021-03-02,29.86,33.4,33.97,29.79,399770.0,-0.10220000000000001
2021-03-03,24.48,30.11,30.11,24.43,674070.0,-0.1802
2021-03-04,23.04,24.93,25.32,21.21,1520000.0,-0.0588
2021-03-05,23.9,23.49,25.16,21.22,820730.0,0.0373
2021-03-08,23.6,24.43,26.35,22.32,501020.0,-0.0126
2021-03-09,27.7,24.13,28.5,24.13,871080.0,0.17370000000000002
2021-03-10,26.71,28.51,30.2,26.24,507450.0,-0.035699999999999996
2021-03-11,27.07,27.11,28.32,26.19,364000.0,0.013500000000000002
2021-03-12,30.87,27.5,31.41,27.0,530490.0,0.1404
2021-03-15,29.37,31.31,31.31,28.88,610470.0,-0.048600000000000004
2021-03-16,29.68,29.51,30.27,28.04,838840.0,0.0106
2021-03-17,31.9,28.85,32.64,28.42,450490.0,0.0748
2021-03-18,29.87,31.51,31.66,29.35,332930.0,-0.0636
2021-03-19,32.21,30.38,33.37,30.23,2950000.0,0.0783
2021-03-22,33.03,32.0,33.19,31.57,169030.0,0.0255
2021-03-23,32.35,32.84,32.84,31.66,217020.0,-0.0206
2021-03-24,32.0,32.35,32.35,30.83,362630.0,-0.0108
2021-03-25,30.51,30.22,31.5,29.45,708320.0,-0.0466
2021-03-26,31.16,30.13,31.64,30.13,359060.0,0.0213
2021-03-29,31.01,31.02,31.52,30.25,316090.0,-0.0048
2021-03-30,31.57,30.36,32.07,30.0,350200.0,0.0181
2021-03-31,33.47,31.64,33.65,31.12,247100.0,0.0602
2021-04-01,32.0,33.8,33.8,31.8,285760.0,-0.043899999999999995
2021-04-05,32.04,32.39,32.55,31.75,205780.0,0.0013
2021-04-06,32.0,32.39,32.68,31.51,333720.0,-0.0012
2021-04-07,32.03,31.88,32.37,31.4,208880.0,0.0009
2021-04-08,32.14,32.24,32.37,31.74,203360.0,0.0034000000000000002
2021-04-09,31.38,32.03,32.03,30.59,856270.0,-0.0236
2021-04-12,26.41,31.22,31.22,26.06,453260.0,-0.15839999999999999
2021-04-13,24.2,26.72,27.09,24.15,428800.0,-0.0837
2021-04-14,25.04,24.5,26.65,24.3,437990.0,0.0347
2021-04-15,24.48,25.42,25.95,23.71,258100.00000000003,-0.022400000000000003
2021-04-16,25.2,24.64,25.73,23.91,229030.0,0.0294
2021-04-19,23.9,24.94,25.48,23.04,275560.0,-0.0516
2021-04-20,23.23,23.83,24.24,22.91,164430.0,-0.027999999999999997
