Date,Close,Open,High,Low,Volume,Change
2004-03-24,19.45,19.33,19.5,18.97,504950.0,-0.001
2004-03-25,19.35,19.35,19.44,19.1,209700.0,-0.0051
2004-03-26,19.39,19.45,19.45,19.15,293130.0,0.0021
2004-03-29,19.24,19.2,19.6,19.2,153520.0,-0.0077
2004-03-30,19.48,19.3,19.62,19.0,124030.0,0.0125
2004-03-31,20.94,19.6,20.95,19.31,248320.0,0.07490000000000001
2004-04-01,21.55,20.85,21.7,20.12,112130.0,0.0291
2004-04-02,21.3,22.01,22.01,21.01,92200.0,-0.0116
2004-04-05,20.94,21.4,21.4,20.7,53860.0,-0.0169
2004-04-06,20.75,20.7,21.41,20.7,55140.0,-0.0091
2004-04-07,20.71,20.72,21.17,20.7,22020.0,-0.0019
2004-04-08,20.65,20.65,21.22,20.65,13790.0,-0.0029
2004-04-12,20.55,20.65,20.8,20.55,118870.0,-0.0048
2004-04-13,20.75,20.55,20.8,20.55,127330.0,0.0097
2004-04-14,20.65,20.63,20.7,20.5,78700.0,-0.0048
2004-04-15,19.91,20.49,20.6,19.85,55640.0,-0.0358
2004-04-16,20.73,19.8,20.9,19.8,58690.0,0.0412
2004-04-19,20.8,20.3,20.88,20.25,43960.0,0.0034000000000000002
2004-04-20,20.74,20.8,21.0,20.25,88740.0,-0.0029
2004-04-21,20.8,20.49,20.8,20.49,8290.0,0.0029
2004-04-22,21.79,20.58,21.79,20.58,31660.0,0.047599999999999996
2004-04-23,22.2,21.0,22.2,21.0,22250.0,0.018799999999999997
2004-04-26,23.14,22.2,23.2,22.18,19740.0,0.042300000000000004
2004-04-27,22.8,23.2,23.2,22.78,34720.0,-0.0147
2004-04-28,22.75,22.95,22.95,22.75,84070.0,-0.0022
2004-04-29,22.71,22.9,23.35,22.7,69840.0,-0.0018
2004-04-30,23.53,22.75,23.9,22.75,29440.0,0.0361
2004-05-03,24.02,23.22,24.02,22.75,33610.0,0.0208
2004-05-04,23.78,24.05,24.05,22.75,10820.0,-0.01
2004-05-05,23.79,24.0,24.0,23.61,24920.0,0.0004
2004-05-06,24.23,23.5,24.26,23.5,26440.0,0.018500000000000003
2004-05-07,24.55,24.26,25.35,24.22,57020.0,0.0132
2004-05-10,24.5,25.1,25.1,23.55,69210.0,-0.002
2004-05-11,23.7,24.5,25.0,23.51,13940.0,-0.0327
2004-05-12,23.97,23.7,25.0,23.7,20700.0,0.011399999999999999
2004-05-13,23.25,24.18,24.18,23.25,7780.0,-0.03
2004-05-14,23.8,23.81,23.81,23.07,11250.0,0.023700000000000002
2004-05-17,23.94,23.74,23.95,23.5,35010.0,0.0059
2004-05-18,24.14,24.0,24.31,23.09,41340.0,0.0084
2004-05-19,25.11,23.82,25.11,23.82,10250.0,0.04019999999999999
2004-05-20,24.65,24.88,25.04,24.4,20850.0,-0.0183
2004-05-21,24.5,24.65,25.09,24.22,28870.0,-0.0060999999999999995
2004-05-24,24.85,24.37,24.85,23.8,21110.0,0.0143
2004-05-25,25.01,24.22,25.05,24.2,14040.0,0.0064
2004-05-26,24.29,24.98,25.41,24.27,28190.0,-0.0288
2004-05-27,24.21,25.0,25.05,24.1,13470.0,-0.0033
2004-05-28,25.05,24.58,25.1,24.57,99590.0,0.0347
2004-06-01,26.0,25.3,26.74,25.05,50410.0,0.0379
2004-06-02,26.87,26.99,26.99,26.14,10940.0,0.0335
2004-06-03,26.75,26.74,26.75,26.0,15810.0,-0.0045000000000000005
2004-06-04,25.38,26.75,26.75,25.15,74550.0,-0.0512
2004-06-07,25.36,25.25,25.79,25.25,14080.0,-0.0008
2004-06-08,25.4,26.0,26.0,25.2,3820.0,0.0016
2004-06-09,25.22,25.51,25.51,25.22,10150.0,-0.0070999999999999995
2004-06-10,25.18,25.45,25.45,25.16,14230.0,-0.0016
2004-06-14,24.2,25.4,25.4,24.2,18850.0,-0.038900000000000004
2004-06-15,24.45,24.3,24.45,24.1,11680.0,0.0103
2004-06-16,25.25,25.3,25.3,24.12,23790.0,0.0327
2004-06-17,25.03,25.24,25.24,25.03,18830.0,-0.0087
2004-06-18,25.04,25.19,25.19,24.56,22440.0,0.0004
2004-06-21,25.16,25.03,25.23,24.99,8300.0,0.0048
2004-06-22,25.25,25.24,25.25,24.38,9610.0,0.0036
2004-06-23,25.25,25.25,25.25,24.13,122550.0,0.0
2004-06-24,24.85,25.24,25.24,24.09,68750.0,-0.0158
2004-06-25,24.9,23.99,24.9,23.96,435220.0,0.002
2004-06-28,23.04,23.89,23.89,21.4,186420.0,-0.0747
2004-06-29,23.57,22.9,23.74,22.9,76380.0,0.023
2004-06-30,23.75,23.45,24.05,23.45,96990.0,0.0076
2004-07-01,24.9,23.99,24.9,23.96,97560.0,0.0484
2004-07-02,24.99,24.85,25.03,24.4,37740.0,0.0036
2004-07-06,25.15,25.05,25.25,24.42,27140.0,0.0064
2004-07-07,24.92,25.0,25.13,24.83,10260.0,-0.0091
2004-07-08,24.02,24.84,25.18,23.97,13040.0,-0.0361
2004-07-09,24.06,25.04,25.04,23.84,9330.0,0.0017000000000000001
2004-07-12,24.39,24.35,24.39,23.8,29810.0,0.0137
2004-07-13,23.99,24.21,24.21,23.96,43060.0,-0.016399999999999998
2004-07-14,24.05,23.94,25.25,23.94,18270.0,0.0025
2004-07-15,23.98,23.95,24.35,23.95,11990.0,-0.0029
2004-07-16,24.01,23.95,24.34,23.94,9550.0,0.0013
2004-07-19,24.68,24.0,24.68,24.0,10030.0,0.0279
2004-07-20,24.43,24.15,24.52,24.1,10420.0,-0.0101
2004-07-21,24.27,24.3,24.6,24.1,8780.0,-0.006500000000000001
2004-07-22,24.06,24.2,24.4,24.0,11410.0,-0.0087
2004-07-23,24.05,24.1,24.25,24.0,18360.0,-0.0004
2004-07-26,24.03,24.04,24.04,23.6,30560.0,-0.0008
2004-07-27,24.2,24.06,24.51,24.06,5700.0,0.0070999999999999995
2004-07-28,25.0,24.69,25.0,24.31,49730.0,0.0331
2004-07-29,24.65,24.51,24.82,24.17,6730.0,-0.013999999999999999
2004-07-30,24.98,25.04,25.17,24.75,75130.0,0.0134
2004-08-02,24.25,24.75,24.75,24.05,10120.0,-0.0292
2004-08-03,24.3,24.04,24.65,24.02,4130.0,0.0021
2004-08-04,24.21,24.06,24.39,23.84,20000.0,-0.0037
2004-08-05,24.27,24.04,24.53,24.04,12390.0,0.0025
2004-08-06,24.2,24.08,24.24,24.08,7950.0,-0.0029
2004-08-09,24.17,24.9,24.9,24.01,7670.0,-0.0012
2004-08-10,24.4,24.35,24.4,24.11,6300.0,0.0095
2004-08-11,24.23,24.06,24.25,24.05,3900.0,-0.006999999999999999
2004-08-12,24.24,24.0,24.24,23.96,9770.0,0.0004
2004-08-13,23.9,24.24,24.33,23.82,83370.0,-0.013999999999999999
2004-08-16,24.39,24.2,24.43,24.09,4540.0,0.020499999999999997
2004-08-17,24.81,24.22,24.92,24.06,9290.0,0.0172
2004-08-18,25.41,24.7,25.56,24.7,31550.0,0.0242
2004-08-19,25.63,25.36,25.63,25.2,3840.0,0.0087
2004-08-20,26.69,25.7,26.81,25.39,9040.0,0.0414
2004-08-23,26.49,26.83,27.0,26.42,9550.0,-0.0075
2004-08-24,26.34,26.81,26.81,26.3,3440.0,-0.005699999999999999
2004-08-25,26.32,26.25,26.32,26.06,15970.0,-0.0008
