Date,Close,Open,High,Low,Volume,Change
2019-05-06,14.82,14.78,15.41,14.46,1470000.0,-0.0282
2019-05-07,15.01,14.06,15.1,14.01,862900.0,0.0128
2019-05-08,15.33,14.94,15.6,14.75,1940000.0,0.0213
2019-05-09,15.51,15.11,15.64,14.77,2490000.0,0.011699999999999999
2019-05-10,15.1,15.67,15.7,14.97,872860.0,-0.0264
2019-05-13,14.5,15.11,15.25,14.29,800680.0,-0.0397
2019-05-14,14.97,14.65,15.06,14.37,864240.0,0.032400000000000005
2019-05-15,15.35,14.88,15.57,14.66,572040.0,0.0254
2019-05-16,15.97,15.35,16.05,15.35,1300000.0,0.0404
2019-05-17,15.56,15.82,16.16,15.5,415930.0,-0.025699999999999997
2019-05-20,15.07,15.43,15.62,14.74,444650.0,-0.0315
2019-05-21,15.28,15.28,15.5,15.05,227200.0,0.0139
2019-05-22,15.45,15.2,15.48,15.06,172940.0,0.0111
2019-05-23,15.47,15.52,15.57,15.05,420100.0,0.0013
2019-05-24,15.77,15.79,15.99,15.48,198280.0,0.0194
2019-05-28,15.59,15.85,16.03,15.5,721950.0,-0.011399999999999999
2019-05-29,15.45,15.5,15.65,15.15,628540.0,-0.009000000000000001
2019-05-30,15.8,15.5,15.81,15.49,1210000.0,0.0227
2019-05-31,16.0,15.76,16.03,15.61,1720000.0,0.0127
2019-06-03,15.4,16.05,16.12,15.25,396900.0,-0.0375
2019-06-04,14.99,15.5,15.7,14.68,1320000.0,-0.026600000000000002
2019-06-05,15.35,15.01,15.51,14.5,608580.0,0.024
2019-06-06,15.42,15.3,16.14,15.18,514990.0,0.0046
2019-06-07,15.17,15.43,15.86,14.93,559780.0,-0.016200000000000003
2019-06-10,14.54,15.24,15.45,14.2,742050.0,-0.0415
2019-06-11,14.71,14.69,14.96,14.21,309120.0,0.011699999999999999
2019-06-12,13.82,14.67,14.67,13.02,1360000.0,-0.0605
2019-06-13,13.5,13.92,13.92,13.1,694710.0,-0.0232
2019-06-14,13.45,13.61,13.61,12.72,856950.0,-0.0037
2019-06-17,13.6,13.43,13.83,12.97,630180.0,0.011200000000000002
2019-06-18,14.02,13.97,14.35,13.72,648600.0,0.030899999999999997
2019-06-19,13.88,14.01,14.13,13.68,340870.0,-0.01
