Date,Close,Open,High,Low,Volume,Change
2001-03-08,8.75,8.56,9.0,8.12,1150000.0,0.060599999999999994
2001-03-09,8.5,8.88,8.88,8.25,390100.0,-0.0286
2001-03-12,7.75,8.61,8.62,7.5,428300.0,-0.0882
2001-03-13,7.69,7.83,7.88,7.38,294200.0,-0.0077
2001-03-14,7.25,7.25,7.5,7.12,228100.0,-0.0572
2001-03-15,6.62,7.31,7.38,6.38,572600.0,-0.08689999999999999
2001-03-16,7.06,6.64,7.06,6.62,114500.0,0.0665
2001-03-19,7.12,7.12,7.62,7.0,174400.0,0.0085
2001-03-20,7.06,7.11,7.12,7.0,153600.0,-0.0084
2001-03-21,7.0,7.06,7.06,6.94,198800.0,-0.0085
2001-03-22,7.0,7.0,7.06,7.0,242900.0,0.0
2001-03-23,6.69,7.03,7.06,6.5,298300.0,-0.0443
2001-03-26,6.91,6.62,7.06,6.62,90100.0,0.0329
2001-03-27,6.56,7.06,7.06,6.25,209200.0,-0.0507
2001-03-28,6.19,6.75,6.88,6.0,623500.0,-0.0564
2001-03-29,5.44,6.05,6.06,5.25,238300.0,-0.12119999999999999
2001-03-30,5.0,5.38,5.5,4.0,289200.0,-0.0809
2001-04-02,5.5,5.5,5.88,4.75,536400.0,0.1
2001-04-03,5.19,5.38,5.38,5.03,184800.0,-0.0564
2001-04-04,4.88,5.19,5.25,4.75,190700.0,-0.059699999999999996
2001-04-05,5.59,5.06,5.78,5.05,102800.0,0.14550000000000002
2001-04-06,6.5,5.75,6.75,5.25,130500.0,0.1628
2001-04-09,6.7,6.5,7.1,6.5,153000.0,0.0308
2001-04-10,6.4,6.75,6.8,6.35,70400.0,-0.044800000000000006
2001-04-11,6.52,6.41,6.58,6.4,45500.0,0.0187
2001-04-12,6.58,6.55,6.58,6.4,32299.999999999996,0.0092
2001-04-16,6.06,6.58,6.7,5.63,107200.0,-0.079
2001-04-17,6.1,6.01,6.1,5.91,32900.0,0.0066
2001-04-18,6.82,6.1,7.05,6.05,91700.0,0.11800000000000001
2001-04-19,6.8,6.89,6.92,6.52,117900.0,-0.0029
2001-04-20,6.95,6.7,7.05,6.5,92500.0,0.022099999999999998
2001-04-23,6.95,7.0,7.0,6.41,30300.0,0.0
2001-04-24,6.85,6.89,7.0,6.5,65200.0,-0.0144
2001-04-25,6.75,6.69,6.85,6.4,47300.0,-0.0146
2001-04-26,6.65,6.76,6.8,6.65,18900.0,-0.0148
2001-04-27,8.24,6.67,8.45,6.67,233100.0,0.2391
2001-04-30,8.05,8.21,8.25,8.0,362200.0,-0.0231
2001-05-01,8.08,8.05,8.1,7.8,384300.0,0.0037
2001-05-02,8.25,8.26,8.83,8.06,184800.0,0.021
