Date,Close,Open,High,Low,Volume,Change
1984-08-24,2.67,2.67,2.69,2.67,311850.0,0.0
1984-08-27,2.67,2.67,2.69,2.67,301050.0,0.0
1984-08-28,2.61,2.61,2.69,2.61,320850.0,-0.0225
1984-08-29,2.64,2.64,2.67,2.64,181350.0,0.0115
1984-08-30,2.61,2.61,2.64,2.61,75150.0,-0.011399999999999999
1984-08-31,2.61,2.61,2.64,2.61,29700.0,0.0
1984-09-04,2.61,2.61,2.67,2.61,90450.0,0.0
1984-09-05,2.64,2.64,2.69,2.64,227700.0,0.0115
1984-09-06,2.64,2.64,2.69,2.64,8550.0,0.0
1984-09-07,2.61,2.61,2.69,2.61,10800.0,-0.011399999999999999
1984-09-10,2.67,2.67,2.69,2.67,73350.0,0.023
1984-09-11,2.67,2.67,2.72,2.67,46350.0,0.0
1984-09-12,2.61,2.61,2.67,2.61,32850.0,-0.0225
1984-09-13,2.61,2.61,2.69,2.61,13500.0,0.0
1984-09-14,2.61,2.61,2.69,2.61,4500.0,0.0
1984-09-17,2.61,2.61,2.69,2.61,8550.0,0.0
1984-09-18,2.61,2.61,2.67,2.61,65700.0,0.0
1984-09-19,2.64,2.64,2.69,2.64,49950.0,0.0115
1984-09-20,2.64,2.64,2.69,2.64,85500.0,0.0
1984-09-21,2.64,2.64,2.69,2.64,58950.0,0.0
1984-09-24,2.56,2.56,2.67,2.56,77850.0,-0.030299999999999997
1984-09-25,2.56,2.56,2.64,2.56,58500.0,0.0
1984-09-26,2.56,2.56,2.67,2.56,12150.0,0.0
1984-09-27,2.56,2.56,2.67,2.56,6750.0,0.0
1984-09-28,2.58,2.58,2.67,2.58,24300.0,0.0078000000000000005
1984-10-01,2.58,2.58,2.67,2.58,90.0,0.0
1984-10-02,2.58,2.58,2.67,2.58,1800.0,0.0
1984-10-03,2.58,2.58,2.67,2.58,33750.0,0.0
1984-10-04,2.58,2.58,2.67,2.58,6300.0,0.0
1984-10-05,2.58,2.58,2.64,2.58,54000.0,0.0
1984-10-08,2.56,2.56,2.61,2.56,22950.0,-0.0078000000000000005
1984-10-09,2.56,2.56,2.61,2.56,54000.0,0.0
1984-10-10,2.56,2.56,2.67,2.56,60300.0,0.0
1984-10-11,2.58,2.58,2.67,2.58,11700.0,0.0078000000000000005
1984-10-12,2.64,2.64,2.72,2.64,64800.0,0.0233
1984-10-15,2.61,2.61,2.72,2.61,171900.0,-0.011399999999999999
1984-10-16,2.61,2.61,2.72,2.61,95400.0,0.0
1984-10-17,2.61,2.61,2.67,2.61,23400.0,0.0
1984-10-18,2.61,2.61,2.67,2.61,7650.0,0.0
1984-10-19,2.61,2.61,2.72,2.61,900.0,0.0
1984-10-22,2.56,2.56,2.67,2.56,16200.0,-0.0192
1984-10-23,2.56,2.56,2.61,2.56,2700.0,0.0
1984-10-24,2.56,2.56,2.61,2.56,3600.0,0.0
1984-10-25,2.56,2.56,2.61,2.56,59850.0,0.0
1984-10-26,2.56,2.56,2.61,2.56,11250.0,0.0
1984-10-29,2.56,2.56,2.61,2.56,1350.0,0.0
1984-10-30,2.56,2.56,2.61,2.56,97650.0,0.0
1984-10-31,2.44,2.44,2.56,2.44,81900.0,-0.046900000000000004
