Date,Close,Open,High,Low,Volume,Change
1994-09-14,4.38,4.5,4.75,3.62,335100.0,-0.0519
1994-09-15,4.55,4.5,4.55,4.38,43600.0,0.0388
1994-09-16,4.75,4.38,4.75,4.25,171900.0,0.044000000000000004
1994-09-19,4.88,4.88,4.88,4.88,2100.0,0.0274
1994-09-20,4.38,4.5,4.55,4.25,81000.0,-0.1025
1994-09-21,4.17,4.12,4.17,4.12,8000.0,-0.0479
1994-09-22,4.38,4.38,4.38,4.38,6100.0,0.0504
1994-09-23,4.12,4.38,4.38,4.12,6700.0,-0.0594
1994-09-26,4.25,4.38,4.38,4.12,6600.0,0.0316
1994-09-27,4.0,4.25,4.25,3.75,205500.0,-0.0588
1994-09-28,4.12,4.12,4.12,4.12,11600.0,0.03
1994-09-29,4.12,3.75,4.12,3.75,9600.0,0.0
1994-09-30,4.12,4.12,4.12,4.12,1000.0,0.0
1994-10-03,3.88,3.88,3.88,3.88,9000.0,-0.0583
1994-10-04,3.62,4.0,4.0,3.62,18300.0,-0.067
1994-10-05,3.69,3.75,3.88,3.69,21100.0,0.019299999999999998
1994-10-06,3.88,3.88,3.88,3.62,4000.0,0.051500000000000004
1994-10-07,3.62,3.62,3.62,3.62,1600.0,-0.067
1994-10-12,3.75,3.75,3.75,3.69,7000.0,0.0359
1994-10-13,3.62,3.88,3.88,3.62,14200.0,-0.0347
1994-10-14,3.62,3.88,3.88,3.62,8500.0,0.0
1994-10-17,3.62,3.62,3.62,3.62,200.0,0.0
1994-10-18,3.88,3.62,3.88,3.62,6800.0,0.0718
1994-10-19,3.62,3.88,3.88,3.62,5200.0,-0.067
1994-10-20,3.62,3.62,3.62,3.62,900.0,0.0
1994-10-21,3.88,3.88,3.88,3.88,2000.0,0.0718
1994-10-24,4.12,3.88,4.12,3.88,27300.0,0.061900000000000004
1994-10-25,4.0,4.0,4.0,4.0,1200.0,-0.0291
1994-10-26,4.12,4.12,4.12,4.12,100.0,0.03
1994-10-27,4.12,4.12,4.12,4.12,12500.0,0.0
1994-10-28,4.12,4.12,4.12,4.12,1500.0,0.0
1994-10-31,3.75,3.75,3.75,3.75,400.0,-0.0898
1994-11-01,3.88,3.88,3.88,3.88,2000.0,0.0347
1994-11-02,3.75,4.0,4.0,3.75,1300.0,-0.0335
1994-11-03,3.75,3.75,3.75,3.75,3600.0,0.0
1994-11-07,3.75,4.0,4.0,3.75,8000.0,0.0
1994-11-08,3.75,3.75,3.75,3.75,4000.0,0.0
1994-11-09,3.62,3.62,3.62,3.62,12000.0,-0.0347
1994-11-10,3.62,3.88,3.88,3.62,20100.0,0.0
1994-11-15,3.5,3.5,3.88,3.5,31400.0,-0.0331
1994-11-16,3.5,3.88,3.88,3.5,3800.0,0.0
1994-11-17,3.62,3.5,3.62,3.5,2000.0,0.034300000000000004
1994-11-18,3.5,3.5,3.5,3.5,9000.0,-0.0331
1994-11-21,3.5,3.5,3.5,3.5,500.0,0.0
1994-11-22,2.75,3.38,3.38,2.75,16300.0,-0.2143
1994-11-23,2.75,2.5,2.75,2.5,3600.0,0.0
1994-11-25,2.5,2.5,2.5,2.12,12500.0,-0.0909
1994-11-28,2.38,2.5,2.62,2.38,40500.0,-0.048
1994-11-29,2.5,2.75,2.88,2.5,17200.0,0.0504
1994-11-30,2.75,2.88,2.88,2.5,7000.0,0.1
1994-12-01,2.5,2.88,2.88,2.5,8500.0,-0.0909
1994-12-02,2.75,2.5,2.75,2.5,5500.0,0.1
1994-12-05,2.25,2.38,2.38,2.25,5900.0,-0.1818
1994-12-06,2.25,2.25,2.5,2.25,4700.0,0.0
1994-12-07,2.25,2.25,2.25,2.25,2600.0,0.0
1994-12-08,2.0,2.12,2.38,2.0,4300.0,-0.11109999999999999
1994-12-09,1.88,2.0,2.25,1.88,27400.0,-0.06
1994-12-12,2.25,2.25,2.25,2.0,4100.0,0.1968
1994-12-13,1.88,2.12,2.12,1.88,7000.0,-0.16440000000000002
1994-12-14,1.69,1.88,1.88,1.62,8300.0,-0.1011
1994-12-15,1.75,1.62,1.88,1.62,38200.0,0.0355
1994-12-16,1.69,1.81,1.81,1.69,11600.0,-0.034300000000000004
1994-12-19,1.75,1.81,1.81,1.69,18000.0,0.0355
1994-12-20,1.88,1.81,1.88,1.75,21400.0,0.07429999999999999
1994-12-21,1.88,1.81,1.88,1.75,20800.0,0.0
1994-12-22,1.69,1.88,1.91,1.69,32500.0,-0.1011
1994-12-23,2.0,1.88,2.12,1.88,58200.0,0.1834
1994-12-27,1.88,1.88,1.88,1.75,8400.0,-0.06
1994-12-28,1.88,1.94,2.0,1.88,20500.0,0.0
1994-12-29,1.88,1.81,2.0,1.75,20100.0,0.0
1994-12-30,2.03,2.0,2.05,1.75,111200.0,0.07980000000000001
1995-01-03,2.12,2.12,2.12,1.88,53500.0,0.0443
1995-01-04,1.88,2.12,2.12,1.88,27000.0,-0.11320000000000001
1995-01-05,2.0,1.88,2.12,1.88,28000.0,0.0638
1995-01-06,4.0,2.12,4.0,2.12,420300.0,1.0
1995-01-09,4.88,4.38,5.38,4.12,88200.0,0.22
1995-01-10,4.38,4.88,4.88,4.12,165900.0,-0.1025
1995-01-11,4.25,4.5,4.62,3.88,120900.0,-0.0297
1995-01-12,4.19,4.25,5.12,4.12,325700.0,-0.0141
1995-01-13,4.19,4.44,4.56,4.0,86800.0,0.0
1995-01-16,3.88,4.5,4.5,3.88,19800.0,-0.07400000000000001
1995-01-17,3.62,3.94,4.12,3.38,49000.0,-0.067
1995-01-18,3.12,3.12,3.12,3.12,9000.0,-0.1381
1995-01-19,3.38,3.12,3.69,3.12,16400.0,0.0833
1995-01-20,3.75,3.62,3.75,3.44,12200.0,0.10949999999999999
1995-01-23,3.75,3.56,3.81,3.5,15600.0,0.0
1995-01-24,3.25,3.5,3.56,3.06,26700.0,-0.1333
1995-01-25,3.44,3.38,3.44,3.12,9700.0,0.058499999999999996
1995-01-26,3.38,3.5,3.5,3.38,2600.0,-0.0174
1995-01-27,3.56,3.56,3.56,3.38,4900.0,0.0533
1995-01-30,3.44,3.56,3.62,3.25,48200.0,-0.0337
1995-01-31,3.62,3.5,3.62,3.44,15500.0,0.052300000000000006
1995-02-01,3.62,3.75,3.88,3.5,36300.0,0.0
1995-02-03,3.62,3.5,3.62,3.5,5800.0,0.0
1995-02-06,4.06,3.81,4.12,3.5,98000.0,0.1215
1995-02-07,4.25,4.06,4.44,4.0,111400.0,0.046799999999999994
1995-02-08,4.06,4.38,4.38,4.06,22300.0,-0.0447
1995-02-09,4.5,4.38,4.62,4.31,47500.0,0.1084
