Date,Close,Open,High,Low,Volume,Change
2019-11-22,18.05,18.65,19.0,17.27,149700.0,-0.0322
2019-11-25,17.15,18.0,18.8,16.55,154350.0,-0.0499
2019-11-26,17.01,17.17,17.69,16.7,34870.0,-0.008199999999999999
2019-11-27,17.49,16.99,17.64,16.99,121660.0,0.0282
2019-11-29,17.4,17.51,17.6,17.09,5840.0,-0.0051
2019-12-02,16.6,17.5,18.18,16.37,74200.0,-0.046
2019-12-03,16.74,16.8,17.48,16.1,65840.0,0.0084
2019-12-04,16.94,16.77,17.11,16.77,63320.0,0.011899999999999999
2019-12-05,16.8,16.95,16.95,16.05,45440.0,-0.0083
2019-12-06,18.03,16.7,18.03,16.22,81240.0,0.0732
2019-12-09,20.5,18.04,21.22,17.19,158440.0,0.13699999999999998
2019-12-10,19.64,20.3,21.1,19.2,120560.0,-0.042
2019-12-11,20.34,19.65,20.95,19.5,47990.0,0.0356
2019-12-12,19.25,20.5,20.5,18.09,74890.0,-0.0536
2019-12-13,19.63,19.5,19.88,18.89,29190.0,0.0197
2019-12-16,21.29,19.98,22.28,19.96,159090.0,0.08460000000000001
2019-12-17,22.26,21.65,22.98,20.51,112200.0,0.045599999999999995
2019-12-18,21.52,22.37,22.37,21.5,52880.0,-0.0332
2019-12-19,21.07,21.66,21.98,20.63,57620.0,-0.0209
2019-12-20,21.64,21.19,21.93,20.94,52230.0,0.0271
2019-12-23,21.11,21.36,21.88,21.01,21920.0,-0.0245
2019-12-24,21.21,21.12,21.77,21.11,12910.0,0.004699999999999999
2019-12-26,21.59,21.25,21.84,20.51,16239.999999999998,0.0179
2019-12-27,22.74,21.3,22.99,20.89,31090.0,0.0533
2019-12-30,24.37,23.08,24.84,22.3,130259.99999999999,0.0717
2019-12-31,25.5,24.61,25.84,24.24,164120.0,0.0464
2020-01-02,24.34,26.0,27.5,23.3,119210.0,-0.0455
2020-01-03,23.33,24.1,24.4,22.78,69800.0,-0.0415
2020-01-06,22.15,22.07,24.45,22.0,105720.0,-0.0506
2020-01-07,22.13,21.54,23.19,21.49,128820.0,-0.0009
