Date,Close,Open,High,Low,Volume,Change
2010-05-07,13.55,13.25,13.55,13.21,3260.0,0.025699999999999997
2010-05-10,13.83,13.66,13.89,13.26,4430.0,0.0207
2010-05-11,13.87,13.71,13.87,13.71,480.0,0.0029
2010-05-12,13.97,13.86,13.97,13.86,2090.0,0.0072
2010-05-13,13.9,13.94,13.9,13.55,510.0,-0.005
2010-05-14,13.84,13.82,13.97,13.78,1010.0,-0.0043
2010-05-17,13.72,13.9,13.9,13.72,860.0,-0.0087
2010-05-18,13.78,13.84,13.84,13.78,560.0,0.0044
2010-05-19,13.73,13.73,13.73,13.73,1360.0,-0.0036
2010-05-20,13.55,13.57,13.57,13.55,1170.0,-0.0131
2010-05-21,13.58,13.55,13.72,13.55,5310.0,0.0022
2010-05-24,13.55,13.62,13.62,13.55,750.0,-0.0022
2010-05-25,13.58,13.55,13.62,13.48,4280.0,0.0022
2010-05-26,13.55,13.69,13.69,13.55,5290.0,-0.0022
2010-05-27,13.69,13.73,13.76,13.69,930.0,0.0103
2010-05-28,13.9,13.91,14.4,13.9,12500.0,0.015300000000000001
2010-06-01,13.21,14.04,14.05,13.21,13340.0,-0.0496
2010-06-02,13.21,13.29,13.22,13.09,4880.0,0.0
2010-06-03,13.21,13.21,13.21,13.21,300.0,0.0
2010-06-04,12.44,13.19,13.21,12.44,10010.0,-0.0583
2010-06-07,12.54,12.47,12.54,12.51,3390.0,0.008
2010-06-08,12.22,12.2,12.45,12.2,1180.0,-0.0255
2010-06-09,12.27,12.33,12.34,12.27,890.0,0.0040999999999999995
2010-06-10,12.89,12.43,13.16,12.43,2009.9999999999998,0.050499999999999996
2010-06-11,12.93,12.73,13.01,12.77,11350.0,0.0031
2010-06-14,12.54,13.04,13.04,12.18,3050.0,-0.0302
2010-06-15,12.82,12.54,12.82,12.54,1980.0,0.0223
2010-06-16,12.73,12.71,13.0,12.71,3460.0,-0.006999999999999999
2010-06-17,12.9,12.86,13.02,12.82,13700.0,0.0134
