Date,Close,Open,High,Low,Volume,Change
1980-03-18,0.92,0.92,0.92,0.87,92670.0,-0.1321
1980-03-19,1.03,1.03,1.03,0.93,41100.0,0.11960000000000001
1980-03-20,1.0,1.0,1.03,0.99,14870.0,-0.0291
1980-03-21,0.99,0.99,1.0,0.99,9630.0,-0.01
1980-03-24,0.92,0.92,0.99,0.9,32350.0,-0.0707
1980-03-25,0.9,0.9,0.93,0.9,20980.0,-0.0217
1980-03-26,0.92,0.92,0.93,0.89,16610.0,0.0222
1980-03-27,0.83,0.83,0.9,0.83,62070.0,-0.0978
1980-03-28,0.94,0.94,0.94,0.87,59440.0,0.1325
1980-03-31,1.03,1.03,1.06,0.99,61190.0,0.09570000000000001
1980-04-01,1.0,1.0,1.03,1.0,11360.0,-0.0291
1980-04-02,0.97,0.97,0.99,0.97,18370.0,-0.03
1980-04-03,1.0,1.0,1.0,0.99,2630.0,0.030899999999999997
1980-04-07,1.0,1.0,1.0,0.97,12250.0,0.0
1980-04-08,0.99,0.99,0.99,0.99,1750.0,-0.01
1980-04-09,0.99,0.99,1.0,0.99,2630.0,0.0
1980-04-10,1.02,1.02,1.03,1.0,27110.0,0.030299999999999997
1980-04-11,1.0,1.0,1.04,1.0,17490.0,-0.0196
1980-04-14,0.96,0.96,1.02,0.96,13990.0,-0.04
1980-04-15,0.96,0.96,0.97,0.93,16610.0,0.0
1980-04-16,0.94,0.94,0.96,0.94,20980.0,-0.0208
1980-04-17,0.93,0.93,0.96,0.93,23600.0,-0.0106
1980-04-18,0.92,0.92,0.92,0.92,3500.0,-0.0108
1980-04-21,0.9,0.9,0.9,0.9,2630.0,-0.0217
1980-04-22,0.93,0.93,0.94,0.92,16610.0,0.0333
1980-04-23,0.97,0.97,0.99,0.94,48090.0,0.043
1980-04-24,1.07,1.07,1.07,0.99,22730.0,0.10310000000000001
1980-04-25,1.03,1.03,1.06,1.03,22730.0,-0.0374
1980-04-28,1.03,1.03,1.04,1.02,13110.0,0.0
1980-04-29,1.09,1.09,1.09,1.04,13110.0,0.0583
1980-04-30,1.06,1.06,1.07,1.06,7880.0,-0.0275
1980-05-01,1.03,1.03,1.04,1.03,3500.0,-0.028300000000000002
1980-05-02,1.02,1.02,1.02,1.02,870.0,-0.0097
1980-05-05,1.02,1.02,1.03,1.02,4370.0,0.0
1980-05-06,1.02,1.02,1.03,1.02,11360.0,0.0
1980-05-07,1.02,1.02,1.02,1.0,1750.0,0.0
1980-05-08,0.99,0.99,1.0,0.97,8750.0,-0.0294
1980-05-09,0.99,0.99,1.0,0.97,11360.0,0.0
1980-05-12,0.97,0.97,1.0,0.97,7880.0,-0.0202
1980-05-13,0.94,0.94,0.96,0.94,13110.0,-0.030899999999999997
1980-05-14,0.99,0.99,1.0,0.96,12250.0,0.053200000000000004
1980-05-15,1.02,1.02,1.02,0.97,16610.0,0.030299999999999997
1980-05-16,1.0,1.0,1.0,1.0,2630.0,-0.0196
1980-05-19,1.0,1.0,1.02,1.0,6990.0,0.0
1980-05-20,1.0,1.0,1.0,0.99,2630.0,0.0
1980-05-21,1.0,1.0,1.03,1.0,28860.0,0.0
1980-05-22,1.0,1.0,1.02,1.0,4370.0,0.0
1980-05-23,1.02,1.02,1.02,1.02,2630.0,0.02
1980-05-27,1.0,1.0,1.02,1.0,11360.0,-0.0196
1980-05-28,1.03,1.03,1.03,1.0,14870.0,0.03
1980-05-29,1.0,1.0,1.03,1.0,11360.0,-0.0291
1980-05-30,1.0,1.0,1.0,1.0,34100.0,0.0
1980-06-02,1.0,1.0,1.0,1.0,6990.0,0.0
1980-06-03,1.0,1.0,1.0,1.0,10490.0,0.0
1980-06-04,1.03,1.03,1.03,1.0,12250.0,0.03
1980-06-05,1.03,1.03,1.06,1.02,32350.0,0.0
1980-06-06,1.03,1.03,1.03,1.03,870.0,0.0
1980-06-09,1.06,1.06,1.06,1.03,25360.0,0.0291
1980-06-10,1.04,1.04,1.06,1.04,25360.0,-0.0189
1980-06-11,1.1,1.1,1.12,1.03,66450.0,0.057699999999999994
1980-06-12,1.13,1.13,1.13,1.12,31480.0,0.0273
1980-06-13,1.12,1.12,1.14,1.12,27980.0,-0.0088
1980-06-16,1.1,1.1,1.13,1.1,13110.0,-0.0179
1980-06-17,1.2,1.2,1.2,1.09,48090.0,0.0909
1980-06-18,1.19,1.19,1.2,1.16,55080.0,-0.0083
1980-06-19,1.16,1.16,1.17,1.16,27110.0,-0.0252
1980-06-20,1.16,1.16,1.16,1.16,20980.0,0.0
1980-06-23,1.16,1.16,1.16,1.16,13990.0,0.0
1980-06-24,1.17,1.17,1.17,1.16,9630.0,0.0086
1980-06-25,1.14,1.14,1.16,1.14,20980.0,-0.0256
1980-06-26,1.12,1.12,1.14,1.12,51580.0,-0.0175
1980-06-27,1.13,1.13,1.14,1.12,17490.0,0.0089
1980-06-30,1.14,1.14,1.14,1.12,13110.0,0.0088
1980-07-01,1.14,1.14,1.14,1.13,5250.0,0.0
1980-07-02,1.14,1.14,1.16,1.14,12250.0,0.0
1980-07-03,1.16,1.16,1.17,1.14,35840.0,0.0175
1980-07-07,1.26,1.26,1.29,1.17,46340.0,0.0862
1980-07-08,1.23,1.23,1.27,1.23,21860.0,-0.023799999999999998
1980-07-09,1.2,1.2,1.22,1.19,23600.0,-0.024399999999999998
1980-07-10,1.2,1.2,1.2,1.19,9630.0,0.0
1980-07-11,1.17,1.17,1.19,1.17,24490.0,-0.025
1980-07-14,1.22,1.22,1.22,1.16,43720.0,0.042699999999999995
1980-07-15,1.14,1.14,1.2,1.14,27980.0,-0.06559999999999999
1980-07-16,1.13,1.13,1.14,1.13,55960.0,-0.0088
1980-07-17,1.14,1.14,1.16,1.12,52450.0,0.0088
1980-07-18,1.19,1.19,1.19,1.17,40210.0,0.043899999999999995
1980-07-21,1.17,1.17,1.17,1.14,15740.0,-0.0168
1980-07-22,1.16,1.16,1.19,1.16,39340.0,-0.0085
1980-07-23,1.19,1.19,1.19,1.14,29720.0,0.0259
1980-07-24,1.23,1.23,1.23,1.19,53330.0,0.0336
1980-07-25,1.33,1.33,1.37,1.2,63820.0,0.08130000000000001
1980-07-28,1.3,1.3,1.32,1.29,12250.0,-0.0226
1980-07-29,1.34,1.34,1.36,1.3,29720.0,0.0308
1980-07-30,1.37,1.37,1.43,1.33,70810.0,0.022400000000000003
1980-07-31,1.37,1.37,1.37,1.33,39340.0,0.0
1980-08-01,1.34,1.34,1.37,1.32,33220.0,-0.0219
1980-08-04,1.33,1.33,1.33,1.32,7880.0,-0.0075
1980-08-05,1.26,1.26,1.33,1.26,23600.0,-0.0526
1980-08-06,1.27,1.27,1.29,1.27,9630.0,0.0079
1980-08-07,1.3,1.3,1.33,1.29,20110.0,0.0236
1980-08-08,1.34,1.34,1.34,1.33,55080.0,0.0308
1980-08-11,1.36,1.36,1.39,1.36,56830.0,0.0149
1980-08-12,1.36,1.36,1.4,1.34,79560.0,0.0
1980-08-13,1.34,1.34,1.39,1.34,40210.0,-0.0147
1980-08-14,1.34,1.34,1.34,1.32,11360.0,0.0
1980-08-15,1.32,1.32,1.36,1.32,25360.0,-0.0149
1980-08-18,1.29,1.29,1.3,1.29,12250.0,-0.0227
1980-08-19,1.26,1.26,1.27,1.24,41100.0,-0.0233
1980-08-20,1.3,1.3,1.3,1.27,13110.0,0.0317
1980-08-21,1.26,1.26,1.29,1.26,29720.0,-0.0308
1980-08-22,1.27,1.27,1.27,1.26,6990.0,0.0079
1980-08-25,1.27,1.27,1.3,1.26,38470.0,0.0
1980-08-26,1.24,1.24,1.27,1.24,40210.0,-0.0236
1980-08-27,1.26,1.26,1.27,1.24,43720.0,0.0161
1980-08-28,1.19,1.19,1.24,1.17,58570.0,-0.0556
1980-08-29,1.19,1.19,1.2,1.17,36720.0,0.0
1980-09-02,1.23,1.23,1.23,1.2,26230.0,0.0336
1980-09-03,1.26,1.26,1.27,1.24,48950.0,0.024399999999999998
1980-09-04,1.24,1.24,1.26,1.23,43720.0,-0.0159
1980-09-05,1.26,1.26,1.26,1.24,35840.0,0.0161
1980-09-08,1.24,1.24,1.29,1.24,35840.0,-0.0159
1980-09-09,1.27,1.27,1.27,1.24,20110.0,0.0242
1980-09-10,1.27,1.27,1.29,1.26,27110.0,0.0
1980-09-11,1.27,1.27,1.29,1.26,22730.0,0.0
1980-09-12,1.37,1.37,1.37,1.27,43720.0,0.0787
1980-09-15,1.33,1.33,1.39,1.33,26230.0,-0.0292
1980-09-16,1.36,1.36,1.39,1.34,63820.0,0.0226
1980-09-17,1.37,1.37,1.39,1.36,20980.0,0.0074
1980-09-18,1.33,1.33,1.37,1.33,34980.0,-0.0292
1980-09-19,1.34,1.34,1.34,1.29,20110.0,0.0075
1980-09-22,1.3,1.3,1.32,1.3,21860.0,-0.029900000000000003
1980-09-23,1.29,1.29,1.32,1.26,61190.0,-0.0077
1980-09-24,1.24,1.24,1.27,1.23,44590.0,-0.0388
1980-09-25,1.26,1.26,1.27,1.24,34980.0,0.0161
1980-09-26,1.24,1.24,1.24,1.23,16610.0,-0.0159
1980-09-29,1.22,1.22,1.23,1.22,23600.0,-0.0161
1980-09-30,1.26,1.26,1.26,1.24,34100.0,0.032799999999999996
1980-10-01,1.26,1.26,1.26,1.24,20110.0,0.0
1980-10-02,1.26,1.26,1.26,1.24,3500.0,0.0
1980-10-03,1.24,1.24,1.27,1.24,17490.0,-0.0159
1980-10-06,1.24,1.24,1.26,1.22,21860.0,0.0
1980-10-07,1.24,1.24,1.24,1.24,7880.0,0.0
1980-10-08,1.26,1.26,1.3,1.26,48950.0,0.0161
1980-10-09,1.27,1.27,1.29,1.27,13110.0,0.0079
1980-10-10,1.26,1.26,1.26,1.24,7880.0,-0.0079
1980-10-13,1.23,1.23,1.24,1.23,8750.0,-0.023799999999999998
1980-10-14,1.26,1.26,1.26,1.23,6990.0,0.024399999999999998
1980-10-15,1.24,1.24,1.24,1.24,1750.0,-0.0159
1980-10-16,1.24,1.24,1.27,1.24,17490.0,0.0
1980-10-17,1.24,1.24,1.24,1.22,19240.0,0.0
1980-10-20,1.24,1.24,1.24,1.24,12250.0,0.0
1980-10-21,1.24,1.24,1.24,1.24,2630.0,0.0
1980-10-22,1.23,1.23,1.23,1.23,5250.0,-0.008100000000000001
1980-10-23,1.2,1.2,1.24,1.2,13990.0,-0.024399999999999998
1980-10-24,1.22,1.22,1.22,1.19,6130.0,0.0167
1980-10-27,1.2,1.2,1.2,1.2,4370.0,-0.016399999999999998
1980-10-28,1.24,1.24,1.24,1.19,24490.0,0.0333
1980-10-29,1.2,1.2,1.2,1.19,4370.0,-0.0323
1980-10-30,1.14,1.14,1.19,1.14,63820.0,-0.05
1980-11-03,1.14,1.14,1.14,1.13,4370.0,0.0
1980-11-05,1.19,1.19,1.19,1.14,61190.0,0.043899999999999995
1980-11-06,1.14,1.14,1.19,1.14,9630.0,-0.042
1980-11-10,1.14,1.14,1.14,1.14,4370.0,0.0
1980-11-11,1.14,1.14,1.14,1.14,16610.0,0.0
1980-11-12,1.14,1.14,1.14,1.14,16610.0,0.0
1980-11-13,1.19,1.19,1.19,1.17,15740.0,0.043899999999999995
1980-11-14,1.17,1.17,1.2,1.17,20110.0,-0.0168
1980-11-17,1.17,1.17,1.19,1.17,12250.0,0.0
1980-11-18,1.17,1.17,1.17,1.16,15740.0,0.0
1980-11-19,1.16,1.16,1.19,1.16,14870.0,-0.0085
1980-11-20,1.16,1.16,1.16,1.16,13110.0,0.0
1980-11-21,1.16,1.16,1.16,1.13,33220.0,0.0
1980-11-24,1.14,1.14,1.14,1.13,13990.0,-0.0172
1980-11-25,1.06,1.06,1.13,1.06,58570.0,-0.0702
1980-11-26,0.97,0.97,1.1,0.96,77800.0,-0.0849
1980-11-28,1.03,1.03,1.03,0.94,62070.0,0.061900000000000004
1980-12-01,1.0,1.0,1.04,1.0,14870.0,-0.0291
1980-12-02,1.02,1.02,1.03,0.99,27980.0,0.02
1980-12-03,0.94,0.94,0.97,0.93,164350.0,-0.0784
1980-12-04,0.99,0.99,0.99,0.93,43720.0,0.053200000000000004
1980-12-05,0.97,0.97,1.0,0.97,17490.0,-0.0202
1980-12-08,0.9,0.9,0.96,0.89,89180.0,-0.0722
1980-12-09,0.93,0.93,0.93,0.92,73440.0,0.0333
1980-12-10,0.97,0.97,0.97,0.96,14870.0,0.043
1980-12-11,0.96,0.96,0.97,0.96,16610.0,-0.0103
1980-12-12,0.94,0.94,0.94,0.94,34980.0,-0.0208
1980-12-15,0.99,0.99,0.99,0.96,19240.0,0.053200000000000004
1980-12-16,1.04,1.04,1.04,0.99,29720.0,0.050499999999999996
1980-12-17,1.06,1.06,1.06,1.04,9630.0,0.0192
1980-12-18,1.06,1.06,1.06,1.06,8750.0,0.0
1980-12-19,1.03,1.03,1.04,1.0,20110.0,-0.028300000000000002
1980-12-22,1.03,1.03,1.03,1.0,13990.0,0.0
1980-12-23,1.02,1.02,1.03,1.02,5250.0,-0.0097
1980-12-24,1.03,1.03,1.03,1.03,8750.0,0.0098
1980-12-26,1.03,1.03,1.04,1.03,8750.0,0.0
1980-12-30,1.0,1.0,1.03,1.0,15740.0,-0.0291
1980-12-31,1.02,1.02,1.02,0.99,20110.0,0.02
1981-01-02,1.0,1.0,1.02,1.0,3500.0,-0.0196
1981-01-05,1.03,1.03,1.03,1.03,7880.0,0.03
1981-01-06,1.13,1.13,1.13,1.02,27110.0,0.0971
1981-01-07,1.06,1.06,1.09,0.99,77800.0,-0.061900000000000004
1981-01-08,1.02,1.02,1.03,1.02,3500.0,-0.0377
1981-01-09,1.0,1.0,1.0,0.99,5250.0,-0.0196
1981-01-12,1.02,1.02,1.02,1.02,1750.0,0.02
1981-01-13,1.0,1.0,1.02,1.0,7880.0,-0.0196
1981-01-14,0.99,0.99,0.99,0.99,6990.0,-0.01
1981-01-15,0.97,0.97,0.97,0.97,870.0,-0.0202
1981-01-16,0.99,0.99,1.0,0.99,7880.0,0.0206
1981-01-19,1.0,1.0,1.0,1.0,3500.0,0.0101
1981-01-20,1.0,1.0,1.0,1.0,870.0,0.0
1981-01-21,0.97,0.97,0.97,0.96,11360.0,-0.03
1981-01-22,0.92,0.92,0.96,0.92,42840.0,-0.051500000000000004
1981-01-23,0.97,0.97,0.97,0.93,7880.0,0.054299999999999994
1981-01-26,0.93,0.93,0.99,0.93,12250.0,-0.0412
1981-01-27,0.94,0.94,0.97,0.94,13990.0,0.0108
1981-01-28,0.93,0.93,0.93,0.93,4370.0,-0.0106
1981-01-29,0.93,0.93,0.94,0.93,9630.0,0.0
1981-01-30,0.94,0.94,0.94,0.94,870.0,0.0108
1981-02-02,0.92,0.92,0.96,0.92,33220.0,-0.0213
1981-02-03,0.92,0.92,0.92,0.92,2630.0,0.0
1981-02-04,0.89,0.89,0.89,0.8,46340.0,-0.0326
1981-02-05,0.86,0.86,0.87,0.86,20980.0,-0.0337
1981-02-06,0.86,0.86,0.87,0.86,10490.0,0.0
1981-02-09,0.86,0.86,0.86,0.86,4370.0,0.0
1981-02-10,0.9,0.9,0.9,0.89,13110.0,0.04650000000000001
1981-02-11,0.87,0.87,0.9,0.87,53330.0,-0.0333
1981-02-12,0.9,0.9,0.9,0.87,10490.0,0.0345
1981-02-13,0.89,0.89,0.9,0.87,63820.0,-0.0111
1981-02-17,0.9,0.9,0.9,0.87,18370.0,0.011200000000000002
1981-02-19,0.89,0.89,0.89,0.87,9630.0,-0.0111
1981-02-20,0.86,0.86,0.87,0.86,13110.0,-0.0337
1981-02-23,0.86,0.86,0.86,0.86,870.0,0.0
1981-02-24,0.9,0.9,0.9,0.87,4370.0,0.04650000000000001
1981-02-25,0.9,0.9,0.9,0.9,5250.0,0.0
1981-02-26,0.92,0.92,0.92,0.92,5250.0,0.0222
1981-02-27,0.9,0.9,0.93,0.9,16610.0,-0.0217
1981-03-02,0.89,0.89,0.92,0.89,23600.0,-0.0111
1981-03-03,0.9,0.9,0.92,0.9,12250.0,0.011200000000000002
1981-03-05,0.92,0.92,0.92,0.92,870.0,0.0222
1981-03-06,0.9,0.9,0.9,0.9,870.0,-0.0217
1981-03-10,0.9,0.9,0.9,0.87,10190.0,0.0
1981-03-11,0.85,0.85,0.88,0.85,19520.0,-0.0556
1981-03-12,0.88,0.88,0.88,0.87,12730.0,0.0353
1981-03-13,0.94,0.94,0.94,0.9,33960.0,0.0682
1981-03-16,0.96,0.96,0.96,0.96,1700.0,0.0213
1981-03-17,0.94,0.94,0.96,0.94,5950.0,-0.0208
1981-03-18,0.94,0.94,0.96,0.94,7650.0,0.0
1981-03-20,0.91,0.91,0.93,0.91,15290.0,-0.0319
1981-03-23,0.85,0.85,0.91,0.85,16129.999999999998,-0.0659
1981-03-24,0.88,0.88,0.88,0.87,13580.0,0.0353
1981-03-25,0.87,0.87,0.87,0.87,850.0,-0.011399999999999999
1981-03-26,0.85,0.85,0.85,0.85,5950.0,-0.023
1981-03-30,0.84,0.84,0.84,0.84,15290.0,-0.0118
1981-03-31,0.85,0.85,0.85,0.84,3400.0,0.011899999999999999
1981-04-01,0.84,0.84,0.84,0.84,9340.0,-0.0118
1981-04-02,0.84,0.84,0.85,0.84,5950.0,0.0
1981-04-03,0.84,0.84,0.85,0.82,22920.0,0.0
1981-04-06,0.84,0.84,0.84,0.84,850.0,0.0
1981-04-08,0.82,0.82,0.84,0.82,5100.0,-0.023799999999999998
1981-04-09,0.84,0.84,0.84,0.82,2550.0,0.024399999999999998
1981-04-10,0.82,0.82,0.82,0.82,8500.0,-0.023799999999999998
