Date,Close,Open,High,Low,Volume,Change
2018-08-03,20.95,21.48,23.6,20.12,17340000.0,0.052199999999999996
2018-08-06,19.35,21.03,21.36,19.25,6070000.0,-0.0764
2018-08-07,19.15,19.47,19.9,18.6,3170000.0,-0.0103
2018-08-08,18.14,19.15,19.8,18.03,3070000.0,-0.0527
2018-08-09,16.69,18.15,18.15,16.51,4610000.0,-0.0799
2018-08-10,18.49,16.8,18.6,16.8,2590000.0,0.10779999999999999
2018-08-13,17.18,18.69,18.97,16.72,2980000.0,-0.0708
2018-08-14,16.86,17.17,17.52,16.75,1210000.0,-0.018600000000000002
2018-08-15,17.63,16.75,17.7,16.45,1670000.0,0.045700000000000005
2018-08-16,17.35,17.56,17.97,17.0,1100000.0,-0.0159
2018-08-17,18.45,17.27,18.78,17.26,1280000.0,0.0634
2018-08-20,19.42,18.51,19.5,18.51,1030000.0,0.0526
2018-08-21,20.08,19.85,22.25,19.5,3860000.0,0.034
2018-08-22,21.69,20.29,21.95,20.2,2460000.0,0.0802
2018-08-23,20.83,21.97,22.18,20.25,1810000.0,-0.039599999999999996
2018-08-24,20.21,21.09,21.48,19.65,1490000.0,-0.0298
2018-08-27,18.92,20.39,20.45,18.7,2570000.0,-0.0638
2018-08-28,20.17,19.19,21.0,19.02,2440000.0,0.0661
2018-08-29,19.22,20.14,20.2,19.21,1230000.0,-0.0471
2018-08-30,18.88,19.69,19.82,18.5,1410000.0,-0.0177
2018-08-31,19.26,18.86,19.45,18.7,820960.0,0.020099999999999996
2018-09-04,19.19,19.02,19.23,18.8,743740.0,-0.0036
2018-09-05,18.98,19.09,19.16,18.38,880710.0,-0.0109
2018-09-06,18.21,18.84,19.01,18.01,712870.0,-0.0406
2018-09-07,18.75,18.11,19.68,18.05,1720000.0,0.0297
2018-09-10,21.24,19.4,21.38,19.36,5770000.0,0.1328
2018-09-11,16.56,17.48,18.2,16.52,13050000.0,-0.22030000000000002
2018-09-12,17.16,16.78,17.56,16.56,4690000.0,0.0362
2018-09-13,16.72,17.51,17.65,16.5,2260000.0,-0.0256
2018-09-14,16.65,16.81,16.95,16.6,1140000.0,-0.0042
2018-09-17,15.2,16.61,16.65,15.19,2950000.0,-0.08710000000000001
2018-09-18,14.13,15.05,15.13,13.53,4880000.0,-0.0704
2018-09-19,14.37,14.39,14.83,14.16,1750000.0,0.017
2018-09-20,13.92,14.34,14.64,13.63,1650000.0,-0.0313
2018-09-21,13.24,13.9,14.1,13.13,4380000.0,-0.0489
2018-09-24,14.06,13.26,14.23,13.25,1310000.0,0.061900000000000004
2018-09-25,13.36,14.15,14.35,13.3,1700000.0,-0.049800000000000004
2018-09-26,14.32,13.5,14.32,13.35,1570000.0,0.0719
2018-09-27,14.41,14.42,14.58,14.07,990790.0,0.0063
2018-09-28,16.04,14.35,16.04,14.33,2370000.0,0.1131
2018-10-01,14.73,16.0,16.0,14.42,1600000.0,-0.0817
2018-10-02,14.22,14.75,14.79,13.8,1750000.0,-0.0346
2018-10-03,14.69,14.15,15.3,14.01,1300000.0,0.0331
2018-10-04,14.52,14.7,15.28,14.51,740050.0,-0.0116
2018-10-05,14.35,14.53,14.75,14.12,564140.0,-0.011699999999999999
2018-10-08,14.31,14.31,14.66,14.03,482320.0,-0.0028000000000000004
2018-10-09,13.6,14.18,14.29,13.39,709890.0,-0.0496
2018-10-10,13.35,13.54,13.6,12.84,1420000.0,-0.0184
2018-10-11,13.17,13.02,13.3,12.8,1310000.0,-0.013500000000000002
2018-10-12,12.57,13.11,13.57,12.47,922350.0,-0.045599999999999995
2018-10-15,12.65,12.56,12.97,12.3,553890.0,0.0064
2018-10-16,13.22,12.77,13.65,12.77,916150.0,0.0451
2018-10-17,12.99,13.22,13.47,12.82,474970.0,-0.0174
2018-10-18,12.68,12.81,12.98,12.6,379160.0,-0.0239
2018-10-19,12.15,12.66,12.98,11.8,735760.0,-0.0418
2018-10-22,12.36,12.21,12.65,12.1,463030.0,0.0173
2018-10-23,12.95,12.14,13.12,12.03,708450.0,0.04769999999999999
2018-10-24,12.22,12.87,13.12,12.22,549760.0,-0.0564
2018-10-25,12.53,12.35,12.73,12.11,500030.0,0.0254
2018-10-26,12.08,12.01,12.51,12.01,341090.0,-0.0359
2018-10-29,12.03,12.24,12.62,11.78,422940.0,-0.0040999999999999995
2018-10-30,12.11,12.07,12.55,12.0,456510.0,0.0067
2018-10-31,12.71,12.27,12.84,12.15,529610.0,0.0495
2018-11-01,13.66,12.73,13.79,12.73,832990.0,0.0747
2018-11-02,13.2,13.67,13.67,12.95,517570.00000000006,-0.0337
2018-11-05,12.59,13.13,13.13,12.1,648210.0,-0.0462
2018-11-06,13.28,12.64,13.58,12.61,687590.0,0.0548
2018-11-07,13.6,13.35,13.82,13.0,774790.0,0.0241
2018-11-08,14.08,13.48,14.38,13.31,716550.0,0.0353
2018-11-09,14.31,13.9,14.54,13.42,518760.0,0.0163
2018-11-12,13.73,14.33,14.53,13.65,385600.0,-0.0405
2018-11-13,13.55,13.7,13.99,13.31,330320.0,-0.0131
2018-11-14,13.93,13.73,14.13,13.51,655420.0,0.027999999999999997
2018-11-15,14.16,13.98,14.23,13.7,1390000.0,0.0165
2018-11-16,15.44,16.95,17.77,15.1,7190000.0,0.0904
2018-11-19,13.71,15.13,15.54,13.4,2190000.0,-0.11199999999999999
2018-11-20,13.32,13.1,13.45,12.33,1460000.0,-0.028399999999999998
2018-11-21,12.62,13.56,13.64,12.57,1390000.0,-0.0526
2018-11-23,12.14,12.63,12.66,12.0,792180.0,-0.038
2018-11-26,11.61,12.48,12.48,11.35,1780000.0,-0.0437
2018-11-27,11.48,11.4,11.95,11.09,1790000.0,-0.011200000000000002
2018-11-28,11.97,11.6,12.11,11.1,1180000.0,0.042699999999999995
2018-11-29,12.0,11.9,12.18,11.67,639600.0,0.0025
2018-11-30,12.28,11.88,12.47,11.88,1030000.0,0.0233
2018-12-03,12.34,12.5,12.61,12.25,1290000.0,0.0049
2018-12-04,12.08,12.3,12.44,12.0,2080000.0,-0.021099999999999997
2018-12-06,12.6,12.0,12.63,11.65,1060000.0,0.043
2018-12-07,12.51,12.42,12.75,12.22,795840.0,-0.0070999999999999995
2018-12-10,12.61,12.43,12.84,12.42,468690.0,0.008
2018-12-11,12.13,12.75,12.84,12.1,467970.0,-0.0381
2018-12-12,12.34,12.25,12.59,12.21,276210.0,0.0173
2018-12-13,12.06,12.4,12.54,11.91,314420.0,-0.0227
2018-12-14,11.39,11.91,12.2,11.2,1170000.0,-0.0556
2018-12-17,10.74,11.46,11.5,10.46,1060000.0,-0.0571
2018-12-18,10.53,10.82,11.1,10.4,862090.0,-0.0196
2018-12-19,10.44,10.53,11.0,10.3,723900.0,-0.0085
2018-12-20,10.16,10.34,10.62,9.88,782690.0,-0.0268
2018-12-21,9.58,10.17,10.35,9.52,920720.0,-0.0571
2018-12-24,9.66,9.46,9.73,9.23,381290.0,0.0084
2018-12-26,10.12,9.69,10.12,9.57,1120000.0,0.047599999999999996
2018-12-27,10.13,9.91,10.22,9.77,470800.0,0.001
2018-12-28,9.69,10.13,10.13,9.54,835840.0,-0.0434
2018-12-31,9.82,9.73,9.83,9.4,1020000.0,0.0134
2019-01-02,10.42,9.65,10.42,9.35,668060.0,0.0611
2019-01-03,10.09,10.21,10.36,9.84,618880.0,-0.0317
2019-01-04,10.57,10.23,10.62,9.92,905050.0,0.047599999999999996
2019-01-07,10.75,10.68,11.39,10.5,1170000.0,0.017
2019-01-08,10.84,10.91,10.97,10.41,920550.0,0.0084
2019-01-09,10.92,10.87,11.16,10.56,676900.0,0.0074
2019-01-10,10.66,10.83,10.88,10.5,617020.0,-0.023799999999999998
2019-01-11,11.03,10.6,11.13,10.5,644180.0,0.0347
2019-01-14,11.33,10.96,11.59,10.8,538880.0,0.027200000000000002
2019-01-15,11.4,11.34,11.65,11.17,553570.0,0.0062
2019-01-16,11.51,11.41,11.65,11.32,392880.0,0.0096
2019-01-17,11.75,11.49,11.89,11.45,409910.0,0.0209
2019-01-18,11.72,11.77,12.09,11.57,492050.0,-0.0026
2019-01-22,11.13,11.72,11.85,11.02,648070.0,-0.050300000000000004
2019-01-23,11.04,11.11,11.48,10.81,318750.0,-0.008100000000000001
2019-01-24,10.86,11.06,11.15,10.73,481230.0,-0.0163
2019-01-25,10.98,10.92,11.17,10.71,613190.0,0.011000000000000001
2019-01-28,10.99,11.43,11.65,10.82,1030000.0,0.0009
2019-01-29,11.2,11.0,11.32,10.74,2150000.0,0.0191
2019-01-30,11.57,11.0,11.6,10.86,1250000.0,0.033
2019-01-31,11.87,11.57,12.37,11.47,1560000.0,0.0259
2019-02-01,12.17,12.01,12.55,11.95,1270000.0,0.0253
2019-02-04,13.05,12.48,13.2,12.48,3450000.0,0.0723
2019-02-05,13.17,13.17,13.86,13.0,3110000.0,0.0092
2019-02-06,12.37,13.35,13.4,11.78,7530000.0,-0.060700000000000004
2019-02-07,10.92,11.65,11.65,10.51,10880000.0,-0.11720000000000001
2019-02-08,10.7,10.85,11.07,10.45,3820000.0,-0.020099999999999996
2019-02-11,11.0,10.89,11.04,10.53,2600000.0,0.027999999999999997
2019-02-12,11.22,11.0,11.5,11.0,3100000.0,0.02
2019-02-13,11.29,11.21,11.3,10.95,1430000.0,0.0062
2019-02-14,11.12,11.16,11.34,10.93,1380000.0,-0.0151
2019-02-15,11.51,11.18,11.55,11.13,2540000.0,0.0351
2019-02-19,11.44,11.46,11.84,11.36,1500000.0,-0.0060999999999999995
2019-02-20,11.35,11.47,11.57,11.26,1540000.0,-0.0079
2019-02-21,11.14,11.28,11.3,10.96,1770000.0,-0.018500000000000003
2019-02-22,11.17,11.1,11.22,11.03,1850000.0,0.0027
2019-02-25,11.19,11.2,11.24,11.01,1730000.0,0.0018
2019-02-26,10.85,11.04,11.1,10.75,1860000.0,-0.0304
2019-02-27,10.69,10.85,11.0,10.68,1440000.0,-0.0147
2019-02-28,10.33,10.68,10.75,10.21,1650000.0,-0.0337
2019-03-01,10.54,10.4,10.55,10.35,1130000.0,0.0203
2019-03-04,10.57,10.58,10.82,10.43,1300000.0,0.0028000000000000004
2019-03-05,10.47,10.58,10.75,10.43,872770.0,-0.0095
2019-03-06,10.22,10.46,10.5,10.18,1170000.0,-0.0239
2019-03-07,9.85,10.08,10.18,9.66,2770000.0,-0.0362
2019-03-08,9.98,9.68,10.14,9.65,1690000.0,0.0132
2019-03-11,10.1,10.0,10.12,9.78,1070000.0,0.012
2019-03-12,10.15,10.05,10.26,10.0,942610.0,0.005
2019-03-13,10.11,10.16,10.22,9.89,1300000.0,-0.0039000000000000003
2019-03-14,9.92,10.14,10.22,9.81,1130000.0,-0.018799999999999997
2019-03-15,10.02,9.95,10.03,9.77,1490000.0,0.0101
2019-03-18,10.2,10.07,10.23,10.0,1020000.0,0.018000000000000002
2019-03-19,10.05,10.21,10.28,9.97,1060000.0,-0.0147
2019-03-20,10.0,10.01,10.12,9.85,738240.0,-0.005
2019-03-21,10.08,9.97,10.23,9.87,1000000.0,0.008
2019-03-22,9.85,9.99,10.03,9.8,872320.0,-0.022799999999999997
2019-03-25,9.78,9.78,9.91,9.67,659890.0,-0.0070999999999999995
2019-03-26,9.84,9.9,9.99,9.7,635490.0,0.0060999999999999995
2019-03-27,9.87,9.82,9.95,9.75,890760.0,0.003
2019-03-28,10.18,9.92,10.36,9.9,1660000.0,0.031400000000000004
2019-03-29,10.29,10.27,10.37,10.1,885770.0,0.0108
2019-04-01,10.54,10.36,10.56,10.29,1030000.0,0.024300000000000002
2019-04-02,11.12,10.75,11.18,10.65,1820000.0,0.055
2019-04-03,10.97,11.17,11.24,10.89,1040000.0,-0.013500000000000002
2019-04-04,11.25,11.0,11.29,10.99,930090.0,0.0255
2019-04-05,11.09,11.3,11.38,10.96,689900.0,-0.014199999999999999
2019-04-08,11.24,11.02,11.29,10.9,644550.0,0.013500000000000002
2019-04-09,11.34,11.24,11.4,11.17,705880.0,0.0089
2019-04-10,11.76,11.36,11.89,11.33,1540000.0,0.037000000000000005
2019-04-11,11.69,11.74,11.74,11.54,914510.0,-0.006
2019-04-12,11.93,11.76,11.99,11.67,1130000.0,0.020499999999999997
2019-04-15,11.96,11.88,11.99,11.83,706250.0,0.0025
2019-04-16,11.74,11.93,11.95,11.62,877540.0,-0.0184
2019-04-17,11.74,11.76,11.9,11.64,729910.0,0.0
