Date,Close,Open,High,Low,Volume,Change
2005-11-18,17.74,16.73,18.01,16.24,2160000.0,0.06480000000000001
2005-11-21,17.42,17.74,18.3,16.86,571730.0,-0.018000000000000002
2005-11-22,16.43,17.5,17.5,16.39,375880.0,-0.056799999999999996
2005-11-23,16.46,16.47,16.75,16.38,509950.0,0.0018
2005-11-25,17.02,17.02,17.5,16.68,71100.0,0.034
2005-11-28,16.47,17.93,17.94,16.41,376170.0,-0.0323
2005-11-29,16.22,16.74,16.84,16.22,271200.0,-0.0152
2005-11-30,16.37,16.34,16.5,16.2,109350.0,0.0092
2005-12-01,16.66,16.52,17.02,16.19,148020.0,0.0177
2005-12-02,16.81,16.84,17.19,16.55,101230.0,0.009000000000000001
2005-12-05,16.39,17.02,17.02,16.22,171670.0,-0.025
2005-12-06,15.99,16.68,16.69,15.91,200510.0,-0.024399999999999998
2005-12-07,16.37,16.82,16.82,16.2,321320.0,0.023799999999999998
2005-12-08,17.12,16.6,17.68,16.51,229170.0,0.0458
2005-12-09,17.96,17.29,18.27,17.19,182290.0,0.049100000000000005
2005-12-12,18.08,18.39,19.08,18.01,241370.0,0.0067
2005-12-13,18.22,18.59,18.59,18.14,91570.0,0.0077
2005-12-14,18.4,19.15,19.15,17.42,317490.0,0.009899999999999999
2005-12-15,18.59,19.05,19.25,18.07,267250.0,0.0103
2005-12-16,20.15,19.61,20.19,18.84,1170000.0,0.0839
2005-12-19,19.67,20.29,20.3,19.33,375280.0,-0.023799999999999998
2005-12-20,19.0,19.44,19.79,18.97,286570.0,-0.0341
2005-12-21,18.86,18.93,19.07,18.27,357410.0,-0.0074
2005-12-22,18.84,18.82,18.95,18.48,99990.0,-0.0011
2005-12-23,18.35,18.92,18.92,17.82,233600.0,-0.026000000000000002
2005-12-27,19.64,18.83,19.74,18.78,330700.0,0.0703
2005-12-28,21.23,19.97,21.61,19.64,461520.0,0.081
2005-12-29,22.73,21.61,22.75,21.29,1090000.0,0.0707
2005-12-30,22.25,22.73,22.73,21.93,507640.0,-0.021099999999999997
2006-01-03,22.17,22.59,22.62,21.75,363700.0,-0.0036
