Date,Close,Open,High,Low,Volume,Change
2020-09-17,24.75,22.72,27.15,22.72,1290000.0,-0.01
2020-09-18,25.0,25.0,25.98,24.5,879900.0,0.0101
2020-09-21,24.42,23.84,25.35,23.84,509150.0,-0.0232
2020-09-22,26.78,24.66,28.27,23.57,2250000.0,0.0966
2020-09-23,25.88,26.03,26.67,24.79,381860.0,-0.0336
2020-09-24,25.16,25.59,25.78,24.74,419040.0,-0.0278
2020-09-25,25.0,24.94,25.24,24.56,146980.0,-0.0064
2020-09-28,26.49,25.0,27.8,25.0,286480.0,0.0596
2020-09-29,25.56,26.3,27.94,25.17,305820.0,-0.0351
2020-09-30,26.61,26.08,26.75,25.65,117650.0,0.041100000000000005
2020-10-01,25.81,26.29,26.63,25.3,187420.0,-0.0301
2020-10-02,25.41,25.21,25.96,24.88,835810.0,-0.0155
2020-10-05,25.58,25.4,26.34,24.89,230120.0,0.0067
2020-10-06,25.37,25.61,25.71,24.82,355590.0,-0.008199999999999999
2020-10-07,25.54,25.71,26.11,25.07,176380.0,0.0067
2020-10-08,26.5,25.47,26.54,25.3,181640.0,0.037599999999999995
2020-10-09,27.07,26.56,27.57,26.51,139420.0,0.0215
2020-10-12,26.21,27.1,27.1,25.88,390930.0,-0.0318
2020-10-13,25.18,25.98,26.03,24.77,220400.0,-0.0393
2020-10-14,25.33,25.25,25.7,25.25,114190.0,0.006
2020-10-15,25.79,25.15,26.24,25.15,91220.0,0.0182
2020-10-16,26.25,25.57,26.3,25.57,139620.0,0.0178
2020-10-19,26.78,26.77,27.0,26.49,182970.0,0.0202
2020-10-20,26.88,26.75,27.39,26.75,146120.0,0.0037
2020-10-21,26.62,27.02,27.02,25.85,56330.0,-0.0097
2020-10-22,27.0,26.52,27.28,26.36,174950.0,0.0143
2020-10-23,26.55,26.94,27.15,26.09,373200.0,-0.0167
2020-10-26,26.03,26.35,26.53,25.9,83280.0,-0.0196
2020-10-27,25.92,26.1,26.69,25.65,216840.0,-0.0042
2020-10-28,25.4,25.57,25.85,24.95,140810.0,-0.020099999999999996
2020-10-29,25.1,25.35,26.1,24.94,178060.0,-0.0118
2020-10-30,25.71,25.31,26.06,24.48,306140.0,0.024300000000000002
2020-11-02,26.05,25.97,27.16,24.89,195330.0,0.0132
2020-11-03,27.08,26.35,27.71,26.1,171980.0,0.0395
2020-11-04,28.12,26.82,29.02,26.82,257540.00000000003,0.0384
2020-11-05,28.11,28.36,29.58,27.53,250590.0,-0.0004
2020-11-06,27.68,28.12,28.76,27.54,160610.0,-0.015300000000000001
2020-11-09,28.3,28.56,28.77,26.65,353180.0,0.022400000000000003
2020-11-10,28.5,27.97,29.13,27.44,200990.0,0.0070999999999999995
2020-11-11,28.73,28.23,30.0,27.81,176110.0,0.008100000000000001
2020-11-12,29.01,28.83,29.9,28.01,252060.0,0.0097
2020-11-13,29.33,29.39,29.9,28.77,174450.0,0.011000000000000001
2020-11-16,28.88,29.86,30.99,28.51,342050.0,-0.015300000000000001
2020-11-17,27.6,28.61,29.1,27.21,254400.0,-0.0443
2020-11-18,27.29,27.57,28.82,27.14,171880.0,-0.011200000000000002
2020-11-19,26.06,27.3,27.75,25.92,275510.0,-0.0451
2020-11-20,25.42,25.98,26.92,25.35,303550.0,-0.0246
2020-11-23,25.53,25.19,26.5,25.19,514799.99999999994,0.0043
2020-11-24,25.81,25.79,26.88,25.4,144310.0,0.011000000000000001
2020-11-25,26.41,25.82,26.59,25.4,68330.0,0.0232
2020-11-27,26.3,26.66,27.13,25.86,75970.0,-0.0042
2020-11-30,27.12,26.27,27.42,26.05,303870.0,0.031200000000000002
2020-12-01,27.45,27.03,29.28,27.01,253550.0,0.012199999999999999
2020-12-02,27.63,27.32,28.44,26.4,155660.0,0.0066
2020-12-03,28.82,27.74,29.24,27.45,195410.0,0.0431
