Date,Close,Open,High,Low,Volume,Change
2004-08-12,71.32,72.96,77.16,70.87,166330.0,14.8489
2004-08-13,68.4,72.96,72.96,68.31,16390.0,-0.0409
2004-08-16,68.4,69.32,69.32,68.4,14710.0,0.0
2004-08-17,68.4,69.96,69.96,68.4,5900.0,0.0
2004-08-18,69.77,68.4,70.68,68.4,6900.0,0.02
2004-08-19,69.32,70.68,71.14,69.32,16090.0,-0.0064
2004-08-20,69.96,73.06,73.06,69.96,12800.0,0.0092
2004-08-23,69.77,71.96,71.96,69.77,5670.0,-0.0027
2004-08-24,68.95,69.32,70.41,68.94,6340.0,-0.0118
2004-08-25,68.5,70.78,70.78,66.49,10290.0,-0.006500000000000001
2004-08-26,70.5,68.86,72.14,68.86,3770.0,0.0292
2004-08-27,71.6,70.96,72.87,70.68,3690.0,0.015600000000000001
2004-08-30,73.88,72.78,74.79,72.05,6900.0,0.0318
2004-08-31,78.35,73.88,78.44,73.88,10560.0,0.0605
2004-09-01,84.46,80.72,84.82,77.53,20580.0,0.078
2004-09-02,87.56,84.82,87.56,82.18,23540.0,0.036699999999999997
2004-09-03,103.97,88.56,104.61,88.01,30060.0,0.18739999999999998
2004-09-07,98.96,108.9,108.9,93.03,22960.0,-0.0482
2004-09-08,97.77,104.43,104.43,94.49,8450.0,-0.012
2004-09-09,94.4,96.22,99.87,93.94,5400.0,-0.0345
2004-09-10,90.29,93.94,96.95,89.11,12180.0,-0.0435
2004-09-13,97.59,90.29,101.69,89.38,13420.0,0.0809
2004-09-14,95.68,98.4,98.41,91.66,15150.0,-0.0196
2004-09-15,99.87,93.94,99.87,92.85,12180.0,0.0438
2004-09-16,108.9,96.68,111.18,96.68,35290.0,0.0904
2004-09-17,109.45,109.99,111.27,103.15,27290.0,0.0051
2004-09-20,113.47,109.45,115.56,103.88,24510.0,0.036699999999999997
2004-09-21,107.35,114.92,114.92,106.35,28630.0,-0.053899999999999997
2004-09-22,105.25,107.17,108.08,102.33,12510.0,-0.0196
2004-09-23,96.31,108.81,108.81,89.84,26930.0,-0.0849
2004-09-24,91.21,96.31,99.14,90.29,27060.0,-0.053
2004-09-27,92.21,93.39,94.95,90.75,15660.0,0.011000000000000001
2004-09-28,96.04,94.31,101.51,93.03,20710.0,0.0415
2004-09-29,94.85,98.78,98.87,93.49,23940.0,-0.0124
2004-09-30,88.83,93.94,94.4,88.74,51900.0,-0.0635
2004-10-01,86.65,88.47,90.29,83.64,27490.0,-0.0245
2004-10-04,85.64,88.65,90.39,84.91,12540.0,-0.011699999999999999
2004-10-05,84.01,86.19,86.46,82.54,11640.0,-0.019
2004-10-06,84.73,86.19,91.21,83.45,12600.0,0.0086
2004-10-07,81.45,87.92,87.92,79.81,12000.0,-0.0387
2004-10-08,77.43,81.17,81.17,77.07,11210.0,-0.049400000000000006
2004-10-11,78.8,76.61,78.8,74.79,10970.0,0.0177
2004-10-12,78.8,77.98,79.81,77.07,3910.0,0.0
2004-10-13,78.8,77.71,79.35,76.7,3530.0,0.0
2004-10-14,80.08,79.35,82.09,78.53,8530.0,0.016200000000000003
2004-10-15,80.08,80.08,81.71,78.71,5410.0,0.0
2004-10-18,79.53,80.08,81.63,78.45,1750.0,-0.0069
2004-10-19,77.62,82.54,84.27,77.07,7730.0,-0.024
2004-10-20,80.72,81.54,81.54,76.16,7970.0,0.039900000000000005
2004-10-21,79.99,79.9,81.45,77.53,5260.0,-0.009000000000000001
2004-10-22,78.25,80.72,81.17,78.16,5620.0,-0.0218
2004-10-25,76.98,81.63,81.63,74.79,3760.0,-0.016200000000000003
2004-10-26,76.89,75.15,81.17,75.15,3930.0,-0.0012
2004-10-27,82.91,80.63,82.91,78.35,6140.0,0.0783
2004-10-28,87.1,82.18,88.01,78.53,8220.0,0.050499999999999996
2004-10-29,85.46,88.29,88.29,84.09,8740.0,-0.018799999999999997
2004-11-01,83.27,87.56,87.56,81.36,9270.0,-0.0256
2004-11-02,82.27,86.55,86.55,80.44,4940.0,-0.012
2004-11-03,82.27,83.82,83.82,81.99,3850.0,0.0
2004-11-04,83.91,84.0,86.19,82.36,12120.0,0.0199
2004-11-05,87.19,86.65,88.93,84.09,14700.0,0.0391
2004-11-08,95.58,89.47,95.77,87.65,17890.0,0.0962
2004-11-09,90.75,95.77,97.41,90.75,12420.0,-0.050499999999999996
2004-11-10,93.76,95.13,95.22,90.2,6350.0,0.0332
2004-11-11,95.13,95.13,100.6,90.29,20990.0,0.0146
2004-11-12,95.77,95.31,99.87,91.57,16980.0,0.0067
2004-11-15,94.76,95.95,95.95,91.21,6890.0,-0.0105
2004-11-16,90.29,93.49,95.68,88.56,7820.0,-0.0472
2004-11-17,95.4,92.57,98.87,89.93,24230.0,0.056600000000000004
2004-11-18,99.05,95.77,99.78,91.02,8100.0,0.0383
2004-11-19,98.23,98.27,102.15,94.76,14730.0,-0.0083
2004-11-22,99.32,99.32,100.33,96.59,8780.0,0.0111
2004-11-23,96.22,99.41,104.43,94.03,21900.0,-0.031200000000000002
2004-11-24,95.58,98.27,99.87,90.84,9700.0,-0.0067
2004-11-26,93.03,95.58,96.95,89.93,4480.0,-0.026699999999999998
2004-11-29,89.84,92.94,93.03,87.74,9460.0,-0.034300000000000004
2004-11-30,88.93,90.11,91.21,87.65,4940.0,-0.0101
2004-12-01,87.74,89.38,91.21,87.56,8700.0,-0.0134
2004-12-02,89.66,86.92,90.75,86.92,10070.0,0.0219
2004-12-03,88.1,90.29,91.11,86.65,4520.0,-0.0174
2004-12-06,89.66,89.38,89.66,86.55,5100.0,0.0177
2004-12-07,87.28,91.39,91.39,86.37,5530.0,-0.0265
2004-12-08,85.82,87.56,87.56,84.18,5020.0,-0.0167
2004-12-09,88.1,83.91,88.74,83.91,3310.0,0.026600000000000002
2004-12-10,89.84,89.93,89.93,84.64,3900.0,0.019799999999999998
2004-12-13,92.21,90.84,95.39,87.56,7870.0,0.0264
2004-12-14,91.11,91.21,91.21,89.02,4130.0,-0.011899999999999999
2004-12-15,90.75,86.65,92.94,86.65,7250.0,-0.004
2004-12-16,91.21,93.03,93.03,90.02,7060.0,0.0051
2004-12-17,91.94,89.84,92.57,89.38,4790.0,0.008
2004-12-20,90.48,89.38,91.21,88.93,2590.0,-0.0159
2004-12-21,90.29,92.85,92.85,88.47,6870.0,-0.0021
2004-12-22,90.93,92.76,92.76,88.74,3570.0,0.0070999999999999995
2004-12-23,89.66,91.11,91.11,88.56,2740.0,-0.013999999999999999
2004-12-27,90.29,90.29,90.84,88.56,3730.0,0.006999999999999999
2004-12-28,88.74,88.65,89.38,88.01,4130.0,-0.0172
2004-12-29,88.2,87.1,88.65,87.1,2090.0,-0.0060999999999999995
2004-12-30,90.29,88.74,91.21,88.01,3340.0,0.023700000000000002
2004-12-31,89.66,90.39,91.21,88.35,4730.0,-0.006999999999999999
2005-01-03,86.65,91.21,91.21,86.65,6760.0,-0.0336
2005-01-04,87.92,90.02,90.02,86.64,5780.0,0.0147
2005-01-05,85.55,89.84,89.84,85.0,5760.0,-0.027000000000000003
2005-01-06,86.44,85.01,86.44,84.73,1550.0,0.0104
2005-01-07,88.38,87.1,88.38,83.64,5250.0,0.022400000000000003
2005-01-10,88.47,85.46,89.29,85.1,8460.0,0.001
2005-01-11,86.28,85.37,89.38,85.37,26570.0,-0.0248
2005-01-12,87.65,87.56,88.74,86.01,8740.0,0.0159
2005-01-13,88.56,85.73,88.56,85.73,12690.0,0.0104
2005-01-14,87.92,89.84,89.84,85.92,9060.0,-0.0072
2005-01-18,87.92,88.47,88.47,87.01,3390.0,0.0
2005-01-19,87.74,88.47,89.56,86.65,5440.0,-0.002
2005-01-20,95.13,86.65,97.59,86.65,11590.0,0.0842
2005-01-21,90.29,96.95,96.95,88.38,9290.0,-0.0509
2005-01-24,87.19,90.29,90.29,86.65,7110.0,-0.034300000000000004
2005-01-25,88.74,86.46,90.29,86.46,4470.0,0.0178
2005-01-26,87.19,89.66,89.66,86.65,3460.0,-0.0175
2005-01-27,86.46,89.66,89.66,86.19,5040.0,-0.0084
2005-01-28,84.27,85.92,87.19,84.27,3130.0,-0.0253
2005-01-31,85.37,87.19,88.74,84.37,3540.0,0.0131
2005-02-01,85.92,86.65,86.65,83.64,2930.0,0.0064
2005-02-02,86.65,84.0,87.92,84.0,5200.0,0.0085
2005-02-03,85.82,86.65,87.65,84.45,3610.0,-0.0096
2005-02-04,88.38,85.82,89.56,85.73,6090.0,0.0298
2005-02-07,90.66,86.19,91.21,86.19,5270.0,0.0258
2005-02-08,83.45,86.65,86.65,82.36,39850.0,-0.0795
2005-02-09,83.82,85.64,85.64,83.36,24080.0,0.0044
2005-02-10,84.64,83.64,85.46,83.45,9660.0,0.0098
2005-02-11,87.1,84.82,87.92,84.82,15820.0,0.0291
2005-02-14,87.56,89.38,89.84,86.19,8840.0,0.0053
2005-02-15,89.93,87.56,89.93,86.55,9100.0,0.0271
2005-02-16,91.11,90.29,91.66,90.29,15180.0,0.0131
2005-02-17,92.3,91.11,93.03,89.38,14040.0,0.0131
2005-02-18,92.03,90.75,92.21,90.75,8740.0,-0.0029
2005-02-22,91.75,92.03,92.94,89.38,8440.0,-0.003
2005-02-23,88.92,93.03,93.03,87.92,31550.0,-0.0308
2005-02-24,89.38,89.38,89.38,88.01,11610.0,0.0052
2005-02-25,89.11,89.38,89.38,88.01,5820.0,-0.003
2005-02-28,85.19,88.93,88.93,85.19,7940.0,-0.044000000000000004
2005-03-01,83.45,86.65,86.65,83.0,5500.0,-0.0204
2005-03-02,82.09,83.45,84.37,81.17,4710.0,-0.0163
2005-03-03,80.17,81.26,82.85,79.81,3900.0,-0.023399999999999997
2005-03-04,79.17,81.99,81.99,78.07,3930.0,-0.0125
2005-03-07,78.53,78.16,83.0,76.16,9350.0,-0.008100000000000001
2005-03-08,74.61,77.53,77.98,73.6,6750.0,-0.0499
2005-03-09,74.7,72.96,79.81,71.32,9040.0,0.0012
2005-03-10,69.5,73.88,74.15,68.86,11490.0,-0.0696
2005-03-11,72.96,68.86,73.24,68.86,6360.0,0.049800000000000004
2005-03-14,74.52,72.96,74.7,72.05,5860.0,0.021400000000000002
2005-03-15,73.24,76.07,76.07,73.06,4800.0,-0.0172
2005-03-16,73.42,72.96,74.06,72.96,3200.0,0.0025
2005-03-17,72.96,74.97,76.7,72.96,2970.0,-0.0063
2005-03-18,73.15,73.97,74.24,71.23,5170.0,0.0026
2005-03-21,70.59,73.15,75.24,69.32,3110.0,-0.035
2005-03-22,69.41,69.32,72.96,69.32,5500.0,-0.0167
2005-03-23,69.5,68.04,71.14,68.04,4440.0,0.0013
2005-03-24,70.68,71.51,71.96,70.23,2550.0,0.017
2005-03-28,69.96,72.05,72.05,68.4,3940.0,-0.0102
2005-03-29,69.5,70.78,70.78,68.77,4510.0,-0.0066
2005-03-30,71.23,67.95,71.32,67.95,3880.0,0.024900000000000002
2005-03-31,70.68,70.59,70.68,69.41,5910.0,-0.0077
2005-04-01,70.0,71.32,72.69,69.32,2970.0,-0.0096
2005-04-04,68.95,69.68,69.77,68.59,4250.0,-0.015
2005-04-05,69.41,69.77,70.23,69.23,4700.0,0.0067
2005-04-06,70.41,70.59,70.68,68.77,5030.0,0.0144
2005-04-07,68.5,71.6,71.6,68.13,3310.0,-0.0271
2005-04-08,64.12,68.86,68.86,63.84,9060.0,-0.0639
2005-04-11,60.29,64.39,64.39,58.65,12300.0,-0.059699999999999996
2005-04-12,62.2,60.93,62.2,60.38,3850.0,0.0317
2005-04-13,59.1,63.11,63.11,57.73,5570.0,-0.049800000000000004
2005-04-14,56.55,57.92,59.28,56.55,2640.0,-0.0431
2005-04-15,56.0,56.37,57.0,54.72,4600.0,-0.0097
2005-04-18,56.09,55.91,56.64,55.27,2880.0,0.0016
2005-04-19,58.37,56.55,65.3,55.64,3850.0,0.0406
2005-04-20,57.09,59.38,64.48,57.0,3690.0,-0.0219
2005-04-21,59.47,57.09,61.56,56.25,3310.0,0.0417
2005-04-22,55.45,60.65,61.56,54.72,4550.0,-0.0676
2005-04-25,59.1,57.37,60.2,57.37,4530.0,0.0658
2005-04-26,58.83,60.01,60.01,58.46,3060.0,-0.0046
2005-04-27,59.28,59.56,59.56,58.83,2460.0,0.0076
2005-04-28,60.2,57.92,63.39,57.92,7260.0,0.0155
2005-04-29,63.39,62.48,63.84,62.02,4100.0,0.053
2005-05-02,66.31,64.57,66.76,64.57,6660.0,0.0461
2005-05-03,69.41,66.76,71.05,66.76,8730.0,0.046799999999999994
2005-05-04,69.77,70.96,70.96,69.5,8400.0,0.0052
2005-05-05,73.42,71.14,73.97,71.14,29630.0,0.052300000000000006
2005-05-06,72.96,73.97,73.97,67.13,15360.0,-0.0063
2005-05-09,73.42,74.52,75.34,72.96,3190.0,0.0063
2005-05-10,72.69,73.42,73.42,71.6,5870.0,-0.009899999999999999
2005-05-11,72.87,72.87,72.96,71.6,6030.0,0.0025
2005-05-12,73.24,72.96,73.42,69.04,8220.0,0.0051
2005-05-13,71.6,72.33,73.33,70.87,7160.0,-0.022400000000000003
2005-05-16,68.77,72.87,72.87,67.95,6170.0,-0.0395
2005-05-17,72.96,68.5,73.06,68.5,3910.0,0.060899999999999996
2005-05-18,72.96,73.33,74.24,72.05,6310.0,0.0
2005-05-19,72.87,73.42,73.6,72.05,3840.0,-0.0012
2005-05-20,72.33,73.42,73.6,72.14,3620.0,-0.0074
2005-05-23,72.51,72.78,72.87,72.24,10650.0,0.0025
2005-05-24,72.24,72.33,72.96,71.69,3250.0,-0.0037
2005-05-25,72.96,73.15,73.24,72.24,2520.0,0.01
2005-05-26,72.51,72.78,72.96,72.24,3160.0,-0.0062
