Date,Close,Open,High,Low,Volume,Change
1997-11-18,1.2,1.17,1.2,1.13,9450.0,-0.0977
1997-11-19,1.0,1.17,1.17,1.0,8250.0,-0.16670000000000001
1997-11-20,1.0,1.0,1.0,1.0,3000.0,0.0
1997-11-21,1.17,0.97,1.23,0.93,13420.0,0.17
1997-11-25,0.93,1.03,1.03,0.93,5520.0,-0.2051
1997-11-26,0.9,1.17,1.17,0.9,3750.0,-0.0323
1997-11-27,0.9,0.9,0.9,0.9,630.0,0.0
1997-11-28,0.93,0.93,0.93,0.93,1650.0,0.0333
1997-12-01,0.83,0.93,0.93,0.83,15450.0,-0.1075
1997-12-02,1.1,0.9,1.1,0.9,18080.0,0.32530000000000003
1997-12-03,1.0,1.0,1.03,1.0,16050.0,-0.0909
1997-12-04,1.0,1.07,1.07,1.0,4800.0,0.0
1997-12-05,1.23,1.17,1.23,1.17,1800.0,0.23
1997-12-08,1.1,1.17,1.17,1.1,6600.0,-0.1057
1997-12-09,1.13,1.13,1.13,1.13,750.0,0.0273
1997-12-10,1.13,1.13,1.13,1.13,1650.0,0.0
1997-12-11,1.0,1.13,1.13,1.0,5100.0,-0.115
1997-12-12,1.0,1.0,1.0,1.0,1500.0,0.0
1997-12-15,1.0,1.0,1.0,1.0,3000.0,0.0
1997-12-16,1.0,1.0,1.0,1.0,3000.0,0.0
1997-12-17,0.8,0.83,0.83,0.8,6900.0,-0.2
1997-12-18,0.87,0.87,0.87,0.87,150.0,0.0875
1997-12-19,1.03,0.87,1.03,0.83,7500.0,0.1839
1997-12-22,0.93,0.93,0.93,0.93,1500.0,-0.0971
1997-12-23,0.87,0.9,0.9,0.8,16990.0,-0.0645
1997-12-24,1.03,1.03,1.03,1.03,1650.0,0.1839
1997-12-30,1.03,1.03,1.03,1.03,900.0,0.0
1998-01-06,1.0,1.0,1.0,1.0,3000.0,-0.0291
1998-01-07,0.83,0.83,0.83,0.83,3000.0,-0.17
1998-01-08,0.77,0.73,0.83,0.7,16800.0,-0.0723
1998-01-12,0.7,0.7,0.7,0.67,6900.0,-0.0909
1998-01-13,0.73,0.73,0.73,0.73,300.0,0.0429
1998-01-14,0.67,0.67,0.7,0.67,8550.0,-0.08220000000000001
1998-01-15,0.7,0.7,0.7,0.7,2400.0,0.044800000000000006
1998-01-20,0.87,0.8,0.87,0.8,10200.0,0.2429
