Date,Close,Open,High,Low,Volume,Change
2006-03-16,15.91,15.8,15.96,15.66,649100.0,0.006999999999999999
2006-03-17,16.4,15.9,16.47,15.83,287000.0,0.0308
2006-03-20,16.33,16.5,16.79,16.23,282800.0,-0.0043
2006-03-21,15.87,16.32,16.32,15.74,274700.0,-0.0282
2006-03-22,15.84,15.77,15.93,15.74,103000.0,-0.0019
2006-03-23,15.8,15.79,15.87,15.73,106200.0,-0.0025
2006-03-24,16.06,15.93,16.38,15.89,101300.0,0.0165
2006-03-27,16.23,16.16,16.88,16.03,111700.0,0.0106
2006-03-28,16.19,16.21,16.3,16.1,115400.0,-0.0025
2006-03-29,16.33,16.36,16.42,16.23,81900.0,0.0086
2006-03-30,16.69,16.36,16.69,16.36,132400.0,0.022000000000000002
2006-03-31,16.88,16.72,17.02,16.72,100100.0,0.011399999999999999
2006-04-03,16.33,16.92,16.92,16.26,291800.0,-0.0326
2006-04-04,16.26,16.32,16.33,16.19,220200.0,-0.0043
2006-04-05,16.18,16.23,16.23,16.15,122200.0,-0.0049
2006-04-06,15.9,16.06,16.18,15.77,130100.0,-0.0173
2006-04-07,15.81,15.9,15.9,15.67,33700.0,-0.005699999999999999
2006-04-10,15.94,15.77,15.96,15.74,43800.0,0.008199999999999999
2006-04-11,15.8,15.92,15.92,15.7,163800.0,-0.0088
2006-04-12,15.8,16.62,16.62,15.78,664800.0,0.0
2006-04-13,15.98,15.83,16.03,15.74,214700.0,0.011399999999999999
2006-04-17,16.13,15.99,16.19,15.99,203100.0,0.009399999999999999
2006-04-18,15.9,16.08,16.12,15.72,186400.0,-0.0143
2006-04-19,16.23,15.9,16.39,15.9,241600.0,0.0208
2006-04-20,16.78,16.26,17.01,16.21,166400.0,0.0339
2006-04-21,16.69,16.85,17.11,16.53,401800.0,-0.0054
2006-04-24,16.73,16.69,16.98,16.59,92400.0,0.0024
2006-04-25,16.92,16.71,17.18,16.71,232500.0,0.011399999999999999
2006-04-26,16.88,16.82,17.05,16.72,145000.0,-0.0024
2006-04-27,16.65,16.89,16.95,16.56,52300.0,-0.013600000000000001
2006-04-28,16.21,16.65,16.65,15.82,232200.0,-0.0264
2006-05-01,16.48,16.21,16.5,16.21,151000.0,0.0167
2006-05-02,16.23,16.49,16.52,16.22,124000.0,-0.0152
2006-05-03,16.14,16.23,16.23,16.1,110100.0,-0.0055000000000000005
2006-05-04,16.12,16.08,16.14,15.81,95500.0,-0.0012
2006-05-05,16.1,16.06,16.15,15.88,104900.0,-0.0012
2006-05-08,16.3,16.06,16.39,16.04,106200.0,0.0124
2006-05-09,16.34,16.31,16.39,16.16,85400.0,0.0025
2006-05-10,16.38,16.42,16.46,16.25,74200.0,0.0024
2006-05-11,16.92,16.45,16.92,16.39,57100.0,0.033
2006-05-12,16.7,16.65,16.72,16.35,49300.0,-0.013000000000000001
2006-05-15,16.57,16.65,16.65,16.48,72200.0,-0.0078000000000000005
2006-05-16,16.74,16.55,16.88,16.55,84600.0,0.0103
2006-05-17,16.65,16.69,16.69,16.55,98200.0,-0.0054
2006-05-18,16.66,16.61,16.84,16.61,68800.0,0.0006
2006-05-19,16.65,16.59,16.65,16.42,165700.0,-0.0006
2006-05-22,16.73,16.63,16.74,16.43,66100.0,0.0048
2006-05-23,16.55,16.62,16.69,16.54,47300.0,-0.0108
2006-05-24,16.59,16.52,16.65,16.32,37600.0,0.0024
2006-05-25,16.44,16.55,16.59,16.33,50200.0,-0.009000000000000001
2006-05-26,16.39,16.39,16.42,16.35,44200.0,-0.003
2006-05-30,16.38,16.38,16.44,16.25,68500.0,-0.0006
2006-05-31,16.52,16.39,16.58,16.36,69000.0,0.0085
2006-06-01,17.05,16.45,17.05,16.4,40100.0,0.0321
2006-06-02,17.37,16.98,17.37,16.92,69500.0,0.018799999999999997
2006-06-05,17.36,17.31,17.39,17.17,67400.0,-0.0006
2006-06-06,17.08,17.36,17.36,17.03,62300.0,-0.0161
2006-06-07,16.96,17.08,17.14,16.82,52700.0,-0.006999999999999999
2006-06-08,16.93,16.9,16.93,16.62,40600.0,-0.0018
2006-06-09,16.26,16.95,16.99,16.26,145000.0,-0.039599999999999996
2006-06-12,15.74,16.29,16.29,15.57,55300.0,-0.032
2006-06-13,15.11,15.66,15.74,15.09,301500.0,-0.04
2006-06-14,14.57,15.08,15.08,14.04,230800.0,-0.035699999999999996
2006-06-15,14.72,14.64,14.81,14.54,185600.0,0.0103
2006-06-16,15.37,14.76,15.47,14.75,90600.0,0.044199999999999996
2006-06-19,15.01,15.51,15.67,14.33,105100.0,-0.023399999999999997
2006-06-20,15.52,15.16,15.59,14.96,62300.0,0.034
2006-06-21,16.02,15.49,16.13,15.37,49000.0,0.0322
2006-06-22,16.15,16.08,16.29,16.07,35900.0,0.008100000000000001
2006-06-23,16.64,16.19,16.97,16.14,86700.0,0.030299999999999997
2006-06-26,17.09,16.65,17.13,16.61,36400.0,0.027000000000000003
2006-06-27,17.12,16.94,17.53,16.94,118100.0,0.0018
2006-06-28,16.7,17.15,17.15,16.67,106100.0,-0.0245
2006-06-29,16.97,16.7,17.05,16.7,91600.0,0.016200000000000003
2006-06-30,15.7,16.98,16.98,15.7,765000.0,-0.0748
2006-07-03,15.43,15.87,16.0,15.28,173500.0,-0.0172
2006-07-05,15.39,15.36,15.43,15.15,54900.0,-0.0026
2006-07-06,15.11,15.39,15.41,15.03,83100.0,-0.0182
2006-07-07,15.08,15.05,15.28,15.0,72900.0,-0.002
2006-07-10,15.18,15.08,15.24,15.06,42300.0,0.0066
2006-07-11,15.39,15.16,15.39,15.11,51200.0,0.0138
2006-07-12,15.44,15.38,15.52,15.15,60800.0,0.0032
2006-07-13,15.39,15.36,15.58,15.27,52400.0,-0.0032
2006-07-14,15.15,15.22,15.3,14.91,42600.0,-0.015600000000000001
2006-07-17,15.2,15.15,15.31,15.13,28900.0,0.0033
2006-07-18,15.51,15.21,15.51,15.2,22000.0,0.0204
2006-07-19,16.38,15.49,16.38,15.49,90400.0,0.056100000000000004
2006-07-20,16.4,16.35,16.59,16.31,45800.0,0.0012
2006-07-21,16.4,16.4,16.46,16.17,49900.0,0.0
2006-07-24,16.77,16.52,16.78,16.48,64400.00000000001,0.0226
2006-07-25,17.14,16.74,17.25,16.69,43300.0,0.022099999999999998
2006-07-26,16.46,17.07,17.11,16.46,40800.0,-0.0397
2006-07-27,16.39,16.51,16.65,16.33,22000.0,-0.0043
2006-07-28,16.72,16.46,16.74,16.46,12800.0,0.020099999999999996
2006-07-31,16.78,17.24,18.0,16.72,151200.0,0.0036
2006-08-01,16.46,16.69,16.69,16.36,107000.0,-0.0191
2006-08-02,16.52,16.49,16.63,16.29,42600.0,0.0036
2006-08-03,16.74,16.39,16.78,16.37,32800.0,0.013300000000000001
2006-08-04,16.38,16.8,16.8,16.26,65400.00000000001,-0.0215
2006-08-07,16.24,16.33,16.33,16.1,36900.0,-0.0085
2006-08-08,15.95,16.23,16.36,15.94,45300.0,-0.0179
2006-08-09,15.2,15.97,16.0,15.18,20500.0,-0.047
2006-08-10,15.54,15.15,15.57,15.05,21200.0,0.022400000000000003
2006-08-11,15.45,15.51,15.51,15.18,15200.0,-0.0058
2006-08-14,15.7,15.55,15.74,15.55,47500.0,0.016200000000000003
2006-08-15,15.74,15.77,15.93,15.67,16800.0,0.0025
2006-08-16,15.64,15.74,15.86,15.64,28600.0,-0.0064
2006-08-17,15.62,15.69,15.85,15.62,18500.0,-0.0013
2006-08-18,15.62,15.67,15.71,15.51,18300.0,0.0
2006-08-21,15.38,15.51,15.51,15.34,13700.0,-0.0154
2006-08-22,15.26,15.37,15.45,15.21,8800.0,-0.0078000000000000005
2006-08-23,14.82,15.21,15.29,14.78,59000.0,-0.0288
2006-08-24,14.66,14.78,14.78,14.59,10500.0,-0.0108
2006-08-25,14.82,14.64,14.85,14.63,17300.0,0.0109
2006-08-28,14.95,14.96,15.05,14.95,33400.0,0.0088
2006-08-29,14.74,14.92,14.92,14.68,23800.0,-0.013999999999999999
2006-08-30,14.9,14.82,15.01,14.72,34900.0,0.0109
2006-08-31,14.84,14.97,15.09,14.84,28800.0,-0.004
2006-09-01,14.54,14.84,14.84,14.5,44000.0,-0.0202
2006-09-05,15.12,14.51,15.2,14.51,40100.0,0.039900000000000005
2006-09-06,15.14,15.09,15.41,15.05,25700.0,0.0013
2006-09-07,15.77,15.08,16.08,15.01,54600.0,0.0416
2006-09-08,15.7,15.78,15.78,15.57,34600.0,-0.0044
2006-09-11,15.77,15.68,15.92,15.64,30200.0,0.0045000000000000005
2006-09-12,15.64,15.74,15.77,15.57,36200.0,-0.008199999999999999
2006-09-13,15.61,15.71,15.73,15.48,29100.0,-0.0019
2006-09-14,15.41,15.55,15.56,15.25,31600.0,-0.0128
2006-09-15,15.45,15.47,15.53,15.38,76800.0,0.0026
2006-09-18,15.34,15.41,15.5,15.28,44600.0,-0.0070999999999999995
2006-09-19,15.34,15.34,15.35,15.18,39000.0,0.0
2006-09-20,16.03,15.39,16.08,15.36,70000.0,0.045
2006-09-21,15.95,16.06,16.15,15.86,18500.0,-0.005
2006-09-22,15.84,15.9,15.9,15.7,41600.0,-0.0069
2006-09-25,15.62,15.85,15.85,15.6,46000.0,-0.0139
2006-09-26,15.6,15.62,15.74,15.41,241500.0,-0.0013
2006-09-27,15.89,15.57,15.89,15.57,122100.0,0.018600000000000002
2006-09-28,16.26,16.05,16.52,16.05,125500.0,0.0233
2006-09-29,16.01,16.25,16.29,15.96,89800.0,-0.0154
2006-10-02,15.53,15.92,15.92,15.24,62800.0,-0.03
2006-10-03,15.49,15.53,15.54,15.39,26100.0,-0.0026
2006-10-04,15.74,15.49,15.75,15.41,141700.0,0.0161
2006-10-05,16.34,15.74,16.45,15.67,79400.0,0.0381
2006-10-06,16.12,16.32,16.34,16.1,67300.0,-0.013500000000000002
2006-10-09,16.31,16.12,16.36,16.03,30800.0,0.0118
2006-10-10,16.26,16.33,16.33,16.16,51000.0,-0.0031
2006-10-11,16.25,16.26,16.28,16.14,166500.0,-0.0006
2006-10-12,16.37,16.25,16.38,16.06,153300.0,0.0074
2006-10-13,16.26,16.38,16.45,16.17,79100.0,-0.0067
2006-10-16,16.1,16.26,16.38,16.04,36500.0,-0.0098
2006-10-17,16.0,16.05,16.08,15.9,27000.0,-0.0062
2006-10-18,16.01,16.06,16.1,15.9,34000.0,0.0006
2006-10-19,16.05,15.96,16.16,15.95,44900.0,0.0025
2006-10-20,16.26,16.08,16.28,15.99,29300.0,0.0131
2006-10-23,15.9,16.14,16.26,15.85,21400.0,-0.022099999999999998
2006-10-24,15.34,15.57,16.0,15.25,60000.0,-0.0352
2006-10-25,15.41,15.34,15.6,15.34,56400.0,0.0046
2006-10-26,15.79,15.56,15.83,15.24,143600.0,0.024700000000000003
2006-10-27,15.62,15.74,16.06,15.57,38200.0,-0.0108
2006-10-30,16.08,15.6,16.12,15.51,34000.0,0.0294
2006-10-31,15.75,16.08,16.08,15.65,42000.0,-0.020499999999999997
2006-11-01,15.64,15.77,15.81,15.64,45000.0,-0.006999999999999999
2006-11-02,15.74,15.51,15.87,15.41,20000.0,0.0064
2006-11-03,15.47,15.77,15.79,15.37,13000.0,-0.0172
2006-11-06,15.73,15.54,15.73,15.5,13100.0,0.0168
2006-11-07,15.74,15.66,15.85,15.59,18200.0,0.0006
