Date,Close,Open,High,Low,Volume,Change
1992-03-26,12.125,12.125,12.5,12.125,106100.0,0.07780000000000001
1992-03-27,12.25,12.25,12.5,12.25,60100.0,0.0103
1992-03-30,12.375,12.375,12.625,12.375,31200.0,0.0102
1992-03-31,12.125,12.125,12.375,12.125,40000.0,-0.0202
1992-04-01,11.625,11.625,11.875,11.625,76700.0,-0.0412
1992-04-02,11.75,11.75,12.0,11.75,46700.0,0.0108
1992-04-03,12.125,12.125,12.5,12.125,55100.0,0.0319
1992-04-06,12.0,12.0,12.25,12.0,20700.0,-0.0103
1992-04-07,12.0,12.0,12.375,12.0,23600.0,0.0
1992-04-08,11.375,11.375,11.75,11.375,37000.0,-0.0521
1992-04-09,11.625,11.625,11.875,11.625,11100.0,0.022000000000000002
1992-04-10,11.625,11.625,11.875,11.625,16600.0,0.0
1992-04-13,11.875,11.875,12.125,11.875,42100.0,0.0215
1992-04-14,12.0,12.0,12.25,12.0,23500.0,0.0105
1992-04-15,12.0,12.0,12.25,12.0,24000.0,0.0
1992-04-16,11.875,11.875,12.25,11.875,18700.0,-0.0104
1992-04-20,11.5,11.5,11.75,11.5,20700.0,-0.0316
1992-04-21,11.25,11.25,11.625,11.25,16400.0,-0.0217
1992-04-22,10.75,10.75,11.125,10.75,52900.0,-0.0444
1992-04-23,11.0,11.0,11.25,11.0,32800.0,0.0233
1992-04-24,10.875,10.875,11.125,10.875,22600.0,-0.011399999999999999
1992-04-27,10.625,10.625,11.0,10.625,6200.0,-0.023
1992-04-28,10.875,10.875,11.25,10.875,13300.0,0.0235
1992-04-29,10.875,10.875,11.125,10.875,17900.0,0.0
1992-04-30,10.875,10.875,11.25,10.875,30300.0,0.0
1992-05-01,10.75,10.75,11.0,10.75,35100.0,-0.0115
1992-05-04,10.75,10.75,11.0,10.75,10600.0,0.0
1992-05-05,10.625,10.625,11.0,10.625,11500.0,-0.0116
1992-05-06,10.25,10.25,10.75,10.25,32900.0,-0.0353
1992-05-07,10.125,10.125,10.625,10.125,23100.0,-0.012199999999999999
1992-05-08,10.125,10.125,10.375,10.125,33000.0,0.0
1992-05-11,10.25,10.25,10.5,10.25,65200.0,0.0123
1992-05-12,10.75,10.75,11.125,10.75,34000.0,0.048799999999999996
1992-05-13,11.375,11.375,11.625,11.375,40900.0,0.0581
1992-05-14,12.25,12.25,12.375,12.25,45200.0,0.07690000000000001
1992-05-15,12.0,12.0,12.25,12.0,36300.0,-0.0204
1992-05-18,12.25,12.25,12.625,12.25,40800.0,0.0208
1992-05-19,12.125,12.125,12.5,12.125,18300.0,-0.0102
1992-05-20,12.125,12.125,12.5,12.125,27300.0,0.0
1992-05-21,12.125,12.125,12.5,12.125,32000.0,0.0
1992-05-22,12.125,12.125,12.375,12.125,22400.0,0.0
1992-05-26,11.625,11.625,12.0,11.625,14100.0,-0.0412
1992-05-27,11.75,11.75,12.0,11.75,12500.0,0.0108
1992-05-28,11.75,11.75,12.0,11.75,7000.0,0.0
1992-05-29,11.875,11.875,12.125,11.875,18000.0,0.0106
1992-06-01,12.0,12.0,12.25,12.0,8400.0,0.0105
1992-06-02,12.375,12.375,12.75,12.375,63700.0,0.0313
1992-06-03,12.875,12.875,13.125,12.875,43300.0,0.0404
1992-06-04,13.5,13.5,13.75,13.5,120800.0,0.048499999999999995
1992-06-05,13.375,13.375,13.75,13.375,72000.0,-0.009300000000000001
1992-06-08,12.625,12.625,12.875,12.625,59000.0,-0.056100000000000004
1992-06-09,12.625,12.625,12.875,12.625,57200.0,0.0
1992-06-10,12.625,12.625,12.875,12.625,66200.0,0.0
1992-06-11,12.375,12.375,12.625,12.375,63800.0,-0.019799999999999998
1992-06-12,12.25,12.25,12.5,12.25,16900.0,-0.0101
1992-06-15,12.125,12.125,12.5,12.125,18700.0,-0.0102
1992-06-16,11.875,11.875,12.375,11.625,17400.0,-0.0206
1992-06-17,11.75,11.75,11.875,11.5,35800.0,-0.0105
1992-06-18,11.375,11.375,11.75,10.375,112700.0,-0.0319
1992-06-19,11.0,11.0,11.5,11.0,22600.0,-0.033
1992-06-22,11.0,11.0,11.375,10.625,61200.0,0.0
1992-06-23,10.75,10.75,11.125,10.75,28200.0,-0.0227
1992-06-24,10.625,10.625,11.0,10.625,26700.0,-0.0116
1992-06-25,10.625,10.625,11.0,10.5,17300.0,0.0
1992-06-26,10.5,10.5,10.75,10.5,10500.0,-0.0118
1992-06-29,10.625,10.625,10.75,10.25,21100.0,0.011899999999999999
1992-06-30,10.625,10.625,10.625,10.375,11800.0,0.0
1992-07-01,10.875,10.875,10.875,10.375,30100.0,0.0235
1992-07-02,10.625,10.625,10.875,10.5,24200.0,-0.023
1992-07-06,10.625,10.625,10.75,10.375,15300.0,0.0
1992-07-07,10.625,10.625,10.75,10.375,12600.0,0.0
1992-07-08,10.5,10.5,10.625,10.375,13300.0,-0.0118
1992-07-09,10.25,10.25,10.5,10.25,16400.0,-0.023799999999999998
1992-07-10,10.5,10.5,10.625,10.25,12800.0,0.024399999999999998
1992-07-13,10.25,10.25,10.625,10.0,22400.0,-0.023799999999999998
1992-07-14,10.0,10.0,10.25,9.75,32900.0,-0.024399999999999998
1992-07-15,10.0,10.0,10.125,9.875,32900.0,0.0
1992-07-16,10.0,10.0,10.125,9.75,107000.0,0.0
1992-07-17,10.5,10.5,10.75,9.75,117200.0,0.05
1992-07-20,11.125,11.125,11.125,10.25,37600.0,0.059500000000000004
1992-07-21,11.5,11.5,11.75,10.75,51100.0,0.0337
1992-07-22,11.625,11.625,11.75,11.25,58500.0,0.0109
1992-07-23,11.0,11.0,11.75,11.0,41800.0,-0.0538
1992-07-24,10.875,10.875,11.25,10.75,11900.0,-0.011399999999999999
1992-07-27,11.0,11.0,11.0,10.75,8100.0,0.0115
1992-07-28,11.375,11.375,11.375,11.0,20300.0,0.0341
1992-07-29,11.0,11.0,11.375,11.0,13500.0,-0.033
1992-07-30,11.375,11.375,11.375,11.0,3900.0,0.0341
1992-07-31,11.125,11.125,11.375,11.0,19100.0,-0.022000000000000002
1992-08-03,11.375,11.375,11.375,11.125,11400.0,0.0225
1992-08-04,11.0,11.0,11.375,11.0,38300.0,-0.033
