Date,Close,Open,High,Low,Volume,Change
2011-10-13,0.14,0.14,0.14,0.14,2730.0,0.0
2011-10-14,0.13,0.14,0.14,0.13,100000.0,-0.07139999999999999
2011-10-17,0.13,0.13,0.13,0.13,13460.0,0.0
2011-10-19,0.13,0.13,0.13,0.12,89550.0,0.0
2011-10-20,0.13,0.13,0.13,0.13,500.0,0.0
2011-10-24,0.13,0.13,0.13,0.13,980.0,0.0
2011-10-25,0.14,0.14,0.14,0.14,2730.0,0.07690000000000001
2011-10-26,0.15,0.15,0.15,0.15,2580.0,0.07139999999999999
2011-10-27,0.13,0.13,0.13,0.13,1520.0,-0.1333
2011-10-28,0.16,0.13,0.16,0.13,11230.0,0.23079999999999998
2011-11-01,0.13,0.13,0.13,0.13,13850.0,-0.1875
2011-11-03,0.13,0.13,0.13,0.13,2300.0,0.0
2011-11-04,0.15,0.15,0.15,0.15,20020.0,0.15380000000000002
2011-11-07,0.15,0.15,0.15,0.15,6270.0,0.0
2011-11-08,0.15,0.15,0.15,0.15,4860.0,0.0
2011-11-09,0.15,0.15,0.15,0.15,13850.0,0.0
2011-11-10,0.15,0.15,0.15,0.15,6900.0,0.0
2011-11-11,0.15,0.15,0.15,0.15,500.0,0.0
2011-11-14,0.17,0.15,0.17,0.15,5750.0,0.1333
2011-11-15,0.15,0.15,0.17,0.15,3790.0,-0.1176
2011-11-16,0.14,0.15,0.15,0.14,16800.0,-0.0667
2011-11-17,0.14,0.14,0.14,0.14,1620.0,0.0
2011-11-18,0.14,0.14,0.14,0.14,500.0,0.0
2011-11-22,0.14,0.14,0.14,0.14,18010.0,0.0
2011-11-23,0.12,0.12,0.12,0.12,1250.0,-0.1429
2011-11-25,0.13,0.13,0.13,0.13,14750.0,0.0833
2011-11-28,0.12,0.12,0.12,0.12,32210.0,-0.07690000000000001
2011-11-29,0.12,0.12,0.12,0.12,26460.0,0.0
2011-11-30,0.14,0.12,0.14,0.12,29690.0,0.16670000000000001
2011-12-02,0.14,0.15,0.15,0.14,26680.0,0.0
2011-12-05,0.14,0.14,0.14,0.14,11070.0,0.0
2011-12-06,0.15,0.15,0.15,0.15,39680.0,0.07139999999999999
2011-12-07,0.15,0.15,0.15,0.15,5140.0,0.0
2011-12-08,0.14,0.14,0.14,0.14,6750.0,-0.0667
2011-12-09,0.14,0.14,0.14,0.14,6450.0,0.0
2011-12-12,0.14,0.15,0.15,0.14,30650.0,0.0
2011-12-13,0.14,0.14,0.14,0.14,17470.0,0.0
