Date,Close,Open,High,Low,Volume,Change
1980-03-18,2.02,2.02,2.09,2.02,436270.0,-0.0194
1980-03-19,2.11,2.11,2.17,2.11,234650.0,0.0446
1980-03-20,2.06,2.06,2.13,2.06,60380.0,-0.023700000000000002
1980-03-21,2.06,2.06,2.13,2.06,53550.0,0.0
1980-03-24,1.93,1.93,2.0,1.93,312100.0,-0.06309999999999999
1980-03-25,1.98,1.98,2.04,1.98,170860.0,0.0259
1980-03-26,1.98,1.98,2.04,1.98,195920.0,0.0
1980-03-27,1.76,1.76,1.82,1.76,299580.0,-0.11109999999999999
1980-03-28,2.0,2.0,2.06,2.0,265410.0,0.1364
1980-03-31,2.11,2.11,2.17,2.11,345150.0,0.055
1980-04-01,2.09,2.09,2.15,2.09,242630.0,-0.0095
1980-04-02,2.09,2.09,2.15,2.09,61510.0,0.0
1980-04-03,2.06,2.06,2.13,2.06,131000.0,-0.0144
1980-04-07,1.95,1.95,2.02,1.95,137840.0,-0.053399999999999996
1980-04-08,1.98,1.98,2.04,1.98,97960.0,0.0154
1980-04-09,2.06,2.06,2.13,2.06,205030.0,0.0404
1980-04-10,2.15,2.15,2.22,2.15,214140.0,0.0437
1980-04-11,2.15,2.15,2.22,2.15,264260.0,0.0
1980-04-14,2.06,2.06,2.13,2.06,131000.0,-0.04190000000000001
1980-04-15,2.04,2.04,2.11,2.04,123020.0,-0.0097
1980-04-16,2.06,2.06,2.13,2.06,64940.0,0.0098
1980-04-17,2.04,2.04,2.11,2.04,103670.0,-0.0097
1980-04-18,2.02,2.02,2.09,2.02,125300.0,-0.0098
1980-04-21,1.98,1.98,2.04,1.98,135560.0,-0.019799999999999998
1980-04-22,2.09,2.09,2.15,2.09,181120.0,0.0556
1980-04-23,2.11,2.11,2.17,2.11,174290.0,0.0096
1980-04-24,2.19,2.19,2.26,2.19,96830.0,0.0379
1980-04-25,2.15,2.15,2.22,2.15,27340.0,-0.0183
1980-04-28,2.19,2.19,2.26,2.19,63790.0,0.018600000000000002
1980-04-29,2.24,2.24,2.3,2.24,77460.0,0.022799999999999997
1980-04-30,2.26,2.26,2.33,2.26,126450.0,0.0089
1980-05-01,2.19,2.19,2.26,2.19,199350.0,-0.031
1980-05-02,2.19,2.19,2.26,2.19,79730.0,0.0
1980-05-05,2.22,2.22,2.28,2.22,43280.0,0.0137
1980-05-06,2.19,2.19,2.26,2.19,158340.0,-0.013500000000000002
1980-05-07,2.13,2.13,2.19,2.13,166300.0,-0.0274
1980-05-08,2.04,2.04,2.11,2.04,103670.0,-0.042300000000000004
1980-05-09,2.06,2.06,2.13,2.06,13670.0,0.0098
1980-05-12,2.06,2.06,2.13,2.06,7980.0,0.0
1980-05-13,2.11,2.11,2.17,2.11,94550.0,0.024300000000000002
1980-05-14,2.15,2.15,2.22,2.15,582070.0,0.019
1980-05-15,2.15,2.15,2.22,2.15,67220.0,0.0
1980-05-16,2.22,2.22,2.28,2.22,198200.0,0.0326
1980-05-19,2.24,2.24,2.3,2.24,61510.0,0.009000000000000001
1980-05-20,2.15,2.15,2.22,2.15,201630.0,-0.04019999999999999
1980-05-21,2.15,2.15,2.22,2.15,77460.0,0.0
1980-05-22,2.19,2.19,2.26,2.19,107070.0,0.018600000000000002
1980-05-23,2.24,2.24,2.3,2.24,116180.0,0.022799999999999997
1980-05-27,2.24,2.24,2.3,2.24,143520.0,0.0
1980-05-28,2.22,2.22,2.28,2.22,121890.0,-0.0089
1980-05-29,2.17,2.17,2.24,2.17,136690.0,-0.0225
1980-05-30,2.19,2.19,2.26,2.19,832670.0,0.0092
1980-06-02,2.19,2.19,2.26,2.19,93400.0,0.0
1980-06-03,2.17,2.17,2.24,2.17,79730.0,-0.0091
1980-06-04,2.17,2.17,2.24,2.17,213020.0,0.0
1980-06-05,2.15,2.15,2.22,2.15,236930.0,-0.0092
1980-06-06,2.22,2.22,2.28,2.22,175420.0,0.0326
1980-06-09,2.22,2.22,2.28,2.22,158340.0,0.0
1980-06-10,2.37,2.37,2.44,2.37,357670.0,0.0676
1980-06-11,2.5,2.5,2.57,2.5,448790.0,0.054900000000000004
1980-06-12,2.48,2.48,2.55,2.48,441960.0,-0.008
1980-06-13,2.52,2.52,2.59,2.52,290470.0,0.0161
1980-06-16,2.48,2.48,2.55,2.48,149230.0,-0.0159
1980-06-17,2.39,2.39,2.46,2.39,169730.0,-0.0363
1980-06-18,2.37,2.37,2.44,2.37,260860.0,-0.0084
1980-06-19,2.11,2.11,2.17,2.11,440830.0,-0.1097
1980-06-20,2.22,2.22,2.28,2.22,252870.0,0.0521
1980-06-23,2.22,2.22,2.28,2.22,202750.0,0.0
1980-06-24,2.19,2.19,2.26,2.19,126450.0,-0.013500000000000002
1980-06-25,2.35,2.35,2.41,2.35,287040.0,0.0731
1980-06-26,2.33,2.33,2.39,2.33,179970.0,-0.0085
1980-06-27,2.3,2.3,2.37,2.3,69490.0,-0.0129
1980-06-30,2.19,2.19,2.26,2.19,207310.0,-0.0478
1980-07-01,2.17,2.17,2.24,2.17,64940.0,-0.0091
1980-07-02,2.26,2.26,2.33,2.26,162900.0,0.0415
1980-07-03,2.37,2.37,2.44,2.37,172010.0,0.0487
1980-07-07,2.37,2.37,2.41,2.37,135560.0,0.0
1980-07-08,2.37,2.37,2.39,2.37,102520.0,0.0
1980-07-09,2.35,2.35,2.39,2.35,119610.0,-0.0084
1980-07-10,2.33,2.33,2.35,2.33,86570.0,-0.0085
1980-07-11,2.37,2.37,2.39,2.37,156060.0,0.0172
1980-07-14,2.48,2.48,2.5,2.48,232370.0,0.0464
1980-07-15,2.44,2.44,2.48,2.44,332610.0,-0.0161
1980-07-16,2.39,2.39,2.41,2.39,178840.0,-0.020499999999999997
1980-07-17,2.39,2.39,2.41,2.39,185680.0,0.0
1980-07-18,2.37,2.37,2.39,2.37,119610.0,-0.0084
1980-07-21,2.39,2.39,2.41,2.39,222130.0,0.0084
1980-07-22,2.33,2.33,2.37,2.33,219850.0,-0.025099999999999997
1980-07-23,2.33,2.33,2.37,2.33,256300.0,0.0
1980-07-24,2.33,2.33,2.35,2.33,165180.0,0.0
1980-07-25,2.41,2.41,2.44,2.41,156060.0,0.034300000000000004
1980-07-28,2.52,2.52,2.55,2.52,422600.0,0.045599999999999995
1980-07-29,2.59,2.59,2.61,2.59,490950.0,0.0278
1980-07-30,2.7,2.7,2.74,2.7,542190.0,0.0425
1980-07-31,2.63,2.63,2.68,2.63,568400.0,-0.0259
1980-08-01,2.66,2.66,2.7,2.66,217570.0,0.011399999999999999
1980-08-04,2.7,2.7,2.72,2.7,275650.0,0.015
1980-08-05,2.68,2.68,2.72,2.68,263130.0,-0.0074
1980-08-06,2.68,2.68,2.72,2.68,238080.0,0.0
1980-08-07,3.05,3.05,3.07,3.05,525120.0,0.1381
1980-08-08,2.92,2.92,2.96,2.92,370210.0,-0.0426
1980-08-11,2.9,2.9,2.92,2.9,238080.0,-0.0068000000000000005
1980-08-12,2.85,2.85,2.87,2.85,350830.0,-0.0172
1980-08-13,2.9,2.9,2.92,2.9,166300.0,0.0175
1980-08-14,2.96,2.96,2.98,2.96,269970.0,0.0207
1980-08-15,2.98,2.98,3.03,2.98,334880.0,0.0068000000000000005
1980-08-18,2.94,2.94,2.96,2.94,215290.0,-0.0134
1980-08-19,2.87,2.87,2.92,2.87,281360.0,-0.023799999999999998
1980-08-20,2.96,2.96,2.98,2.96,161750.0,0.031400000000000004
1980-08-21,3.25,3.25,3.29,3.25,543340.0,0.098
1980-08-22,3.23,3.23,3.25,3.23,230090.0,-0.0062
1980-08-25,3.18,3.18,3.2,3.18,340590.0,-0.0155
1980-08-26,3.18,3.18,3.2,3.18,428290.0,0.0
1980-08-27,3.14,3.14,3.2,3.12,369060.0,-0.0126
1980-08-28,3.06,3.06,3.12,3.06,140120.0,-0.0255
1980-08-29,3.03,3.03,3.08,3.02,104790.0,-0.0098
1980-09-02,3.03,3.03,3.05,3.02,35320.0,0.0
1980-09-03,3.07,3.07,3.07,3.05,135560.0,0.0132
1980-09-04,3.02,3.02,3.09,3.0,289320.0,-0.0163
1980-09-05,3.04,3.04,3.05,3.0,87720.0,0.0066
1980-09-08,3.0,3.0,3.03,2.98,214140.0,-0.0132
1980-09-09,3.0,3.0,3.0,2.92,74050.0,0.0
1980-09-10,3.0,3.0,3.01,2.94,235800.0,0.0
1980-09-11,3.15,3.15,3.17,3.01,186810.0,0.05
1980-09-12,3.14,3.14,3.14,3.11,85440.0,-0.0032
1980-09-15,3.14,3.14,3.14,3.07,181120.0,0.0
1980-09-16,3.22,3.22,3.24,3.15,275650.0,0.0255
1980-09-17,3.41,3.41,3.45,3.24,390710.0,0.059000000000000004
1980-09-18,3.3,3.3,3.4,3.27,514860.0,-0.0323
1980-09-19,3.37,3.37,3.37,3.3,116180.0,0.0212
1980-09-22,3.35,3.35,3.4,3.31,179970.0,-0.0059
1980-09-23,3.2,3.2,3.34,3.18,121890.0,-0.044800000000000006
1980-09-24,3.34,3.34,3.35,3.12,533080.0,0.0437
1980-09-25,3.29,3.29,3.34,3.29,248320.0,-0.015
1980-09-26,3.23,3.23,3.26,3.23,161750.0,-0.0182
1980-09-29,3.03,3.03,3.16,3.03,345150.0,-0.061900000000000004
1980-09-30,3.11,3.11,3.11,3.01,289320.0,0.0264
1980-10-01,3.05,3.05,3.11,3.05,110500.0,-0.019299999999999998
1980-10-02,3.08,3.08,3.13,3.04,198200.0,0.0098
1980-10-03,3.18,3.18,3.18,3.09,287040.0,0.0325
1980-10-06,3.34,3.34,3.35,3.16,178840.0,0.050300000000000004
1980-10-07,3.28,3.28,3.34,3.27,83160.0,-0.018000000000000002
1980-10-08,3.28,3.28,3.33,3.23,132130.0,0.0
1980-10-09,3.29,3.29,3.36,3.29,109350.0,0.003
1980-10-10,3.29,3.29,3.34,3.26,110500.0,0.0
1980-10-13,3.29,3.29,3.29,3.26,62660.0,0.0
1980-10-14,3.3,3.3,3.33,3.3,151510.0,0.003
1980-10-15,3.28,3.28,3.31,3.25,239200.0,-0.0060999999999999995
1980-10-16,3.15,3.15,3.29,3.15,118460.0,-0.039599999999999996
1980-10-17,3.08,3.08,3.15,3.05,53550.0,-0.0222
1980-10-20,3.09,3.09,3.09,3.05,91130.0,0.0032
1980-10-21,3.14,3.14,3.17,3.11,101390.0,0.016200000000000003
1980-10-22,3.18,3.18,3.18,3.12,103670.0,0.0127
1980-10-23,3.13,3.13,3.19,3.11,67220.0,-0.015700000000000002
1980-10-24,3.13,3.13,3.13,3.09,94550.0,0.0
1980-10-27,3.07,3.07,3.13,3.07,76330.0,-0.0192
1980-10-28,3.04,3.04,3.05,3.0,102520.0,-0.0098
1980-10-29,2.98,2.98,3.06,2.96,80880.0,-0.0197
1980-10-30,2.93,2.93,2.98,2.93,96830.0,-0.0168
1980-10-31,2.94,2.94,2.95,2.92,76330.0,0.0034000000000000002
1980-11-03,3.05,3.05,3.05,2.95,110500.0,0.0374
1980-11-05,3.06,3.06,3.19,3.06,240350.0,0.0033
1980-11-06,2.9,2.9,2.96,2.9,213020.0,-0.052300000000000006
1980-11-07,2.83,2.83,2.84,2.75,264260.0,-0.0241
1980-11-10,2.72,2.72,2.82,2.72,487520.0,-0.038900000000000004
1980-11-11,2.83,2.83,2.85,2.68,273380.0,0.0404
1980-11-12,2.95,2.95,2.95,2.85,193640.0,0.0424
1980-11-13,3.12,3.12,3.13,2.97,181120.0,0.0576
1980-11-14,3.23,3.23,3.35,3.13,546750.0,0.0353
1980-11-17,3.16,3.16,3.23,3.13,86570.0,-0.0217
1980-11-18,3.16,3.16,3.2,3.12,85440.0,0.0
1980-11-19,3.09,3.09,3.18,3.09,80880.0,-0.0222
1980-11-20,3.07,3.07,3.11,3.07,33040.0,-0.006500000000000001
1980-11-21,3.03,3.03,3.09,3.01,157190.0,-0.013000000000000001
1980-11-24,2.92,2.92,3.0,2.92,141240.0,-0.0363
1980-11-25,2.97,2.97,2.97,2.84,120740.0,0.0171
1980-11-26,2.94,2.94,2.97,2.9,90000.0,-0.0101
1980-11-28,2.91,2.91,2.95,2.91,13670.0,-0.0102
1980-12-01,2.77,2.77,2.9,2.74,112780.0,-0.0481
1980-12-02,2.73,2.73,2.77,2.68,323490.0,-0.0144
1980-12-03,2.77,2.77,2.77,2.68,87720.0,0.0147
1980-12-04,2.79,2.79,2.81,2.77,42160.0,0.0072
1980-12-05,2.78,2.78,2.82,2.78,43280.0,-0.0036
1980-12-08,2.61,2.61,2.73,2.57,228960.0,-0.061200000000000004
1980-12-09,2.67,2.67,2.68,2.62,80880.0,0.023
1980-12-10,2.66,2.66,2.72,2.63,47840.0,-0.0037
1980-12-11,2.53,2.53,2.62,2.52,228960.0,-0.0489
1980-12-12,2.63,2.63,2.63,2.5,158340.0,0.0395
1980-12-15,2.68,2.68,2.71,2.68,62660.0,0.019
1980-12-16,2.52,2.52,2.67,2.49,231240.0,-0.059699999999999996
1980-12-17,2.59,2.59,2.62,2.55,117330.0,0.0278
1980-12-18,2.61,2.61,2.61,2.59,141240.0,0.0077
1980-12-19,2.58,2.58,2.61,2.58,56950.0,-0.0115
1980-12-22,2.56,2.56,2.6,2.56,117330.0,-0.0078000000000000005
1980-12-23,2.46,2.46,2.6,2.46,364500.0,-0.0391
1980-12-24,2.53,2.53,2.53,2.46,99110.0,0.0285
1980-12-26,2.56,2.56,2.56,2.53,64940.0,0.011899999999999999
1980-12-29,2.66,2.66,2.68,2.58,82010.0,0.0391
1980-12-30,2.7,2.7,2.71,2.6,138970.0,0.015
1980-12-31,2.7,2.7,2.7,2.64,68340.0,0.0
1981-01-02,2.7,2.7,2.72,2.7,31890.0,0.0
1981-01-05,2.71,2.71,2.71,2.68,79730.0,0.0037
1981-01-06,2.82,2.82,2.84,2.72,151510.0,0.0406
1981-01-07,2.69,2.69,2.72,2.61,320090.0,-0.0461
1981-01-08,2.68,2.68,2.74,2.68,120740.0,-0.0037
1981-01-09,2.72,2.72,2.74,2.69,116180.0,0.0149
1981-01-12,2.71,2.71,2.74,2.68,61510.0,-0.0037
1981-01-13,2.63,2.63,2.68,2.61,115060.0,-0.029500000000000002
1981-01-14,2.66,2.66,2.68,2.64,55830.0,0.011399999999999999
1981-01-15,2.57,2.57,2.63,2.57,48990.0,-0.0338
1981-01-16,2.59,2.59,2.62,2.58,142390.0,0.0078000000000000005
1981-01-19,2.74,2.74,2.79,2.6,239200.0,0.0579
1981-01-20,2.83,2.83,2.95,2.79,220980.0,0.032799999999999996
1981-01-21,2.95,2.95,2.96,2.78,197070.0,0.0424
1981-01-22,3.0,3.0,3.02,2.94,150360.0,0.0169
1981-01-23,2.96,2.96,3.05,2.96,126450.0,-0.013300000000000001
1981-01-26,2.95,2.95,3.01,2.94,68340.0,-0.0034000000000000002
1981-01-27,2.94,2.94,2.98,2.91,112780.0,-0.0034000000000000002
1981-01-28,2.91,2.91,2.97,2.89,88850.0,-0.0102
1981-01-29,2.92,2.92,2.92,2.9,26210.0,0.0034000000000000002
1981-01-30,2.92,2.92,2.95,2.89,119610.0,0.0
1981-02-02,2.74,2.74,2.91,2.72,148080.0,-0.0616
1981-02-03,2.77,2.77,2.77,2.68,51270.0,0.0109
1981-02-04,2.77,2.77,2.86,2.77,92280.0,0.0
1981-02-05,2.68,2.68,2.78,2.67,124170.0,-0.0325
1981-02-06,2.7,2.7,2.71,2.66,152630.0,0.0075
1981-02-09,2.63,2.63,2.7,2.63,123020.0,-0.0259
1981-02-10,2.68,2.68,2.68,2.63,93400.0,0.019
1981-02-11,2.67,2.67,2.68,2.64,52400.0,-0.0037
1981-02-12,2.61,2.61,2.67,2.61,178840.0,-0.0225
1981-02-13,2.64,2.64,2.64,2.61,93400.0,0.0115
1981-02-17,2.62,2.62,2.64,2.61,293880.0,-0.0076
1981-02-18,2.61,2.61,2.64,2.59,207310.0,-0.0038
1981-02-19,2.58,2.58,2.62,2.58,310980.0,-0.0115
1981-02-20,2.61,2.61,2.63,2.58,63790.0,0.0116
1981-02-23,2.61,2.61,2.61,2.57,86570.0,0.0
1981-02-24,2.66,2.66,2.66,2.61,140120.0,0.0192
1981-02-25,2.73,2.73,2.74,2.64,179970.0,0.0263
1981-02-26,2.8,2.8,2.8,2.77,53550.0,0.0256
1981-02-27,2.87,2.87,2.87,2.83,138970.0,0.025
1981-03-02,2.85,2.85,2.89,2.83,70620.0,-0.006999999999999999
1981-03-03,2.81,2.81,2.85,2.79,84290.0,-0.013999999999999999
1981-03-04,2.89,2.89,2.89,2.79,69490.0,0.0285
1981-03-05,2.95,2.95,2.97,2.87,178840.0,0.0208
1981-03-06,3.0,3.0,3.01,2.96,72900.0,0.0169
1981-03-09,3.08,3.08,3.11,3.01,267690.0,0.026699999999999998
1981-03-10,3.05,3.05,3.14,3.04,136690.0,-0.0097
1981-03-11,3.02,3.02,3.07,3.02,77460.0,-0.0098
1981-03-12,3.05,3.05,3.07,3.0,112780.0,0.009899999999999999
1981-03-13,3.03,3.03,3.07,3.02,94550.0,-0.0066
1981-03-16,3.02,3.02,3.03,3.0,55830.0,-0.0033
1981-03-17,3.0,3.0,3.04,2.98,54680.0,-0.0066
1981-03-18,2.98,2.98,3.02,2.98,83160.0,-0.0067
1981-03-19,3.0,3.0,3.02,2.98,29620.0,0.0067
1981-03-20,3.01,3.01,3.05,3.01,151510.0,0.0033
1981-03-23,3.02,3.02,3.02,3.0,23930.0,0.0033
1981-03-24,3.02,3.02,3.06,3.01,72900.0,0.0
1981-03-25,3.05,3.05,3.05,3.0,20500.0,0.009899999999999999
1981-03-26,3.02,3.02,3.05,3.01,42160.0,-0.0098
1981-03-27,3.0,3.0,3.03,2.98,38730.0,-0.0066
1981-03-30,2.95,2.95,2.98,2.95,12540.0,-0.0167
1981-03-31,2.96,2.96,2.98,2.94,34170.0,0.0034000000000000002
1981-04-01,2.97,2.97,3.0,2.96,53550.0,0.0034000000000000002
1981-04-02,3.01,3.01,3.06,3.0,156060.0,0.013500000000000002
1981-04-03,2.97,2.97,3.03,2.97,51270.0,-0.013300000000000001
1981-04-06,2.95,2.95,2.97,2.92,83160.0,-0.0067
1981-04-07,2.95,2.95,2.98,2.92,141240.0,0.0
1981-04-08,2.94,2.94,3.02,2.92,110500.0,-0.0034000000000000002
1981-04-09,3.01,3.01,3.01,2.93,79730.0,0.023799999999999998
1981-04-10,3.11,3.11,3.14,3.02,282490.0,0.0332
1981-04-13,3.15,3.15,3.19,3.14,120740.0,0.0129
1981-04-14,3.13,3.13,3.15,3.09,87720.0,-0.0063
1981-04-15,3.11,3.11,3.13,3.09,91130.0,-0.0064
1981-04-16,3.14,3.14,3.14,3.09,30770.0,0.0096
1981-04-20,3.14,3.14,3.15,3.12,54680.0,0.0
1981-04-21,3.16,3.16,3.18,3.12,46710.0,0.0064
1981-04-22,3.18,3.18,3.19,3.13,69490.0,0.0063
1981-04-23,3.25,3.25,3.26,3.16,156060.0,0.022000000000000002
1981-04-24,3.31,3.31,3.34,3.26,75180.0,0.018500000000000003
1981-04-27,3.38,3.38,3.43,3.35,154910.0,0.021099999999999997
1981-04-28,3.24,3.24,3.41,3.24,63790.0,-0.0414
1981-04-29,3.18,3.18,3.24,3.18,25060.0,-0.018500000000000003
1981-04-30,3.2,3.2,3.2,3.17,34170.0,0.0063
1981-05-01,3.16,3.16,3.19,3.14,61510.0,-0.0125
