Date,Close,Open,High,Low,Volume,Change
1990-07-23,1.58,1.58,1.71,1.54,4680000.0,-0.0867
1990-07-24,1.58,1.58,1.63,1.5,934200.0,0.0
1990-07-25,1.54,1.54,1.58,1.54,349800.0,-0.0253
1990-07-26,1.63,1.63,1.63,1.52,2490000.0,0.0584
1990-07-27,1.58,1.58,1.63,1.54,963600.0,-0.030699999999999998
1990-07-30,1.54,1.54,1.63,1.54,445200.0,-0.0253
1990-07-31,1.54,1.54,1.6,1.54,337800.0,0.0
1990-08-01,1.5,1.5,1.58,1.5,712200.0,-0.026000000000000002
1990-08-02,1.42,1.42,1.54,1.42,634800.0,-0.0533
1990-08-03,1.38,1.38,1.5,1.38,487800.0,-0.0282
1990-08-06,1.25,1.25,1.38,1.25,575400.0,-0.0942
1990-08-07,1.38,1.38,1.38,1.29,838200.0,0.10400000000000001
1990-08-08,1.33,1.33,1.38,1.29,67200.0,-0.0362
1990-08-09,1.38,1.38,1.38,1.29,165600.0,0.037599999999999995
1990-08-10,1.38,1.38,1.38,1.33,46800.0,0.0
1990-08-13,1.38,1.38,1.38,1.29,307800.0,0.0
1990-08-14,1.29,1.29,1.38,1.29,250800.0,-0.0652
1990-08-15,1.33,1.33,1.33,1.29,178800.0,0.031
1990-08-16,1.25,1.25,1.33,1.25,297600.0,-0.0602
1990-08-17,1.29,1.29,1.29,1.17,250800.0,0.032
1990-08-20,1.17,1.17,1.29,1.17,117600.0,-0.09300000000000001
1990-08-21,1.17,1.17,1.25,1.17,108000.0,0.0
1990-08-22,1.17,1.17,1.25,1.17,244800.0,0.0
1990-08-23,1.21,1.21,1.21,1.08,135000.0,0.0342
1990-08-24,1.13,1.13,1.21,1.13,130199.99999999999,-0.0661
1990-08-27,1.13,1.13,1.21,1.13,180600.0,0.0
1990-08-28,1.13,1.13,1.21,1.13,151200.0,0.0
1990-08-29,1.13,1.13,1.21,1.13,134400.0,0.0
1990-08-30,1.08,1.08,1.17,1.08,125400.0,-0.044199999999999996
1990-08-31,1.15,1.15,1.15,1.08,217800.0,0.06480000000000001
1990-09-04,1.08,1.08,1.15,1.08,158400.0,-0.060899999999999996
1990-09-05,1.04,1.04,1.13,1.04,680400.0,-0.037000000000000005
1990-09-06,1.04,1.04,1.1,1.04,247800.0,0.0
1990-09-07,1.0,1.0,1.08,0.96,219000.0,-0.0385
1990-09-10,0.96,0.96,1.04,0.96,241800.0,-0.04
1990-09-11,1.02,1.02,1.04,0.96,642000.0,0.0625
1990-09-12,0.96,0.96,1.04,0.96,57000.0,-0.0588
1990-09-13,1.0,1.0,1.04,0.96,551400.0,0.0417
1990-09-14,1.0,1.0,1.04,0.98,451200.0,0.0
1990-09-17,1.17,1.17,1.17,1.0,607200.0,0.17
1990-09-18,1.08,1.08,1.17,1.08,273000.0,-0.07690000000000001
1990-09-19,1.13,1.13,1.17,1.04,394800.0,0.0463
1990-09-20,1.08,1.08,1.17,1.08,215400.0,-0.044199999999999996
1990-09-21,1.17,1.17,1.17,1.08,133800.0,0.0833
1990-09-24,1.08,1.08,1.17,1.08,60000.0,-0.07690000000000001
1990-09-25,1.13,1.13,1.17,1.08,132600.0,0.0463
1990-09-26,1.13,1.13,1.17,1.13,48600.0,0.0
1990-09-27,1.08,1.08,1.17,1.04,208800.0,-0.044199999999999996
1990-09-28,1.13,1.13,1.13,1.0,212400.0,0.0463
1990-10-01,1.13,1.13,1.17,1.06,259200.0,0.0
1990-10-02,1.17,1.17,1.17,1.13,174600.0,0.0354
1990-10-03,1.08,1.08,1.13,1.08,102600.0,-0.07690000000000001
1990-10-04,1.29,1.29,1.29,1.08,849000.0,0.19440000000000002
1990-10-05,1.25,1.25,1.25,1.17,68400.0,-0.031
1990-10-08,1.17,1.17,1.25,1.17,26400.0,-0.064
1990-10-09,1.1,1.1,1.25,1.1,136800.0,-0.059800000000000006
1990-10-10,1.08,1.08,1.17,1.08,119400.0,-0.0182
1990-10-11,1.13,1.13,1.21,1.08,255000.0,0.0463
1990-10-12,1.13,1.13,1.25,1.13,80400.0,0.0
1990-10-15,1.17,1.17,1.21,1.13,106200.0,0.0354
1990-10-16,1.13,1.13,1.25,1.13,83400.0,-0.0342
1990-10-17,1.13,1.13,1.25,1.13,45600.0,0.0
1990-10-18,1.17,1.17,1.25,1.13,229200.0,0.0354
