Date,Close,Open,High,Low,Volume,Change
1980-03-17,2.69,2.69,3.03,2.69,208800.0,-0.9484
1980-03-18,2.69,2.69,2.69,2.61,308000.0,0.0
1980-03-19,2.72,2.72,2.78,2.7,1060000.0,0.011200000000000002
1980-03-20,2.75,2.75,2.75,2.67,370400.0,0.011000000000000001
1980-03-21,2.75,2.75,2.86,2.75,256800.0,0.0
1980-03-24,2.75,2.75,2.75,2.72,242400.0,0.0
1980-03-25,2.84,2.84,2.84,2.75,43200.0,0.0327
1980-03-26,2.92,2.92,2.92,2.86,59200.0,0.0282
1980-03-27,2.95,2.95,3.0,2.89,420000.0,0.0103
1980-03-28,3.11,3.11,3.11,2.97,71200.0,0.0542
1980-03-31,3.16,3.16,3.16,3.06,526400.0,0.0161
1980-04-01,3.11,3.11,3.14,3.11,50400.0,-0.0158
1980-04-02,2.98,2.98,3.11,2.98,55200.0,-0.0418
1980-04-03,2.89,2.89,2.98,2.89,353600.0,-0.0302
1980-04-07,2.86,2.86,2.91,2.86,494400.0,-0.0104
1980-04-08,2.78,2.78,2.86,2.77,148800.0,-0.027999999999999997
1980-04-09,2.83,2.83,2.88,2.8,127200.0,0.018000000000000002
1980-04-10,2.83,2.83,2.88,2.83,49600.0,0.0
1980-04-11,2.88,2.88,2.94,2.81,156000.0,0.0177
1980-04-14,2.86,2.86,2.89,2.84,64800.0,-0.0069
1980-04-15,2.83,2.83,2.86,2.81,106400.0,-0.0105
1980-04-16,2.83,2.83,2.88,2.83,96000.0,0.0
1980-04-17,2.8,2.8,2.86,2.8,124000.0,-0.0106
1980-04-18,2.81,2.81,2.84,2.81,27200.0,0.0036
1980-04-21,2.78,2.78,2.86,2.78,190400.0,-0.010700000000000001
1980-04-22,2.75,2.75,2.81,2.69,306400.0,-0.0108
1980-04-23,2.69,2.69,2.78,2.69,352000.0,-0.0218
1980-04-24,2.62,2.62,2.7,2.62,148800.0,-0.026000000000000002
1980-04-25,2.73,2.73,2.73,2.58,138400.0,0.042
1980-04-28,2.81,2.81,2.84,2.78,120000.0,0.029300000000000003
1980-04-29,2.88,2.88,2.92,2.81,620000.0,0.024900000000000002
1980-04-30,2.88,2.88,2.94,2.83,208000.0,0.0
1980-05-01,2.83,2.83,2.88,2.83,70400.0,-0.0174
1980-05-02,2.83,2.83,2.84,2.8,105600.0,0.0
1980-05-05,2.81,2.81,2.84,2.77,105600.0,-0.0070999999999999995
1980-05-06,2.84,2.84,2.86,2.84,110400.0,0.010700000000000001
1980-05-07,2.91,2.91,2.94,2.88,78400.0,0.0246
1980-05-08,2.95,2.95,2.98,2.91,174400.0,0.0137
1980-05-09,2.91,2.91,2.98,2.91,503200.0,-0.013600000000000001
1980-05-12,2.89,2.89,2.94,2.86,58400.0,-0.0069
1980-05-13,2.84,2.84,2.86,2.8,51200.0,-0.0173
1980-05-14,2.89,2.89,2.91,2.84,404000.0,0.0176
1980-05-15,2.89,2.89,2.95,2.88,118400.0,0.0
1980-05-16,2.88,2.88,2.91,2.88,98400.0,-0.0034999999999999996
1980-05-19,2.92,2.92,2.98,2.91,68800.0,0.0139
1980-05-20,2.95,2.95,3.0,2.95,200800.0,0.0103
1980-05-21,2.94,2.94,2.98,2.94,56000.0,-0.0034000000000000002
1980-05-22,2.98,2.98,2.98,2.94,160000.0,0.013600000000000001
1980-05-23,2.91,2.91,2.98,2.91,43200.0,-0.0235
1980-05-27,3.09,3.09,3.09,2.94,134400.0,0.061900000000000004
1980-05-28,3.11,3.11,3.11,3.06,216000.0,0.006500000000000001
1980-05-29,3.0,3.0,3.14,3.0,313600.0,-0.0354
1980-05-30,3.06,3.06,3.12,3.02,224800.0,0.02
1980-06-02,3.08,3.08,3.08,3.03,352800.0,0.006500000000000001
1980-06-03,3.08,3.08,3.11,3.02,219200.0,0.0
1980-06-04,3.08,3.08,3.09,3.02,111200.0,0.0
1980-06-05,3.09,3.09,3.16,3.09,253600.0,0.0032
1980-06-06,3.03,3.03,3.09,3.02,299200.0,-0.0194
1980-06-09,2.95,2.95,2.97,2.91,144000.0,-0.0264
1980-06-10,2.89,2.89,2.95,2.89,114400.0,-0.0203
1980-06-11,2.88,2.88,2.92,2.88,535200.0,-0.0034999999999999996
1980-06-12,3.0,3.0,3.0,2.84,620000.0,0.0417
1980-06-13,3.02,3.02,3.05,2.98,96000.0,0.0067
1980-06-16,3.09,3.09,3.11,3.05,199200.0,0.0232
1980-06-17,3.03,3.03,3.11,3.03,70400.0,-0.0194
1980-06-18,3.02,3.02,3.05,2.98,75200.0,-0.0033
1980-06-19,2.94,2.94,3.03,2.94,131200.0,-0.0265
1980-06-20,2.97,2.97,3.02,2.91,580800.0,0.0102
1980-06-23,2.98,2.98,3.03,2.97,59200.0,0.0034000000000000002
1980-06-24,3.0,3.0,3.05,2.98,144800.0,0.0067
1980-06-25,3.06,3.06,3.06,3.03,96000.0,0.02
1980-06-26,3.08,3.08,3.11,3.06,96800.0,0.006500000000000001
1980-06-27,3.11,3.11,3.14,3.09,180800.0,0.0097
1980-06-30,3.11,3.11,3.12,3.08,225600.0,0.0
1980-07-01,3.08,3.08,3.11,3.06,231200.0,-0.0096
1980-07-02,3.09,3.09,3.12,3.06,100000.0,0.0032
1980-07-03,3.17,3.17,3.17,3.11,236800.0,0.0259
1980-07-07,3.19,3.19,3.2,3.14,161600.0,0.0063
1980-07-08,3.25,3.25,3.27,3.2,224800.0,0.018799999999999997
1980-07-09,3.41,3.41,3.48,3.23,374400.0,0.0492
1980-07-10,3.31,3.31,3.39,3.31,198400.0,-0.029300000000000003
1980-07-11,3.36,3.36,3.36,3.28,192800.0,0.0151
1980-07-14,3.5,3.5,3.52,3.33,194400.0,0.0417
1980-07-15,3.44,3.44,3.5,3.39,512799.99999999994,-0.0171
1980-07-16,3.41,3.41,3.45,3.38,268800.0,-0.0087
1980-07-17,3.47,3.47,3.47,3.41,167200.0,0.0176
1980-07-18,3.47,3.47,3.48,3.44,186400.0,0.0
1980-07-21,3.45,3.45,3.47,3.42,238400.0,-0.0058
1980-07-22,3.36,3.36,3.45,3.34,167200.0,-0.026099999999999998
1980-07-23,3.25,3.25,3.38,3.25,77600.0,-0.0327
1980-07-24,3.28,3.28,3.31,3.25,182400.0,0.0092
1980-07-25,3.31,3.31,3.31,3.27,114400.0,0.0091
1980-07-28,3.34,3.34,3.38,3.28,505600.0,0.0091
1980-07-29,3.34,3.34,3.38,3.34,249600.0,0.0
1980-07-30,3.42,3.42,3.42,3.38,326400.0,0.024
1980-07-31,3.39,3.39,3.42,3.39,63200.0,-0.0088
1980-08-01,3.5,3.5,3.5,3.38,777600.0,0.032400000000000005
1980-08-04,3.69,3.69,3.69,3.48,278400.0,0.054299999999999994
1980-08-05,3.62,3.62,3.67,3.62,386400.0,-0.019
1980-08-06,3.61,3.61,3.64,3.61,584800.0,-0.0028000000000000004
1980-08-07,3.56,3.56,3.62,3.56,702400.0,-0.0139
1980-08-08,3.48,3.48,3.62,3.48,276800.0,-0.0225
1980-08-11,3.48,3.48,3.55,3.45,103200.0,0.0
1980-08-12,3.52,3.52,3.55,3.45,635200.0,0.0115
1980-08-13,3.53,3.53,3.58,3.52,122400.0,0.0028000000000000004
1980-08-14,3.48,3.48,3.52,3.48,270400.0,-0.014199999999999999
1980-08-15,3.47,3.47,3.5,3.47,47200.0,-0.0029
1980-08-18,3.45,3.45,3.5,3.45,119200.0,-0.0058
1980-08-19,3.52,3.52,3.55,3.45,797600.0,0.0203
1980-08-20,3.56,3.56,3.58,3.53,201600.0,0.011399999999999999
1980-08-21,3.53,3.53,3.58,3.52,536000.0,-0.0084
1980-08-22,3.52,3.52,3.58,3.52,196000.0,-0.0028000000000000004
1980-08-25,3.52,3.52,3.53,3.48,246400.0,0.0
1980-08-26,3.52,3.52,3.56,3.5,927200.0,0.0
1980-08-27,3.47,3.47,3.55,3.45,123200.0,-0.014199999999999999
1980-08-28,3.33,3.33,3.47,3.33,76800.0,-0.0403
1980-08-29,3.31,3.31,3.36,3.23,99200.0,-0.006
1980-09-02,3.3,3.3,3.34,3.3,260800.0,-0.003
1980-09-03,3.42,3.42,3.42,3.27,348000.0,0.0364
1980-09-04,3.42,3.42,3.47,3.41,194400.0,0.0
1980-09-05,3.39,3.39,3.44,3.38,164000.0,-0.0088
1980-09-08,3.33,3.33,3.41,3.33,58400.0,-0.0177
1980-09-09,3.25,3.25,3.28,3.22,120800.0,-0.024
1980-09-10,3.25,3.25,3.3,3.25,321600.0,0.0
1980-09-11,3.23,3.23,3.27,3.23,649600.0,-0.0062
1980-09-12,3.28,3.28,3.3,3.27,673600.0,0.0155
1980-09-15,3.2,3.2,3.25,3.19,428000.0,-0.024399999999999998
1980-09-16,3.28,3.28,3.28,3.17,373600.0,0.025
1980-09-17,3.42,3.42,3.42,3.28,142400.0,0.042699999999999995
1980-09-18,3.42,3.42,3.45,3.34,439200.0,0.0
1980-09-19,3.41,3.41,3.44,3.41,52800.0,-0.0029
1980-09-22,3.45,3.45,3.5,3.42,1240000.0,0.011699999999999999
1980-09-23,3.55,3.55,3.61,3.47,492800.0,0.028999999999999998
1980-09-24,3.58,3.58,3.61,3.55,409600.0,0.0085
1980-09-25,3.61,3.61,3.66,3.61,147200.0,0.0084
1980-09-26,3.56,3.56,3.61,3.55,500000.0,-0.0139
1980-09-29,3.47,3.47,3.58,3.47,379200.0,-0.0253
