Date,Close,Open,High,Low,Volume,Change
2007-09-21,1893.75,2137.5,2137.5,1406.25,260.0,-0.2231
2007-09-24,1518.75,1893.75,1893.75,1518.75,30.0,-0.198
2007-10-01,1687.5,1687.5,1781.25,1575.0,10.0,0.09759999999999999
2007-10-02,1406.25,1687.5,1687.5,1406.25,130.0,-0.16670000000000001
2007-10-03,1500.0,1500.0,1556.25,1406.25,30.0,0.0667
2007-10-05,1500.0,1593.75,1593.75,1500.0,30.0,0.0
2007-10-08,1462.5,1500.0,1518.75,1462.5,10.0,-0.025
2007-10-09,1443.75,1443.75,1443.75,1443.75,10.0,-0.0128
2007-10-10,1500.0,1425.0,1500.0,1425.0,20.0,0.039
2007-10-11,1406.25,1481.25,1481.25,1406.25,110.0,-0.0625
2007-10-12,1406.25,1462.5,1462.5,1406.25,10.0,0.0
2007-10-15,1406.25,1406.25,1481.25,1406.25,10.0,0.0
2007-10-16,1462.5,1406.25,1462.5,1312.5,20.0,0.04
2007-10-18,1593.75,1331.25,1593.75,1331.25,10.0,0.0241
2007-10-23,1593.75,1500.0,1687.5,1453.125,30.0,0.0366
2007-10-24,1687.5,1593.75,1687.5,1537.5,20.0,0.0588
2007-10-25,1687.5,1687.5,1687.5,1593.75,20.0,0.0
2007-10-26,1593.75,1687.5,1687.5,1406.25,60.0,-0.0556
2007-10-29,1593.75,1593.75,1593.75,1593.75,10.0,0.0
2007-10-31,1462.5,1593.75,1593.75,1462.5,40.0,-0.0824
2007-11-01,1518.75,1518.75,1518.75,1518.75,10.0,0.0385
2007-11-02,1556.25,1556.25,1556.25,1556.25,10.0,0.024700000000000003
2007-11-08,1593.75,1631.25,1631.25,1593.75,10.0,0.0
2007-11-09,1443.75,1593.75,1612.5,1443.75,10.0,-0.0941
2007-11-13,1593.75,1631.25,1631.25,1593.75,10.0,0.0968
2007-11-14,1556.25,1462.5,1556.25,1462.5,80.0,-0.0235
2007-11-16,2250.0,1650.0,2250.0,1650.0,10.0,0.4458
2007-11-19,1875.0,1893.75,2343.75,1706.25,30.0,-0.16670000000000001
2007-11-20,2156.25,1912.5,2156.25,1781.25,30.0,0.15
2007-11-21,2062.5,2156.25,2250.0,2062.5,30.0,-0.0435
2007-12-07,2250.0,2250.0,2250.0,2250.0,110.0,0.0909
2007-12-14,2062.5,2062.5,2062.5,2062.5,30.0,0.0
2007-12-24,2062.5,2062.5,2062.5,2062.5,30.0,0.0
2007-12-27,1593.75,2025.0,2062.5,1593.75,10.0,-0.2273
2007-12-31,1875.0,2062.5,2062.5,1687.5,10.0,0.1765
2008-01-15,1931.25,1931.25,1931.25,1931.25,10.0,0.0
2008-01-18,1931.25,1931.25,1931.25,1931.25,20.0,0.0
2008-01-22,1893.75,1893.75,1893.75,1893.75,10.0,-0.0194
2008-01-25,1837.5,1875.0,1875.0,1781.25,20.0,-0.048499999999999995
2008-01-29,1875.0,1968.75,1968.75,1875.0,10.0,0.0204
2008-02-04,1893.75,1968.75,1968.75,1893.75,10.0,-0.0288
2008-02-08,1968.75,1912.5,1968.75,1912.5,10.0,0.0194
2008-02-11,1875.0,1968.75,1968.75,1818.75,20.0,-0.047599999999999996
2008-02-12,1818.75,1856.25,1968.75,1818.75,200.0,-0.03
2008-02-13,1950.0,1856.25,1968.75,1856.25,90.0,0.0722
2008-02-14,1950.0,1968.75,2081.25,1950.0,60.0,0.0
2008-02-15,2062.5,1875.0,2062.5,1687.5,30.0,0.057699999999999994
2008-02-19,1875.0,1931.25,1931.25,1856.25,10.0,-0.0909
2008-02-21,1875.0,1875.0,1875.0,1856.25,20.0,0.0
2008-02-22,1912.5,1875.0,1912.5,1875.0,10.0,0.02
2008-02-25,1875.0,1875.0,1893.75,1875.0,10.0,-0.0196
2008-02-26,1987.5,1912.5,1987.5,1912.5,40.0,0.06
2008-02-27,2062.5,1987.5,2062.5,1950.0,50.0,0.0377
2008-02-28,2250.0,2156.25,2250.0,2062.5,20.0,0.0909
2008-03-17,2156.25,2231.25,2231.25,1893.75,560.0,-0.0171
2008-03-18,2062.5,2062.5,2156.25,1893.75,60.0,-0.0435
2008-03-19,1893.75,2006.25,2006.25,1893.75,10.0,-0.0818
2008-03-20,1781.25,1875.0,1875.0,1668.75,100.0,-0.0594
2008-03-24,1725.0,1781.25,1781.25,1706.25,40.0,-0.0316
2008-03-25,1706.25,1725.0,1725.0,1593.75,40.0,-0.0109
2008-03-26,1725.0,1725.0,1725.0,1593.75,10.0,0.011000000000000001
2008-03-27,2025.0,1725.0,2231.25,1725.0,10.0,0.1739
2008-03-31,2062.5,2025.0,2062.5,2025.0,10.0,-0.0179
2008-04-01,1893.75,2025.0,2062.5,1893.75,10.0,-0.0818
2008-04-10,2062.5,2062.5,2062.5,1800.0,10.0,0.0
2008-04-11,1837.5,1800.0,1837.5,1800.0,10.0,-0.1091
2008-04-14,1931.25,1856.25,2062.5,1856.25,10.0,0.051
2008-04-15,1931.25,1856.25,1931.25,1818.75,10.0,0.0
2008-04-22,1875.0,1875.0,1931.25,1818.75,30.0,-0.0291
2008-04-23,1931.25,1875.0,2062.5,1875.0,10.0,0.03
2008-05-02,1893.75,1875.0,1950.0,1875.0,20.0,-0.0288
2008-05-06,2062.5,1950.0,2062.5,1875.0,10.0,0.0891
2008-05-13,2062.5,2006.25,2062.5,1875.0,10.0,0.027999999999999997
2008-05-23,2062.5,2062.5,2212.5,2062.5,60.0,0.0
2008-05-29,1968.75,1987.5,2100.0,1893.75,10.0,-0.0625
2008-05-30,1931.25,2062.5,2062.5,1875.0,20.0,-0.019
2008-06-05,2062.5,2043.75,2062.5,2043.75,10.0,0.0
2008-06-06,2062.5,2062.5,2062.5,2062.5,10.0,0.0
2008-06-19,1968.75,1875.0,1968.75,1875.0,10.0,0.0
2008-06-30,2156.25,2062.5,2250.0,2062.5,10.0,0.0455
2008-07-08,2062.5,1875.0,2062.5,1781.25,10.0,-0.0435
2008-07-15,2062.5,2062.5,2062.5,2025.0,170.0,0.0
2008-07-18,1875.0,1875.0,1875.0,1875.0,10.0,-0.0909
