Date,Close,Open,High,Low,Volume,Change
2002-03-18,70.58,65.76,72.98,65.76,13590.0,0.1001
2002-03-19,72.18,72.16,72.28,69.77,9160.0,0.0227
2002-03-20,75.63,72.2,75.63,72.2,6920.0,0.0478
2002-03-21,75.39,75.79,75.79,73.78,3120.0,-0.0032
2002-03-22,76.19,76.19,76.19,74.14,11780.0,0.0106
2002-03-25,76.35,76.19,76.87,75.23,28870.0,0.0021
2002-03-26,77.23,76.55,77.23,76.55,9600.0,0.0115
2002-03-27,84.16,77.38,84.21,77.07,59230.0,0.0897
2002-03-28,91.75,81.82,91.75,81.32,129860.00000000001,0.0902
2002-04-01,85.17,85.01,88.2,82.61,79240.0,-0.0717
2002-04-02,84.45,88.2,88.2,84.05,3550.0,-0.0085
2002-04-03,83.41,84.8,85.01,83.04,7230.0,-0.0123
2002-04-04,82.85,83.81,84.57,82.85,5670.0,-0.0067
2002-04-05,82.9,82.38,83.41,81.82,6420.0,0.0006
2002-04-08,80.36,82.37,82.37,79.8,13280.0,-0.030600000000000002
2002-04-09,77.89,80.43,80.43,77.79,13030.0,-0.030699999999999998
2002-04-10,79.88,76.85,80.2,76.85,11040.0,0.0255
2002-04-11,80.18,79.0,80.2,78.6,7920.0,0.0038
2002-04-12,81.8,80.2,81.8,80.2,4430.0,0.0202
2002-04-15,84.61,81.79,84.61,81.4,4610.0,0.0344
2002-04-16,87.43,84.77,88.19,84.77,8290.0,0.0333
2002-04-17,87.9,87.42,88.22,86.46,10850.0,0.0054
2002-04-18,88.06,88.06,88.06,86.22,11100.0,0.0018
2002-04-19,87.98,88.2,88.22,86.14,9600.0,-0.0009
2002-04-22,88.22,88.06,88.22,87.74,5740.0,0.0027
2002-04-23,88.19,88.2,89.2,86.62,10660.0,-0.0003
2002-04-24,88.22,87.43,88.22,87.04,2870.0,0.0003
2002-04-25,88.54,87.13,88.78,87.13,21320.0,0.0036
2002-04-26,88.35,89.02,89.95,87.42,25000.0,-0.0021
2002-04-29,90.31,89.02,90.32,88.2,14780.0,0.0222
2002-04-30,91.0,90.61,91.43,90.56,11280.0,0.0076
2002-05-01,91.19,91.38,91.41,89.84,9910.0,0.0021
2002-05-02,91.11,91.28,91.3,89.82,6480.0,-0.0009
2002-05-03,90.66,91.09,91.17,89.82,11160.0,-0.0049
2002-05-06,91.41,90.66,91.41,89.02,22070.0,0.0083
2002-05-07,91.49,91.43,92.15,89.02,10970.0,0.0009
2002-05-08,91.43,91.67,91.86,90.63,4740.0,-0.0007000000000000001
2002-05-09,91.51,91.51,91.51,91.12,17330.0,0.0009
2002-05-10,91.51,91.51,91.51,90.63,14210.0,0.0
2002-05-13,91.43,91.51,91.51,91.43,9660.0,-0.0009
2002-05-14,93.0,91.59,93.03,91.43,21570.0,0.0172
2002-05-15,95.1,92.59,95.26,92.59,9910.0,0.0226
2002-05-16,95.76,95.01,96.02,94.46,13400.0,0.0069
2002-05-17,95.53,96.06,96.06,93.03,3060.0,-0.0024
2002-05-20,95.78,95.58,95.79,95.44,3120.0,0.0026
2002-05-21,95.1,95.79,95.79,94.04,9660.0,-0.0070999999999999995
2002-05-22,94.99,93.19,95.76,93.19,19080.0,-0.0012
2002-05-23,94.52,95.02,95.34,93.92,5420.0,-0.0049
2002-05-24,93.75,94.62,94.62,93.75,3680.0,-0.008100000000000001
2002-05-28,89.93,93.67,93.75,87.18,18270.0,-0.0407
2002-05-29,90.05,90.22,90.23,88.24,2430.0,0.0013
2002-05-30,92.55,91.43,92.71,85.17,11040.0,0.0278
2002-05-31,94.64,92.52,94.64,92.52,16210.0,0.0226
2002-06-03,93.87,94.6,94.64,93.03,7640.0,-0.008100000000000001
2002-06-04,91.43,93.8,93.83,91.43,4300.0,-0.026000000000000002
2002-06-05,91.81,93.35,93.35,91.11,1530.0,0.0042
2002-06-06,91.43,91.91,91.91,91.43,2370.0,-0.0040999999999999995
2002-06-07,89.47,91.91,91.91,87.64,5300.0,-0.021400000000000002
2002-06-10,90.59,89.02,90.63,86.97,8570.0,0.0125
2002-06-11,86.97,90.63,92.55,86.65,5390.0,-0.04
2002-06-12,88.54,86.65,89.82,86.65,2120.0,0.0181
2002-06-13,89.12,89.82,90.62,86.62,3680.0,0.0066
2002-06-14,89.31,89.12,90.63,87.61,2740.0,0.0021
2002-06-17,87.26,90.59,90.63,86.81,12410.0,-0.023
2002-06-18,89.66,89.63,90.72,89.63,1750.0,0.0275
2002-06-19,90.31,89.82,90.47,88.06,3490.0,0.0072
2002-06-20,90.56,89.41,90.63,89.02,6390.0,0.0028000000000000004
2002-06-21,88.77,90.59,92.46,88.7,12280.0,-0.019799999999999998
2002-06-24,89.82,88.73,90.79,88.7,9730.0,0.0118
2002-06-25,89.5,89.98,90.4,87.87,21600.0,-0.0036
2002-06-26,89.54,89.5,89.82,89.18,16490.0,0.0004
2002-06-27,89.89,89.57,90.21,87.9,20420.0,0.0039000000000000003
2002-06-28,95.02,89.25,96.24,87.9,339020.0,0.0571
2002-07-01,94.32,91.43,94.64,91.43,28210.0,-0.0074
2002-07-02,94.57,91.85,94.8,91.69,31830.0,0.0027
2002-07-03,92.17,94.64,94.64,91.75,8010.0,-0.0254
2002-07-05,92.71,92.58,94.03,92.1,2060.0,0.0059
2002-07-08,92.94,92.72,93.83,90.34,12870.0,0.0025
2002-07-09,92.26,92.94,94.0,91.62,7580.0,-0.0073
2002-07-10,93.48,93.64,93.64,92.26,7480.0,0.0132
2002-07-11,93.77,93.0,93.83,92.07,8420.0,0.0031
2002-07-12,92.26,93.83,93.83,91.88,4050.0,-0.0161
2002-07-15,92.55,92.23,93.03,91.53,8070.0,0.0031
2002-07-16,92.3,92.52,92.87,91.69,11780.0,-0.0027
2002-07-17,93.26,92.3,93.35,91.75,10850.0,0.0104
2002-07-18,92.04,93.48,93.51,91.78,6920.0,-0.0131
2002-07-19,90.5,91.43,92.68,90.5,15340.0,-0.0167
2002-07-22,89.12,90.34,91.27,89.12,6290.0,-0.0152
2002-07-23,87.58,88.73,90.31,86.3,13870.0,-0.0173
2002-07-24,84.21,85.01,85.21,81.0,31670.0,-0.0385
2002-07-25,81.84,83.41,86.52,81.8,12690.0,-0.0281
2002-07-26,83.12,82.16,83.12,81.0,2280.0,0.015600000000000001
2002-07-29,85.01,82.93,87.0,82.06,9290.0,0.0227
2002-07-30,84.72,86.58,86.58,83.18,5950.0,-0.0034000000000000002
2002-07-31,82.54,85.33,86.14,82.54,7030.0,-0.025699999999999997
2002-08-01,80.71,82.54,83.18,80.68,1620.0,-0.0222
2002-08-02,78.85,80.71,81.38,78.79,10510.0,-0.023
2002-08-05,79.91,78.79,81.1,78.76,16520.0,0.0134
2002-08-06,84.95,80.65,84.95,80.65,3930.0,0.06309999999999999
2002-08-07,83.41,85.01,85.01,83.38,3490.0,-0.0181
2002-08-08,84.37,83.41,84.69,82.57,7670.0,0.0115
2002-08-09,81.97,83.41,84.37,81.97,2900.0,-0.028399999999999998
2002-08-12,83.41,82.03,84.11,81.97,1530.0,0.0176
2002-08-13,82.29,82.19,84.11,82.19,5030.0,-0.0134
2002-08-14,83.89,83.06,83.89,82.0,4019.9999999999995,0.0194
2002-08-15,82.13,83.89,83.89,82.13,3340.0,-0.021
2002-08-16,84.05,82.49,84.21,82.49,2840.0,0.023399999999999997
2002-08-19,85.17,84.21,85.17,82.48,5670.0,0.013300000000000001
2002-08-20,83.41,84.82,84.82,83.41,660.0,-0.0207
2002-08-21,84.69,82.51,85.17,81.84,2650.0,0.015300000000000001
2002-08-22,84.53,82.16,84.69,82.16,2340.0,-0.0019
2002-08-23,79.66,84.63,84.63,77.79,11510.0,-0.0576
2002-08-26,82.38,80.84,82.38,79.59,15900.0,0.0341
2002-08-27,81.1,83.25,83.28,80.3,1840.0,-0.0155
2002-08-28,80.46,83.41,84.08,80.46,3300.0,-0.0079
2002-08-29,81.23,81.36,81.52,81.0,3090.0,0.0096
2002-08-30,80.3,80.33,81.8,80.3,2960.0,-0.011399999999999999
2002-09-03,78.15,81.61,81.61,77.79,6050.0,-0.0268
2002-09-04,80.04,77.79,80.2,77.79,5090.0,0.0242
2002-09-05,78.37,79.88,80.2,77.96,5270.0,-0.0209
2002-09-06,80.68,79.85,80.68,79.24,4430.0,0.029500000000000002
2002-09-09,80.97,80.33,80.97,77.99,3240.0,0.0036
2002-09-10,81.8,80.68,81.8,79.62,2710.0,0.0103
2002-09-11,82.29,81.77,83.99,81.71,2400.0,0.006
2002-09-12,80.97,80.2,82.0,80.2,1990.0,-0.016
2002-09-13,82.57,83.41,83.41,81.23,4410.0,0.019799999999999998
