Date,Close,Open,High,Low,Volume,Change
2006-02-17,2.333,0.867,2.333,0.833,336640.0,1.3809
2006-02-21,4.667,2.833,7.332999999999999,2.833,48450.0,1.0
2006-02-22,3.667,4.667,5.0,3.333,15600.0,-0.2143
2006-02-23,2.667,3.333,3.333,2.333,7800.0,-0.2727
2006-02-24,2.667,3.3,3.3,2.667,6170.0,0.0
2006-02-27,2.867,2.867,2.867,2.867,1650.0,0.075
2006-02-28,2.8,2.833,3.0669999999999997,2.8,7580.0,-0.0233
2006-03-01,3.5,2.5,4.2,2.5,3300.0,0.25
2006-03-02,3.16,3.49,3.49,3.15,4100.0,-0.0971
2006-03-03,3.05,3.15,3.23,3.0,24600.0,-0.0348
2006-03-06,3.0,3.05,3.2,3.0,22530.0,-0.016399999999999998
2006-03-07,2.75,2.9,2.9,2.5,5460.0,-0.0833
2006-03-08,2.3,2.6,2.6,2.0,9570.0,-0.1636
2006-03-09,2.3,2.3,2.95,2.25,13220.0,0.0
2006-03-10,2.55,2.35,2.55,2.35,3290.0,0.10869999999999999
2006-03-13,2.5,2.6,2.9,2.5,10180.0,-0.0196
2006-03-14,2.45,2.45,2.68,2.45,5400.0,-0.02
2006-03-15,2.3,2.5,2.5,2.15,5350.0,-0.061200000000000004
2006-03-16,2.1,2.3,2.3,2.0,5200.0,-0.087
2006-03-17,2.0,2.0,2.01,1.95,12250.0,-0.047599999999999996
2006-03-20,2.25,2.0,2.3,2.0,19420.0,0.125
2006-03-21,2.25,2.25,2.25,2.25,6500.0,0.0
2006-03-22,2.3,2.25,2.49,2.25,10000.0,0.0222
2006-03-23,2.45,2.45,2.45,2.45,2210.0,0.0652
2006-03-24,2.25,2.45,2.45,2.25,3710.0,-0.0816
2006-03-27,2.25,2.2,2.25,2.2,15780.0,0.0
2006-03-28,2.25,2.25,2.25,2.25,1000.0,0.0
2006-03-29,2.5,2.65,2.65,2.5,1630.0,0.11109999999999999
2006-03-30,2.47,2.5,2.5,2.25,33850.0,-0.012
2006-03-31,2.25,2.41,2.41,2.2,4690.0,-0.0891
2006-04-03,2.2,2.2,2.2,2.18,183040.0,-0.0222
2006-04-04,2.2,2.15,2.2,2.04,5660.0,0.0
2006-04-05,2.39,2.2,2.55,2.2,44120.0,0.0864
2006-04-06,2.4,2.3,2.4,2.3,3000.0,0.0042
2006-04-07,2.48,2.5,2.5,2.39,25390.0,0.0333
2006-04-10,2.3,2.65,2.65,2.3,30190.0,-0.0726
2006-04-11,2.0,2.25,2.265,2.0,15050.0,-0.1304
2006-04-12,2.35,2.25,2.35,2.25,50100.0,0.175
2006-04-13,2.4,2.35,2.45,2.3,89160.0,0.0213
2006-04-17,2.5,2.4,2.6,2.34,101960.0,0.0417
2006-04-18,2.75,2.5,2.95,2.49,204880.0,0.1
2006-04-19,3.1,3.0,3.12,2.87,315180.0,0.1273
2006-04-20,3.45,3.2,3.45,3.18,111480.0,0.11289999999999999
2006-04-21,3.42,3.47,3.47,3.2569999999999997,152800.0,-0.0087
2006-04-24,3.9,3.4,4.0,3.3,125170.0,0.1404
2006-04-25,4.15,4.35,4.4,4.0,130430.0,0.0641
2006-04-26,4.0,4.1,4.15,3.8,101800.0,-0.0361
2006-04-27,3.8,4.1,4.1,3.71,60450.0,-0.05
2006-04-28,4.35,3.8,4.4,3.8,145880.0,0.1447
2006-05-01,4.4,4.45,4.5,4.3,100410.0,0.0115
2006-05-02,4.0,4.49,4.49,3.9,92940.0,-0.0909
2006-05-03,4.05,4.05,4.17,4.0,67300.0,0.0125
2006-05-04,4.15,4.03,4.15,3.8,109180.0,0.024700000000000003
2006-05-05,4.84,4.18,4.85,4.18,208100.0,0.1663
2006-05-08,4.4,4.75,4.75,4.19,116080.0,-0.0909
2006-05-09,4.1,4.4,4.4,3.95,74030.0,-0.0682
2006-05-10,3.25,3.85,3.85,3.25,150700.0,-0.2073
2006-05-11,3.69,3.25,3.75,3.2,82790.0,0.1354
2006-05-12,3.75,3.7,3.8,3.69,39650.0,0.0163
2006-05-15,3.65,3.75,3.75,3.54,25450.0,-0.026699999999999998
2006-05-16,3.38,3.5,3.65,3.25,25720.0,-0.07400000000000001
2006-05-17,3.4,3.35,3.4,3.05,64120.00000000001,0.0059
2006-05-18,2.95,3.3,3.3,2.9,21340.0,-0.1324
