Date,Close,Open,High,Low,Volume,Change
1984-10-17,0.14,0.14,0.15,0.14,9870000.0,-0.9994
1984-10-18,0.15,0.15,0.16,0.15,5320000.0,0.07139999999999999
1984-10-19,0.14,0.14,0.15,0.14,3040000.0,-0.0667
1984-10-22,0.14,0.14,0.15,0.14,2330000.0,0.0
1984-10-23,0.14,0.14,0.14,0.14,787200.0,0.0
1984-10-24,0.14,0.14,0.15,0.14,230400.0,0.0
1984-10-25,0.14,0.14,0.15,0.14,1590000.0,0.0
1984-10-26,0.14,0.14,0.14,0.14,758400.0,0.0
1984-10-29,0.14,0.14,0.14,0.14,614400.0,0.0
1984-10-30,0.14,0.14,0.15,0.14,192000.0,0.0
1984-10-31,0.14,0.14,0.15,0.14,297600.0,0.0
1984-11-01,0.14,0.14,0.14,0.14,352000.0,0.0
1984-11-02,0.14,0.14,0.14,0.14,1640000.0,0.0
1984-11-05,0.14,0.14,0.14,0.14,534400.0,0.0
1984-11-06,0.14,0.14,0.14,0.14,544000.0,0.0
1984-11-07,0.14,0.14,0.14,0.14,76800.0,0.0
1984-11-08,0.14,0.14,0.14,0.14,44800.0,0.0
1984-11-09,0.14,0.14,0.14,0.14,896000.0,0.0
1984-11-12,0.14,0.14,0.14,0.14,300800.0,0.0
1984-11-13,0.14,0.14,0.14,0.14,464000.0,0.0
1984-11-14,0.13,0.13,0.14,0.13,1520000.0,-0.07139999999999999
1984-11-15,0.13,0.13,0.14,0.13,156800.0,0.0
1984-11-16,0.12,0.12,0.14,0.12,579200.0,-0.07690000000000001
1984-11-19,0.12,0.12,0.14,0.12,358400.0,0.0
1984-11-20,0.12,0.12,0.13,0.12,179200.0,0.0
1984-11-21,0.12,0.12,0.13,0.12,905600.0,0.0
1984-11-23,0.12,0.12,0.13,0.12,25600.0,0.0
1984-11-26,0.12,0.12,0.13,0.12,166400.0,0.0
1984-11-27,0.13,0.13,0.13,0.13,147200.0,0.0833
1984-11-28,0.13,0.13,0.13,0.13,492800.0,0.0
1984-11-29,0.13,0.13,0.13,0.13,262400.0,0.0
1984-11-30,0.13,0.13,0.13,0.13,556800.0,0.0
1984-12-03,0.12,0.12,0.13,0.12,380800.0,-0.07690000000000001
1984-12-04,0.12,0.12,0.13,0.12,217600.0,0.0
1984-12-05,0.12,0.12,0.13,0.12,102400.0,0.0
1984-12-06,0.12,0.12,0.12,0.12,630400.0,0.0
1984-12-07,0.12,0.12,0.12,0.12,86400.0,0.0
1984-12-10,0.12,0.12,0.12,0.12,2100000.0,0.0
1984-12-11,0.12,0.12,0.12,0.12,188800.0,0.0
1984-12-12,0.12,0.12,0.12,0.12,393600.0,0.0
1984-12-13,0.12,0.12,0.12,0.12,102400.0,0.0
1984-12-14,0.12,0.12,0.12,0.12,89600.0,0.0
1984-12-17,0.12,0.12,0.12,0.12,102400.0,0.0
1984-12-18,0.12,0.12,0.12,0.12,214400.0,0.0
1984-12-19,0.12,0.12,0.12,0.12,102400.0,0.0
1984-12-20,0.12,0.12,0.12,0.12,121600.0,0.0
1984-12-21,0.12,0.12,0.12,0.12,704000.0,0.0
1984-12-24,0.12,0.12,0.12,0.12,921600.0,0.0
1984-12-26,0.12,0.12,0.12,0.12,521600.0,0.0
1984-12-27,0.12,0.12,0.12,0.12,947200.0,0.0
1984-12-28,0.12,0.12,0.12,0.12,76800.0,0.0
1984-12-31,0.12,0.12,0.12,0.12,457600.0,0.0
1985-01-02,0.12,0.12,0.12,0.12,179200.0,0.0
1985-01-03,0.12,0.12,0.13,0.12,227200.0,0.0
1985-01-04,0.12,0.12,0.13,0.12,390400.0,0.0
1985-01-07,0.13,0.13,0.14,0.13,2650000.0,0.0833
1985-01-08,0.14,0.14,0.15,0.14,1190000.0,0.07690000000000001
1985-01-09,0.14,0.14,0.15,0.14,403200.0,0.0
1985-01-10,0.15,0.15,0.16,0.15,1060000.0,0.07139999999999999
1985-01-11,0.15,0.15,0.16,0.15,188800.0,0.0
1985-01-14,0.15,0.15,0.16,0.15,131200.0,0.0
1985-01-15,0.16,0.16,0.16,0.16,320000.0,0.0667
1985-01-16,0.16,0.16,0.16,0.16,134400.0,0.0
1985-01-17,0.16,0.16,0.16,0.16,441600.0,0.0
1985-01-18,0.16,0.16,0.16,0.16,556800.0,0.0
1985-01-21,0.16,0.16,0.16,0.16,112000.0,0.0
1985-01-22,0.16,0.16,0.16,0.16,441600.0,0.0
1985-01-23,0.16,0.16,0.16,0.16,156800.0,0.0
1985-01-24,0.18,0.18,0.18,0.18,1480000.0,0.125
1985-01-25,0.19,0.19,0.19,0.19,1110000.0,0.0556
1985-01-28,0.19,0.19,0.19,0.19,908800.0,0.0
1985-01-29,0.19,0.19,0.2,0.19,1660000.0,0.0
1985-01-30,0.2,0.2,0.2,0.2,928000.0,0.0526
1985-01-31,0.2,0.2,0.2,0.2,656000.0,0.0
1985-02-01,0.2,0.2,0.2,0.2,208000.0,0.0
1985-02-04,0.21,0.21,0.21,0.21,966400.0,0.05
1985-02-05,0.23,0.23,0.24,0.23,2320000.0,0.09519999999999999
1985-02-06,0.24,0.24,0.25,0.24,1280000.0,0.0435
1985-02-07,0.24,0.24,0.25,0.24,1110000.0,0.0
1985-02-08,0.27,0.27,0.27,0.27,4270000.0,0.125
1985-02-11,0.27,0.27,0.27,0.27,998400.0,0.0
1985-02-12,0.26,0.26,0.27,0.26,1470000.0,-0.037000000000000005
1985-02-13,0.26,0.26,0.27,0.26,611200.0,0.0
1985-02-14,0.26,0.26,0.26,0.26,355200.0,0.0
1985-02-15,0.25,0.25,0.26,0.25,304000.0,-0.0385
1985-02-19,0.25,0.25,0.25,0.25,784000.0,0.0
1985-02-20,0.24,0.24,0.25,0.24,473600.0,-0.04
1985-02-21,0.24,0.24,0.25,0.24,281600.0,0.0
1985-02-22,0.25,0.25,0.26,0.25,809600.0,0.0417
1985-02-25,0.25,0.25,0.25,0.25,496000.0,0.0
1985-02-26,0.25,0.25,0.26,0.25,672000.0,0.0
1985-02-27,0.25,0.25,0.26,0.25,1960000.0,0.0
1985-02-28,0.27,0.27,0.28,0.27,1050000.0,0.08
1985-03-01,0.27,0.27,0.28,0.27,467200.0,0.0
1985-03-04,0.27,0.27,0.28,0.27,556800.0,0.0
1985-03-05,0.27,0.27,0.28,0.27,441600.0,0.0
1985-03-06,0.27,0.27,0.28,0.27,496000.0,0.0
1985-03-07,0.27,0.27,0.28,0.27,531200.0,0.0
1985-03-08,0.27,0.27,0.28,0.27,19200.0,0.0
1985-03-11,0.26,0.26,0.27,0.26,246400.0,-0.037000000000000005
1985-03-12,0.26,0.26,0.27,0.26,4280000.0,0.0
1985-03-13,0.25,0.25,0.26,0.25,486400.0,-0.0385
1985-03-14,0.25,0.25,0.26,0.25,195200.0,0.0
1985-03-15,0.25,0.25,0.25,0.25,124800.0,0.0
1985-03-18,0.24,0.24,0.25,0.24,153600.0,-0.04
1985-03-19,0.24,0.24,0.25,0.24,604800.0,0.0
1985-03-20,0.24,0.24,0.25,0.24,547200.0,0.0
1985-03-21,0.24,0.24,0.25,0.24,204800.0,0.0
1985-03-22,0.24,0.24,0.25,0.24,192000.0,0.0
1985-03-25,0.24,0.24,0.25,0.24,355200.0,0.0
1985-03-26,0.24,0.24,0.25,0.24,300800.0,0.0
1985-03-27,0.24,0.24,0.25,0.24,76800.0,0.0
1985-03-28,0.24,0.24,0.25,0.24,96000.0,0.0
1985-03-29,0.23,0.23,0.24,0.23,144000.0,-0.0417
1985-04-01,0.23,0.23,0.23,0.23,838400.0,0.0
1985-04-02,0.21,0.21,0.22,0.21,384000.0,-0.087
1985-04-03,0.21,0.21,0.21,0.21,835200.0,0.0
1985-04-04,0.19,0.19,0.2,0.19,1020000.0,-0.09519999999999999
1985-04-09,0.19,0.19,0.19,0.19,416000.0,0.0
1985-04-10,0.18,0.18,0.19,0.18,1860000.0,-0.0526
1985-04-11,0.2,0.2,0.21,0.2,1140000.0,0.11109999999999999
1985-04-12,0.22,0.22,0.23,0.22,512000.0,0.1
1985-04-15,0.22,0.22,0.23,0.22,761600.0,0.0
1985-04-16,0.23,0.23,0.23,0.23,1410000.0,0.0455
1985-04-17,0.23,0.23,0.24,0.23,816000.0,0.0
1985-04-18,0.23,0.23,0.24,0.23,332800.0,0.0
1985-04-19,0.23,0.23,0.24,0.23,89600.0,0.0
1985-04-22,0.24,0.24,0.25,0.24,6100000.0,0.0435
1985-04-23,0.25,0.25,0.26,0.25,364800.0,0.0417
1985-04-24,0.27,0.27,0.27,0.27,691200.0,0.08
1985-04-25,0.28,0.28,0.29,0.28,2660000.0,0.037000000000000005
1985-04-26,0.28,0.28,0.29,0.28,1530000.0,0.0
1985-04-29,0.27,0.27,0.28,0.27,1600000.0,-0.035699999999999996
1985-04-30,0.27,0.27,0.28,0.27,393600.0,0.0
1985-05-01,0.27,0.27,0.27,0.27,400000.0,0.0
1985-05-02,0.27,0.27,0.28,0.27,540800.0,0.0
1985-05-03,0.27,0.27,0.28,0.27,368000.0,0.0
1985-05-06,0.27,0.27,0.28,0.27,329600.0,0.0
