Date,Close,Open,High,Low,Volume,Change
2018-10-04,20.96,21.5,21.51,20.58,1110000.0,-0.0104
2018-10-05,20.99,20.95,21.78,20.85,914080.0,0.0014000000000000002
2018-10-08,20.04,20.95,20.95,19.84,797320.0,-0.0453
2018-10-09,19.94,20.0,20.3,19.7,1240000.0,-0.005
2018-10-10,20.0,20.0,20.14,19.7,1080000.0,0.003
2018-10-11,19.04,19.83,20.32,18.79,1230000.0,-0.048
2018-10-12,19.21,19.3,19.9,19.0,359060.0,0.0089
2018-10-15,19.43,19.3,19.74,19.0,329350.0,0.0115
2018-10-16,20.2,19.35,20.86,19.35,362730.0,0.039599999999999996
2018-10-17,20.1,20.03,20.38,20.0,147550.0,-0.005
2018-10-18,19.14,20.1,20.22,19.01,228710.0,-0.0478
2018-10-19,19.44,19.15,20.48,19.15,337890.0,0.015700000000000002
2018-10-22,18.95,19.66,19.83,18.0,259610.0,-0.0252
2018-10-23,18.8,18.55,19.26,18.0,280330.0,-0.0079
2018-10-24,17.24,18.93,19.11,17.24,365670.0,-0.083
2018-10-25,19.5,17.26,20.33,16.7,1150000.0,0.1311
2018-10-26,18.69,19.5,19.66,18.6,666920.0,-0.0415
2018-10-29,17.99,19.15,19.22,17.78,529390.0,-0.0375
2018-10-30,18.84,18.05,19.04,18.05,355950.0,0.0472
2018-10-31,19.2,19.46,19.82,19.11,337650.0,0.0191
2018-11-01,20.23,19.38,20.64,19.22,311840.0,0.0536
2018-11-02,20.26,20.65,20.74,19.56,251280.0,0.0015
2018-11-05,19.34,20.59,20.6,19.18,204450.0,-0.0454
2018-11-06,19.4,19.43,19.95,19.34,120160.0,0.0031
2018-11-07,20.29,19.76,21.11,19.51,580160.0,0.045899999999999996
2018-11-08,18.07,20.02,20.2,15.84,2380000.0,-0.1094
2018-11-09,17.68,18.49,18.57,17.52,737550.0,-0.0216
2018-11-12,17.7,17.98,18.2,17.5,264700.0,0.0011
2018-11-13,18.11,17.8,18.45,17.8,341810.0,0.0232
2018-11-14,18.55,18.47,18.65,18.23,219570.0,0.024300000000000002
2018-11-15,18.74,18.5,18.85,18.45,247230.0,0.0102
2018-11-16,19.2,18.66,19.52,18.64,362190.0,0.0245
2018-11-19,16.46,19.2,19.2,16.24,624500.0,-0.1427
2018-11-20,16.1,15.98,16.88,15.68,482880.0,-0.0219
2018-11-21,16.65,16.27,16.98,15.91,315570.0,0.0342
2018-11-23,16.89,17.18,17.18,16.62,134780.0,0.0144
2018-11-26,17.0,17.1,17.31,16.71,387720.0,0.006500000000000001
2018-11-27,16.71,16.95,17.07,16.65,107710.0,-0.0171
2018-11-28,17.63,16.76,17.83,16.58,311440.0,0.055099999999999996
2018-11-29,18.05,17.74,18.2,17.64,242290.0,0.023799999999999998
2018-11-30,18.63,18.21,19.0,18.05,352780.0,0.0321
2018-12-03,18.89,19.32,19.42,18.65,251390.0,0.013999999999999999
2018-12-04,18.39,19.28,19.28,18.19,369790.0,-0.0265
2018-12-06,18.04,17.97,18.28,17.5,189740.0,-0.019
2018-12-07,17.09,17.86,18.29,17.05,300350.0,-0.0527
2018-12-10,16.59,17.22,17.22,16.31,214120.0,-0.029300000000000003
2018-12-11,16.01,17.0,17.14,15.82,908470.0,-0.035
2018-12-12,16.49,16.1,16.66,16.01,389160.0,0.03
2018-12-13,16.87,16.47,17.08,16.14,354290.0,0.023
2018-12-14,17.39,16.58,17.44,16.37,325300.0,0.0308
2018-12-17,18.44,17.18,18.8,17.11,1030000.0,0.0604
2018-12-18,19.44,18.43,19.69,18.1,725980.0,0.0542
2018-12-19,20.04,19.59,21.69,19.51,1070000.0,0.030899999999999997
2018-12-20,20.67,19.76,21.34,19.76,1020000.0,0.031400000000000004
2018-12-21,19.56,21.11,21.19,18.65,4139999.9999999995,-0.0537
2018-12-24,18.1,19.23,19.4,17.76,207610.0,-0.0746
