Date,Close,Open,High,Low,Volume,Change
1980-03-18,0.3,0.3,0.3,0.29,268800.0,0.0
1980-03-19,0.28,0.28,0.29,0.28,140800.0,-0.0667
1980-03-20,0.29,0.29,0.29,0.28,288000.0,0.035699999999999996
1980-03-21,0.31,0.31,0.31,0.29,179200.0,0.069
1980-03-24,0.29,0.29,0.3,0.29,172800.0,-0.0645
1980-03-25,0.29,0.29,0.29,0.29,153600.0,0.0
1980-03-26,0.29,0.29,0.29,0.29,32000.0,0.0
1980-03-27,0.28,0.28,0.29,0.27,582400.0,-0.0345
1980-03-28,0.28,0.28,0.28,0.28,44800.0,0.0
1980-03-31,0.28,0.28,0.28,0.28,723200.0,0.0
1980-04-01,0.28,0.28,0.28,0.28,89600.0,0.0
1980-04-02,0.29,0.29,0.29,0.28,115200.0,0.035699999999999996
1980-04-03,0.29,0.29,0.29,0.29,192000.0,0.0
1980-04-07,0.28,0.28,0.29,0.28,172800.0,-0.0345
1980-04-08,0.28,0.28,0.28,0.28,179200.0,0.0
1980-04-09,0.28,0.28,0.28,0.28,140800.0,0.0
1980-04-10,0.29,0.29,0.29,0.28,396800.0,0.035699999999999996
1980-04-11,0.3,0.3,0.3,0.29,339200.0,0.0345
1980-04-14,0.29,0.29,0.3,0.29,1110000.0,-0.0333
1980-04-15,0.29,0.29,0.29,0.29,6400.0,0.0
1980-04-16,0.29,0.29,0.29,0.29,172800.0,0.0
1980-04-17,0.29,0.29,0.29,0.29,19200.0,0.0
1980-04-18,0.29,0.29,0.29,0.29,25600.0,0.0
1980-04-21,0.29,0.29,0.29,0.29,128000.0,0.0
1980-04-22,0.29,0.29,0.29,0.28,403200.0,0.0
1980-04-23,0.29,0.29,0.29,0.29,422400.0,0.0
1980-04-24,0.29,0.29,0.29,0.29,262400.0,0.0
1980-04-25,0.29,0.29,0.29,0.29,12800.0,0.0
1980-04-28,0.28,0.28,0.28,0.28,416000.0,-0.0345
1980-04-29,0.29,0.29,0.29,0.29,51200.0,0.035699999999999996
1980-04-30,0.29,0.29,0.29,0.29,70400.0,0.0
1980-05-01,0.29,0.29,0.29,0.29,64000.0,0.0
1980-05-02,0.29,0.29,0.29,0.29,204800.0,0.0
1980-05-05,0.3,0.3,0.3,0.29,345600.0,0.0345
1980-05-06,0.31,0.31,0.31,0.3,1170000.0,0.0333
1980-05-07,0.31,0.31,0.31,0.31,281600.0,0.0
1980-05-08,0.31,0.31,0.31,0.31,812800.0,0.0
1980-05-09,0.3,0.3,0.31,0.3,326400.0,-0.0323
1980-05-12,0.3,0.3,0.3,0.3,25600.0,0.0
