Date,Close,Open,High,Low,Volume,Change
2021-02-05,10.15,10.28,10.28,10.1,650210.0,-0.0049
2021-02-08,10.1,10.19,10.2,10.09,102400.0,-0.0049
2021-02-09,10.09,10.09,10.17,10.05,164900.0,-0.001
2021-02-10,10.13,10.15,10.15,10.09,76560.0,0.004
2021-02-11,10.08,10.16,10.18,10.07,81520.0,-0.0049
2021-02-12,10.13,10.07,10.16,10.07,718080.0,0.005
2021-02-16,10.12,10.14,10.18,10.11,22880.0,-0.001
2021-02-17,10.15,10.16,10.17,10.12,168640.0,0.003
2021-02-18,10.2,10.11,10.22,10.11,738440.0,0.0049
2021-02-19,10.145,10.2,10.21,10.13,109340.0,-0.0054
2021-02-22,10.12,10.19,10.32,10.11,81340.0,-0.0025
2021-02-23,10.12,10.1,10.17,10.08,561820.0,0.0
2021-02-24,10.14,10.09,10.15,10.09,59960.0,0.002
2021-02-25,10.06,10.12,10.12,10.06,199230.0,-0.0079
2021-02-26,10.06,10.12,10.12,10.05,423030.0,0.0
2021-03-01,10.04,10.13,10.17,10.04,28650.0,-0.002
2021-03-02,9.96,10.06,10.06,9.96,216630.0,-0.008
2021-03-03,9.97,9.97,9.995,9.9,18580.0,0.001
2021-03-04,9.9,10.03,10.065,9.53,92400.0,-0.006999999999999999
2021-03-05,9.9,9.94,9.975,9.863999999999999,38600.0,0.0
2021-03-08,9.94,9.88,9.94,9.88,31870.0,0.004
2021-03-09,9.99,9.95,9.99,9.88,254860.0,0.005
2021-03-10,9.8,9.92,9.95,9.77,38830.0,-0.019
2021-03-11,9.88,9.85,9.888,9.8,35200.0,0.008199999999999999
2021-03-12,9.927,9.9,9.94,9.88,713570.0,0.0048
2021-03-15,9.91,9.91,9.91,9.91,570.0,-0.0018
2021-03-16,9.79,9.87,9.91,9.79,178700.0,-0.0121
2021-03-17,9.84,9.8,9.88,9.8,55860.0,0.0051
2021-03-18,9.85,9.84,9.85,9.81,20130.0,0.001
2021-03-19,9.92,9.84,9.92,9.84,30050.0,0.0070999999999999995
2021-03-22,9.85,9.86,9.875,9.85,29090.0,-0.0070999999999999995
2021-03-23,9.76,9.76,9.8,9.76,43190.0,-0.0091
2021-03-24,9.75,9.774,9.774,9.73,282100.0,-0.001
2021-03-25,9.82,9.72,9.82,9.72,137610.0,0.0072
2021-03-26,9.92,9.75,9.92,9.7,163670.0,0.0102
2021-03-29,9.91,9.88,9.91,9.88,1940.0,-0.001
2021-03-30,9.82,9.84,9.85,9.82,31960.0,-0.0091
2021-03-31,9.82,9.82,9.89,9.82,273050.0,0.0
2021-04-01,9.86,9.85,9.93,9.83,6860.0,0.0040999999999999995
2021-04-05,9.91,9.87,9.91,9.87,6880.0,0.0051
2021-04-06,9.91,9.892000000000001,9.92,9.892000000000001,18990.0,0.0
2021-04-07,9.95,9.92,9.95,9.91,37260.0,0.004
2021-04-08,9.927999999999999,9.927999999999999,9.927999999999999,9.927999999999999,310.0,-0.0022
2021-04-09,9.98,9.94,9.99,9.94,29830.0,0.0053
2021-04-12,9.98,9.98,9.98,9.98,55880.0,0.0
2021-04-13,9.98,9.98,9.98,9.94,5660.0,0.0
2021-04-14,9.51,9.94,9.99,9.51,18740.0,-0.0471
2021-04-15,9.97,9.92,9.97,9.92,4820.0,0.0484
2021-04-16,9.98,10.0,10.0,9.935,9610.0,0.001
2021-04-19,9.95,9.93,9.95,9.93,3960.0,-0.003
2021-04-20,9.93,9.92,9.93,9.92,1890.0,-0.002
2021-04-21,9.91,9.91,9.91,9.86,15810.0,-0.002
2021-04-22,9.93,9.905,9.93,9.88,3770.0,0.002
2021-04-23,9.89,9.9,9.9,9.87,86210.0,-0.004
2021-04-26,9.89,9.89,9.95,9.88,73040.0,0.0
2021-04-27,9.89,9.89,9.9,9.88,437330.0,0.0
2021-04-28,9.93,9.89,9.94,9.89,15230.0,0.004
2021-04-29,9.91,9.9,9.92,9.9,602900.0,-0.002
2021-04-30,9.92,9.89,9.92,9.89,95580.0,0.001
2021-05-03,9.92,9.92,9.93,9.9,150970.0,0.0
2021-05-05,9.92,9.93,9.93,9.92,3540.0,0.0
2021-05-06,9.93,9.92,9.93,9.92,4930.0,0.001
2021-05-07,9.93,9.93,9.93,9.915,2110.0,0.0
2021-05-10,9.86,9.89,9.93,9.86,8260.0,-0.006999999999999999
2021-05-11,9.92,9.86,9.92,9.86,2430.0,0.0060999999999999995
2021-05-12,9.92,9.89,9.92,9.88,2590.0,0.0
2021-05-13,9.88,9.88,9.88,9.88,260.0,-0.004
2021-05-17,9.87,9.87,9.88,9.87,6250.0,-0.001
2021-05-18,9.87,9.87,9.89,9.87,45800.0,0.0
2021-05-19,9.89,9.87,9.91,9.86,6790.0,0.002
2021-05-20,9.87,9.87,9.92,9.87,8230.0,-0.002
2021-05-21,9.93,9.86,9.93,9.85,7680.0,0.0060999999999999995
2021-05-24,9.85,9.85,9.85,9.85,140.0,-0.008100000000000001
2021-05-25,9.86,9.86,9.86,9.86,260.0,0.001
2021-05-26,9.87,9.962,10.0,9.85,9410.0,0.001
2021-05-27,9.88,9.87,9.89,9.87,3410.0,0.001
2021-05-28,9.89,9.88,9.93,9.88,16530.0,0.001
2021-06-01,9.9,9.92,9.93,9.9,1370.0,0.001
2021-06-02,9.9,9.89,9.91,9.89,7070.0,0.0
2021-06-03,9.94,9.89,9.94,9.89,11300.0,0.004
