Date,Close,Open,High,Low,Volume,Change
2018-05-22,71097,71097,71097,71097,30.0,-0.3801
2018-05-23,66346,68872,68872,66165,7860000.0,-0.0668
2018-05-24,68872,66646,69052,66225,3150000.0,0.0381
2018-05-25,70676,69052,72120,68872,2840000.0,0.0262
2018-05-28,70376,66767,70977,66767,4790000.0,-0.0042
2018-05-29,69774,70376,70496,68030,1440000.0,-0.0086
2018-05-30,70376,69774,70376,67970,3980000.0,0.0086
2018-05-31,69233,70376,70676,69233,1920000.0,-0.016200000000000003
2018-06-01,70075,69233,70676,68872,1320000.0,0.012199999999999999
2018-06-04,70917,69774,70917,69473,2860000.0,0.012
2018-06-05,70977,70917,71579,70376,2000000.0,0.0008
2018-06-06,72180,70676,72722,70376,1160000.0,0.0169
2018-06-07,72180,73383,73383,67128,1900000.0,0.0
2018-06-08,72180,72180,72722,70676,752280.0,0.0
2018-06-11,72180,72661,72661,71579,691910.0,0.0
2018-06-12,70977,72180,72180,70376,1330000.0,-0.0167
2018-06-13,70977,70977,71218,70737,470580.0,0.0
2018-06-14,70376,70977,71278,69955,1010000.0,-0.0085
2018-06-15,70075,70797,70797,70075,346370.0,-0.0043
2018-06-18,70075,70075,70977,69774,1020000.0,0.0
2018-06-19,69173,70075,70075,68992,1250000.0,-0.0129
2018-06-20,69173,64421,69774,64421,997720.0,0.0
2018-06-21,69173,69173,69233,68571,190580.0,0.0
2018-06-22,68691,69173,69173,68571,135250.0,-0.006999999999999999
2018-06-25,69473,68691,69714,68691,348170.0,0.011399999999999999
2018-06-26,69173,69473,69473,68631,182710.0,-0.0043
2018-06-27,66165,67669,68631,66165,496830.0,-0.0435
2018-06-28,66165,66165,67970,64962,302120.0,0.0
2018-06-29,67609,67970,67970,65263,522809.99999999994,0.0218
2018-07-02,66947,67669,67669,66165,741310.0,-0.0098
2018-07-03,62316,66947,66947,62316,268820.0,-0.0692
2018-07-04,66646,61413,66646,61413,2210000.0,0.0695
2018-07-05,68571,66646,69173,66646,1960000.0,0.028900000000000002
2018-07-06,67669,67067,68511,67067,807690.0,-0.0132
2018-07-09,67849,67669,68210,67669,218380.0,0.0027
2018-07-10,66767,67789,67849,65263,484540.0,-0.0159
2018-07-11,65985,66165,66767,64962,140350.0,-0.011699999999999999
2018-07-12,66165,65985,66646,64962,184390.0,0.0027
2018-07-13,65744,64541,66767,64541,93310.0,-0.0064
2018-07-16,63759,66466,66466,63759,152340.0,-0.0302
2018-07-17,63759,65564,66767,63759,667130.0,0.0
2018-07-18,64601,66165,66165,64361,188390.0,0.0132
2018-07-19,64060,64962,64962,64060,584640.0,-0.0084
2018-07-20,64300,64361,64962,63819,587780.0,0.0037
2018-07-23,64842,61955,65864,61955,228260.0,0.0084
2018-07-24,64060,61955,64782,61955,86040.0,-0.0121
2018-07-25,64060,64361,64361,63398,201340.0,0.0
2018-07-26,63759,64060,64842,63759,334700.0,-0.004699999999999999
2018-07-27,63699,63759,64060,63158,109480.0,-0.0009
2018-07-30,66466,63759,66466,63158,527380.0,0.0434
2018-07-31,66346,67368,67368,65443,276980.0,-0.0018
2018-08-01,65323,66346,66406,65263,521090.00000000006,-0.0154
2018-08-02,65443,66105,66105,65323,430970.0,0.0018
2018-08-03,65564,65684,65985,65263,647070.0,0.0018
2018-08-06,65564,65564,65624,65443,297180.0,0.0
2018-08-07,64661,65564,65564,64361,260810.0,-0.0138
2018-08-08,64962,64661,65443,64661,218250.0,0.004699999999999999
2018-08-09,65383,64962,65564,64962,464210.0,0.006500000000000001
2018-08-10,64300,65564,65564,63759,195760.0,-0.0166
2018-08-13,64661,65203,65203,64300,1770000.0,0.005600000000000001
2018-08-14,64842,64361,64962,64361,660740.0,0.0028000000000000004
2018-08-15,64842,64842,64902,64421,708990.0,0.0
2018-08-16,64842,64842,64902,64421,1180000.0,0.0
2018-08-17,65443,68571,68571,65443,1830000.0,0.009300000000000001
2018-08-20,65443,67007,67007,65443,935800.0,0.0
2018-08-21,66105,65443,66466,65443,1200000.0,0.0101
2018-08-22,66105,66105,66646,65925,675640.0,0.0
2018-08-23,67308,66165,67428,66165,2230000.0,0.0182
2018-08-24,67067,67488,67910,66827,2180000.0,-0.0036
2018-08-27,67067,67308,67308,66947,1480000.0,0.0
2018-08-28,66767,67067,67067,66466,1330000.0,-0.0045000000000000005
2018-08-29,65143,66767,66767,65143,493330.0,-0.024300000000000002
2018-08-30,64601,64962,64962,64060,665500.0,-0.0083
2018-08-31,62556,64601,66887,62556,4920000.0,-0.0317
2018-09-04,63097,64300,64782,62676,366490.0,0.0086
