Date,Close,Open,High,Low,Volume,Change
2011-04-25,17.75,19.4,19.5,17.32,2320000.0,-0.0559
2011-04-26,17.56,17.7,18.71,17.4,1810000.0,-0.010700000000000001
2011-04-27,16.25,17.84,17.84,15.8,1980000.0,-0.0746
2011-04-28,16.03,16.11,16.78,15.7,1930000.0,-0.013500000000000002
2011-04-29,15.51,15.95,16.42,15.3,1340000.0,-0.032400000000000005
2011-05-02,16.68,15.74,17.0,15.54,1470000.0,0.0754
2011-05-03,15.74,16.9,16.93,15.54,1390000.0,-0.0564
2011-05-04,14.59,15.62,15.69,13.94,1750000.0,-0.0731
2011-05-05,13.5,14.18,15.04,13.42,891950.0,-0.0747
2011-05-06,13.75,13.75,14.2,13.16,1010000.0,0.018500000000000003
2011-05-09,14.26,13.7,14.4,13.12,631660.0,0.0371
2011-05-10,15.35,14.39,15.65,14.15,937050.0,0.0764
2011-05-11,14.93,15.43,15.43,14.5,394680.0,-0.0274
2011-05-12,14.53,14.95,14.95,14.28,429520.0,-0.0268
2011-05-13,13.91,14.55,14.65,13.75,623790.0,-0.042699999999999995
2011-05-16,12.55,13.97,13.97,12.24,861900.0,-0.0978
2011-05-17,12.04,12.4,12.45,11.32,836380.0,-0.0406
2011-05-18,13.47,11.81,13.71,11.81,801180.0,0.1188
2011-05-19,13.47,13.74,13.74,12.83,617950.0,0.0
2011-05-20,12.81,13.35,13.71,12.7,503030.0,-0.049
2011-05-23,11.29,12.56,12.56,11.25,836020.0,-0.11869999999999999
2011-05-24,11.61,11.27,11.79,11.25,444840.0,0.028300000000000002
2011-05-25,11.31,11.51,11.94,11.29,582960.0,-0.0258
2011-05-26,12.06,11.26,12.24,11.26,354660.0,0.0663
2011-05-27,13.28,12.4,13.5,12.26,638390.0,0.1012
2011-05-31,12.37,13.4,13.4,12.34,392880.0,-0.06849999999999999
2011-06-01,11.85,12.55,12.88,11.84,340840.0,-0.042
2011-06-02,12.61,12.95,13.12,12.14,569530.0,0.0641
2011-06-03,11.95,12.36,12.63,11.85,351240.0,-0.052300000000000006
2011-06-06,10.77,12.28,12.28,10.6,701280.0,-0.0987
2011-06-07,10.46,10.74,10.86,9.87,1630000.0,-0.0288
2011-06-08,10.14,10.37,10.8,10.08,289920.0,-0.030600000000000002
2011-06-09,10.26,10.3,10.5,10.02,547440.0,0.0118
2011-06-10,10.01,10.26,10.26,9.95,211690.0,-0.024399999999999998
2011-06-13,9.92,10.1,10.33,9.65,392300.0,-0.009000000000000001
2011-06-14,10.75,10.49,11.35,10.02,295720.0,0.0837
2011-06-15,10.6,10.84,11.1,10.27,190660.0,-0.013999999999999999
2011-06-16,11.03,10.75,11.37,10.68,299380.0,0.0406
2011-06-17,10.99,11.12,11.35,10.89,107100.0,-0.0036
2011-06-20,11.2,10.88,11.59,10.65,164450.0,0.0191
2011-06-21,12.36,11.3,12.44,11.06,251500.0,0.1036
2011-06-22,12.0,12.25,12.28,11.73,90190.0,-0.0291
2011-06-23,13.0,11.75,13.08,11.1,116890.0,0.0833
2011-06-24,13.1,12.92,13.1,12.66,133850.0,0.0077
2011-06-27,13.04,12.84,13.45,12.81,215810.0,-0.0046
2011-06-28,12.88,12.72,13.5,12.33,319530.0,-0.0123
2011-06-29,13.53,13.03,13.53,13.03,222720.0,0.050499999999999996
2011-06-30,13.74,13.45,13.95,13.45,283180.0,0.0155
