Date,Close,Open,High,Low,Volume,Change
1988-11-03,2.36,2.36,2.37,2.35,1530000.0,0.0043
1988-11-04,2.34,2.34,2.35,2.33,1660000.0,-0.0085
1988-11-07,2.35,2.35,2.35,2.33,1330000.0,0.0043
1988-11-08,2.38,2.38,2.38,2.37,1390000.0,0.0128
1988-11-09,2.37,2.37,2.38,2.37,3170000.0,-0.0042
1988-11-10,2.42,2.42,2.42,2.38,872690.0,0.021099999999999997
1988-11-11,2.39,2.39,2.42,2.39,1170000.0,-0.0124
1988-11-14,2.4,2.4,2.4,2.38,1320000.0,0.0042
1988-11-15,2.39,2.39,2.39,2.38,1270000.0,-0.0042
1988-11-16,2.42,2.42,2.43,2.41,1440000.0,0.0126
1988-11-17,2.45,2.45,2.45,2.43,519750.0,0.0124
1988-11-18,2.44,2.44,2.44,2.44,493260.0,-0.0040999999999999995
1988-11-21,2.43,2.43,2.45,2.43,1340000.0,-0.0040999999999999995
1988-11-22,2.44,2.44,2.44,2.42,238400.0,0.0040999999999999995
1988-11-23,2.45,2.45,2.45,2.44,509010.0,0.0040999999999999995
1988-11-25,2.33,2.33,2.34,2.33,1580000.0,-0.049
1988-11-28,2.31,2.31,2.32,2.3,1420000.0,-0.0086
1988-11-29,2.31,2.31,2.31,2.3,1480000.0,0.0
1988-11-30,2.32,2.32,2.33,2.32,1670000.0,0.0043
1988-12-01,2.32,2.32,2.32,2.31,1850000.0,0.0
1988-12-02,2.32,2.32,2.32,2.31,731660.0,0.0
1988-12-05,2.33,2.33,2.33,2.31,884150.0,0.0043
1988-12-06,2.33,2.33,2.33,2.33,711620.0,0.0
1988-12-07,2.31,2.31,2.32,2.3,1910000.0,-0.0086
1988-12-08,2.31,2.31,2.31,2.3,541940.0,0.0
1988-12-09,2.31,2.31,2.31,2.29,1240000.0,0.0
1988-12-12,2.31,2.31,2.32,2.3,813270.0,0.0
1988-12-13,2.32,2.32,2.32,2.3,1690000.0,0.0043
1988-12-14,2.35,2.35,2.37,2.32,2089999.9999999998,0.0129
1988-12-15,2.39,2.39,2.39,2.35,955740.0,0.017
1988-12-16,2.47,2.47,2.47,2.41,1130000.0,0.0335
1988-12-19,2.48,2.48,2.48,2.45,1440000.0,0.004
1988-12-20,2.48,2.48,2.5,2.48,2320000.0,0.0
1988-12-21,2.5,2.5,2.51,2.48,1390000.0,0.008100000000000001
1988-12-22,2.51,2.51,2.51,2.5,771750.0,0.004
1988-12-23,2.51,2.51,2.52,2.51,441720.0,0.0
1988-12-27,2.51,2.51,2.52,2.51,334330.0,0.0
1988-12-28,2.55,2.55,2.55,2.51,1660000.0,0.0159
1988-12-29,2.61,2.61,2.62,2.57,681550.0,0.0235
1988-12-30,2.62,2.62,2.64,2.62,413080.0,0.0038
