Date,Close,Open,High,Low,Volume,Change
2014-02-27,25.52,25.41,25.52,25.41,1790.0,0.0043
2014-02-28,25.64,25.54,25.65,25.54,2150.0,0.004699999999999999
2014-03-03,25.45,25.41,25.45,25.36,2480.0,-0.0074
2014-03-04,25.63,25.53,25.63,25.53,2830.0,0.0070999999999999995
2014-03-05,25.5,25.59,25.59,25.5,1210.0,-0.0051
2014-03-07,25.53,25.53,25.58,25.53,1790.0,0.0012
2014-03-10,25.55,25.59,25.59,25.52,4290.0,0.0008
2014-03-11,25.63,25.52,25.63,25.52,3760.0,0.0031
2014-03-12,25.59,25.55,25.59,25.55,610.0,-0.0016
2014-03-13,25.56,25.65,25.65,25.56,1060.0,-0.0012
2014-03-14,25.63,25.63,25.63,25.63,650.0,0.0027
2014-03-17,25.62,25.64,25.66,25.62,9330.0,-0.0004
2014-03-18,25.76,25.66,25.76,25.66,2880.0,0.0055000000000000005
2014-03-19,25.75,25.75,25.75,25.75,2110.0,-0.0004
2014-03-20,25.66,25.6,25.66,25.59,1310.0,-0.0034999999999999996
2014-03-21,25.68,25.68,25.68,25.68,1190.0,0.0008
2014-03-24,25.71,25.74,25.74,25.62,1500.0,0.0012
2014-03-25,25.71,25.63,25.72,25.59,3160.0,0.0
2014-03-26,25.62,25.69,25.69,25.62,1270.0,-0.0034999999999999996
2014-03-27,25.65,25.69,25.69,25.65,1050.0,0.0012
2014-03-28,25.67,25.67,25.67,25.67,440.0,0.0008
2014-03-31,25.97,25.86,25.97,25.86,8280.0,0.011699999999999999
2014-04-01,25.92,25.95,25.95,25.9,1950.0,-0.0019
2014-04-02,25.9,25.94,25.94,25.84,48820.0,-0.0008
2014-04-03,25.8,25.89,25.89,25.77,5450.0,-0.0039000000000000003
2014-04-04,25.91,25.9,25.91,25.9,1900.0,0.0043
2014-04-07,25.9,25.9,25.9,25.9,750.0,-0.0004
2014-04-09,26.1,26.1,26.1,26.1,680.0,0.0077
2014-04-10,26.08,26.02,26.13,26.02,1840.0,-0.0008
2014-04-11,26.25,25.98,26.25,25.98,11400.0,0.006500000000000001
2014-04-14,26.3,26.35,26.35,26.3,1140.0,0.0019
2014-04-15,26.46,26.45,26.46,26.42,1310.0,0.0060999999999999995
2014-04-16,26.55,26.46,26.62,26.46,29810.0,0.0034000000000000002
2014-04-17,26.6,26.6,26.6,26.6,780.0,0.0019
2014-04-21,26.57,26.65,26.65,26.57,1940.0,-0.0011
2014-04-22,26.54,26.57,26.57,26.51,3740.0,-0.0011
2014-04-23,26.4,26.53,26.53,26.4,2120.0,-0.0053
2014-04-24,26.51,26.51,26.51,26.51,440.0,0.0042
2014-04-25,26.37,26.5,26.5,26.36,2760.0,-0.0053
2014-04-28,26.36,26.34,26.37,26.33,4330.0,-0.0004
2014-04-29,26.41,26.44,26.45,26.41,2690.0,0.0019
2014-04-30,26.39,26.37,26.41,26.35,2750.0,-0.0008
2014-05-01,26.36,26.34,26.36,26.34,740.0,-0.0011
2014-05-02,26.36,26.38,26.38,26.36,1330.0,0.0
2014-05-05,26.41,26.39,26.41,26.39,1300.0,0.0019
2014-05-06,26.37,26.34,26.37,26.34,2630.0,-0.0015
2014-05-07,26.46,26.46,26.46,26.46,1610.0,0.0034000000000000002
2014-05-08,26.54,26.67,26.67,26.54,3230.0,0.003
2014-05-09,26.59,26.58,26.62,26.56,2160.0,0.0019
2014-05-12,26.82,26.63,26.82,26.63,3760.0,0.0086
2014-05-13,26.66,26.77,26.77,26.66,2980.0,-0.006
2014-05-14,26.66,26.69,26.75,26.66,1580.0,0.0
2014-05-15,26.89,26.75,26.89,26.75,1260.0,0.0086
2014-05-16,27.0,26.87,27.0,26.87,2220.0,0.0040999999999999995
2014-05-20,27.0,26.98,27.0,26.98,1700.0,0.0
2014-05-21,26.8,27.05,27.05,26.79,1580.0,-0.0074
2014-05-22,26.83,26.84,26.84,26.8,810.0,0.0011
2014-05-23,26.75,26.82,26.82,26.75,760.0,-0.003
2014-05-26,26.81,26.84,26.84,26.81,810.0,0.0022
2014-05-27,26.84,26.76,26.84,26.76,2380.0,0.0011
2014-05-28,26.75,26.77,26.77,26.75,1070.0,-0.0034000000000000002
2014-05-29,26.8,26.87,26.87,26.8,1230.0,0.0019
2014-05-30,26.7,26.76,26.76,26.7,1810.0,-0.0037
2014-06-03,27.03,27.02,27.03,27.02,890.0,0.0124
2014-06-04,26.95,27.05,27.05,26.95,900.0,-0.003
2014-06-05,27.0,27.03,27.03,27.0,2029.9999999999998,0.0019
2014-06-06,27.11,27.09,27.15,27.09,2370.0,0.0040999999999999995
2014-06-09,27.12,27.12,27.12,27.12,1750.0,0.0004
