Date,Close,Open,High,Low,Volume,Change
2002-05-17,12.3,14.35,14.35,11.49,1830000.0,-0.15109999999999998
2002-05-20,12.0,12.13,12.81,11.93,195700.0,-0.024399999999999998
2002-05-21,11.6,12.19,12.37,11.37,248000.0,-0.0333
2002-05-22,11.0,11.5,11.5,10.85,177000.0,-0.051699999999999996
2002-05-23,11.17,10.96,11.2,10.33,329200.0,0.0155
2002-05-24,11.95,11.22,12.05,10.9,145300.0,0.0698
2002-05-28,12.45,11.85,12.55,11.79,237800.0,0.0418
2002-05-29,13.65,12.5,14.0,12.36,756000.0,0.0964
2002-05-30,13.7,13.95,14.16,13.48,388000.0,0.0037
2002-05-31,12.65,13.78,13.88,12.5,200500.0,-0.0766
2002-06-03,11.55,13.02,13.03,11.28,232900.0,-0.087
2002-06-04,10.62,11.2,11.38,10.36,266500.0,-0.0805
2002-06-05,11.6,10.54,11.73,10.5,259500.0,0.09230000000000001
2002-06-06,10.7,11.6,11.64,10.55,217300.0,-0.0776
2002-06-07,10.15,10.62,10.62,10.01,135300.0,-0.051399999999999994
2002-06-10,10.56,10.45,11.13,10.39,143800.0,0.0404
2002-06-11,11.1,11.0,11.74,11.0,247900.0,0.051100000000000007
2002-06-12,11.75,11.21,11.8,11.15,101900.0,0.058600000000000006
2002-06-13,11.58,11.84,12.2,11.26,80000.0,-0.014499999999999999
2002-06-14,11.75,11.85,11.85,11.31,62400.0,0.0147
2002-06-17,12.33,12.61,12.61,12.02,166700.0,0.049400000000000006
2002-06-18,11.65,12.41,12.41,11.59,125000.0,-0.0552
2002-06-19,11.75,11.65,12.29,11.56,71500.0,0.0086
2002-06-20,11.4,11.99,12.0,11.4,55100.0,-0.0298
2002-06-21,10.76,11.53,11.75,10.33,63800.0,-0.056100000000000004
2002-06-24,10.75,10.55,10.8,10.18,99200.0,-0.0009
2002-06-25,10.37,10.81,10.81,10.24,64700.0,-0.0353
2002-06-26,9.92,10.05,10.1,9.54,54700.0,-0.0434
2002-06-27,10.89,10.1,11.15,10.1,102800.0,0.0978
2002-06-28,11.3,11.0,11.85,10.7,261600.00000000003,0.037599999999999995
2002-07-01,10.23,11.46,11.49,10.23,84100.0,-0.0947
2002-07-02,9.57,10.34,10.34,9.25,69700.0,-0.0645
2002-07-03,8.7,9.37,9.38,8.49,142600.0,-0.0909
2002-07-05,8.7,9.0,9.19,8.7,30100.0,0.0
2002-07-08,9.3,8.67,9.45,8.53,180000.0,0.069
2002-07-09,10.03,9.25,10.62,9.25,122000.0,0.0785
2002-07-10,9.76,10.2,10.2,9.5,65900.0,-0.0269
2002-07-11,9.79,9.76,10.05,9.57,51700.0,0.0031
2002-07-12,9.68,9.75,10.0,9.65,16900.0,-0.011200000000000002
2002-07-15,9.43,9.81,9.81,9.06,42000.0,-0.0258
2002-07-16,9.7,9.43,9.9,9.3,88500.0,0.0286
2002-07-17,9.99,9.99,9.99,9.8,21700.0,0.029900000000000003
2002-07-18,9.91,9.85,10.17,9.85,29000.0,-0.008
2002-07-19,9.52,9.75,9.82,9.32,25100.0,-0.0394
2002-07-22,8.87,9.51,9.51,8.85,47120.0,-0.0683
2002-07-23,7.22,9.0,9.0,7.06,116310.0,-0.18600000000000003
2002-07-24,7.5,7.39,8.0,6.7,72420.0,0.0388
2002-07-25,7.0,7.75,7.84,6.8,66700.0,-0.0667
2002-07-26,6.9,7.01,7.22,6.81,19500.0,-0.0143
2002-07-29,6.3,6.8,7.13,5.83,331600.0,-0.087
2002-07-30,6.13,6.5,6.55,6.1,280500.0,-0.027000000000000003
2002-07-31,6.36,6.14,6.55,5.88,315000.0,0.0375
2002-08-01,6.6,6.57,6.8,6.36,151800.0,0.0377
2002-08-02,6.6,6.57,6.7,6.35,58900.0,0.0
2002-08-05,6.78,6.62,6.9,6.56,78400.0,0.0273
2002-08-06,7.84,6.92,7.88,6.92,165500.0,0.1563
2002-08-07,8.15,7.84,8.2,7.65,228000.0,0.0395
2002-08-08,8.6,8.15,8.89,8.15,97300.0,0.0552
2002-08-09,8.64,8.6,8.65,8.2,74610.0,0.004699999999999999
2002-08-12,8.79,8.6,8.83,8.25,66090.0,0.0174
2002-08-13,8.51,8.71,8.85,8.5,57610.0,-0.0319
2002-08-14,9.29,8.6,9.3,8.56,78400.0,0.0917
2002-08-15,9.58,9.3,10.01,9.15,60000.0,0.031200000000000002
2002-08-16,9.31,9.62,9.62,9.0,56700.0,-0.0282
2002-08-19,9.43,9.5,9.75,9.31,64200.0,0.0129
2002-08-20,9.44,9.43,9.6,9.4,31200.0,0.0011
2002-08-21,9.5,9.46,9.6,9.38,66400.0,0.0064
2002-08-22,9.21,9.48,9.5,9.16,85700.0,-0.0305
2002-08-23,9.0,9.2,9.4,8.94,70000.0,-0.022799999999999997
2002-08-26,8.58,9.05,9.08,8.3,76250.0,-0.0467
2002-08-27,8.97,8.8,9.02,8.8,31000.0,0.0455
2002-08-28,8.86,8.81,9.0,8.81,21600.0,-0.0123
2002-08-29,9.0,8.87,9.1,8.82,24700.0,0.0158
2002-08-30,8.6,8.98,9.0,8.6,27700.0,-0.0444
2002-09-03,8.51,8.5,8.75,8.36,49200.0,-0.0105
2002-09-04,9.1,8.59,9.21,8.58,55700.0,0.0693
2002-09-05,8.97,9.08,9.11,8.9,55860.0,-0.0143
2002-09-06,9.0,9.06,9.13,8.95,43800.0,0.0033
2002-09-09,9.2,9.0,9.25,9.0,62020.0,0.0222
2002-09-10,10.1,9.2,10.1,9.05,125100.0,0.0978
2002-09-11,9.46,10.2,10.2,9.28,117000.0,-0.0634
2002-09-12,9.5,9.29,9.65,9.25,68200.0,0.0042
2002-09-13,9.91,9.5,9.95,9.32,44400.0,0.0432
2002-09-16,9.46,10.09,10.09,9.35,45400.0,-0.0454
2002-09-17,9.17,9.54,9.61,9.04,105300.0,-0.030699999999999998
2002-09-18,9.1,9.15,9.29,9.08,61900.0,-0.0076
2002-09-19,9.06,9.02,9.2,9.0,45600.0,-0.0044
2002-09-20,9.25,9.19,9.26,9.05,58380.0,0.021
2002-09-23,8.8,9.06,9.06,8.79,60800.0,-0.048600000000000004
2002-09-24,8.8,9.0,9.0,8.65,50400.0,0.0
2002-09-25,8.88,8.78,8.9,8.61,45200.0,0.0091
2002-09-26,9.23,8.91,9.25,8.86,13600.0,0.0394
2002-09-27,9.04,9.2,9.23,8.96,6300.0,-0.0206
2002-09-30,8.63,9.0,9.02,8.42,80940.0,-0.0454
2002-10-01,9.24,8.63,9.28,8.59,51900.0,0.0707
2002-10-02,9.81,9.24,9.85,8.85,109500.0,0.0617
2002-10-03,9.88,9.88,10.0,9.77,26300.0,0.0070999999999999995
2002-10-04,9.66,9.8,9.8,9.5,26840.0,-0.0223
2002-10-07,9.51,9.65,9.65,9.45,32700.000000000004,-0.0155
2002-10-08,9.3,9.53,9.53,9.25,27700.0,-0.022099999999999998
2002-10-09,9.25,9.3,9.3,8.93,38100.0,-0.0054
2002-10-10,9.55,9.12,9.6,9.0,37400.0,0.032400000000000005
2002-10-11,9.7,9.5,10.0,9.5,33140.0,0.015700000000000002
2002-10-14,9.4,9.7,9.7,9.25,34900.0,-0.030899999999999997
2002-10-15,9.25,9.45,9.5,9.19,35220.0,-0.016
2002-10-16,8.42,9.2,9.2,8.0,69520.0,-0.0897
2002-10-17,8.7,8.3,8.73,8.3,28700.0,0.0333
2002-10-18,8.81,8.75,8.98,8.72,8200.0,0.0126
2002-10-21,9.28,8.72,9.28,8.72,12000.0,0.0533
2002-10-22,9.7,9.3,10.4,9.0,78200.0,0.0453
2002-10-23,9.94,9.85,10.0,9.85,32500.0,0.024700000000000003
2002-10-24,10.0,9.99,10.2,9.56,70350.0,0.006
2002-10-25,10.2,10.1,10.5,10.0,80700.0,0.02
2002-10-28,10.79,10.31,10.79,10.1,54200.0,0.057800000000000004
2002-10-29,10.64,10.8,10.85,10.48,34000.0,-0.0139
2002-10-30,11.38,10.7,11.4,10.59,78800.0,0.0695
2002-10-31,11.15,11.4,11.8,10.83,98800.0,-0.0202
