Date,Close,Open,High,Low,Volume,Change
2014-04-02,25.05,25.06,25.06,25.04,28910.0,-0.0012
2014-04-03,25.06,25.06,25.06,25.02,11670.0,0.0004
2014-04-04,25.07,25.06,25.07,25.05,5160.0,0.0004
2014-04-07,25.07,25.09,25.09,25.07,64489.99999999999,0.0
2014-04-08,25.02,25.08,25.09,25.02,44850.0,-0.002
2014-04-09,25.02,25.08,25.09,25.01,48430.0,0.0
2014-04-10,25.11,25.09,25.11,25.09,18330.0,0.0036
2014-04-11,25.12,25.12,25.12,25.07,17300.0,0.0004
2014-04-14,25.1,25.1,25.11,25.1,18920.0,-0.0008
2014-04-15,25.13,25.12,25.13,25.1,25930.0,0.0012
2014-04-16,25.14,25.12,25.14,25.12,23420.0,0.0004
2014-04-17,25.12,25.13,25.13,25.06,23490.0,-0.0008
2014-04-21,25.12,25.13,25.13,25.11,23560.0,0.0
2014-04-22,25.11,25.11,25.12,25.11,8140.000000000001,-0.0004
2014-04-23,25.14,25.14,25.14,25.12,5150.0,0.0012
2014-04-24,25.13,25.13,25.13,25.12,36350.0,-0.0004
2014-04-25,25.14,25.15,25.15,25.14,23060.0,0.0004
2014-04-28,25.06,25.08,25.08,25.06,19720.0,-0.0032
2014-04-29,25.08,25.06,25.08,25.06,48470.0,0.0008
2014-04-30,25.08,25.08,25.08,25.06,30320.0,0.0
2014-05-01,25.12,25.1,25.12,25.1,20630.0,0.0016
2014-05-02,25.12,25.1,25.12,25.06,35980.0,0.0
2014-05-05,25.12,25.12,25.13,25.09,10660.0,0.0
2014-05-06,25.08,25.12,25.12,25.08,60430.0,-0.0016
2014-05-07,25.08,25.09,25.11,25.08,6070.0,0.0
2014-05-08,25.11,25.13,25.13,25.1,6140.0,0.0012
2014-05-09,25.11,25.1,25.12,25.1,13120.0,0.0
2014-05-12,25.11,25.11,25.11,25.09,11700.0,0.0
2014-05-13,25.13,25.13,25.13,25.1,14000.0,0.0008
2014-05-14,25.17,25.14,25.17,25.13,13700.0,0.0016
2014-05-15,25.14,25.14,25.16,25.12,7380.0,-0.0012
2014-05-16,25.19,25.14,25.19,25.14,21670.0,0.002
2014-05-20,25.17,25.16,25.17,25.15,9810.0,-0.0008
2014-05-21,25.15,25.16,25.16,25.14,61740.0,-0.0008
2014-05-22,25.1,25.16,25.16,25.1,21480.0,-0.002
2014-05-23,25.12,25.14,25.17,25.12,4830.0,0.0008
2014-05-26,25.17,25.17,25.17,25.14,10480.0,0.002
2014-05-27,25.15,25.15,25.17,25.15,7880.0,-0.0008
2014-05-28,25.1,25.12,25.12,25.1,29090.0,-0.002
2014-05-29,25.11,25.13,25.13,25.11,23110.0,0.0004
2014-05-30,25.12,25.11,25.12,25.09,38780.0,0.0004
2014-06-02,25.1,25.08,25.1,25.07,18630.0,-0.0008
2014-06-03,25.09,25.09,25.09,25.07,15450.0,-0.0004
2014-06-04,25.09,25.09,25.09,25.07,28710.0,0.0
2014-06-05,25.07,25.05,25.09,25.05,20150.0,-0.0008
2014-06-06,25.09,25.11,25.11,25.08,8370.0,0.0008
2014-06-09,25.08,25.1,25.1,25.07,27760.0,-0.0004
2014-06-10,25.09,25.08,25.09,25.07,14730.0,0.0004
2014-06-11,25.1,25.1,25.1,25.06,39550.0,0.0004
2014-06-12,25.09,25.1,25.1,25.08,49570.0,-0.0004
2014-06-13,25.1,25.09,25.1,25.09,19160.0,0.0004
2014-06-16,25.1,25.1,25.1,25.08,12220.0,0.0
2014-06-17,25.08,25.1,25.1,25.08,22480.0,-0.0008
2014-06-18,25.12,25.11,25.12,25.1,39900.0,0.0016
2014-06-19,25.14,25.14,25.14,25.12,35750.0,0.0008
2014-06-20,25.09,25.09,25.1,25.08,55740.0,-0.002
2014-06-23,25.08,25.1,25.1,25.07,33390.0,-0.0004
2014-06-24,25.05,25.04,25.05,25.03,34270.0,-0.0012
2014-06-25,25.06,25.07,25.07,25.04,25140.0,0.0004
2014-06-26,25.07,25.06,25.07,25.05,33160.0,0.0004
2014-06-27,25.05,25.07,25.07,25.03,26630.0,-0.0008
2014-06-30,25.09,25.06,25.09,25.06,30240.0,0.0016
2014-07-02,25.04,25.06,25.06,25.04,55470.0,-0.002
