Date,Close,Open,High,Low,Volume,Change
1980-03-18,5.87,5.87,6.04,5.87,21000.0,-0.0151
1980-03-19,6.0,6.0,6.17,6.0,12600.0,0.022099999999999998
1980-03-20,6.0,6.0,6.17,6.0,6000.0,0.0
1980-03-21,5.96,5.96,6.12,5.96,11400.0,-0.0067
1980-03-24,5.92,5.92,6.08,5.92,13200.0,-0.0067
1980-03-25,5.83,5.83,6.0,5.83,18000.0,-0.0152
1980-03-26,5.58,5.58,5.75,5.58,13200.0,-0.0429
1980-03-27,5.33,5.33,5.5,5.33,30000.0,-0.044800000000000006
1980-03-28,5.71,5.71,5.87,5.71,22800.0,0.0713
1980-03-31,5.87,5.87,6.04,5.87,15600.0,0.027999999999999997
1980-04-01,5.96,5.96,6.12,5.96,19200.0,0.015300000000000001
1980-04-02,5.92,5.92,6.08,5.92,3000.0,-0.0067
1980-04-03,5.75,5.75,5.92,5.75,15600.0,-0.0287
1980-04-07,5.75,5.75,5.92,5.75,14400.0,0.0
1980-04-08,5.79,5.79,5.96,5.79,10800.0,0.006999999999999999
1980-04-09,5.79,5.79,5.96,5.79,11400.0,0.0
1980-04-10,5.75,5.75,5.92,5.75,15000.0,-0.0069
1980-04-11,5.83,5.83,6.0,5.83,2400.0,0.0139
1980-04-14,5.75,5.75,5.92,5.75,4800.0,-0.0137
1980-04-15,5.75,5.75,5.92,5.75,3600.0,0.0
1980-04-16,5.58,5.58,5.75,5.58,18600.0,-0.0296
1980-04-17,5.54,5.54,5.71,5.54,8400.0,-0.0072
1980-04-18,5.25,5.25,5.42,5.25,30000.0,-0.052300000000000006
1980-04-21,5.08,5.08,5.25,5.08,21000.0,-0.032400000000000005
1980-04-22,5.29,5.29,5.46,5.29,50400.0,0.041299999999999996
1980-04-23,5.25,5.25,5.42,5.25,22200.0,-0.0076
1980-04-24,5.21,5.21,5.37,5.21,14400.0,-0.0076
1980-04-25,5.21,5.21,5.37,5.21,29400.0,0.0
1980-04-28,5.25,5.25,5.42,5.25,8400.0,0.0077
1980-04-29,5.25,5.25,5.42,5.25,6000.0,0.0
1980-04-30,5.25,5.25,5.42,5.25,3600.0,0.0
1980-05-01,5.29,5.29,5.46,5.29,6600.0,0.0076
1980-05-02,5.33,5.33,5.5,5.33,9600.0,0.0076
1980-05-05,5.37,5.37,5.54,5.37,12600.0,0.0075
1980-05-06,5.37,5.37,5.54,5.37,30000.0,0.0
1980-05-07,5.37,5.37,5.54,5.37,3000.0,0.0
1980-05-08,5.37,5.37,5.54,5.37,2400.0,0.0
1980-05-09,5.33,5.33,5.5,5.33,6000.0,-0.0074
1980-05-12,5.58,5.58,5.75,5.58,12000.0,0.046900000000000004
1980-05-13,5.54,5.54,5.71,5.54,600.0,-0.0072
1980-05-14,5.58,5.58,5.75,5.58,2400.0,0.0072
1980-05-15,5.75,5.75,5.92,5.75,6600.0,0.0305
1980-05-16,5.79,5.79,5.96,5.79,7200.0,0.006999999999999999
1980-05-19,5.79,5.79,5.96,5.79,18000.0,0.0
1980-05-20,5.79,5.79,5.96,5.79,2400.0,0.0
1980-05-21,5.83,5.83,6.0,5.83,5400.0,0.0069
1980-05-22,5.92,5.92,6.08,5.92,37200.0,0.0154
1980-05-23,6.08,6.08,6.25,6.08,16200.0,0.027000000000000003
1980-05-27,6.12,6.12,6.29,6.12,7200.0,0.0066
1980-05-28,6.29,6.29,6.46,6.29,13200.0,0.0278
1980-05-29,5.96,5.96,6.12,5.96,21600.0,-0.0525
1980-05-30,5.92,5.92,6.08,5.92,10800.0,-0.0067
1980-06-02,5.92,5.92,6.08,5.92,5400.0,0.0
1980-06-03,5.92,5.92,6.08,5.92,5400.0,0.0
1980-06-04,6.0,6.0,6.17,6.0,15600.0,0.013500000000000002
1980-06-05,6.0,6.0,6.17,6.0,3600.0,0.0
1980-06-06,6.0,6.0,6.17,6.0,6000.0,0.0
1980-06-09,6.0,6.0,6.17,6.0,5400.0,0.0
1980-06-10,6.04,6.04,6.21,6.04,9000.0,0.0067
1980-06-11,6.0,6.0,6.17,6.0,9000.0,-0.0066
