Date,Close,Open,High,Low,Volume,Change
1988-06-23,4.31,4.31,4.5,4.31,51100.0,-0.06709999999999999
1988-06-24,4.38,4.38,4.44,4.38,11800.0,0.016200000000000003
1988-06-27,4.25,4.25,4.44,4.25,13200.0,-0.0297
1988-06-28,4.0,4.0,4.25,4.0,16200.0,-0.0588
1988-06-29,4.19,4.19,4.25,4.19,8900.0,0.0475
1988-06-30,4.44,4.44,4.56,4.44,47300.0,0.059699999999999996
1988-07-01,4.75,4.75,4.88,4.75,29100.0,0.0698
1988-07-05,4.62,4.62,4.88,4.62,14000.0,-0.0274
1988-07-06,4.5,4.5,4.69,4.5,20000.0,-0.026000000000000002
1988-07-07,4.5,4.5,4.62,4.5,6900.0,0.0
1988-07-08,4.38,4.38,4.5,4.38,9300.0,-0.026699999999999998
1988-07-11,4.44,4.44,4.56,4.44,31400.0,0.0137
1988-07-12,4.44,4.44,4.62,4.44,3600.0,0.0
1988-07-13,4.5,4.5,4.62,4.5,2800.0,0.013500000000000002
1988-07-14,4.38,4.38,4.62,4.38,26400.0,-0.026699999999999998
1988-07-15,4.38,4.38,4.62,4.38,13000.0,0.0
1988-07-18,4.25,4.25,4.5,4.25,10500.0,-0.0297
1988-07-19,4.12,4.12,4.38,4.12,7500.0,-0.030600000000000002
1988-07-20,3.88,3.88,4.12,3.88,31400.0,-0.0583
1988-07-21,4.06,4.06,4.19,4.06,13200.0,0.0464
1988-07-22,3.88,3.88,4.12,3.88,21100.0,-0.0443
1988-07-25,3.88,3.88,4.12,3.88,2000.0,0.0
1988-07-26,3.88,3.88,4.0,3.88,26900.0,0.0
1988-07-27,3.88,3.88,4.0,3.88,1900.0,0.0
1988-07-28,3.94,3.94,4.06,3.94,10300.0,0.0155
1988-07-29,3.94,3.94,4.0,3.94,14200.0,0.0
1988-08-01,4.0,4.0,4.12,4.0,19700.0,0.0152
1988-08-02,3.94,3.94,4.12,3.94,17500.0,-0.015
1988-08-03,3.75,3.75,4.0,3.75,33600.0,-0.0482
1988-08-04,3.69,3.69,3.88,3.69,1300.0,-0.016
1988-08-05,3.75,3.75,3.88,3.75,2900.0,0.0163
1988-08-08,3.81,3.81,3.88,3.81,9400.0,0.016
1988-08-09,3.56,3.56,3.69,3.56,26000.0,-0.06559999999999999
1988-08-10,3.25,3.25,3.38,3.25,41100.0,-0.08710000000000001
1988-08-11,3.38,3.38,3.5,3.38,8900.0,0.04
1988-08-12,3.44,3.44,3.5,3.44,2000.0,0.0178
1988-08-15,3.25,3.25,3.38,3.25,12500.0,-0.0552
1988-08-16,3.12,3.12,3.38,3.12,13700.0,-0.04
1988-08-17,2.81,2.81,2.88,2.81,43200.0,-0.09939999999999999
1988-08-18,2.81,2.81,2.94,2.81,15500.0,0.0
1988-08-19,2.75,2.75,2.88,2.75,13400.0,-0.021400000000000002
1988-08-22,2.62,2.62,2.75,2.62,12400.0,-0.0473
1988-08-23,2.81,2.81,2.88,2.81,21500.0,0.0725
1988-08-24,2.62,2.62,2.75,2.62,5500.0,-0.0676
1988-08-25,2.62,2.62,2.75,2.62,800.0,0.0
1988-08-26,2.88,2.88,2.94,2.88,14500.0,0.0992
1988-08-29,2.81,2.81,2.94,2.81,3900.0,-0.024300000000000002
1988-08-30,2.81,2.81,2.94,2.81,1000.0,0.0
1988-08-31,2.75,2.75,2.94,2.75,6200.0,-0.021400000000000002
1988-09-02,2.75,2.75,2.94,2.75,400.0,0.0
1988-09-06,2.75,2.75,2.88,2.75,7300.0,0.0
1988-09-07,2.38,2.38,2.56,2.38,16400.0,-0.13449999999999998
1988-09-08,2.94,2.94,3.0,2.94,102000.0,0.2353
1988-09-09,3.25,3.25,3.31,3.25,143900.0,0.1054
1988-09-12,3.12,3.12,3.25,3.12,10300.0,-0.04
1988-09-13,2.88,2.88,3.0,2.88,15500.0,-0.07690000000000001
1988-09-14,3.06,3.06,3.12,3.06,18700.0,0.0625
1988-09-15,3.0,3.0,3.06,3.0,11100.0,-0.0196
1988-09-16,3.12,3.12,3.19,3.12,11500.0,0.04
1988-09-19,3.06,3.06,3.19,3.06,13100.0,-0.0192
1988-09-20,3.0,3.0,3.12,3.0,7000.0,-0.0196
