Date,Close,Open,High,Low,Volume,Change
1980-03-18,4.18,4.18,4.24,3.86,1810000.0,-0.0095
1980-03-19,4.18,4.18,4.32,4.17,957600.0,0.0
1980-03-20,4.15,4.15,4.3,4.12,313200.0,-0.0072
1980-03-21,4.18,4.18,4.18,4.12,319200.0,0.0072
1980-03-24,3.91,3.91,4.18,3.83,298200.0,-0.0646
1980-03-25,3.78,3.78,3.98,3.71,509400.0,-0.0332
1980-03-26,3.79,3.79,3.96,3.76,853200.0,0.0026
1980-03-27,3.74,3.74,3.76,3.01,1360000.0,-0.0132
1980-03-28,3.64,3.64,3.88,3.5,447600.0,-0.026699999999999998
1980-03-31,3.71,3.71,3.74,3.54,1310000.0,0.0192
1980-04-01,3.79,3.79,3.83,3.67,748200.0,0.0216
1980-04-02,3.91,3.91,4.05,3.79,364800.0,0.0317
1980-04-03,3.95,3.95,3.96,3.88,321000.0,0.0102
1980-04-07,4.01,4.01,4.08,3.88,1590000.0,0.0152
1980-04-08,4.27,4.27,4.29,4.01,1350000.0,0.06480000000000001
1980-04-09,4.32,4.32,4.36,4.24,471000.0,0.011699999999999999
1980-04-10,4.56,4.56,4.61,4.44,1080000.0,0.0556
1980-04-11,4.46,4.46,4.54,4.46,604800.0,-0.0219
1980-04-14,4.54,4.54,4.58,4.32,1150000.0,0.0179
1980-04-15,4.42,4.42,4.56,4.41,632400.0,-0.0264
1980-04-16,4.22,4.22,4.47,4.15,322800.0,-0.0452
1980-04-17,3.96,3.96,4.24,3.95,643800.0,-0.0616
1980-04-18,3.91,3.91,3.98,3.86,969600.0,-0.0126
1980-04-21,3.84,3.84,3.95,3.81,1450000.0,-0.0179
1980-04-22,4.12,4.12,4.17,4.01,1590000.0,0.0729
1980-04-23,4.05,4.05,4.12,4.01,529800.0,-0.017
1980-04-24,4.07,4.07,4.08,4.01,385800.0,0.0049
1980-04-25,4.18,4.18,4.22,3.95,275400.0,0.027000000000000003
1980-04-28,4.17,4.17,4.29,4.13,424200.0,-0.0024
